Time	[PTH_in_PTG]	[PTH_in_Plasma]	[Ca_in_Plasma]
0	0	0	1.22
1	9.73122	0.0430076	1.22
2	19.2409	0.145046	1.22
3	28.5342	0.279058	1.22
4	37.6159	0.429619	1.22
5	46.4909	0.587955	1.22
6	55.1639	0.749087	1.22
7	63.6395	0.910211	1.22
8	71.9222	1.06976	1.22
9	80.0164	1.22687	1.22
10	87.9263	1.38108	1.22
11	95.6561	1.53218	1.22
12	103.21	1.68006	1.22
13	110.592	1.8247	1.22
14	117.806	1.96613	1.22
15	124.856	2.10437	1.22
16	131.745	2.23949	1.22
17	138.478	2.37155	1.22
18	145.057	2.50062	1.22
19	151.486	2.62675	1.22
20	157.769	2.75001	1.22
21	163.91	2.87046	1.22
22	169.91	2.98818	1.22
23	175.774	3.10321	1.22
24	181.504	3.21563	1.22
25	187.104	3.32549	1.22
26	192.576	3.43285	1.22
27	197.924	3.53776	1.22
28	203.15	3.64029	1.22
29	208.257	3.74048	1.22
30	213.248	3.8384	1.22
31	218.126	3.93408	1.22
32	222.892	4.02759	1.22
33	227.55	4.11897	1.22
34	232.101	4.20827	1.22
35	236.55	4.29553	1.22
36	240.897	4.38081	1.22
37	245.145	4.46415	1.22
38	249.296	4.54559	1.22
39	253.353	4.62518	1.22
40	257.317	4.70296	1.22
41	261.192	4.77896	1.22
42	264.978	4.85324	1.22
43	268.678	4.92583	1.22
44	272.293	4.99676	1.22
45	275.827	5.06608	1.22
46	279.28	5.13382	1.22
47	282.654	5.20002	1.22
48	285.952	5.26471	1.22
49	289.174	5.32793	1.22
50	292.323	5.38971	1.22
51	295.401	5.45009	1.22
52	298.408	5.50909	1.22
53	301.347	5.56674	1.22
54	304.219	5.62309	1.22
55	307.026	5.67815	1.22
56	309.769	5.73196	1.22
57	312.449	5.78455	1.22
58	315.069	5.83593	1.22
59	317.628	5.88615	1.22
60	320.13	5.93523	1.22
61	322.574	5.98318	1.22
62	324.963	6.03005	1.22
63	327.298	6.07585	1.22
64	329.579	6.12061	1.22
65	331.809	6.16434	1.22
66	333.987	6.20709	1.22
67	336.116	6.24886	1.22
68	338.197	6.28968	1.22
69	340.23	6.32957	1.22
70	342.217	6.36855	1.22
71	344.159	6.40664	1.22
72	346.057	6.44387	1.22
73	347.911	6.48025	1.22
74	349.723	6.5158	1.22
75	351.494	6.55054	1.22
76	353.225	6.5845	1.22
77	354.916	6.61768	1.22
78	356.569	6.6501	1.22
79	358.184	6.68178	1.22
80	359.762	6.71275	1.22
81	361.305	6.74301	1.22
82	362.812	6.77258	1.22
83	364.285	6.80148	1.22
84	365.725	6.82972	1.22
85	367.131	6.85731	1.22
86	368.506	6.88428	1.22
87	369.849	6.91064	1.22
88	371.162	6.93639	1.22
89	372.445	6.96156	1.22
90	373.699	6.98616	1.22
91	374.924	7.01019	1.22
92	376.121	7.03368	1.22
93	377.291	7.05664	1.22
94	378.435	7.07907	1.22
95	379.552	7.10099	1.22
96	380.644	7.12242	1.22
97	381.711	7.14335	1.22
98	382.754	7.16381	1.22
99	383.773	7.1838	1.22
100	384.769	7.20334	1.22
