Time	[x1]	[x2]	[x3]	[G]	[Ii]	[Ip]
0	110.42	112.76	104.588	12342.6	243.287	93.3644
1	108.969	112.515	105.232	12248.4	242.592	91.2048
2	107.463	112.17	105.801	12156.3	241.776	89.1028
3	105.912	111.731	106.293	12066.6	240.847	87.0637
4	104.324	111.202	106.707	11979.3	239.812	85.0909
5	102.709	110.587	107.042	11894.7	238.678	83.1874
6	101.073	109.891	107.298	11812.8	237.453	81.3549
7	99.4248	109.119	107.474	11733.8	236.144	79.5945
8	97.7703	108.277	107.572	11657.7	234.758	77.9066
9	96.1162	107.37	107.592	11584.7	233.302	76.2913
10	94.468	106.403	107.535	11514.7	231.783	74.7481
11	92.8312	105.382	107.404	11447.9	230.207	73.2761
12	91.2104	104.313	107.199	11384.2	228.58	71.8743
13	89.6099	103.2	106.924	11323.8	226.908	70.5412
14	88.0335	102.05	106.58	11266.6	225.198	69.2756
15	86.4846	100.866	106.17	11212.7	223.454	68.0758
16	84.9663	99.6543	105.697	11162.1	221.682	66.9403
17	83.4811	98.4195	105.164	11114.9	219.886	65.8674
18	82.0314	97.1661	104.574	11071	218.072	64.8558
19	80.6191	95.8985	103.93	11030.5	216.244	63.9037
20	79.246	94.6209	103.236	10993.5	214.406	63.0099
21	77.9135	93.3373	102.495	10959.9	212.562	62.1731
22	76.623	92.0515	101.711	10929.9	210.716	61.392
23	75.3754	90.767	100.887	10903.5	208.872	60.6658
24	74.1716	89.4873	100.026	10880.6	207.033	59.9935
25	73.0126	88.2155	99.1313	10861.5	205.203	59.3744
26	71.8988	86.9545	98.2073	10846.1	203.385	58.8081
27	70.831	85.7071	97.257	10834.6	201.581	58.2943
28	69.8095	84.4759	96.2835	10827	199.796	57.833
29	68.835	83.2635	95.2901	10823.5	198.032	57.4241
30	67.9079	82.0719	94.2801	10824.1	196.292	57.0681
31	67.0286	80.9035	93.2564	10828.8	194.579	56.7656
32	66.1975	79.7601	92.2222	10837.9	192.895	56.5173
33	65.4154	78.6437	91.1804	10851.5	191.243	56.3242
34	64.6826	77.556	90.1337	10869.5	189.626	56.1875
35	63.9997	76.4986	89.085	10892.1	188.047	56.1087
36	63.3676	75.4733	88.0369	10919.3	186.509	56.0893
37	62.787	74.4815	86.9919	10951.3	185.015	56.1312
38	62.2586	73.5247	85.9526	10987.9	183.566	56.2361
39	61.7836	72.6043	84.9214	11029.4	182.167	56.4063
40	61.3628	71.7217	83.9005	11075.5	180.821	56.6437
41	60.9974	70.8783	82.8923	11126.4	179.529	56.9507
42	60.6888	70.0754	81.8989	11181.9	178.296	57.3296
43	60.438	69.3143	80.9224	11241.9	177.125	57.7826
44	60.2467	68.5964	79.9649	11306.3	176.018	58.3119
45	60.1161	67.9231	79.0283	11374.9	174.98	58.9199
46	60.0478	67.2957	78.1147	11447.6	174.013	59.6086
47	60.0434	66.7156	77.2258	11524.2	173.121	60.3799
48	60.1044	66.1841	76.3636	11604.3	172.307	61.2358
49	60.2325	65.7028	75.5298	11687.7	171.575	62.1779
50	60.4292	65.2729	74.7263	11774.3	170.928	63.2075
51	60.6961	64.896	73.9548	11863.6	170.369	64.3258
52	61.0346	64.5734	73.2171	11955.3	169.903	65.5336
53	61.4463	64.3067	72.5148	12049.3	169.532	66.8314
54	61.9325	64.0972	71.8496	12145	169.26	68.2193
55	62.4945	63.9464	71.2232	12242.3	169.089	69.6971
56	63.1333	63.8556	70.6373	12340.8	169.023	71.264
57	63.8499	63.8264	70.0935	12440.1	169.065	72.9189
58	64.645	63.86	69.5934	12539.9	169.217	74.66
59	65.5192	63.9577	69.1385	12640	169.483	76.4849
60	66.4726	64.1206	68.7304	12739.9	169.863	78.3908
61	67.5054	64.35	68.3707	12839.3	170.361	80.3742
62	68.6173	64.6468	68.0608	12938	170.978	82.4309
63	69.8074	65.012	67.8022	13035.5	171.715	84.5559
64	71.0749	65.4463	67.5962	13131.5	172.574	86.7437
65	72.4183	65.9503	67.4443	13225.8	173.554	88.9876
66	73.8357	66.5244	67.3476	13318	174.657	91.2804
67	75.3249	67.1689	67.3074	13407.8	175.881	93.6141
68	76.8829	67.8837	67.3249	13494.8	177.225	95.9795
69	78.5064	68.6686	67.4009	13578.7	178.688	98.3668
70	80.1916	69.5231	67.5364	13659.3	180.268	100.765
71	81.9338	70.4463	67.7322	13736.1	181.962	103.163
72	83.728	71.4372	67.989	13808.8	183.766	105.549
73	85.5685	72.4942	68.3071	13877.2	185.676	107.908
74	87.449	73.6156	68.6869	13940.9	187.686	110.227
75	89.3624	74.799	69.1285	13999.5	189.792	112.491
76	91.3012	76.0418	69.6319	14052.8	191.985	114.685
77	93.257	77.3411	70.1967	14100.4	194.26	116.793
78	95.2209	78.6932	70.8224	14142	196.606	118.8
79	97.1836	80.0943	71.5081	14177.3	199.015	120.688
80	99.1349	81.5398	72.253	14206.1	201.477	122.441
81	101.064	83.0251	73.0555	14228	203.981	124.044
82	102.961	84.5445	73.914	14242.8	206.515	125.481
83	104.814	86.0925	74.8265	14250.3	209.067	126.737
84	106.611	87.6626	75.7908	14250.3	211.625	127.798
85	108.341	89.2483	76.8042	14242.6	214.175	128.652
86	109.993	90.8424	77.8638	14227.2	216.703	129.288
87	111.554	92.4375	78.9661	14204	219.194	129.697
88	113.013	94.0258	80.1077	14173.1	221.636	129.874
89	114.36	95.5993	81.2844	14134.5	224.014	129.814
90	115.585	97.1498	82.492	14088.5	226.314	129.516
91	116.679	98.6691	83.7258	14035.2	228.523	128.984
92	117.634	100.149	84.9809	13975.1	230.627	128.221
93	118.442	101.581	86.252	13908.6	232.616	127.238
94	119.098	102.956	87.5338	13836	234.478	126.044
95	119.598	104.268	88.8205	13757.9	236.203	124.653
96	119.94	105.509	90.1065	13674.9	237.782	123.082
97	120.122	106.671	91.3856	13587.6	239.209	121.348
98	120.145	107.749	92.652	13496.5	240.478	119.471
99	120.01	108.735	93.8997	13402.3	241.583	117.471
100	119.723	109.626	95.1227	13305.6	242.523	115.368
