Time	[ERK]	[ERK-PY]	[ERK-PT]	[ERK-PP]	[MEK]	[MKP3]	[ERK-PY_MEK]	[ERK-PT_MEK]	[ERK_MEK_Y]	[ERK_MEK_T]	[ERK-PP_MKP3]	[ERK-PY_MKP3]	[ERK-PT_MKP3_Y]	[ERK-PT_MKP3_T]	[ERK_MKP3_T]	[ERK_MKP3_Y]
33	344.654	159.953	23.4694	5.81632	7.83313	6.05915	30.3805	0.624267	6.50695	134.655	1.3877	6.51732	1.52086	0.938166	35.1297	48.4471
34	341.123	162.823	23.8608	6.11369	7.87118	6.04928	31.1046	0.638146	6.47138	133.915	1.45866	6.62697	1.54939	0.952724	34.8757	48.4873
35	337.678	165.615	24.241	6.41486	7.90873	6.03975	31.8165	0.651774	6.43639	133.187	1.53047	6.73332	1.5773	0.966817	34.6237	48.5286
36	334.316	168.33	24.6102	6.71961	7.9458	6.03054	32.5164	0.665157	6.402	132.471	1.60307	6.83649	1.6046	0.980465	34.3742	48.5707
37	331.036	170.971	24.9691	7.02774	7.98239	6.02164	33.2045	0.678301	6.36818	131.767	1.67641	6.93656	1.63133	0.993688	34.1273	48.613
38	327.835	173.54	25.3179	7.33903	8.0185	6.01302	33.8807	0.691214	6.33494	131.075	1.75044	7.03361	1.65751	1.0065	33.8835	48.6554
39	324.711	176.038	25.6572	7.6533	8.05414	6.00467	34.5452	0.703902	6.30227	130.394	1.82511	7.12774	1.68315	1.01893	33.6428	48.6976
40	321.661	178.467	25.9874	7.97034	8.08931	5.99657	35.1982	0.716371	6.27016	129.726	1.90038	7.21903	1.70829	1.03098	33.4054	48.7393
41	318.685	180.829	26.3087	8.28998	8.12403	5.9887	35.8397	0.728627	6.23861	129.069	1.97619	7.30756	1.73294	1.04268	33.1716	48.7804
42	315.78	183.126	26.6216	8.61203	8.15828	5.98105	36.4699	0.740678	6.20761	128.424	2.05251	7.39341	1.75713	1.05404	32.9413	48.8205
43	312.944	185.359	26.9264	8.93633	8.19208	5.97361	37.0889	0.752527	6.17716	127.789	2.1293	7.47665	1.78086	1.06507	32.7148	48.8597
44	310.175	187.531	27.2235	9.2627	8.22544	5.96636	37.6968	0.764183	6.14724	127.166	2.2065	7.55735	1.80416	1.07579	32.4921	48.8977
45	307.471	189.642	27.5132	9.59099	8.25836	5.9593	38.2938	0.77565	6.11786	126.554	2.28409	7.63559	1.82704	1.08621	32.2733	48.9344
46	304.831	191.695	27.7958	9.92104	8.29084	5.95241	38.8799	0.786935	6.089	125.953	2.36203	7.71144	1.84953	1.09635	32.0584	48.9698
47	302.253	193.691	28.0716	10.2527	8.32289	5.94569	39.4554	0.798043	6.06066	125.363	2.44028	7.78496	1.87164	1.10621	31.8475	49.0037
48	299.735	195.632	28.3409	10.5858	8.35452	5.93912	40.0203	0.808979	6.03283	124.783	2.51879	7.85622	1.89337	1.11581	31.6405	49.0362
49	297.276	197.518	28.604	10.9203	8.38572	5.93271	40.5748	0.819749	6.00551	124.214	2.59756	7.92528	1.91475	1.12517	31.4375	49.067
50	294.875	199.351	28.8611	11.2559	8.41652	5.92643	41.1191	0.830359	5.97869	123.655	2.67653	7.9922	1.9358	1.13429	31.2385	49.0963
51	292.528	201.134	29.1126	11.5926	8.44691	5.92028	41.6532	0.840813	5.95235	123.107	2.75567	8.05705	1.95651	1.14318	31.0434	49.1239
52	290.236	202.866	29.3586	11.9302	8.47689	5.91427	42.1774	0.851117	5.9265	122.568	2.83497	8.11988	1.97692	1.15185	30.8522	49.1499
53	287.997	204.55	29.5994	12.2687	8.50648	5.90838	42.6917	0.861275	5.90112	122.039	2.91438	8.18074	1.99702	1.16032	30.665	49.1742
54	285.808	206.187	29.8353	12.6079	8.53568	5.9026	43.1964	0.871293	5.87621	121.52	2.99388	8.2397	2.01683	1.16859	30.4817	49.1967
55	283.67	207.777	30.0664	12.9476	8.5645	5.89693	43.6915	0.881174	5.85177	121.011	3.07345	8.2968	2.03636	1.17667	30.3022	49.2176
56	281.58	209.323	30.2929	13.2879	8.59293	5.89137	44.1772	0.890924	5.82777	120.511	3.15306	8.3521	2.05562	1.18457	30.1265	49.2368
