Time	[camR]	[ca]	[camR_ca1_A]	[camR_ca1_B]	[camR_ca1_C]	[camR_ca1_D]	[camR_ca2_AB]	[camR_ca2_AC]	[camR_ca2_AD]	[camR_ca2_BC]	[camR_ca2_BD]	[camR_ca2_CD]	[camR_ca3_ABC]	[camR_ca3_ABD]	[camR_ca3_ACD]	[camR_ca3_BCD]	[camR_ca4_ABCD]	[camT]	[camT_ca1_A]	[camT_ca1_B]	[camT_ca1_C]	[camT_ca1_D]	[camT_ca2_AB]	[camT_ca2_AC]	[camT_ca2_AD]	[camT_ca2_BC]	[camT_ca2_BD]	[camT_ca2_CD]	[camT_ca3_ABC]	[camT_ca3_ABD]	[camT_ca3_ACD]	[camT_ca3_BCD]	[camT_ca4_ABCD]	[CaMKII]	[camR_CaMKII]	[camR_ca1_A_CaMKII]	[camR_ca1_B_CaMKII]	[camR_ca1_C_CaMKII]	[camR_ca1_D_CaMKII]	[camR_ca2_AB_CaMKII]	[camR_ca2_AC_CaMKII]	[camR_ca2_AD_CaMKII]	[camR_ca2_BC_CaMKII]	[camR_ca2_BD_CaMKII]	[camR_ca2_CD_CaMKII]	[camR_ca3_ABC_CaMKII]	[camR_ca3_ABD_CaMKII]	[camR_ca3_ACD_CaMKII]	[camR_ca3_BCD_CaMKII]	[camR_ca4_ABCD_CaMKII]	[PP2B]	[camR_PP2B]	[camR_ca1_A_PP2B]	[camR_ca1_B_PP2B]	[camR_ca1_C_PP2B]	[camR_ca1_D_PP2B]	[camR_ca2_AB_PP2B]	[camR_ca2_AC_PP2B]	[camR_ca2_AD_PP2B]	[camR_ca2_BC_PP2B]	[camR_ca2_BD_PP2B]	[camR_ca2_CD_PP2B]	[camR_ca3_ABC_PP2B]	[camR_ca3_ABD_PP2B]	[camR_ca3_ACD_PP2B]	[camR_ca3_BCD_PP2B]	[camR_ca4_ABCD_PP2B]
0	9.7e-12	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.60944e-16	9.42431e-06	3.2895e-17	1.1502e-14	1.57411e-17	1.2761e-14	1.66648e-13	2.45531e-16	1.8576e-13	8.56626e-14	5.02789e-11	9.53095e-14	5.55579e-14	5.63517e-11	6.29619e-14	2.6959e-11	3.05068e-11	9.52983e-12	4.27147e-14	1.49294e-11	2.04371e-14	1.65626e-11	5.59116e-14	8.3742e-17	6.22713e-14	2.88876e-14	1.63111e-11	3.21134e-14	7.29905e-17	7.23442e-14	8.26368e-17	3.46143e-14	1.55067e-16	6.98594e-05	1.36689e-13	1.53183e-13	7.08747e-11	7.3366e-14	8.06163e-11	8.1307e-11	8.38024e-14	9.24579e-11	3.87873e-11	4.26098e-08	4.41083e-11	4.39217e-11	4.82564e-08	4.9954e-11	2.30766e-08	2.61362e-08	1.54079e-06	5.65508e-14	6.35332e-14	2.96446e-11	3.04169e-14	3.37384e-11	3.39083e-11	3.46775e-14	3.85828e-11	1.61841e-11	1.79451e-08	1.84157e-11	1.83287e-11	2.03241e-08	2.08582e-11	9.71891e-09	1.10078e-08
2	1.57294e-16	9.42419e-06	1.12635e-17	5.61557e-15	5.38548e-18	6.4279e-15	9.25602e-14	9.1415e-17	1.05953e-13	4.52881e-14	4.60302e-11	5.18406e-14	4.40144e-14	5.20374e-11	5.0388e-14	2.48842e-11	2.81821e-11	3.25159e-12	1.45944e-14	7.27709e-12	6.97711e-15	8.32976e-12	3.0385e-14	3.02057e-17	3.47813e-14	1.49228e-14	1.49227e-11	1.70817e-14	5.67959e-17	6.67967e-14	6.50201e-17	3.19428e-14	1.4325e-16	6.98704e-05	1.05456e-13	1.19181e-13	5.97851e-11	5.69694e-14	6.84435e-11	6.82804e-11	6.48846e-14	7.81692e-11	3.25887e-11	3.92766e-08	3.73083e-11	3.69953e-11	4.44887e-08	4.23531e-11	2.12728e-08	2.40959e-08	1.52973e-06	5.7405e-14	6.49396e-14	3.25663e-11	3.10454e-14	3.72828e-11	3.70669e-11	3.52785e-14	4.24352e-11	1.77045e-11	2.13014e-08	2.02686e-11	2.00805e-11	2.41283e-08	2.29887e-11	1.15372e-08	1.30684e-08
3	1.45244e-16	9.42419e-06	1.04006e-17	5.18589e-15	4.97287e-18	5.9361e-15	8.54924e-14	8.44204e-17	9.78632e-14	4.18277e-14	4.25235e-11	4.78798e-14	4.06604e-14	4.80731e-11	4.65484e-14	2.29885e-11	2.60351e-11	3.00248e-12	1.34763e-14	6.7203e-12	6.44257e-15	7.69248e-12	2.80641e-14	2.78934e-17	3.21248e-14	1.37821e-14	1.37858e-11	1.57761e-14	5.24675e-17	6.1708e-14	6.0065e-17	2.95094e-14	1.32337e-16	6.98805e-05	9.7225e-14	1.09878e-13	5.51199e-11	5.25228e-14	6.31027e-11	6.29533e-11	5.98209e-14	7.20706e-11	3.0046e-11	3.62131e-08	3.43975e-11	3.4109e-11	4.10187e-08	3.90489e-11	1.96136e-08	2.22165e-08	1.51961e-06	6.57441e-14	7.43924e-14	3.7303e-11	3.55659e-14	4.27055e-11	4.24174e-11	4.03896e-14	4.85606e-11	2.02645e-11	2.43691e-08	2.31994e-11	2.29781e-11	2.76031e-08	2.63059e-11	1.31987e-08	1.49504e-08
4	1.34204e-16	9.42418e-06	9.61002e-18	4.79183e-15	4.59488e-18	5.48504e-15	7.90067e-14	7.801e-17	9.0439e-14	3.86529e-14	3.9302e-11	4.42457e-14	3.758e-14	4.44311e-11	4.3022e-14	2.12469e-11	2.40627e-11	2.77427e-12	1.2452e-14	6.20966e-12	5.95289e-15	7.10798e-12	2.59346e-14	2.57746e-17	2.96871e-14	1.27357e-14	1.27414e-11	1.45783e-14	4.84923e-17	5.7033e-14	5.55142e-17	2.72737e-14	1.22311e-16	6.98898e-05	8.96881e-14	1.0136e-13	5.0847e-11	4.84511e-14	5.8211e-11	5.80741e-11	5.51839e-14	6.64847e-11	2.77172e-11	3.34067e-08	3.17314e-11	3.14654e-11	3.78398e-08	3.60224e-11	1.80935e-08	2.04947e-08	1.51034e-06	7.33847e-14	8.30533e-14	4.16425e-11	3.97076e-14	4.76735e-11	4.73195e-11	4.50725e-14	5.41726e-11	2.261e-11	2.71794e-08	2.58845e-11	2.56328e-11	3.07864e-08	2.93452e-11	1.47209e-08	1.66745e-08
5	1.24061e-16	9.42418e-06	8.8837e-18	4.42977e-15	4.2476e-18	5.07061e-15	7.30462e-14	7.21194e-17	8.36161e-14	3.57355e-14	3.63407e-11	4.09062e-14	3.47485e-14	4.10834e-11	3.97805e-14	1.9646e-11	2.22497e-11	2.5646e-12	1.15109e-14	5.74049e-12	5.50299e-15	6.57095e-12	2.39775e-14	2.38278e-17	2.74469e-14	1.17742e-14	1.17814e-11	1.34777e-14	4.48384e-17	5.27358e-14	5.13313e-17	2.52188e-14	1.13095e-16	6.98983e-05	8.27785e-14	9.35511e-14	4.69297e-11	4.47182e-14	5.37264e-11	5.36008e-11	5.09328e-14	6.13636e-11	2.55821e-11	3.08337e-08	2.92871e-11	2.90418e-11	3.49254e-08	3.32478e-11	1.67e-08	1.89162e-08	1.50185e-06	8.03895e-14	9.09934e-14	4.56209e-11	4.35047e-14	5.2228e-11	5.18137e-11	4.93659e-14	5.93178e-11	2.47602e-11	2.9756e-08	2.83462e-11	2.80667e-11	3.37049e-08	3.21315e-11	1.61164e-08	1.82552e-08
6	1.14738e-16	9.42418e-06	8.21604e-18	4.09694e-15	3.92837e-18	4.68964e-15	6.75658e-14	6.67039e-17	7.73427e-14	3.30532e-14	3.36175e-11	3.78358e-14	3.21446e-14	3.80048e-11	3.67994e-14	1.81738e-11	2.05824e-11	2.37187e-12	1.06458e-14	5.30921e-12	5.08942e-15	6.07727e-12	2.21782e-14	2.2038e-17	2.53872e-14	1.08902e-14	1.08985e-11	1.24658e-14	4.14782e-17	4.8784e-14	4.74844e-17	2.3329e-14	1.0462e-16	6.99061e-05	7.64395e-14	8.63869e-14	4.33359e-11	4.12936e-14	4.96121e-11	4.94969e-11	4.70327e-14	5.66653e-11	2.36234e-11	2.84731e-08	2.70446e-11	2.68182e-11	3.22515e-08	3.07022e-11	1.54214e-08	1.7468e-08	1.49405e-06	8.68159e-14	9.82779e-14	4.92708e-11	4.69882e-14	5.64065e-11	5.59369e-11	5.33047e-14	6.40381e-11	2.6733e-11	3.21198e-08	3.06047e-11	3.02996e-11	3.63824e-08	3.46878e-11	1.73967e-08	1.97054e-08
7	1.06163e-16	9.42417e-06	7.60199e-18	3.79083e-15	3.63477e-18	4.33924e-15	6.25241e-14	6.17225e-17	7.15715e-14	3.05859e-14	3.11118e-11	3.50115e-14	2.97487e-14	3.51722e-11	3.40567e-14	1.68193e-11	1.90483e-11	2.1946e-12	9.85022e-15	4.91253e-12	4.70906e-15	5.62321e-12	2.05229e-14	2.03918e-17	2.34925e-14	1.00771e-14	1.00862e-11	1.15351e-14	3.83865e-17	4.51479e-14	4.39451e-17	2.15902e-14	9.68227e-17	6.99132e-05	7.062e-14	7.98098e-14	4.00366e-11	3.81496e-14	4.5835e-11	4.57292e-11	4.34523e-14	5.2352e-11	2.18251e-11	2.63059e-08	2.49859e-11	2.47768e-11	2.97967e-08	2.83652e-11	1.42477e-08	1.61384e-08	1.48689e-06	9.27158e-14	1.04965e-13	5.26215e-11	5.01863e-14	6.02426e-11	5.97223e-11	5.69208e-14	6.83718e-11	2.85441e-11	3.429e-08	3.26781e-11	3.23496e-11	3.88406e-08	3.70347e-11	1.85721e-08	2.10368e-08
8	9.8273e-17	9.42417e-06	7.03699e-18	3.50918e-15	3.36462e-18	4.01684e-15	5.78843e-14	5.71387e-17	6.62603e-14	2.83153e-14	2.88056e-11	3.24123e-14	2.75435e-14	3.25649e-11	3.15321e-14	1.55725e-11	1.76363e-11	2.0315e-12	9.11816e-15	4.54754e-12	4.35909e-15	5.20543e-12	1.89997e-14	1.8877e-17	2.17488e-14	9.3288e-15	9.33855e-12	1.06785e-14	3.55408e-17	4.18012e-14	4.06873e-17	1.99898e-14	8.96454e-17	6.99198e-05	6.52744e-14	7.37683e-14	3.7006e-11	3.52618e-14	4.23655e-11	4.22683e-11	4.01634e-14	4.83899e-11	2.01732e-11	2.43152e-08	2.30949e-11	2.29017e-11	2.75418e-08	2.62185e-11	1.31694e-08	1.49171e-08	1.48031e-06	9.81352e-14	1.11108e-13	5.56995e-11	5.31239e-14	6.37663e-11	6.31996e-11	6.02425e-14	7.23526e-11	3.02078e-11	3.62835e-08	3.45827e-11	3.42327e-11	4.10987e-08	3.91906e-11	1.96518e-08	2.22598e-08
9	9.10105e-17	9.42417e-06	6.51693e-18	3.24991e-15	3.11597e-18	3.72007e-15	5.36126e-14	5.29189e-17	6.13706e-14	2.6225e-14	2.6682e-11	3.00196e-14	2.5513e-14	3.01642e-11	2.92075e-14	1.44245e-11	1.63361e-11	1.88137e-12	8.44431e-15	4.21157e-12	4.03694e-15	4.82085e-12	1.75973e-14	1.74825e-17	2.01436e-14	8.63997e-15	8.6501e-12	9.89006e-15	3.29206e-17	3.87196e-14	3.76876e-17	1.85161e-14	8.30366e-17	6.99258e-05	6.03615e-14	6.82159e-14	3.42207e-11	3.26076e-14	3.91768e-11	3.90875e-11	3.71406e-14	4.47484e-11	1.86551e-11	2.24855e-08	2.13568e-11	2.11783e-11	2.54693e-08	2.42455e-11	1.21785e-08	1.37946e-08	1.47427e-06	1.03116e-13	1.16754e-13	5.85283e-11	5.58238e-14	6.70048e-11	6.63954e-11	6.32954e-14	7.60113e-11	3.17368e-11	3.81157e-08	3.63332e-11	3.59634e-11	4.31741e-08	4.11719e-11	2.06442e-08	2.33839e-08
10	8.43229e-17	9.42417e-06	6.03804e-18	3.01117e-15	2.88699e-18	3.44679e-15	4.96784e-14	4.90327e-17	5.6867e-14	2.42999e-14	2.47259e-11	2.78159e-14	2.36426e-14	2.79529e-11	2.70663e-14	1.3367e-11	1.51385e-11	1.74313e-12	7.82381e-15	3.90219e-12	3.7403e-15	4.46672e-12	1.63058e-14	1.61984e-17	1.86651e-14	8.00561e-15	8.01596e-12	9.16392e-15	3.0507e-17	3.58811e-14	3.49246e-17	1.71587e-14	7.69492e-17	6.99314e-05	5.58439e-14	6.31102e-14	3.16596e-11	3.01671e-14	3.62447e-11	3.61626e-11	3.43611e-14	4.13999e-11	1.72591e-11	2.0803e-08	1.97586e-11	1.95935e-11	2.35636e-08	2.24312e-11	1.12672e-08	1.27625e-08	1.46871e-06	1.07696e-13	1.21946e-13	6.11295e-11	5.83065e-14	6.99827e-11	6.93341e-11	6.61026e-14	7.93756e-11	3.31429e-11	3.98005e-08	3.79429e-11	3.75549e-11	4.50825e-08	4.29939e-11	2.15567e-08	2.44175e-08
11	7.81625e-17	9.42417e-06	5.59691e-18	2.79124e-15	2.67607e-18	3.19505e-15	4.60536e-14	4.54527e-17	5.27178e-14	2.25263e-14	2.29235e-11	2.57858e-14	2.19191e-14	2.59153e-11	2.50933e-14	1.23926e-11	1.4035e-11	1.61578e-12	7.25222e-15	3.61719e-12	3.46704e-15	4.14049e-12	1.51158e-14	1.50154e-17	1.73031e-14	7.4212e-15	7.43164e-12	8.49496e-15	2.82831e-17	3.32655e-14	3.23786e-17	1.59079e-14	7.134e-17	6.99365e-05	5.16878e-14	5.84132e-14	2.93034e-11	2.79218e-14	3.35473e-11	3.34717e-11	3.1804e-14	3.83193e-11	1.59747e-11	1.92552e-08	1.82883e-11	1.81356e-11	2.18103e-08	2.07621e-11	1.04289e-08	1.18129e-08	1.4636e-06	1.1191e-13	1.26722e-13	6.35225e-11	6.05904e-14	7.27223e-11	7.20377e-11	6.86853e-14	8.24708e-11	3.44364e-11	4.13506e-08	3.94237e-11	3.90191e-11	4.68382e-08	4.46701e-11	2.23962e-08	2.53684e-08
12	7.24858e-17	9.42416e-06	5.19041e-18	2.58858e-15	2.48171e-18	2.96307e-15	4.27131e-14	4.21534e-17	4.88939e-14	2.08918e-14	2.12623e-11	2.39148e-14	2.03306e-14	2.40372e-11	2.32747e-14	1.14945e-11	1.30179e-11	1.49843e-12	6.72551e-15	3.35457e-12	3.21524e-15	3.83988e-12	1.40192e-14	1.39253e-17	1.60478e-14	6.88264e-15	6.89306e-12	7.87848e-15	2.62333e-17	3.08548e-14	3.0032e-17	1.47551e-14	6.617e-17	6.99412e-05	4.78627e-14	5.40902e-14	2.71348e-11	2.58554e-14	3.10646e-11	3.09951e-11	2.94506e-14	3.5484e-11	1.47927e-11	1.78306e-08	1.69351e-11	1.67937e-11	2.01967e-08	1.92259e-11	9.65728e-09	1.09389e-08	1.45889e-06	1.15788e-13	1.31117e-13	6.5725e-11	6.26925e-14	7.52438e-11	7.45261e-11	7.10623e-14	8.53195e-11	3.56269e-11	4.27772e-08	4.07867e-11	4.03666e-11	4.84542e-08	4.62128e-11	2.31689e-08	2.62437e-08
13	6.72534e-17	9.42416e-06	4.81573e-18	2.40178e-15	2.30256e-18	2.74925e-15	3.96335e-14	3.91122e-17	4.53687e-14	1.93851e-14	1.97306e-11	2.21901e-14	1.88661e-14	2.23056e-11	2.15981e-14	1.06665e-11	1.20801e-11	1.39026e-12	6.24002e-15	3.11249e-12	2.98314e-15	3.56278e-12	1.30083e-14	1.29204e-17	1.48906e-14	6.38618e-15	6.39651e-12	7.31019e-15	2.43434e-17	2.86321e-14	2.78685e-17	1.36922e-14	6.14034e-17	6.99455e-05	4.43408e-14	5.011e-14	2.51381e-11	2.39528e-14	2.87788e-11	2.87147e-11	2.72836e-14	3.28734e-11	1.37043e-11	1.65188e-08	1.56891e-11	1.55582e-11	1.87109e-08	1.78114e-11	8.94683e-09	1.01341e-08	1.45456e-06	1.19358e-13	1.35165e-13	6.77529e-11	6.4628e-14	7.75654e-11	7.68172e-11	7.32508e-14	8.79425e-11	3.67231e-11	4.40907e-08	4.20416e-11	4.16074e-11	4.9942e-08	4.76333e-11	2.38803e-08	2.70495e-08
14	6.2429e-17	9.42416e-06	4.47027e-18	2.22954e-15	2.13739e-18	2.5521e-15	3.67937e-14	3.63079e-17	4.2118e-14	1.79958e-14	1.83181e-11	2.05998e-14	1.75154e-14	2.07088e-11	2.00518e-14	9.90292e-12	1.12153e-11	1.29053e-12	5.7924e-15	2.8893e-12	2.76915e-15	3.3073e-12	1.20761e-14	1.19939e-17	1.38235e-14	5.92841e-15	5.93859e-12	6.7862e-15	2.26006e-17	2.65824e-14	2.58733e-17	1.2712e-14	5.70076e-17	6.99495e-05	4.1097e-14	4.64439e-14	2.3299e-11	2.22004e-14	2.66734e-11	2.66144e-11	2.52878e-14	3.04688e-11	1.27019e-11	1.53107e-08	1.45415e-11	1.44202e-11	1.73424e-08	1.65086e-11	8.29246e-09	9.39292e-09	1.45057e-06	1.22647e-13	1.38893e-13	6.96208e-11	6.64106e-14	7.97038e-11	7.89275e-11	7.52667e-14	9.03584e-11	3.77327e-11	4.53006e-08	4.31975e-11	4.27503e-11	5.13125e-08	4.89417e-11	2.45356e-08	2.77918e-08
15	5.79798e-17	9.42416e-06	4.15167e-18	2.0707e-15	1.98505e-18	2.37027e-15	3.41744e-14	3.37216e-17	3.91197e-14	1.67144e-14	1.70152e-11	1.91329e-14	1.62695e-14	1.92358e-11	1.86256e-14	9.19855e-12	1.04176e-11	1.19856e-12	5.37958e-15	2.68345e-12	2.5718e-15	3.07167e-12	1.12163e-14	1.11394e-17	1.28393e-14	5.50621e-15	5.51619e-12	6.30291e-15	2.09929e-17	2.46917e-14	2.40328e-17	1.18078e-14	5.29528e-17	6.99532e-05	3.81081e-14	4.3066e-14	2.16046e-11	2.05857e-14	2.47335e-11	2.46791e-11	2.34488e-14	2.82533e-11	1.17782e-11	1.41974e-08	1.3484e-11	1.33717e-11	1.60814e-08	1.53082e-11	7.68953e-09	8.70997e-09	1.44689e-06	1.25678e-13	1.42327e-13	7.13417e-11	6.80532e-14	8.1674e-11	8.0872e-11	7.7124e-14	9.25844e-11	3.8663e-11	4.64154e-08	4.42625e-11	4.38033e-11	5.25752e-08	5.01472e-11	2.51394e-08	2.84757e-08
16	5.38754e-17	9.42416e-06	3.85778e-18	1.92416e-15	1.84453e-18	2.20254e-15	3.17579e-14	3.13356e-17	3.63536e-14	1.55322e-14	1.5813e-11	1.77797e-14	1.512e-14	1.78768e-11	1.73096e-14	8.54867e-12	9.68158e-12	1.11371e-12	4.99877e-15	2.49356e-12	2.38974e-15	2.85432e-12	1.04231e-14	1.03511e-17	1.19314e-14	5.11672e-15	5.12646e-12	5.85706e-15	1.95097e-17	2.29472e-14	2.23348e-17	1.09736e-14	4.92116e-17	6.99566e-05	3.53534e-14	3.99528e-14	2.00428e-11	1.90976e-14	2.29455e-11	2.28955e-11	2.17539e-14	2.62113e-11	1.09269e-11	1.31714e-08	1.25095e-11	1.24052e-11	1.49192e-08	1.42019e-11	7.13381e-09	8.08051e-09	1.4435e-06	1.2847e-13	1.45493e-13	7.29279e-11	6.9567e-14	8.34899e-11	8.26641e-11	7.8836e-14	9.46361e-11	3.95205e-11	4.74429e-08	4.52441e-11	4.47738e-11	5.3739e-08	5.12583e-11	2.56959e-08	2.9106e-08
