Time	[V_membrane]	[n]	[jm]	[ca_er_ca_equations]	[Ca_i]
0	-61	0.0005	0.25	9	0.11
1	-61.0218	0.000493935	0.249971	8.99996	0.110152
2	-61.0434	0.000488677	0.249943	8.99993	0.110304
3	-61.065	0.00048408	0.249914	8.99989	0.110454
4	-61.0865	0.000480024	0.249885	8.99985	0.110604
5	-61.1078	0.000476411	0.249856	8.99982	0.110753
6	-61.1291	0.000473164	0.249827	8.99978	0.110901
7	-61.1503	0.000470217	0.249797	8.99974	0.111048
8	-61.1714	0.000467516	0.249768	8.99971	0.111194
9	-61.1923	0.00046502	0.249738	8.99967	0.11134
10	-61.2132	0.000462693	0.249708	8.99964	0.111485
11	-61.2341	0.000460505	0.249678	8.9996	0.111628
12	-61.2548	0.000458433	0.249648	8.99956	0.111771
13	-61.2754	0.000456459	0.249618	8.99953	0.111914
14	-61.2959	0.000454566	0.249587	8.99949	0.112055
15	-61.3164	0.000452741	0.249557	8.99946	0.112196
16	-61.3367	0.000450975	0.249526	8.99942	0.112335
17	-61.357	0.000449259	0.249495	8.99939	0.112474
18	-61.3771	0.000447586	0.249465	8.99935	0.112613
19	-61.3972	0.000445949	0.249433	8.99932	0.11275
20	-61.4172	0.000444345	0.249402	8.99928	0.112887
21	-61.4371	0.000442769	0.249371	8.99925	0.113023
22	-61.4568	0.000441219	0.249339	8.99921	0.113158
23	-61.4765	0.000439692	0.249308	8.99918	0.113292
24	-61.4961	0.000438185	0.249276	8.99915	0.113426
25	-61.5156	0.000436698	0.249244	8.99911	0.113558
26	-61.535	0.000435228	0.249212	8.99908	0.113691
27	-61.5544	0.000433775	0.24918	8.99904	0.113822
28	-61.5736	0.000432337	0.249148	8.99901	0.113953
29	-61.5927	0.000430914	0.249115	8.99898	0.114082
30	-61.6117	0.000429505	0.249083	8.99894	0.114212
31	-61.6306	0.000428109	0.24905	8.99891	0.11434
32	-61.6495	0.000426727	0.249017	8.99888	0.114468
33	-61.6682	0.000425357	0.248984	8.99884	0.114595
34	-61.6868	0.000423999	0.248951	8.99881	0.114721
35	-61.7054	0.000422654	0.248918	8.99878	0.114847
36	-61.7238	0.00042132	0.248885	8.99874	0.114972
37	-61.7422	0.000419998	0.248851	8.99871	0.115096
38	-61.7604	0.000418687	0.248818	8.99868	0.11522
39	-61.7786	0.000417387	0.248784	8.99865	0.115343
40	-61.7966	0.000416099	0.24875	8.99861	0.115465
41	-61.8146	0.000414822	0.248716	8.99858	0.115586
42	-61.8324	0.000413555	0.248682	8.99855	0.115707
43	-61.8502	0.0004123	0.248648	8.99852	0.115827
44	-61.8678	0.000411055	0.248614	8.99848	0.115947
45	-61.8854	0.00040982	0.248579	8.99845	0.116066
46	-61.9028	0.000408597	0.248544	8.99842	0.116184
47	-61.9202	0.000407383	0.24851	8.99839	0.116302
48	-61.9374	0.00040618	0.248475	8.99836	0.116419
49	-61.9546	0.000404987	0.24844	8.99833	0.116535
50	-61.9716	0.000403805	0.248405	8.99829	0.116651
51	-61.9886	0.000402632	0.24837	8.99826	0.116766
52	-62.0055	0.00040147	0.248334	8.99823	0.11688
53	-62.0222	0.000400317	0.248299	8.9982	0.116994
54	-62.0389	0.000399175	0.248263	8.99817	0.117107
55	-62.0554	0.000398042	0.248227	8.99814	0.11722
56	-62.0719	0.00039692	0.248192	8.99811	0.117332
57	-62.0883	0.000395807	0.248156	8.99808	0.117443
58	-62.1045	0.000394703	0.24812	8.99805	0.117554
59	-62.1207	0.000393609	0.248083	8.99802	0.117664
60	-62.1367	0.000392525	0.248047	8.99798	0.117774
61	-62.1527	0.00039145	0.248011	8.99795	0.117883
62	-62.1686	0.000390385	0.247974	8.99792	0.117991
63	-62.1843	0.000389329	0.247938	8.99789	0.118099
64	-62.2	0.000388282	0.247901	8.99786	0.118206
65	-62.2156	0.000387244	0.247864	8.99783	0.118313
66	-62.231	0.000386216	0.247827	8.9978	0.118419
67	-62.2464	0.000385196	0.24779	8.99777	0.118525
68	-62.2617	0.000384186	0.247753	8.99774	0.11863
69	-62.2769	0.000383184	0.247715	8.99771	0.118734
70	-62.2919	0.000382192	0.247678	8.99768	0.118838
71	-62.3069	0.000381208	0.24764	8.99765	0.118941
72	-62.3218	0.000380233	0.247603	8.99762	0.119044
73	-62.3366	0.000379267	0.247565	8.9976	0.119146
74	-62.3513	0.000378309	0.247527	8.99757	0.119248
75	-62.3659	0.00037736	0.247489	8.99754	0.119349
76	-62.3804	0.000376419	0.247451	8.99751	0.11945
77	-62.3948	0.000375487	0.247413	8.99748	0.11955
78	-62.4091	0.000374563	0.247374	8.99745	0.11965
79	-62.4233	0.000373648	0.247336	8.99742	0.119749
80	-62.4374	0.000372741	0.247298	8.99739	0.119847
81	-62.4514	0.000371842	0.247259	8.99736	0.119945
82	-62.4653	0.000370951	0.24722	8.99733	0.120043
83	-62.4791	0.000370068	0.247181	8.99731	0.12014
84	-62.4929	0.000369193	0.247142	8.99728	0.120236
85	-62.5065	0.000368326	0.247103	8.99725	0.120332
86	-62.5201	0.000367467	0.247064	8.99722	0.120428
87	-62.5335	0.000366616	0.247025	8.99719	0.120523
88	-62.5469	0.000365773	0.246986	8.99716	0.120617
89	-62.5601	0.000364937	0.246946	8.99713	0.120711
90	-62.5733	0.000364109	0.246907	8.99711	0.120805
91	-62.5864	0.000363288	0.246867	8.99708	0.120898
92	-62.5993	0.000362475	0.246827	8.99705	0.12099
93	-62.6122	0.00036167	0.246788	8.99702	0.121082
94	-62.625	0.000360872	0.246748	8.997	0.121174
95	-62.6377	0.000360081	0.246708	8.99697	0.121265
96	-62.6503	0.000359297	0.246667	8.99694	0.121356
97	-62.6629	0.000358521	0.246627	8.99691	0.121446
98	-62.6753	0.000357752	0.246587	8.99688	0.121536
99	-62.6876	0.00035699	0.246547	8.99686	0.121625
100	-62.6999	0.000356235	0.246506	8.99683	0.121714
