Time	[Vdrum]	[Vdcyc]	[sa4_degraded]	[Srw1]	[Slp1A]	[Puc1]	[IE]	[iIE]	[rum1+]	[cig2+]	[Cdc13]	[cdc13+]	[pCdc13]	[sa161_degraded]	[Cig2p]	[Pyp3]	[iSrw1]	[iSlp1]	[Cig2]	[iCdc10]	[Cdc10]	[Mik1]	[mik1+]	[sa347_degraded]	[Cig1]	[cig1+]	[sa353_degraded]	[Clp1+]	[iWee1]	[Wee1]	[Clp1]	[iCdc25]	[Cdc25]	[Cdc18T]	[cdc18+]	[sa386_degraded]	[preRC]	[postRC]	[repldna]	[irepldna]	[sa370_degraded]	[sa44_degraded]	[Vdc18]	[Cdc13p-Rum1]	[Cig2-Rum1]	[Cig2p-Rum1]	[UDNA]	[Cdc13-Rum1]	[Rum1]
10	0	0	0	0.00218015	9.72879e-05	0	0.00194761	0	0	0	0.0629879	0	0.29463	0	0.12043	0	0	0	0.0332457	0	0.56876	0.378068	0	0	0.00944321	0	0	0	0	0.987051	0.0094913	0	0.00783599	0.265187	0	0	0	0.0483167	0.579233	0	0	0	0	0.0744937	0.00064409	0.0025251	0	0.0158693	0.0539835
11	0	0	0	0.00214119	9.9164e-05	0	0.00198581	0	0	0	0.064032	0	0.317262	0	0.139565	0	0	0	0.0357654	0	0.579448	0.37678	0	0	0.00996348	0	0	0	0	0.986848	0.0100169	0	0.00789188	0.295331	0	0	0	0.0445726	0.663934	0	0	0	0	0.0726159	0.000603476	0.00253086	0	0.014604	0.0490499
12	0	0	0	0.00209418	0.000101832	0	0.00203925	0	0	0	0.065444	0	0.339159	0	0.157911	0	0	0	0.0389469	0	0.581718	0.370228	0	0	0.0104338	0	0	0	0	0.986519	0.0104926	0	0.00809086	0.323064	0	0	0	0.039445	0.740032	0	0	0	0	0.0704885	0.000574695	0.00248408	0	0.0135537	0.0447107
13	0	0	0	0.00203695	0.000104965	0	0.0021016	0	0	0	0.0670701	0	0.360336	0	0.174827	0	0	0	0.0430411	0	0.573358	0.358096	0	0	0.0108589	0	0	0	0	0.986115	0.010923	0	0.00841011	0.34738	0	0	0	0.0334225	0.805659	0	0	0	0	0.0683126	0.00055917	0.00239997	0	0.0126711	0.0409437
14	0	0	0	0.00196743	0.000108382	0	0.0021694	0	0	0	0.0688255	0	0.380816	0	0.189529	0	0	0	0.0483573	0	0.551369	0.33974	0	0	0.0112431	0	0	0	0	0.98566	0.0113125	0	0.0088327	0.367049	0	0	0	0.0270727	0.859875	0	0	0	0	0.0661993	0.000557468	0.00228726	0	0.0119235	0.0376896
15	0	0	0	0.00188406	0.000111986	0	0.00224078	0	0	0	0.0706638	0	0.400617	0	0.201039	0	0	0	0.055273	0	0.511793	0.314326	0	0	0.0115905	0	0	0	0	0.98517	0.011665	0	0.00934104	0.380567	0	0	0	0.0209296	0.902711	0	0	0	0	0.0642133	0.000570097	0.00215031	0	0.0112885	0.0348846
16	0	0	0	0.00178622	0.000115724	0	0.00231472	0	0	0	0.072558	0	0.419758	0	0.208145	0	0	0	0.0642356	0	0.44957	0.281018	0	0	0.0119045	0	0	0	0	0.98465	0.011984	0	0.0099144	0.386134	0	0	0	0.0154133	0.935021	0	0	0	0	0.0623987	0.000597832	0.00199056	0	0.0107507	0.0324722
17	0	0	0	0.00167457	0.000119563	0	0.00239055	0	0	0	0.0744888	0	0.438247	0	0.209362	0	0	0	0.0757624	0	0.358508	0.239209	0	0	0.0121883	0	0	0	0	0.984107	0.0122727	0	0.0105295	0.38168	0	0	0	0.0107905	0.958234	0	0	0	0	0.0607936	0.000641951	0.00180725	0	0.0102999	0.0304075
18	0	0	0	0.00155103	0.000123474	0	0.00246774	0	0	0	0.0764388	0	0.456086	0	0.202859	0	0	0	0.0904723	0	0.231835	0.188828	0	0	0.012445	0	0	0	0	0.983545	0.0125339	0	0.0111638	0.364979	0	0	0	0.0071704	0.974085	0	0	0	0	0.0594367	0.000704728	0.00159729	0	0.00993013	0.0286568
19	0	0	0	0.00141807	0.00012743	0	0.00254572	0	0	0	0.0783909	0	0.473275	0	0.186417	0	0	0	0.109187	0	0.0683197	0.131307	0	0	0.0126771	0	0	0	0	0.982968	0.0127704	0	0.0118007	0.334011	0	0	0	0.00452334	0.98436	0	0	0	0	0.0583652	0.000790174	0.00135448	0	0.00963758	0.0271937
20	0	0	0	0.00128339	0.00013141	0	0.0026241	0	0	0	0.0803384	0	0.489903	0	0.160425	0	0	0	0.13211	0	0.00443667	0.0901893	0	0	0.012887	0	0	0	0	0.98238	0.0129844	0	0.0124291	0.291259	0	0	0	0.00272179	0.990693	0	0	0	0	0.0575287	0.000893504	0.00108648	0	0.00940565	0.0259572
21	0	0	0	0.00119026	0.000135398	0	0.00270252	0	0	0	0.0822603	0	0.506105	0	0.137964	0	0	0	0.150984	0	0.00366903	0.0805642	0	0	0.0130768	0	0	0	0	0.981783	0.0131781	0	0.0130264	0.24818	0	0	0	0.00158198	0.994403	0	0	0	0	0.0568351	0.000958485	0.000876829	0	0.00921053	0.0248773
22	0	0	0	0.00113767	0.000139329	0	0.00277971	0	0	0	0.0841274	0	0.521833	0	0.12239	0	0	0	0.162997	0	0.00330708	0.0762771	0	0	0.0132483	0	0	0	0	0.981188	0.0133535	0	0.0135863	0.208795	0	0	0	0.000912934	0.996462	0	0	0	0	0.0563361	0.000979622	0.00073633	0	0.00905602	0.023959
23	0	0	0	0.00110837	0.00014319	0	0.00285547	0	0	0	0.0859455	0	0.537144	0	0.111698	0	0	0	0.170173	0	0.00312352	0.0737944	0	0	0.0134032	0	0	0	0	0.980597	0.0135122	0	0.014117	0.174626	0	0	0	0.000546395	0.997574	0	0	0	0	0.0559683	0.000974525	0.000640275	0	0.00892983	0.0231598
24	0	0	0	0.00109255	0.000146995	0	0.00293011	0	0	0	0.0877246	0	0.552085	0	0.104211	0	0	0	0.174196	0	0.00302923	0.0722708	0	0	0.013543	0	0	0	0	0.980008	0.0136558	0	0.0146284	0.14591	0	0	0	0.000349627	0.998173	0	0	0	0	0.0556792	0.000954845	0.000571757	0	0.00882266	0.0224471
25	0	0	0	0.00108478	0.000150763	0	0.00300399	0	0	0	0.0894748	0	0.566686	0	0.0987966	0	0	0	0.176203	0	0.00298409	0.0713023	0	0	0.0136692	0	0	0	0	0.979417	0.0137859	0	0.0151281	0.122239	0	0	0	0.000241863	0.998497	0	0	0	0	0.0554343	0.000927481	0.000520507	0	0.00872872	0.0217996
26	0	0	0	0.00108194	0.000154514	0	0.00307748	0	0	0	0.0912048	0	0.580963	0	0.094727	0	0	0	0.176927	0	0.00296787	0.0706666	0	0	0.013783	0	0	0	0	0.978822	0.0139036	0	0.0156213	0.102957	0	0	0	0.000180268	0.998668	0	0	0	0	0.0552122	0.00089642	0.000480374	0	0.00864447	0.0212033
27	0	0	0	0.00108224	0.000158263	0	0.00315089	0	0	0	0.0929219	0	0.59493	0	0.0915441	0	0	0	0.176824	0	0.00296962	0.0702363	0	0	0.0138857	0	0	0	0	0.97822	0.0140102	0	0.0161119	0.0873675	0	0	0	0.000143196	0.99875	0	0	0	0	0.0549997	0.000863931	0.000447664	0	0.00856777	0.0206487
28	0	0	0	0.00108457	0.000162024	0	0.00322451	0	0	0	0.0946318	0	0.608592	0	0.0889616	0	0	0	0.176182	0	0.0029831	0.0699361	0	0	0.0139782	0	0	0	0	0.977608	0.0141066	0	0.0166029	0.0748215	0	0	0	0.000119705	0.998778	0	0	0	0	0.0547892	0.000831291	0.000420122	0	0.00849728	0.0201293
29	0	0	0	0.00108828	0.000165809	0	0.00329856	0	0	0	0.0963394	0	0.621954	0	0.0867981	0	0	0	0.175182	0	0.00300462	0.0697205	0	0	0.0140616	0	0	0	0	0.976985	0.014194	0	0.0170971	0.0647557	0	0	0	0.000104131	0.99877	0	0	0	0	0.0545759	0.000799208	0.000396333	0	0.00843216	0.0196406
30	0	0	0	0.00109295	0.000169629	0	0.00337324	0	0	0	0.0980488	0	0.635022	0	0.0849361	0	0	0	0.173941	0	0.00303187	0.0695609	0	0	0.0141368	0	0	0	0	0.976348	0.0142731	0	0.0175967	0.0566964	0	0	0	9.34325e-05	0.998738	0	0	0	0	0.054357	0.000768069	0.000375379	0	0.00837182	0.0191788
31	0	0	0	0.0010983	0.000173495	0	0.00344877	0	0	0	0.0997638	0	0.647798	0	0.0832973	0	0	0	0.172537	0	0.00306338	0.0694385	0	0	0.0142044	0	0	0	0	0.975697	0.0143447	0	0.0181038	0.050253	0	0	0	8.5912e-05	0.998689	0	0	0	0	0.0541309	0.000738075	0.000356639	0	0.00831588	0.0187413
32	0	0	0	0.00110413	0.000177415	0	0.00352531	0	0	0	0.101488	0	0.660284	0	0.0818273	0	0	0	0.171023	0	0.00309812	0.0693406	0	0	0.0142652	0	0	0	0	0.975029	0.0144096	0	0.0186205	0.0451072	0	0	0	8.05775e-05	0.998628	0	0	0	0	0.0538966	0.000709316	0.000339676	0	0.00826402	0.0183255
33	0	0	0	0.00111031	0.0001814	0	0.00360306	0	0	0	0.103224	0	0.672484	0	0.0804875	0	0	0	0.169437	0	0.00313541	0.0692584	0	0	0.0143199	0	0	0	0	0.974341	0.0144683	0	0.0191489	0.041002	0	0	0	7.68228e-05	0.99856	0	0	0	0	0.0536535	0.000681822	0.00032417	0	0.00821603	0.0179297
34	0	0	0	0.00111674	0.000185458	0	0.0036822	0	0	0	0.104977	0	0.684398	0	0.0792496	0	0	0	0.167806	0	0.0031747	0.0691851	0	0	0.0143691	0	0	0	0	0.973633	0.0145215	0	0.0196908	0.0377303	0	0	0	7.42576e-05	0.998485	0	0	0	0	0.053401	0.000655584	0.000309885	0	0.00817171	0.0175519
35	0	0	0	0.00112335	0.000189601	0	0.00376292	0	0	0	0.106748	0	0.69603	0	0.0780924	0	0	0	0.166152	0	0.00321561	0.0691158	0	0	0.0144132	0	0	0	0	0.972901	0.0145697	0	0.0202483	0.0351259	0	0	0	7.26173e-05	0.998406	0	0	0	0	0.0531389	0.000630568	0.000296634	0	0.00813094	0.0171908
36	0	0	0	0.00113007	0.00019384	0	0.00384544	0	0	0	0.108542	0	0.707381	0	0.0769997	0	0	0	0.164488	0	0.00325784	0.0690467	0	0	0.0144528	0	0	0	0	0.972144	0.0146134	0	0.0208237	0.0330557	0	0	0	7.17117e-05	0.998326	0	0	0	0	0.0528669	0.000606729	0.000284273	0	0.00809359	0.016845
37	0	0	0	0.00113686	0.000198185	0	0.00392999	0	0	0	0.110362	0	0.718452	0	0.075959	0	0	0	0.162827	0	0.00330112	0.0689745	0	0	0.0144882	0	0	0	0	0.971359	0.014653	0	0.0214191	0.0314131	0	0	0	7.13973e-05	0.998245	0	0	0	0	0.0525848	0.000584013	0.000272686	0	0.00805958	0.0165132
38	0	0	0	0.00114369	0.000202649	0	0.00401679	0	0	0	0.112213	0	0.729243	0	0.0749605	0	0	0	0.161177	0	0.00334527	0.0688967	0	0	0.01452	0	0	0	0	0.970543	0.0146889	0	0.0220372	0.0301127	0	0	0	7.156e-05	0.998164	0	0	0	0	0.0522922	0.000562361	0.000261778	0	0.00802885	0.0161944
39	0	0	0	0.00115053	0.000207248	0	0.00410614	0	0	0	0.114099	0	0.739757	0	0.0739964	0	0	0	0.159545	0	0.00339011	0.0688112	0	0	0.0145483	0	0	0	0	0.969691	0.0147214	0	0.0226807	0.0290862	0	0	0	7.21062e-05	0.998084	0	0	0	0	0.0519888	0.000541714	0.000251469	0	0.00800137	0.0158875
40	0	0	0	0.00115734	0.000211998	0	0.00419834	0	0	0	0.116025	0	0.749992	0	0.0730606	0	0	0	0.157938	0	0.0034355	0.068716	0	0	0.0145736	0	0	0	0	0.968801	0.0147509	0	0.0233529	0.0282788	0	0	0	7.29562e-05	0.998007	0	0	0	0	0.0516742	0.00052201	0.000241695	0	0.0079771	0.0155916
41	0	0	0	0.00116412	0.000216916	0	0.00429374	0	0	0	0.117997	0	0.759948	0	0.0721481	0	0	0	0.156357	0	0.00348132	0.0686092	0	0	0.014596	0	0	0	0	0.967868	0.0147777	0	0.0240572	0.0276464	0	0	0	7.40416e-05	0.997934	0	0	0	0	0.0513477	0.000503191	0.000232398	0	0.00795607	0.0153058
