Time	[EGF]	[NGF]	[freeEGFReceptor]	[boundEGFReceptor]	[freeNGFReceptor]	[boundNGFReceptor]	[SosInactive]	[SosActive]	[P90RskInactive]	[P90RskActive]	[RasInactive]	[RasActive]	[RasGapActive]	[Raf1Inactive]	[Raf1Active]	[BRafInactive]	[BRafActive]	[MekInactive]	[MekActive]	[ErkInactive]	[ErkActive]	[PI3KInactive]	[PI3KActive]	[AktInactive]	[AktActive]	[C3GInactive]	[C3GActive]	[Rap1Inactive]	[Rap1Active]	[RapGapActive]	[PP2AActive]	[Raf1PPtase]
0	1.0002e+07	456000	80000	0	10000	0	120000	0	120000	0	120000	0	120000	120000	0	120000	0	600000	0	600000	0	120000	0	120000	0	120000	0	120000	0	120000	120000	120000
1	9.922e+06	455392	4.46502	79995.5	9391.8	608.204	45.3832	119955	119971	29.1001	97242.9	22757.1	120000	116895	3105.46	119878	122.479	567703	32296.6	561604	38396.1	2274.6	117725	119251	749.272	80010.2	39989.8	116072	3928.06	120000	120000	120000
2	9.922e+06	454826	4.46502	79995.5	8825.55	1174.45	338.951	119661	119648	352.083	97295.6	22704.4	120000	116091	3909.33	119427	573.458	503952	96047.7	397239	202761	22.5946	119977	118211	1789.18	1329.25	118671	106167	13832.6	120000	120000	120000
3	9.922e+06	454298	4.46502	79995.5	8298.28	1701.72	1062.91	118937	118768	1231.94	97426.1	22573.9	120000	116126	3873.57	119317	683.01	443767	156233	203514	396486	0.221756	120000	117174	2825.57	0.000106431	120000	105545	14455.3	120000	120000	120000
4	9.922e+06	453807	4.46502	79995.5	7807.23	2192.77	2347.29	117653	117473	2527.31	97658.3	22341.7	120000	116499	3501.5	119316	684.098	410645	189355	108518	491482	0.00217629	120000	116146	3854.29	3.02155e-14	120000	105545	14455.4	120000	120000	120000
5	9.922e+06	453350	4.46502	79995.5	7349.86	2650.14	4259.57	115740	116032	3967.57	98004.7	21995.3	120000	116938	3062.44	119316	684.106	395681	204319	81268	518732	2.13599e-05	120000	115125	4875.33	2.59272e-20	120000	105545	14455.4	120000	120000	120000
6	9.922e+06	452924	4.46502	79995.5	6923.8	3076.2	6853.19	113147	114567	5433.27	98475.8	21524.2	120000	117335	2665.07	119316	684.106	391231	208769	74728.7	525271	2.09669e-07	120000	114111	5888.72	-1.10828e-24	120000	105545	14455.4	120000	120000	120000
7	9.922e+06	452527	4.46502	79995.5	6526.86	3473.14	10062.8	109937	113108	6891.75	99060.9	20939.1	120000	117673	2326.86	119316	684.106	392566	207434	73717.2	526283	2.05941e-09	120000	113105	6894.51	-2.70399e-26	120000	105545	14455.4	120000	120000	120000
8	9.922e+06	452157	4.46502	79995.5	6157	3843	13651.1	106349	111666	8333.82	99717.4	20282.6	120000	117957	2042.5	119316	684.106	396920	203080	74598.3	525402	2.05185e-11	120000	112107	7892.74	-1.24559e-27	120000	105545	14455.4	120000	120000	120000
9	9.922e+06	451812	4.46502	79995.5	5812.35	4187.65	17339.5	102661	110244	9756.17	100395	19605.3	120000	118193	1807.1	119316	684.106	402659	197341	76337.2	523663	2.58043e-13	120000	111117	8883.43	-3.3993e-28	120000	105545	14455.4	120000	120000	120000
10	9.922e+06	451491	4.46502	79995.5	5491.16	4508.84	20935.1	99064.9	108843	11157.4	101057	18942.7	120000	118386	1614.5	119316	684.106	408802	191198	78498.2	521502	-1.73317e-14	120000	110133	9866.63	-2.25119e-28	120000	105545	14455.4	120000	120000	120000
11	9.922e+06	451192	4.46502	79995.5	5191.81	4808.19	24344.2	95655.8	107463	12537	101687	18312.5	120000	118543	1456.81	119316	684.106	414787	185213	80835	519165	2.01564e-14	120000	109158	10842.4	1.59612e-28	120000	105545	14455.4	120000	120000	120000
12	9.922e+06	450913	4.46502	79995.5	4912.77	5087.23	27535.9	92464.1	106105	13895.1	102279	17720.9	120000	118674	1326.49	119316	684.106	420330	179670	83193.9	516806	1.92788e-14	120000	108189	11810.7	-1.29476e-29	120000	105545	14455.4	120000	120000	120000
13	9.922e+06	450653	4.46502	79995.5	4652.67	5347.33	30510.6	89489.4	104768	15232.2	102832	17168.1	120000	118783	1217.39	119316	684.106	425320	174680	85480.1	514520	-4.22211e-14	120000	107228	12771.6	-5.93777e-28	120000	105545	14455.4	120000	120000	120000
14	9.922e+06	450410	4.46502	79995.5	4410.19	5589.81	33281.8	86718.2	103451	16548.7	103348	16651.9	120000	118875	1124.85	119316	684.106	429738	170262	87639	512361	7.72413e-15	120000	106275	13725.3	-7.00447e-27	120000	105545	14455.4	120000	120000	120000
15	9.922e+06	450184	4.46502	79995.5	4184.13	5815.87	35867.2	84132.8	102155	17845.4	103831	16169.4	120000	118955	1045.36	119316	684.106	433618	166382	89643.4	510357	-8.41326e-15	120000	105328	14671.6	-6.83359e-27	120000	105545	14455.4	120000	120000	120000
16	9.922e+06	449973	4.46502	79995.5	3973.35	6026.65	38285	81715	100877	19122.9	104283	15717.2	120000	119024	976.332	119316	684.106	437015	162985	91484.5	508515	3.84213e-15	120000	104389	15610.6	-2.77843e-26	120000	105545	14455.4	120000	120000	120000
17	9.922e+06	449777	4.46502	79995.5	3776.82	6223.18	40551.9	79448.1	99618	20382	104708	15292.5	120000	119084	915.787	119316	684.106	439991	160009	93164.9	506835	-6.85535e-16	120000	103458	16542.4	1.21263e-26	120000	105545	14455.4	120000	120000	120000
