Time	[NULL]	[Ins]	[InR]	[Ins_InR]	[Ins_InR_P]	[Ins_2_InR_P]	[cytoplasm_InR]	[cytoplasm_Ins_2_InR_P]	[cytoplasm_Ins_InR_P]	[InR_tot]	[InR_bound]	[InR_active]	[PTP1B]	[IRS1_TyrP_PI3K]	[PI345P3]	[PIP2]	[PI345P3_mol]	[PIP2_mol]	[Akt]	[Akt_P2]	[PKC]	[PKC_P]	[AS160]	[AS160_P]	[cytoplasm_GLUT4]	[cellsurface_GLUT4]	[PTEN]	[PP2A]	[extracellular_ROS]	[PTP1B_ox]	[PTP1B_plus_PTP1B_ox]	[PTEN_ox]	[PTEN_plus_PTEN_ox]	[ROS]	[GSH]	[GSSG]	[cytoplasm_SOD2]	[NOX_inact]	[NOX]	[NOX_deact]	[NOX_total]	[Mt]	[IRS1]	[IRS1_TyrP]	[IRS1_PolySerP]	[IRS1_TyrP_PolySerP]	[IRS_total]	[PI3K]	[JNK_P]	[IKK_P]	[JNK]	[JNK_plus_JNK_P]	[IKK]	[IKK_plus_IKK_P]	[DUSP]	[DUSP_ox]	[DUSP_plus_DUSP_ox]	[null]	[degr_Foxo1]	[cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0]	[nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0]	[dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0]	[cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1]	[nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1]	[dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1]	[cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0]	[nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0]	[dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0]	[cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1]	[nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1]	[dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1]	[cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0]	[nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0]	[dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0]	[cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1]	[nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1]	[dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1]	[cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0]	[nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0]	[dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0]	[cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1]	[nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1]	[dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1]	[cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0]	[nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0]	[dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0]	[cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1]	[nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1]	[dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1]	[cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0]	[nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0]	[dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0]	[cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1]	[nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1]	[dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1]	[cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0]	[nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0]	[dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0]	[cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1]	[nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1]	[dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1]	[cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0]	[nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0]	[dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0]	[cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1]	[nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1]	[dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1]	[Foxo1_Pa0_tot]	[Foxo1_Pa1_tot]	[Foxo1_Pd0_tot]	[Foxo1_Pd1_tot]	[Foxo1_Pe0_tot]	[Foxo1_Pe1_tot]	[Foxo1_pUb0_tot]	[Foxo1_pUb1_tot]	[cytoplasm_Foxo1_tot]	[nucleus_Foxo1_tot]	[dnabound_Foxo1_tot]	[Foxo1_all]	[nucleus_RNA_InR]	[cytoplasm_RNA_InR]	[nucleus_RNA_SOD2]	[cytoplasm_RNA_SOD2]	[E2F1]	[SGK]	[CDK2]	[AMPK]	[CBPP300]	[SIRT1]	[E3]	[USP7]	[SCF]	[Proteasome]
0	0	0	1.40625e+18	0	0	0	6.06061e+14	0	0	6.06061e+15	0	0	6.06061e+15	0	6.06061e+13	1.21212e+16	6.06061e+16	1.21212e+19	6.06061e+15	0	6.06061e+15	0	1.21212e+15	0	5.81818e+15	6.25e+16	6.06061e+15	3.0303e+16	0	0	6.06061e+15	0	6.06061e+15	0	6.06061e+12	0	2.52727e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.06061e+15	0	0	0	6.06061e+15	6.06061e+14	0	0	9.69697e+14	9.69697e+14	1.21212e+14	1.21212e+14	6.06061e+15	0	6.06061e+15	0	0	6.06061e+13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20482e+14	0	1.20482e+14	0	1.20482e+14	0	1.20482e+14	0	1.20482e+14	0	0	1.20482e+14	0	0	0	0	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
1	0	0	1.40616e+18	0	0	0	6.03768e+14	0	0	6.05796e+15	0	0	5.41287e+15	0	1.12159e+13	1.21706e+16	1.12159e+16	1.21706e+19	6.06017e+15	4.34951e+11	6.06002e+15	5.90378e+11	1.20911e+15	3.01394e+12	5.77419e+15	7.3842e+16	6.05793e+15	3.0303e+16	0	6.47734e+14	6.06061e+15	2.67569e+12	6.06061e+15	1.09157e+11	5.83192e+12	2.28682e+11	2.52249e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.0603e+15	0	9.94185e+12	0	6.07024e+15	6.06061e+14	4.25324e+11	1.0635e+10	9.69272e+14	9.69697e+14	1.21201e+14	1.21212e+14	6.05419e+15	6.4134e+12	6.06061e+15	0	2.61347e+09	5.06864e+13	2.86441e+14	1.85518e+14	4.8241e+10	2.81778e+11	1.84091e+11	9.81883e+09	2.54954e+11	1.10423e+11	9.34892e+06	2.48768e+08	1.08978e+08	5.93396e+08	2.43994e+09	1.86319e+09	4.39406e+06	1.5858e+07	1.2753e+07	130309	2.22744e+06	1.08734e+06	998.148	14967.3	7405.59	1.24994e+11	3.07734e+11	2.07872e+11	2.44444e+08	5.1987e+08	3.50206e+08	3.29864e+07	2.38063e+08	1.05384e+08	66102	397436	172352	1.44849e+06	1.51866e+06	2.0089e+06	26560.7	16170.5	29677.7	388.6	1945.31	1042.2	7.31376	26.6305	15.2644	1.20405e+14	2.7013e+11	1.20674e+14	1.36238e+09	1.20639e+14	3.63251e+10	1.2056e+14	1.1566e+11	1.01128e+14	1.73065e+13	2.24124e+12	1.20676e+14	1.1936e+13	1.11234e+10	3.86445e+13	3.55101e+10	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
2	0	0	1.40592e+18	0	0	0	6.02096e+14	0	0	6.05536e+15	0	0	5.06302e+15	0	1.122e+13	1.21706e+16	1.122e+16	1.21706e+19	6.06037e+15	2.40167e+11	6.06029e+15	3.16007e+11	1.20862e+15	3.50039e+12	5.73652e+15	8.35522e+16	6.05571e+15	3.0303e+16	0	9.97589e+14	6.06061e+15	4.89153e+12	6.06061e+15	1.09361e+11	5.80321e+12	2.57393e+11	2.5178e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.07006e+15	0	9.77066e+12	0	6.07983e+15	6.06061e+14	8.30649e+11	2.07736e+10	9.68866e+14	9.69697e+14	1.21191e+14	1.21212e+14	6.04801e+15	1.25934e+13	6.06061e+15	0	9.08126e+09	4.28474e+13	4.58996e+14	6.11575e+14	7.77485e+10	8.88382e+11	1.20479e+12	2.12559e+10	1.12699e+12	1.04887e+12	3.8601e+07	2.15122e+09	2.04835e+09	1.79041e+09	1.2338e+10	2.04842e+10	2.47132e+07	1.4391e+08	2.57932e+08	1.08136e+06	3.43872e+07	3.55621e+07	15682.2	434436	454445	1.37347e+11	5.00578e+11	7.65454e+11	5.2739e+08	1.65889e+09	2.57158e+09	1.14525e+08	1.28499e+09	1.18644e+09	454361	4.35515e+06	3.92532e+06	5.51956e+06	5.78915e+06	2.44712e+07	189352	93776.5	675575	4741.16	32823.4	39275.5	169.727	826.713	1088.87	1.20548e+14	3.13929e+11	1.20857e+14	4.62694e+09	1.20738e+14	1.2334e+11	1.20637e+14	2.24066e+11	8.56534e+13	2.7803e+13	7.40507e+12	1.20861e+14	3.55592e+13	3.61082e+10	1.25249e+14	1.25896e+11	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
3	0	0	1.40558e+18	0	0	0	6.00903e+14	0	0	6.05285e+15	0	0	4.87381e+15	0	1.12233e+13	1.21706e+16	1.12233e+16	1.21706e+19	6.06047e+15	1.32613e+11	6.06044e+15	1.69146e+11	1.20907e+15	3.04655e+12	5.7052e+15	9.16293e+16	6.05388e+15	3.0303e+16	0	1.18679e+15	6.06061e+15	6.72662e+12	6.06061e+15	1.09558e+11	5.79926e+12	2.61344e+11	2.51327e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.08046e+15	0	8.96224e+12	0	6.08942e+15	6.06061e+14	1.21689e+12	3.04384e+10	9.6848e+14	9.69697e+14	1.21182e+14	1.21212e+14	6.04206e+15	1.85473e+13	6.06061e+15	0	1.78689e+10	3.65409e+13	5.60649e+14	1.14388e+15	9.49526e+10	1.60166e+12	3.35597e+12	2.9134e+10	2.29673e+12	3.37154e+12	7.57868e+07	6.44172e+09	9.7862e+09	3.11321e+09	2.76237e+10	7.3305e+10	6.02887e+07	4.37747e+08	1.28144e+09	3.1532e+06	1.37509e+08	2.22304e+08	64615.5	2.43992e+06	3.98707e+06	1.14879e+11	4.71881e+11	1.20273e+12	6.4855e+08	2.30586e+09	6.05067e+09	1.77626e+08	2.35496e+09	3.34199e+09	1.03709e+06	1.20815e+07	1.67191e+07	8.96879e+06	8.49769e+06	7.38441e+07	430491	175114	2.89776e+06	14494.8	109205	211771	732.559	3836.47	8363.47	1.20769e+14	2.73351e+11	1.21034e+14	8.93556e+09	1.20805e+14	2.38107e+11	1.20715e+14	3.28004e+11	7.31248e+13	3.40397e+13	1.38784e+13	1.21043e+14	7.57745e+13	8.02222e+10	2.78894e+14	2.93676e+11	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
4	0	0	1.40518e+18	0	0	0	6.00098e+14	0	0	6.05048e+15	0	0	4.7713e+15	0	1.12261e+13	1.21706e+16	1.12261e+16	1.21706e+19	6.06053e+15	7.32248e+10	6.06052e+15	9.05374e+10	1.20976e+15	2.35799e+12	5.67948e+15	9.82583e+16	6.05236e+15	3.0303e+16	0	1.2893e+15	6.06061e+15	8.24639e+12	6.06061e+15	1.09744e+11	5.79839e+12	2.62214e+11	2.509e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.09004e+15	0	8.96616e+12	0	6.099e+15	6.06061e+14	1.585e+12	3.96525e+10	9.68112e+14	9.69697e+14	1.21172e+14	1.21212e+14	6.03632e+15	2.42829e+13	6.06061e+15	0	2.79558e+10	3.14031e+13	6.18282e+14	1.70399e+15	1.04041e+11	2.31876e+12	6.61965e+12	3.40755e+10	3.50873e+12	7.11413e+12	1.13021e+08	1.28691e+10	2.73073e+10	4.35304e+09	4.52787e+10	1.67691e+11	1.05376e+08	8.74929e+08	3.63819e+09	6.16538e+06	3.2714e+08	7.25933e+08	158467	7.24125e+06	1.62446e+07	8.62483e+10	3.62541e+11	1.34119e+12	6.35799e+08	2.32947e+09	8.99197e+09	2.00789e+08	2.85172e+09	5.44416e+09	1.5276e+06	1.96068e+07	3.65312e+07	1.03486e+07	8.80785e+06	1.2709e+08	617883	219020	6.33251e+06	25504.5	194522	528863	1610.12	8531.04	26496.2	1.2101e+14	2.11634e+11	1.21208e+14	1.37733e+10	1.20855e+14	3.66834e+11	1.20792e+14	4.29421e+11	6.28846e+13	3.76227e+13	2.07142e+13	1.21222e+14	1.32079e+14	1.43753e+11	4.97322e+14	5.39666e+11	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
5	0	0	1.40474e+18	0	0	0	5.9961e+14	0	0	6.04829e+15	0	0	4.71545e+15	0	1.12284e+13	1.21706e+16	1.12284e+16	1.21706e+19	6.06057e+15	4.04325e+10	6.06056e+15	4.84612e+10	1.21041e+15	1.71205e+12	5.65849e+15	1.0367e+17	6.0511e+15	3.0303e+16	0	1.34515e+15	6.06061e+15	9.5054e+12	6.06061e+15	1.09915e+11	5.79793e+12	2.62676e+11	2.50509e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.09891e+15	0	9.65874e+12	0	6.10857e+15	6.06061e+14	1.93583e+12	4.84375e+10	9.67761e+14	9.69697e+14	1.21164e+14	1.21212e+14	6.0308e+15	2.98077e+13	6.06061e+15	0	3.86702e+10	2.71802e+13	6.4882e+14	2.24781e+15	1.07827e+11	2.99755e+12	1.0843e+13	3.69274e+10	4.643e+12	1.20533e+13	1.46636e+08	2.09056e+10	5.74038e+10	5.42644e+09	6.33733e+10	3.02344e+11	1.5426e+08	1.41266e+09	7.67158e+09	9.80091e+06	5.9636e+08	1.68643e+09	296310	1.54548e+07	4.42187e+07	6.11112e+10	2.52479e+11	1.24409e+12	5.51133e+08	2.00724e+09	1.0432e+10	1.91857e+08	2.79613e+09	6.63881e+09	1.77999e+06	2.40855e+07	5.59457e+07	9.9535e+06	7.70366e+06	1.61744e+08	693891	225542	9.61682e+06	33419.9	251676	878871	2466.93	12988.4	52449.3	1.21245e+14	1.53686e+11	1.2138e+14	1.88336e+10	1.20898e+14	5.01285e+11	1.20869e+14	5.29648e+11	5.4455e+13	3.95665e+13	2.73775e+13	1.21399e+14	2.01506e+14	2.23561e+11	7.68569e+14	8.51169e+11	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
6	0	0	1.40429e+18	0	0	0	5.99383e+14	0	0	6.04631e+15	0	0	4.68473e+15	0	1.12303e+13	1.21706e+16	1.12303e+16	1.21706e+19	6.06058e+15	2.23256e+10	6.06058e+15	2.59395e+10	1.21093e+15	1.19412e+12	5.64137e+15	1.08084e+17	6.05006e+15	3.0303e+16	0	1.37588e+15	6.06061e+15	1.05488e+13	6.06061e+15	1.10069e+11	5.79755e+12	2.63053e+11	2.50159e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.10737e+15	0	1.07551e+13	0	6.11813e+15	6.06061e+14	2.27019e+12	5.68133e+10	9.67427e+14	9.69697e+14	1.21155e+14	1.21212e+14	6.02548e+15	3.51289e+13	6.06061e+15	0	4.95794e+10	2.36874e+13	6.6293e+14	2.75226e+15	1.08239e+11	3.62656e+12	1.58315e+13	3.8333e+10	5.65724e+12	1.78887e+13	1.75271e+08	3.00684e+10	1.01544e+11	6.31369e+09	8.0924e+10	4.71117e+11	2.02773e+08	2.0139e+09	1.34824e+10	1.37589e+07	9.28941e+08	3.18778e+09	470292	2.7114e+07	9.42652e+07	4.17787e+10	1.66899e+11	1.02986e+12	4.42307e+08	1.58192e+09	1.03775e+10	1.65293e+08	2.42325e+09	6.78333e+09	1.7939e+06	2.50505e+07	6.88662e+07	8.57038e+06	6.12405e+06	1.70773e+08	670810	207507	1.16499e+07	36550.3	269687	1.1387e+06	3028.96	15791.5	77825.3	1.21469e+14	1.07199e+11	1.21552e+14	2.39357e+10	1.2094e+14	6.36599e+11	1.20947e+14	6.29563e+11	4.74784e+13	4.0512e+13	3.35858e+13	1.21576e+14	2.80266e+14	3.1525e+11	1.07746e+15	1.21057e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
7	0	0	1.40384e+18	0	0	0	5.9937e+14	0	0	6.04457e+15	0	0	4.66758e+15	0	1.12318e+13	1.21706e+16	1.12318e+16	1.21706e+19	6.06059e+15	1.23275e+10	6.06059e+15	1.38844e+10	1.21131e+15	8.10277e+11	5.62739e+15	1.1169e+17	6.04919e+15	3.0303e+16	0	1.39303e+15	6.06061e+15	1.14136e+13	6.06061e+15	1.10202e+11	5.79723e+12	2.6338e+11	2.49857e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.11561e+15	0	1.20502e+13	0	6.12766e+15	6.06061e+14	2.58886e+12	6.47986e+10	9.67108e+14	9.69697e+14	1.21147e+14	1.21212e+14	6.02035e+15	4.02533e+13	6.06061e+15	0	6.04146e+10	2.07856e+13	6.67312e+14	3.20703e+15	1.06602e+11	4.20861e+12	2.13947e+13	3.87589e+10	6.5473e+12	2.43283e+13	1.98812e+08	4.0011e+10	1.60128e+11	7.02675e+09	9.75191e+10	6.65985e+11	2.48447e+08	2.65269e+09	2.09835e+10	1.78083e+07	1.30779e+09	5.25747e+09	670279	4.19081e+07	1.70975e+08	2.78866e+10	1.0716e+11	7.89636e+11	3.36833e+08	1.1812e+09	9.30268e+09	1.32837e+08	1.94127e+09	6.16008e+09	1.63912e+06	2.33732e+07	7.32157e+07	6.86012e+06	4.58881e+06	1.58981e+08	587255	177202	1.2114e+07	35439.3	255947	1.24957e+06	3209.32	16588.9	95228.7	1.21681e+14	7.27371e+10	1.21724e+14	2.89746e+10	1.20983e+14	7.69957e+11	1.21024e+14	7.29724e+11	4.1681e+13	4.08627e+13	3.92097e+13	1.21753e+14	3.64613e+14	4.1433e+11	1.40904e+15	1.59993e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
8	0	0	1.40342e+18	0	0	0	5.99525e+14	0	0	6.04308e+15	0	0	4.6578e+15	0	1.12331e+13	1.21706e+16	1.12331e+16	1.21706e+19	6.0606e+15	6.8069e+09	6.0606e+15	7.43179e+09	1.21158e+15	5.38962e+11	5.61594e+15	1.14642e+17	6.04848e+15	3.0303e+16	0	1.4028e+15	6.06061e+15	1.21307e+13	6.06061e+15	1.10314e+11	5.79695e+12	2.63659e+11	2.49604e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.12375e+15	0	1.34226e+13	0	6.13717e+15	6.06061e+14	2.89252e+12	7.24108e+10	9.66804e+14	9.69697e+14	1.2114e+14	1.21212e+14	6.01542e+15	4.51871e+13	6.06061e+15	0	7.10198e+10	1.8367e+13	6.66149e+14	3.60927e+15	1.03829e+11	4.75213e+12	2.7366e+13	3.85417e+10	7.32553e+12	3.1122e+13	2.17786e+08	5.05222e+10	2.32815e+11	7.59127e+09	1.13047e+11	8.78837e+11	2.90172e+08	3.31235e+09	2.99714e+10	2.1797e+07	1.71854e+09	7.8788e+09	886844	5.93984e+07	2.76891e+08	1.83032e+10	6.76458e+10	5.73246e+11	2.47028e+08	8.51686e+08	7.73886e+09	1.01601e+08	1.47445e+09	5.14618e+09	1.3963e+06	2.02235e+07	7.01261e+07	5.21891e+06	3.30485e+06	1.35295e+08	479671	143318	1.12939e+07	31567.9	223480	1.21902e+06	3065.55	15748.4	101619	1.21883e+14	4.83742e+10	1.21897e+14	3.38909e+10	1.21031e+14	8.99769e+11	1.21101e+14	8.30461e+11	3.6849e+13	4.08714e+13	4.42108e+13	1.21931e+14	4.51263e+14	5.16795e+11	1.75018e+15	2.00324e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
9	0	0	1.40302e+18	0	0	0	5.99813e+14	0	0	6.04184e+15	0	0	4.65209e+15	0	1.12342e+13	1.21706e+16	1.12342e+16	1.21706e+19	6.0606e+15	3.75857e+09	6.0606e+15	3.97796e+09	1.21177e+15	3.53132e+11	5.60653e+15	1.17065e+17	6.04788e+15	3.0303e+16	0	1.40852e+15	6.06061e+15	1.27251e+13	6.06061e+15	1.10403e+11	5.79672e+12	2.63888e+11	2.49401e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.13185e+15	0	1.48053e+13	0	6.14666e+15	6.06061e+14	3.18185e+12	7.96664e+10	9.66515e+14	9.69697e+14	1.21132e+14	1.21212e+14	6.01067e+15	4.99365e+13	6.06061e+15	0	8.13154e+10	1.63465e+13	6.62023e+14	3.96039e+15	1.00542e+11	5.26684e+12	3.36094e+13	3.79239e+10	8.00975e+12	3.80705e+13	2.33008e+08	6.14949e+10	3.18805e+11	8.03666e+09	1.2754e+11	1.10241e+12	3.27747e+08	3.98271e+09	4.01878e+10	2.56397e+07	2.15042e+09	1.10055e+10	1.11264e+06	7.91512e+07	4.12719e+08	1.18669e+10	4.22595e+10	3.99589e+11	1.76143e+08	5.99345e+08	6.08763e+09	7.49175e+07	1.07815e+09	4.04195e+09	1.12892e+06	1.65606e+07	6.21494e+07	3.82629e+06	2.31326e+06	1.07704e+08	372518	111106	9.70763e+06	26422.1	183737	1.09005e+06	2714.2	13888.2	97980.3	1.22078e+14	3.16872e+10	1.22071e+14	3.86523e+10	1.21084e+14	1.02519e+12	1.21177e+14	9.31946e+11	3.28125e+13	4.06951e+13	4.86019e+13	1.22109e+14	5.37546e+14	6.19345e+11	2.09024e+15	2.40734e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
