Time	[N]	[S]	[I1]	[I2]	[R1]	[R2]	[V]	[Iv2]	[J2]	[J1]	[R]
50	1	0.0375732	0.00150695	0.00204728	0.0483705	0.0848835	0.0608842	0.000497774	0.000659233	0.000851427	1.09382
51	1	0.0375653	0.00149744	0.00203762	0.0482531	0.0849155	0.0611343	0.000497564	0.000654665	0.000846551	1.08713
52	1	0.0375575	0.00148807	0.00202818	0.0481366	0.0849477	0.0613813	0.000497366	0.000650196	0.00084175	1.08058
53	1	0.0375498	0.00147893	0.00201888	0.0480215	0.0849796	0.0616256	0.000497161	0.000645801	0.000837069	1.07416
54	1	0.0375422	0.00146995	0.00200979	0.0479081	0.0850107	0.0618672	0.000496965	0.000641506	0.000832462	1.06786
55	1	0.0375346	0.00146114	0.00200089	0.0477956	0.0850421	0.0621059	0.000496773	0.000637293	0.000827944	1.06168
56	1	0.0375271	0.00145253	0.00199212	0.0476847	0.0850729	0.0623418	0.000496577	0.000633157	0.000823533	1.05563
57	1	0.0375197	0.00144406	0.00198356	0.0475754	0.0851032	0.062575	0.000496393	0.000629117	0.000819182	1.04969
58	1	0.0375124	0.00143576	0.00197516	0.0474669	0.0851338	0.0628052	0.000496208	0.000625146	0.000814931	1.04387
59	1	0.0375052	0.00142765	0.0019669	0.0473603	0.0851633	0.0630329	0.000496022	0.000621254	0.00081077	1.03817
60	1	0.037498	0.00141966	0.00195885	0.0472548	0.0851929	0.0632576	0.000495849	0.000617452	0.000806664	1.03257
61	1	0.0374909	0.00141186	0.00195092	0.0471504	0.0852225	0.0634796	0.000495669	0.000613709	0.000802667	1.02709
62	1	0.0374839	0.00140421	0.00194314	0.0470479	0.0852509	0.063699	0.000495495	0.000610051	0.000798736	1.02171
63	1	0.0374769	0.00139668	0.00193556	0.0469463	0.0852798	0.0639154	0.000495331	0.000606469	0.000794867	1.01644
64	1	0.0374701	0.00138934	0.00192807	0.046846	0.0853082	0.0641292	0.000495156	0.000602943	0.000791105	1.01127
65	1	0.0374633	0.00138212	0.00192076	0.0467475	0.0853358	0.0643403	0.000494996	0.000599505	0.000787388	1.00621
66	1	0.0374566	0.00137504	0.00191359	0.0466496	0.0853639	0.0645485	0.000494835	0.000596124	0.000783754	1.00124
67	1	0.0374499	0.00136813	0.00190654	0.0465536	0.0853909	0.0647542	0.000494671	0.00059281	0.000780203	0.99637
68	1	0.0374434	0.0013613	0.00189967	0.0464587	0.0854179	0.0649572	0.000494521	0.000589574	0.000776694	0.991596
69	1	0.0374369	0.00135465	0.00189289	0.0463648	0.0854449	0.0651573	0.000494363	0.000586385	0.00077328	0.986915
70	1	0.0374305	0.00134813	0.00188626	0.0462728	0.0854709	0.065355	0.000494212	0.000583271	0.000769924	0.982327
71	1	0.0374242	0.0013417	0.00187978	0.0461815	0.0854971	0.0655499	0.000494068	0.00058022	0.000766618	0.977828
72	1	0.0374179	0.00133545	0.00187339	0.0460916	0.085523	0.0657422	0.000493917	0.000577219	0.000763406	0.973417
73	1	0.0374118	0.00132928	0.00186715	0.0460033	0.0855481	0.065932	0.000493775	0.000574289	0.000760232	0.969093
74	1	0.0374056	0.00132324	0.00186104	0.0459158	0.0855735	0.066119	0.000493636	0.000571412	0.000757126	0.964854
75	1	0.0373997	0.00131735	0.00185503	0.0458298	0.0855982	0.0663036	0.000493497	0.000568593	0.000754097	0.960698
76	1	0.0373938	0.00131153	0.00184914	0.045745	0.0856226	0.0664856	0.000493359	0.000565828	0.000751098	0.956623
77	1	0.0373878	0.00130585	0.00184337	0.0456612	0.085647	0.0666649	0.000493226	0.00056312	0.000748178	0.952629
78	1	0.037382	0.00130029	0.00183772	0.0455788	0.0856707	0.0668419	0.000493097	0.000560468	0.000745318	0.948712
79	1	0.0373764	0.00129482	0.00183217	0.0454976	0.0856943	0.0670163	0.000492969	0.000557867	0.0007425	0.944873
80	1	0.0373707	0.00128946	0.00182673	0.0454175	0.0857176	0.0671881	0.000492839	0.000555313	0.000739743	0.941109
81	1	0.0373651	0.00128423	0.0018214	0.0453387	0.0857405	0.0673576	0.000492717	0.000552818	0.000737046	0.937419
82	1	0.0373597	0.00127907	0.00181618	0.045261	0.0857631	0.0675246	0.000492595	0.000550367	0.00073439	0.933801
83	1	0.0373542	0.00127403	0.00181105	0.0451844	0.0857855	0.0676891	0.000492475	0.000547966	0.000731795	0.930255
84	1	0.0373489	0.00126909	0.00180603	0.045109	0.0858075	0.0678513	0.000492356	0.000545612	0.000729248	0.926778
85	1	0.0373436	0.00126424	0.00180111	0.0450347	0.0858293	0.068011	0.000492242	0.000543307	0.00072675	0.923369
86	1	0.0373384	0.00125949	0.00179628	0.0449615	0.0858508	0.0681684	0.000492128	0.000541046	0.000724301	0.920027
87	1	0.0373333	0.00125483	0.00179155	0.0448895	0.0858719	0.0683235	0.000492017	0.00053883	0.000721903	0.916751
88	1	0.0373282	0.00125026	0.00178691	0.0448186	0.0858927	0.0684762	0.000491907	0.000536658	0.000719548	0.913539
89	1	0.0373233	0.00124578	0.00178236	0.0447487	0.0859133	0.0686266	0.000491801	0.00053453	0.00071724	0.910391
90	1	0.0373183	0.0012414	0.0017779	0.0446799	0.0859336	0.0687748	0.000491695	0.000532443	0.000714979	0.907304
91	1	0.0373135	0.0012371	0.00177353	0.0446122	0.0859536	0.0689207	0.000491591	0.000530398	0.000712762	0.904278
92	1	0.0373087	0.00123288	0.00176924	0.0445456	0.0859733	0.0690644	0.00049149	0.000528394	0.000710587	0.901311
93	1	0.037304	0.00122875	0.00176504	0.04448	0.0859927	0.0692058	0.000491391	0.00052643	0.000708454	0.898403
94	1	0.0372994	0.00122469	0.00176092	0.0444154	0.0860119	0.0693451	0.000491292	0.000524504	0.000706365	0.895552
95	1	0.0372948	0.00122072	0.00175688	0.0443518	0.0860307	0.0694823	0.000491196	0.000522617	0.000704317	0.892756
96	1	0.0372903	0.00121683	0.00175292	0.0442893	0.0860493	0.0696173	0.000491102	0.000520767	0.000702307	0.890016
97	1	0.0372858	0.00121301	0.00174904	0.0442277	0.0860676	0.0697501	0.00049101	0.000518954	0.000700337	0.88733
98	1	0.0372815	0.00120927	0.00174524	0.0441671	0.0860857	0.0698809	0.000490919	0.000517177	0.000698407	0.884696
99	1	0.0372772	0.0012056	0.00174151	0.0441075	0.0861035	0.0700097	0.00049083	0.000515435	0.000696514	0.882115
100	1	0.0372729	0.00120201	0.00173785	0.0440489	0.086121	0.0701363	0.000490743	0.000513728	0.000694658	0.879584
