Time	[GLCi]	[ATP]	[G6P]	[ADP]	[F6P]	[F16bP]	[AMP]	[DHAP]	[GAP]	[NAD]	[BPG]	[NADH]	[P3G]	[P2G]	[PEP]	[PYR]	[PYRmito]	[AcAld]	[GLCo]	[CO2]	[EtOH]	[Glycerol]	[Glycogen]	[Trehalose]	[Succinate]	[AcCoA]	[CO2mito]
0	0.0976522	2.52513	2.67504	1.28199	0.624976	6.22132	0.292885	1.00415	0.0451809	1.50329	0.000736873	0.0867097	0.885689	0.127696	0.0632352	1.81531	0	0.178141	50	1	50	0.15	0	0	0	1	1
1	0.174516	1.39126	0.905303	1.73643	0.202256	3.04552	0.972307	0.793194	0.0356904	1.46391	0.00023077	0.12609	0.580979	0.0828736	0.0372903	1.68315	0.432192	0.115901	50	1	50	0.15	0	0	0	1	1
2	0.245368	1.0472	0.599986	1.74555	0.128923	1.72396	1.30725	0.658552	0.0296319	1.46341	0.000138075	0.126589	0.422777	0.0600506	0.0300466	1.55895	0.406322	0.105656	50	1	50	0.15	0	0	0	1	1
3	0.282728	0.936331	0.523117	1.72849	0.110795	1.43899	1.43518	0.617405	0.0277805	1.46287	0.000116218	0.127135	0.379149	0.0537723	0.0279023	1.51325	0.388772	0.101791	50	1	50	0.15	0	0	0	1	1
4	0.294802	0.906318	0.503676	1.72184	0.106248	1.36883	1.47184	0.606172	0.027275	1.4627	0.00011078	0.127304	0.36771	0.0521277	0.0273278	1.50016	0.383297	0.100694	50	1	50	0.15	0	0	0	1	1
5	0.298292	0.89807	0.498426	1.71986	0.105024	1.34999	1.48207	0.60307	0.0271354	1.46265	0.000109318	0.127351	0.364589	0.0516791	0.0271701	1.4965	0.38175	0.100389	50	1	50	0.15	0	0	0	1	1
6	0.299275	0.895778	0.496975	1.71929	0.104686	1.34479	1.48493	0.602207	0.0270966	1.46264	0.000108914	0.127364	0.363723	0.0515547	0.0271263	1.49548	0.381318	0.100304	50	1	50	0.15	0	0	0	1	1
7	0.299551	0.89514	0.496571	1.71913	0.104591	1.34334	1.48573	0.601966	0.0270857	1.46263	0.000108802	0.127368	0.363482	0.05152	0.0271141	1.4952	0.381197	0.10028	50	1	50	0.15	0	0	0	1	1
8	0.299628	0.894961	0.496458	1.71909	0.104565	1.34294	1.48595	0.601899	0.0270827	1.46263	0.000108771	0.127369	0.363414	0.0515103	0.0271107	1.49512	0.381164	0.100273	50	1	50	0.15	0	0	0	1	1
9	0.299649	0.894911	0.496426	1.71908	0.104558	1.34282	1.48601	0.60188	0.0270819	1.46263	0.000108762	0.127369	0.363396	0.0515076	0.0271097	1.49509	0.381154	0.100271	50	1	50	0.15	0	0	0	1	1
10	0.299655	0.894897	0.496417	1.71907	0.104556	1.34279	1.48603	0.601875	0.0270816	1.46263	0.000108759	0.127369	0.36339	0.0515069	0.0271094	1.49509	0.381152	0.100271	50	1	50	0.15	0	0	0	1	1
11	0.299657	0.894894	0.496415	1.71907	0.104555	1.34278	1.48603	0.601873	0.0270816	1.46263	0.000108759	0.127369	0.363389	0.0515066	0.0271094	1.49509	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
12	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270816	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
13	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
14	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
15	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
16	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
