Time	[dihydrofolate free]	[dihydrofolate bound]	[dihydrofolate reductase free]	[dihydrofolate reductase total]	[tetrahydrofolate]	[5-methyl-tetrahydrofolate]	[10-formyl-tetrahydrofolate]	[10-formyl-dihydrofolate]	[HCHO]	[FGAR]	[AICAR]	[MTX1]	[MTX2]	[MTX3]	[MTX4]	[MTX5]	[MTX1b]	[MTX2b]	[MTX3b]	[MTX4b]	[MTX5b]	[EMTX]	[dUMP]	[GAR]	[serine]	[formate]	[ATP]	[glutamine]	[glycine]	[NADP]	[NADPH]	[homocysteine]
10	0.00121037	0.00241836	0.639373	0.641792	0.459349	1.62891	1.00031	0.00032905	0.00737981	16.4936	3.69504	-4.73376e-33	-8.32966e-29	3.5092e-27	-4.84922e-28	-9.93811e-34	1.00744e-29	-4.69745e-25	4.24296e-22	-1.12295e-22	-2.44013e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
11	0.00121049	0.00241841	0.63932	0.641739	0.45936	1.62894	1.00033	0.000329084	0.00737978	16.4939	3.69504	-4.19272e-33	-2.20167e-28	3.42914e-27	-4.72964e-28	-1.19475e-33	-1.61902e-29	-1.42949e-23	4.14184e-22	-1.09618e-22	-3.38548e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
12	0.00121061	0.00241845	0.639269	0.641687	0.459371	1.62897	1.00036	0.000329117	0.00737975	16.4943	3.69504	-1.77799e-32	-1.38831e-27	3.3961e-27	-4.6914e-28	-1.39221e-33	-7.83763e-29	-3.61636e-23	4.10514e-22	-1.08646e-22	-4.28153e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
13	0.00121073	0.0024185	0.639219	0.641637	0.459382	1.62901	1.00038	0.000329149	0.00737973	16.4947	3.69504	-2.15358e-32	-1.45997e-27	3.36848e-27	-4.6542e-28	-1.58817e-33	-1.75824e-28	-4.66827e-23	4.07193e-22	-1.07767e-22	-5.17042e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
14	0.00121084	0.00241854	0.639171	0.641589	0.459393	1.62904	1.0004	0.00032918	0.0073797	16.495	3.69504	-2.13227e-32	-9.55765e-28	3.35647e-27	-4.63769e-28	-1.78216e-33	-3.08694e-28	-5.0597e-23	4.05713e-22	-1.07375e-22	-6.04183e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
15	0.00121095	0.00241859	0.639123	0.641542	0.459404	1.62907	1.00042	0.00032921	0.00737967	16.4954	3.69503	-4.85557e-32	-1.87954e-27	3.35023e-27	-4.62916e-28	-1.97524e-33	-7.07728e-28	-8.21877e-23	4.0493e-22	-1.07167e-22	-6.90582e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
16	0.00121106	0.00241863	0.639078	0.641496	0.459415	1.62911	1.00045	0.00032924	0.00737965	16.4957	3.69503	-1.18774e-31	-5.20693e-27	3.3436e-27	-4.61999e-28	-2.16802e-33	-1.4916e-27	-1.58586e-22	4.041e-22	-1.06948e-22	-7.76865e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
17	0.00121117	0.00241868	0.639034	0.641452	0.459426	1.62914	1.00047	0.000329269	0.00737962	16.4961	3.69503	-1.64774e-31	-6.85556e-27	3.34715e-27	-4.62498e-28	-2.35992e-33	-2.19262e-27	-2.09053e-22	4.04503e-22	-1.07055e-22	-8.62159e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
18	0.00121127	0.00241872	0.638991	0.641409	0.459438	1.62917	1.00049	0.000329298	0.00737959	16.4965	3.69503	-1.82515e-31	-6.62468e-27	3.35629e-27	-4.63772e-28	-2.55155e-33	-2.7975e-27	-2.30426e-22	4.05584e-22	-1.07341e-22	-9.47007e-28	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
19	0.00121137	0.00241877	0.638949	0.641368	0.459449	1.6292	1.00052	0.000329325	0.00737957	16.4968	3.69503	-1.88445e-31	-5.54002e-27	3.36533e-27	-4.65021e-28	-2.74346e-33	-3.42957e-27	-2.40669e-22	4.0665e-22	-1.07623e-22	-1.03198e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
