Time	[dihydrofolate free]	[dihydrofolate bound]	[dihydrofolate reductase free]	[dihydrofolate reductase total]	[tetrahydrofolate]	[5-methyl-tetrahydrofolate]	[10-formyl-tetrahydrofolate]	[10-formyl-dihydrofolate]	[HCHO]	[FGAR]	[AICAR]	[MTX1]	[MTX2]	[MTX3]	[MTX4]	[MTX5]	[MTX1b]	[MTX2b]	[MTX3b]	[MTX4b]	[MTX5b]	[EMTX]	[dUMP]	[GAR]	[serine]	[formate]	[ATP]	[glutamine]	[glycine]	[NADP]	[NADPH]	[homocysteine]
69	0.00121452	0.00242102	0.637886	0.640307	0.460003	1.63087	1.00165	0.000330188	0.00737822	16.5149	3.69495	6.14921e-27	-3.01443e-27	-3.05186e-28	-4.73018e-28	-1.25531e-32	2.014e-22	-1.893e-22	-3.96854e-23	-1.09294e-22	-5.39297e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
70	0.00121456	0.00242107	0.637876	0.640297	0.460014	1.63091	1.00167	0.000330199	0.0073782	16.5153	3.69495	6.17874e-27	-3.01045e-27	-2.08544e-28	-4.7305e-28	-1.27498e-32	2.02326e-22	-1.89047e-22	-3.16841e-23	-1.093e-22	-5.48043e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
71	0.0012146	0.00242111	0.637868	0.640289	0.460025	1.63094	1.0017	0.00033021	0.00737817	16.5157	3.69495	6.20672e-27	-3.00667e-27	-1.17787e-28	-4.7308e-28	-1.29466e-32	2.03206e-22	-1.88806e-22	-2.41072e-23	-1.09305e-22	-5.5679e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
72	0.00121464	0.00242116	0.637859	0.64028	0.460036	1.63097	1.00172	0.000330221	0.00737814	16.516	3.69495	6.23218e-27	-3.00319e-27	-3.8801e-29	-4.73107e-28	-1.31433e-32	2.0401e-22	-1.88585e-22	-1.71807e-23	-1.0931e-22	-5.65538e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
73	0.00121468	0.0024212	0.637851	0.640272	0.460047	1.63101	1.00174	0.000330232	0.00737812	16.5164	3.69494	6.25405e-27	-3.00014e-27	2.17902e-29	-4.73132e-28	-1.33401e-32	2.0471e-22	-1.88391e-22	-1.11444e-23	-1.09314e-22	-5.74287e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
74	0.00121472	0.00242125	0.637843	0.640264	0.460058	1.63104	1.00176	0.000330242	0.00737809	16.5167	3.69494	6.27115e-27	-2.99766e-27	5.66197e-29	-4.73152e-28	-1.35368e-32	2.05275e-22	-1.88232e-22	-6.25231e-24	-1.09318e-22	-5.83037e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
75	0.00121476	0.00242129	0.637835	0.640256	0.460069	1.63107	1.00179	0.000330252	0.00737806	16.5171	3.69494	6.28224e-27	-2.99588e-27	5.75803e-29	-4.73168e-28	-1.37336e-32	2.0567e-22	-1.88118e-22	-2.77241e-24	-1.0932e-22	-5.91788e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
76	0.00121479	0.00242134	0.637827	0.640249	0.46008	1.63111	1.00181	0.000330262	0.00737803	16.5175	3.69494	6.28595e-27	-2.99495e-27	1.58232e-29	-4.73178e-28	-1.39305e-32	2.05858e-22	-1.88058e-22	-9.86758e-25	-1.09321e-22	-6.0054e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
77	0.00121483	0.00242138	0.63782	0.640241	0.460091	1.63114	1.00183	0.000330273	0.00737801	16.5178	3.69494	6.29228e-27	-2.99379e-27	2.48693e-31	-4.73189e-28	-1.41273e-32	2.06104e-22	-1.87983e-22	1.16424e-24	-1.09322e-22	-6.09293e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
78	0.00121487	0.00242143	0.637813	0.640234	0.460102	1.63117	1.00186	0.000330283	0.00737798	16.5182	3.69494	6.30313e-27	-2.99218e-27	2.41921e-29	-4.73202e-28	-1.43241e-32	2.06457e-22	-1.8788e-22	4.08071e-24	-1.09324e-22	-6.18045e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
79	0.0012149	0.00242147	0.637806	0.640227	0.460113	1.63121	1.00188	0.000330292	0.00737795	16.5186	3.69493	6.31212e-27	-2.99082e-27	4.39796e-29	-4.73213e-28	-1.4521e-32	2.06749e-22	-1.87792e-22	6.45998e-24	-1.09325e-22	-6.26798e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
80	0.00121494	0.00242152	0.637799	0.640221	0.460125	1.63124	1.0019	0.000330302	0.00737793	16.5189	3.69493	6.31928e-27	-2.98971e-27	5.98519e-29	-4.73222e-28	-1.47178e-32	2.06981e-22	-1.87721e-22	8.32556e-24	-1.09326e-22	-6.35552e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
81	0.00121497	0.00242156	0.637792	0.640214	0.460136	1.63127	1.00192	0.000330312	0.0073779	16.5193	3.69493	6.32467e-27	-2.98885e-27	7.21417e-29	-4.7323e-28	-1.49147e-32	2.07154e-22	-1.87665e-22	9.71191e-24	-1.09327e-22	-6.44306e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
82	0.00121501	0.00242161	0.637786	0.640208	0.460147	1.63131	1.00195	0.000330321	0.00737787	16.5196	3.69493	6.32837e-27	-2.98821e-27	8.1273e-29	-4.73236e-28	-1.51116e-32	2.07271e-22	-1.87623e-22	1.06644e-23	-1.09327e-22	-6.53061e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
83	0.00121504	0.00242165	0.63778	0.640202	0.460158	1.63134	1.00197	0.000330331	0.00737785	16.52	3.69493	6.33049e-27	-2.98779e-27	8.77619e-29	-4.73241e-28	-1.53084e-32	2.07336e-22	-1.87595e-22	1.12395e-23	-1.09328e-22	-6.61815e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
84	0.00121507	0.0024217	0.637774	0.640196	0.460169	1.63137	1.00199	0.00033034	0.00737782	16.5204	3.69493	6.33119e-27	-2.98757e-27	9.22159e-29	-4.73245e-28	-1.55053e-32	2.07354e-22	-1.8758e-22	1.15044e-23	-1.09328e-22	-6.7057e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
85	0.00121511	0.00242174	0.637768	0.64019	0.46018	1.63141	1.00201	0.00033035	0.00737779	16.5207	3.69493	6.33061e-27	-2.98753e-27	9.38421e-29	-4.73249e-28	-1.57022e-32	2.0733e-22	-1.87575e-22	1.14218e-23	-1.09327e-22	-6.79325e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
86	0.00121514	0.00242179	0.637763	0.640184	0.460191	1.63144	1.00204	0.000330359	0.00737777	16.5211	3.69492	6.32893e-27	-2.98762e-27	9.05666e-29	-4.7325e-28	-1.58991e-32	2.07271e-22	-1.8758e-22	1.08588e-23	-1.09327e-22	-6.8808e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
87	0.00121517	0.00242183	0.637757	0.640179	0.460202	1.63147	1.00206	0.000330368	0.00737774	16.5214	3.69492	6.32638e-27	-2.98784e-27	8.52633e-29	-4.73251e-28	-1.6096e-32	2.07185e-22	-1.87592e-22	1.007e-23	-1.09326e-22	-6.96836e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
88	0.00121521	0.00242188	0.637752	0.640174	0.460213	1.63151	1.00208	0.000330377	0.00737771	16.5218	3.69492	6.32323e-27	-2.98813e-27	7.84859e-29	-4.73251e-28	-1.62928e-32	2.07078e-22	-1.87609e-22	9.13386e-24	-1.09325e-22	-7.05592e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
89	0.00121524	0.00242192	0.637747	0.640169	0.460224	1.63154	1.00211	0.000330386	0.00737769	16.5222	3.69492	6.31974e-27	-2.98847e-27	7.08501e-29	-4.73251e-28	-1.64897e-32	2.06961e-22	-1.87629e-22	8.13742e-24	-1.09324e-22	-7.14348e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
90	0.00121527	0.00242197	0.637742	0.640164	0.460235	1.63157	1.00213	0.000330395	0.00737766	16.5225	3.69492	6.31622e-27	-2.98881e-27	6.30339e-29	-4.73251e-28	-1.66866e-32	2.06843e-22	-1.87649e-22	7.17653e-24	-1.09323e-22	-7.23103e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
91	0.0012153	0.00242201	0.637737	0.640159	0.460246	1.63161	1.00215	0.000330403	0.00737763	16.5229	3.69492	6.313e-27	-2.98911e-27	5.57774e-29	-4.73251e-28	-1.68835e-32	2.06736e-22	-1.87667e-22	6.35564e-24	-1.09323e-22	-7.31859e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
92	0.00121534	0.00242206	0.637732	0.640154	0.460258	1.63164	1.00217	0.000330412	0.0073776	16.5233	3.69491	6.31044e-27	-2.98932e-27	4.98826e-29	-4.73252e-28	-1.70804e-32	2.06651e-22	-1.87678e-22	5.78786e-24	-1.09322e-22	-7.40614e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
93	0.00121537	0.0024221	0.637728	0.64015	0.460269	1.63167	1.0022	0.000330421	0.00737758	16.5236	3.69491	6.30852e-27	-2.98943e-27	4.5367e-29	-4.73254e-28	-1.72772e-32	2.06588e-22	-1.87684e-22	5.45807e-24	-1.09322e-22	-7.49369e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
94	0.0012154	0.00242215	0.637723	0.640145	0.46028	1.63171	1.00222	0.000330429	0.00737755	16.524	3.69491	6.30196e-27	-2.99019e-27	3.17046e-29	-4.73252e-28	-1.74741e-32	2.0637e-22	-1.87731e-22	3.64538e-24	-1.0932e-22	-7.58125e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
95	0.00121543	0.00242219	0.637719	0.640141	0.460291	1.63174	1.00224	0.000330438	0.00737752	16.5243	3.69491	6.29515e-27	-2.99098e-27	1.78042e-29	-4.73249e-28	-1.7671e-32	2.06143e-22	-1.8778e-22	1.76922e-24	-1.09319e-22	-7.66882e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
96	0.00121546	0.00242224	0.637715	0.640137	0.460302	1.63178	1.00226	0.000330446	0.0073775	16.5247	3.69491	6.28823e-27	-2.99179e-27	4.08635e-30	-4.73246e-28	-1.78679e-32	2.05913e-22	-1.87829e-22	-1.2455e-25	-1.09318e-22	-7.75638e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
97	0.00121549	0.00242228	0.637711	0.640133	0.460313	1.63181	1.00229	0.000330455	0.00737747	16.5251	3.69491	6.28138e-27	-2.99259e-27	-9.00225e-30	-4.73244e-28	-1.80648e-32	2.05685e-22	-1.87879e-22	-1.9872e-24	-1.09316e-22	-7.84394e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
98	0.00121552	0.00242233	0.637707	0.640129	0.460324	1.63184	1.00231	0.000330463	0.00737744	16.5254	3.69491	6.27477e-27	-2.99336e-27	-2.09886e-29	-4.73241e-28	-1.82617e-32	2.05464e-22	-1.87926e-22	-3.76715e-24	-1.09315e-22	-7.9315e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
99	0.00121555	0.00242237	0.637703	0.640125	0.460335	1.63188	1.00233	0.000330471	0.00737742	16.5258	3.6949	6.26859e-27	-2.99407e-27	-3.13736e-29	-4.73239e-28	-1.84586e-32	2.05257e-22	-1.8797e-22	-5.40995e-24	-1.09314e-22	-8.01906e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
100	0.00121558	0.00242242	0.637699	0.640122	0.460346	1.63191	1.00236	0.000330479	0.00737739	16.5262	3.6949	6.26305e-27	-2.99469e-27	-3.96317e-29	-4.73237e-28	-1.86554e-32	2.0507e-22	-1.88008e-22	-6.85832e-24	-1.09313e-22	-8.10662e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
