Time	[ Inactive Cyclin:CDK complex]	[Active Cyclin:CDK complex]	[Total CDK]	[Free CDK]	[Unphosphorylated CDC25]	[One-site phosphorylated CDC25]	[Two-site phosphorylated CDC25]	[Unphosphorylated wee1]	[phosphorylated wee1]	[Active SKP2 or APC]	[Free CKI]	[Cyclin:CDK:CKI complex with CKI unphosphorylated]	[Cyclin:CDK:CKI complex with CKI phosphorylated]	[Free cyclin]	[totalCyclin]
26	11.0671	0.064612	200	0.944341	98.5078	1.47028	0.0219478	9.85274	0.147262	0.408148	0	0	0	11.7541	22.8859
27	11.4047	0.0669251	200	0.942642	98.4869	1.49056	0.0225621	9.8507	0.149297	0.392155	0	0	0	12.1345	23.6061
28	11.749	0.0693148	200	0.940908	98.4653	1.5115	0.0232055	9.8486	0.151398	0.37679	0	0	0	12.5239	24.3422
29	12.1	0.0717838	200	0.939141	98.443	1.53312	0.0238796	9.84643	0.153568	0.362028	0	0	0	12.9223	25.0941
30	12.4575	0.0743345	200	0.937341	98.42	1.55545	0.024586	9.84419	0.155809	0.347846	0	0	0	13.3297	25.8615
31	12.8215	0.0769697	200	0.935508	98.3962	1.57851	0.0253264	9.84188	0.158124	0.334221	0	0	0	13.746	26.6445
32	13.1918	0.0796925	200	0.933643	98.3716	1.60232	0.0261028	9.83949	0.160514	0.321131	0	0	0	14.1712	27.4427
33	13.5682	0.0825059	200	0.931746	98.3462	1.62691	0.026917	9.83702	0.162982	0.308555	0	0	0	14.6053	28.256
34	13.9507	0.0854132	200	0.92982	98.3199	1.65231	0.0277713	9.83447	0.165532	0.296474	0	0	0	15.0482	29.0842
35	14.339	0.088418	200	0.927863	98.2928	1.67854	0.028668	9.83183	0.168165	0.284868	0	0	0	15.4997	29.927
36	14.7329	0.0915239	200	0.925878	98.2648	1.70563	0.0296095	9.82911	0.170886	0.273718	0	0	0	15.9597	30.7841
37	15.1322	0.0947352	200	0.923865	98.2358	1.73363	0.0305986	9.8263	0.173697	0.263006	0	0	0	16.4281	31.6551
38	15.5368	0.0980561	200	0.921826	98.2058	1.76256	0.0316381	9.8234	0.176603	0.252716	0	0	0	16.9047	32.5396
39	15.9464	0.101491	200	0.919761	98.1748	1.79246	0.0327314	9.82039	0.179606	0.242832	0	0	0	17.3894	33.4372
40	16.3606	0.105046	200	0.917672	98.1427	1.82339	0.0338817	9.81729	0.182712	0.233336	0	0	0	17.8818	34.3475
41	16.7793	0.108726	200	0.91556	98.1095	1.85537	0.0350928	9.81407	0.185926	0.224215	0	0	0	18.3819	35.27
42	17.2022	0.112536	200	0.913426	98.0752	1.88847	0.036369	9.81075	0.189251	0.215453	0	0	0	18.8893	36.2041
43	17.6289	0.116485	200	0.911273	98.0395	1.92274	0.0377148	9.80731	0.192694	0.207037	0	0	0	19.4038	37.1492
44	18.0592	0.120579	200	0.909101	98.0026	1.95824	0.0391352	9.80374	0.196261	0.198954	0	0	0	19.9251	38.1048
45	18.4926	0.124826	200	0.906913	97.9643	1.99503	0.0406356	9.80004	0.199958	0.191189	0	0	0	20.4528	39.0702
46	18.929	0.129237	200	0.904709	97.9246	2.0332	0.0422227	9.79621	0.203795	0.183732	0	0	0	20.9866	40.0448
47	19.3678	0.13382	200	0.902492	97.8833	2.07282	0.0439034	9.79222	0.207778	0.17657	0	0	0	21.5262	41.0277
48	19.8087	0.138588	200	0.900264	97.8403	2.114	0.0456853	9.78808	0.211918	0.169692	0	0	0	22.0711	42.0183
49	20.2514	0.143553	200	0.898025	97.7956	2.15684	0.0475776	9.78378	0.216225	0.163087	0	0	0	22.6209	43.0158
