Time	[Galpha_GTP]	[APLC]	[IP3]	[Calcium{ER}]	[Calcium{Cytosol}]	[PLC]	[Diacylglycerol]
90	3.50454	3.62204	26.4556	751.585	624.072	6.37796	26.4556
91	1.50076	3.2131	23.856	746.516	651.457	6.7869	23.856
92	0.807114	2.8498	21.2122	742.329	669.065	7.1502	21.2122
93	0.55973	2.52754	18.8208	739.021	677.339	7.47246	18.8208
94	0.496239	2.24173	16.6936	736.502	677.55	7.75827	16.6936
95	0.544074	1.98824	14.806	734.65	671.232	8.01176	14.806
96	0.714363	1.76341	13.1318	733.334	659.923	8.23659	13.1318
97	1.10558	1.56402	11.6469	732.434	645.014	8.43598	11.6469
98	2.01658	1.38724	10.3301	731.847	627.671	8.61276	10.3301
99	4.36822	1.23168	9.16568	731.49	608.821	8.76832	9.16568
100	11.2227	1.1348	8.23399	731.294	589.202	8.8652	8.23399
