Time	[BM]	[ACT]	[GLC]	[ACoA]	[AKG]	[cAMP]	[FBP]	[G6P]	[GLX]	[ICT]	[MAL]	[OAA]	[PEP]	[PG3]	[PYR]	[AceA]	[AceB]	[AceK]	[Acoa2act]	[Acs]	[Akg2mal]	[CAMPdegr]	[Cya]	[Emp]	[Eno]	[Fdp]	[GltA]	[Icd]	[Icd_P]	[Mdh]	[Me]	[PckA]	[Pdh]	[PfkA]	[Ppc]	[PpsA]	[PykF]	[Cra]	[CraFBP]	[Crp]	[CrpcAMP]	[IclR]	[PdhR]	[PdhRPYR]	[EIIA]	[EIIA_P]	[EIICB]
0	0.03	0	4.8	0.351972	0.191191	0.202804	6.57504	1.90814	5.70593e-09	0.00140812	3.27878	0.0505354	0.210456	5.72098	0.863278	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429079	0.000220477	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299098	0.0069909	0.00594327	0.00134673	0.00729	0.00116381	0.00612619	0.0964771	0.00352292	0.003
1	0.0300054	2.09619e-06	4.79999	0.352074	0.191189	0.202789	6.57504	1.90813	5.70592e-09	0.00140815	3.27877	0.0505271	0.210454	5.72096	0.863256	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429078	0.000220491	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299098	0.0069909	0.00594335	0.00134665	0.00729	0.00116384	0.00612616	0.0964775	0.00352253	0.003
2	0.0300108	4.19222e-06	4.79998	0.352201	0.191204	0.202784	6.57503	1.90812	5.70589e-09	0.00140822	3.27879	0.0505205	0.210454	5.72094	0.863245	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429076	0.000220502	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.0002991	0.0069909	0.00594338	0.00134662	0.00729	0.00116385	0.00612615	0.0964775	0.00352253	0.003
3	0.0300162	6.28815e-06	4.79997	0.352327	0.191221	0.202783	6.57501	1.90812	5.70583e-09	0.00140829	3.27882	0.0505143	0.210454	5.72093	0.863237	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429076	0.00022051	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299101	0.0069909	0.00594339	0.00134661	0.00729	0.00116386	0.00612614	0.0964775	0.00352253	0.003
4	0.0300216	8.38396e-06	4.79995	0.352452	0.191238	0.202782	6.575	1.90812	5.70575e-09	0.00140836	3.27888	0.0505085	0.210454	5.72092	0.863231	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429075	0.000220516	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299102	0.0069909	0.00594339	0.00134661	0.00729	0.00116387	0.00612613	0.0964775	0.00352253	0.003
5	0.030027	1.04797e-05	4.79994	0.352575	0.191255	0.202782	6.57499	1.90812	5.70565e-09	0.00140843	3.27895	0.050503	0.210454	5.72091	0.863226	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429075	0.00022052	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299103	0.0069909	0.00594339	0.00134661	0.00729	0.00116387	0.00612613	0.0964775	0.00352253	0.003
6	0.0300324	1.25753e-05	4.79993	0.352699	0.191273	0.202782	6.57498	1.90812	5.70553e-09	0.00140851	3.27904	0.0504978	0.210453	5.7209	0.863221	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429074	0.000220524	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299104	0.0069909	0.00594339	0.00134661	0.00729	0.00116388	0.00612612	0.0964775	0.00352253	0.003
7	0.0300378	1.46708e-05	4.79992	0.352821	0.191292	0.202782	6.57497	1.90812	5.70539e-09	0.00140858	3.27915	0.0504929	0.210453	5.72089	0.863217	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429074	0.000220528	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299105	0.0069909	0.00594339	0.00134661	0.00729	0.00116388	0.00612612	0.0964775	0.00352253	0.003
8	0.0300432	1.67662e-05	4.79991	0.352943	0.19131	0.202782	6.57496	1.90812	5.70522e-09	0.00140866	3.27926	0.0504882	0.210453	5.72089	0.863214	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429073	0.000220531	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299105	0.00699089	0.00594339	0.00134661	0.00729	0.00116389	0.00612611	0.0964775	0.00352253	0.003
9	0.0300486	1.88615e-05	4.7999	0.353064	0.191329	0.202782	6.57495	1.90812	5.70504e-09	0.00140873	3.27938	0.0504836	0.210453	5.72088	0.863211	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429073	0.000220534	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299106	0.00699089	0.00594339	0.00134661	0.00729	0.00116389	0.00612611	0.0964775	0.00352253	0.003
