Time	[Calcium in Nucleus]	[Calcium in Cytosol]	[NFAT_Nuc]	[Active Calcineurin in nucleus]	[Phosphorylated NFAT in nucleus]	[NFAT Calcineurin complex in nucleus]	[Phosphorylated NFAT Calcineurin complex in nucleus]	[Inactive Calcineurin in nucleus]	[NFAT_Cyt]	[Active Calcineurin in cytosol]	[Phosphorylated NFAT in cytosol]	[NFAT Calcineurin complex in cytosol]	[Phosphorylated NFAT Calcineurin complex in cytosol]	[Inactive Calcineurin in cytosol]
0	1	1	0.0005219	5.05e-05	0.0002272	0.0009477	2.5e-06	0.049198	0.0001101	9.1e-06	0.0094397	6.1e-06	2.2e-06	0.0097108
1	0.953017	0.982581	0.000478704	0.0196308	0.000210832	0.00100284	1.6262e-05	0.0295553	0.000108196	0.00397652	0.00927408	3.21166e-05	0.000139788	0.00557705
2	0.95679	0.975623	0.000416076	0.0223253	0.000191967	0.00115004	2.74549e-05	0.0267684	0.000105293	0.00433823	0.00901392	0.000112443	0.000290222	0.00495686
3	0.961872	0.972146	0.000359094	0.0228838	0.000178543	0.001402	3.22433e-05	0.0261225	0.000102555	0.00425995	0.00875517	0.000206994	0.000378879	0.00478078
4	0.964826	0.970223	0.000310039	0.023059	0.000168981	0.00175215	3.41255e-05	0.025868	0.000100098	0.00414034	0.00850881	0.000289028	0.000422406	0.00466028
5	0.966319	0.969089	0.000268473	0.0231216	0.000161743	0.00217797	3.49451e-05	0.0257335	9.78878e-05	0.00402677	0.00827517	0.000349923	0.000438639	0.00454768
6	0.967001	0.968374	0.000233576	0.0231367	0.000155896	0.002654	3.54381e-05	0.0256532	9.58766e-05	0.00392224	0.00805339	0.000390103	0.000439195	0.00443871
7	0.967253	0.967888	0.000204502	0.023129	0.00015091	0.00315811	3.58665e-05	0.0256012	9.40217e-05	0.00382519	0.00784254	0.000413292	0.000431065	0.0043338
8	0.967282	0.967529	0.000180455	0.0231104	0.000146484	0.00367328	3.63095e-05	0.0255651	9.22898e-05	0.00373424	0.00764183	0.000423795	0.000418371	0.00423336
9	0.967196	0.967243	0.000160716	0.0230869	0.000142449	0.00418741	3.67809e-05	0.0255379	9.06563e-05	0.00364846	0.00745052	0.000425411	0.000403515	0.00413749
10	0.967055	0.967001	0.00014465	0.0230616	0.000138704	0.00469247	3.72741e-05	0.025516	8.91033e-05	0.00356723	0.00726795	0.000421124	0.000387879	0.0040461
11	0.966889	0.966786	0.000131702	0.0230359	0.000135189	0.00518345	3.7778e-05	0.0254975	8.76183e-05	0.00349009	0.00709352	0.000413133	0.000372241	0.00395899
12	0.966714	0.96659	0.000121394	0.0230105	0.000131868	0.0056575	3.82831e-05	0.025481	8.6192e-05	0.00341671	0.00692669	0.00040298	0.000357027	0.00387594
13	0.966537	0.966407	0.000113312	0.0229859	0.000128714	0.00611326	3.87822e-05	0.025466	8.48181e-05	0.00334679	0.00676696	0.000391715	0.000342455	0.00379672
14	0.966364	0.966235	0.000107104	0.0229619	0.000125711	0.00655032	3.92705e-05	0.0254519	8.34919e-05	0.0032801	0.00661388	0.000380025	0.00032862	0.0037211
15	0.966195	0.966072	0.000102467	0.0229387	0.000122843	0.00696889	3.9745e-05	0.0254386	8.22096e-05	0.00321642	0.00646703	0.000368348	0.000315553	0.00364887
16	0.966033	0.965917	9.91455e-05	0.0229162	0.000120101	0.00736955	4.02041e-05	0.0254256	8.09687e-05	0.00315555	0.00632602	0.000356953	0.000303243	0.00357981
17	0.965876	0.965769	9.69212e-05	0.0228944	0.000117474	0.00775305	4.06473e-05	0.0254131	7.97668e-05	0.00309733	0.00619052	0.000345993	0.00029166	0.00351374
18	0.965725	0.965627	9.56093e-05	0.022873	0.000114955	0.00812029	4.10744e-05	0.0254008	7.8602e-05	0.0030416	0.00606018	0.000335549	0.000280767	0.00345048
19	0.96558	0.965491	9.50537e-05	0.0228522	0.000112537	0.00847215	4.14858e-05	0.0253887	7.74727e-05	0.00298822	0.00593473	0.000325652	0.000270518	0.00338988
20	0.965441	0.96536	9.5122e-05	0.0228318	0.000110213	0.00880953	4.18819e-05	0.0253766	7.63774e-05	0.00293704	0.00581387	0.000316309	0.000260871	0.00333179
21	0.965306	0.965234	9.57029e-05	0.0228118	0.000107978	0.00913329	4.22634e-05	0.0253647	7.53147e-05	0.00288794	0.00569735	0.000307506	0.000251783	0.00327606
22	0.965177	0.965113	9.67022e-05	0.0227921	0.000105826	0.00944425	4.26311e-05	0.0253527	7.42834e-05	0.00284082	0.00558494	0.00029922	0.000243214	0.00322256
23	0.965052	0.964996	9.80409e-05	0.0227726	0.000103752	0.00974317	4.29856e-05	0.0253407	7.32823e-05	0.00279556	0.00547642	0.000291424	0.000235128	0.00317118
24	0.964932	0.964884	9.96525e-05	0.0227535	0.000101752	0.0100308	4.33275e-05	0.0253287	7.23101e-05	0.00275207	0.00537157	0.000284088	0.000227489	0.0031218
25	0.964816	0.964775	0.000101481	0.0227345	9.98216e-05	0.0103077	4.36577e-05	0.0253166	7.13659e-05	0.00271025	0.00527022	0.000277182	0.000220267	0.00307433
26	0.964704	0.964669	0.00010348	0.0227157	9.79573e-05	0.0105746	4.39767e-05	0.0253044	7.04486e-05	0.00267002	0.00517218	0.000270677	0.00021343	0.00302865
27	0.964595	0.964568	0.00010561	0.0226971	9.61554e-05	0.010832	4.42851e-05	0.0252921	6.95571e-05	0.00263131	0.00507729	0.000264546	0.000206954	0.0029847
28	0.96449	0.964469	0.000107839	0.0226787	9.44126e-05	0.0110804	4.45834e-05	0.0252797	6.86906e-05	0.00259402	0.00498539	0.000258763	0.000200813	0.00294236
29	0.964388	0.964374	0.000110139	0.0226604	9.27259e-05	0.0113203	4.48723e-05	0.0252672	6.7848e-05	0.0025581	0.00489634	0.000253303	0.000194985	0.00290158
30	0.96429	0.964281	0.000112488	0.0226422	9.10926e-05	0.0115523	4.51521e-05	0.0252546	6.70285e-05	0.00252348	0.00481	0.000248145	0.000189449	0.00286228
31	0.964195	0.964192	0.000114868	0.0226241	8.95098e-05	0.0117766	4.54234e-05	0.0252419	6.62313e-05	0.0024901	0.00472625	0.000243267	0.000184186	0.00282438
32	0.964102	0.964105	0.000117262	0.0226062	8.79753e-05	0.0119938	4.56865e-05	0.0252291	6.54556e-05	0.0024579	0.00464496	0.000238652	0.000179178	0.00278782
33	0.964013	0.96402	0.000119659	0.0225883	8.64867e-05	0.0122041	4.59418e-05	0.0252161	6.47006e-05	0.00242682	0.00456603	0.00023428	0.00017441	0.00275254
34	0.963926	0.963938	0.000122048	0.0225705	8.50418e-05	0.0124078	4.61898e-05	0.0252031	6.39654e-05	0.00239682	0.00448935	0.000230137	0.000169865	0.00271848
35	0.963841	0.963858	0.000124422	0.0225528	8.36386e-05	0.0126054	4.64307e-05	0.0251899	6.32495e-05	0.00236785	0.00441482	0.000226207	0.000165532	0.0026856
36	0.963759	0.963781	0.000126772	0.0225351	8.22753e-05	0.0127971	4.66649e-05	0.0251766	6.25522e-05	0.00233987	0.00434234	0.000222477	0.000161396	0.00265382
37	0.963679	0.963705	0.000129095	0.0225176	8.09501e-05	0.0129832	4.68927e-05	0.0251632	6.18727e-05	0.00231282	0.00427184	0.000218934	0.000157446	0.00262312
38	0.963601	0.963632	0.000131386	0.0225	7.96613e-05	0.0131639	4.71143e-05	0.0251497	6.12105e-05	0.00228668	0.00420322	0.000215566	0.000153671	0.00259344
39	0.963526	0.96356	0.000133642	0.0224826	7.84073e-05	0.0133395	4.73301e-05	0.0251361	6.0565e-05	0.0022614	0.00413641	0.000212362	0.000150061	0.00256474
40	0.963452	0.963491	0.000135861	0.0224652	7.71867e-05	0.0135102	4.75402e-05	0.0251223	5.99355e-05	0.00223694	0.00407134	0.000209313	0.000146607	0.00253698
41	0.963381	0.963423	0.00013804	0.0224478	7.5998e-05	0.0136762	4.7745e-05	0.0251085	5.93216e-05	0.00221328	0.00400793	0.000206408	0.000143299	0.00251013
42	0.963311	0.963356	0.000140179	0.0224305	7.48401e-05	0.0138377	4.79446e-05	0.0250946	5.87228e-05	0.00219039	0.00394612	0.000203641	0.000140129	0.00248413
43	0.963243	0.963292	0.000142278	0.0224133	7.37115e-05	0.0139949	4.81392e-05	0.0250806	5.81384e-05	0.00216822	0.00388584	0.000201002	0.000137091	0.00245897
44	0.963177	0.963229	0.000144335	0.0223961	7.26112e-05	0.014148	4.8329e-05	0.0250665	5.75681e-05	0.00214676	0.00382704	0.000198484	0.000134176	0.00243461
45	0.963112	0.963167	0.00014635	0.0223789	7.15381e-05	0.0142972	4.85143e-05	0.0250524	5.70113e-05	0.00212598	0.00376967	0.00019608	0.000131379	0.00241102
46	0.963049	0.963107	0.000148325	0.0223618	7.0491e-05	0.0144426	4.86952e-05	0.0250381	5.64677e-05	0.00210584	0.00371365	0.000193784	0.000128692	0.00238816
47	0.962988	0.963049	0.000150259	0.0223448	6.9469e-05	0.0145843	4.88718e-05	0.0250238	5.59368e-05	0.00208633	0.00365896	0.00019159	0.000126111	0.00236602
48	0.962928	0.962991	0.000152153	0.0223277	6.84712e-05	0.0147226	4.90444e-05	0.0250094	5.54182e-05	0.00206742	0.00360553	0.000189491	0.00012363	0.00234455
49	0.962869	0.962935	0.000154008	0.0223107	6.74966e-05	0.0148575	4.9213e-05	0.0249949	5.49114e-05	0.00204909	0.00355332	0.000187484	0.000121243	0.00232375
50	0.962812	0.962881	0.000155824	0.0222938	6.65444e-05	0.0149892	4.93778e-05	0.0249804	5.44163e-05	0.00203133	0.00350229	0.000185563	0.000118946	0.00230358
51	0.962756	0.962827	0.000157603	0.0222769	6.56139e-05	0.0151177	4.9539e-05	0.0249658	5.39322e-05	0.0020141	0.0034524	0.000183723	0.000116734	0.00228402
52	0.962701	0.962775	0.000159345	0.02226	6.47041e-05	0.0152433	4.96967e-05	0.0249511	5.3459e-05	0.00199739	0.00340361	0.000181961	0.000114604	0.00226506
