Time	[High energy phosphates]	[Glucose 6 Phosphate]	[Fructose 6 Phosphate]	[NADH]	[NAD]	[3-phosphoglycerate]	[2-phosphoglycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Acetaldehyde]	[CO2]	[Ethanol]	[Succinate]	[X]	[glyceraldehyde 3-phosphate]	[dihydroxyacetone phosphate]	[Glycerol]	[D-6-phosphoglucono-delta-lactone]	[6-phosphogluconate]	[NADP+]	[NADPH]	[ribulose 5-phosphate]	[ribose 5-phosphate]	[xylulose 5-phosphate]	[sedoheptulose 7-phosphate]	[erythrose 4-phosphate]	[Extracellular Glucose]	[Glucose in Cytosol]
55	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
56	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
57	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
58	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
59	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
60	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
61	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
62	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
63	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
64	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
65	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
66	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
67	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
68	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
69	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
70	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
71	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
72	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
73	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
74	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
75	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
76	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
77	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
78	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
79	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
80	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
