Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[Gly_e]	[ATP_c]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[CO2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
18	0.341637	4.95269	0.549103	2.65019	1.98981	0.541397	1.2431	3.79364	0.190222	0	1	0	2.3399	0.16492	0.0350167	5	0.034657	1.35735	0	3.95598	10.5223	0.120893	0	0	0.0473064	17.1997	1.015	3.46108	1042.61	0.317001	0.0440243
19	0.34213	4.95279	0.548087	2.65193	1.98861	0.542108	1.2421	3.80359	0.190498	0	1	0	2.34165	0.165205	0.0350668	5	0.0347071	1.36096	0	3.95602	10.5351	0.120974	0	0	0.0472096	17.1743	1.01597	3.4633	1045.23	0.316253	0.043981
20	0.342525	4.95287	0.547275	2.65332	1.98765	0.542676	1.2413	3.81156	0.190719	0	1	0	2.34304	0.165433	0.035107	5	0.0347472	1.36385	0	3.95605	10.5453	0.121039	0	0	0.0471324	17.154	1.01675	3.46508	1047.32	0.315658	0.0439465
21	0.342841	4.95293	0.546626	2.65443	1.98687	0.543132	1.24066	3.81794	0.190896	0	1	0	2.34415	0.165615	0.0351392	5	0.0347795	1.36616	0	3.95608	10.5535	0.121092	0	0	0.0470707	17.1377	1.01737	3.4665	1049	0.315183	0.0439189
22	0.343093	4.95298	0.546105	2.65532	1.98625	0.543497	1.24015	3.82305	0.191038	0	1	0	2.34504	0.165761	0.035165	5	0.0348053	1.36801	0	3.9561	10.56	0.121133	0	0	0.0470213	17.1248	1.01787	3.46764	1050.34	0.314804	0.0438968
23	0.343296	4.95302	0.545688	2.65603	1.98576	0.54379	1.23974	3.82715	0.191151	0	1	0	2.34576	0.165877	0.0351858	5	0.0348261	1.3695	0	3.95612	10.5653	0.121167	0	0	0.0469819	17.1144	1.01826	3.46855	1051.42	0.314501	0.0438792
24	0.343458	4.95305	0.545355	2.6566	1.98536	0.544024	1.23942	3.83043	0.191243	0	1	0	2.34633	0.165971	0.0352024	5	0.0348427	1.37069	0	3.95613	10.5694	0.121193	0	0	0.0469503	17.106	1.01858	3.46929	1052.28	0.314259	0.0438651
25	0.343588	4.95308	0.545087	2.65706	1.98504	0.544212	1.23915	3.83306	0.191316	0	1	0	2.34678	0.166046	0.0352158	5	0.0348561	1.37164	0	3.95615	10.5728	0.121215	0	0	0.046925	17.0993	1.01884	3.46987	1052.98	0.314065	0.0438538
26	0.343692	4.9531	0.544872	2.65742	1.98478	0.544363	1.23894	3.83518	0.191374	0	1	0	2.34715	0.166106	0.0352265	5	0.0348668	1.37241	0	3.95616	10.5755	0.121232	0	0	0.0469047	17.094	1.01904	3.47034	1053.53	0.31391	0.0438448
27	0.343775	4.95311	0.5447	2.65772	1.98458	0.544484	1.23878	3.83687	0.191421	0	1	0	2.34744	0.166154	0.0352351	5	0.0348754	1.37302	0	3.95616	10.5776	0.121246	0	0	0.0468885	17.0897	1.01921	3.47072	1053.98	0.313786	0.0438375
