Time	[Glucose inside the cell]	[ATP]	[Glucose 6-phosphate]	[Phosphoenol pyruvate]	[Glycerol]	[Ethanol]	[Glycogen and Trehalose]	[Glucose outside the cell]
0	0.0345	1.19	1.011	0.0095	0	0	0	1
1	0.034512	1.12729	1.01078	0.00952117	0	0	0	1
2	0.0345096	1.12773	1.01096	0.00952432	0	0	0	1
3	0.0345092	1.12779	1.01099	0.00952482	0	0	0	1
4	0.0345091	1.12781	1.01099	0.0095249	0	0	0	1
5	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
6	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
7	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
8	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
9	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
10	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
11	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
12	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
13	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
14	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
15	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
16	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
17	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
18	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
19	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
20	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
21	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
22	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
23	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
24	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
25	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
26	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
27	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
28	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
29	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
30	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
31	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
32	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
33	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
34	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
35	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
36	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
37	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
38	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
39	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
40	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
41	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
42	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
43	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
44	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
45	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
46	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
47	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
48	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
49	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
50	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
51	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
52	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
53	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
54	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
55	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
56	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
