Time	[S0]	[ATP]	[S1]	[Pi_]	[ADP]	[fwd_step1]	[fwd_step2]	[back_step1]	[back_step2]
0	1e+16	20	0	0	0	0	0	0	0
1	4.61537e+15	20	5.38463e+15	0	0	6.75146e+16	6.21304e+16	4.82247e+11	3.10652e+10
2	4.61537e+15	20	5.38463e+15	0	0	1.3213e+17	1.26746e+17	9.43784e+11	6.3373e+10
3	4.61537e+15	20	5.38463e+15	0	0	1.96745e+17	1.91362e+17	1.40532e+12	9.56808e+10
4	4.61537e+15	20	5.38463e+15	0	0	2.6136e+17	2.55977e+17	1.86686e+12	1.27989e+11
5	4.61537e+15	20	5.38463e+15	0	0	3.25975e+17	3.20593e+17	2.32839e+12	1.60296e+11
6	4.61537e+15	20	5.38463e+15	0	0	3.9059e+17	3.85208e+17	2.78993e+12	1.92604e+11
7	4.61537e+15	20	5.38463e+15	0	0	4.55205e+17	4.49824e+17	3.25147e+12	2.24912e+11
8	4.61537e+15	20	5.38463e+15	0	0	5.19821e+17	5.14439e+17	3.713e+12	2.5722e+11
9	4.61537e+15	20	5.38463e+15	0	0	5.84436e+17	5.79055e+17	4.17454e+12	2.89528e+11
10	4.61537e+15	20	5.38463e+15	0	0	6.49051e+17	6.43671e+17	4.63608e+12	3.21835e+11
11	4.61537e+15	20	5.38463e+15	0	0	7.13666e+17	7.08286e+17	5.09761e+12	3.54143e+11
12	4.61537e+15	20	5.38463e+15	0	0	7.78281e+17	7.72902e+17	5.55915e+12	3.86451e+11
13	4.61537e+15	20	5.38463e+15	0	0	8.42896e+17	8.37517e+17	6.02069e+12	4.18759e+11
14	4.61537e+15	20	5.38463e+15	0	0	9.07512e+17	9.02133e+17	6.48223e+12	4.51066e+11
15	4.61537e+15	20	5.38463e+15	0	0	9.72127e+17	9.66749e+17	6.94376e+12	4.83374e+11
16	4.61537e+15	20	5.38463e+15	0	0	1.03674e+18	1.03136e+18	7.4053e+12	5.15682e+11
17	4.61537e+15	20	5.38463e+15	0	0	1.10136e+18	1.09598e+18	7.86684e+12	5.4799e+11
18	4.61537e+15	20	5.38463e+15	0	0	1.16597e+18	1.1606e+18	8.32837e+12	5.80298e+11
19	4.61537e+15	20	5.38463e+15	0	0	1.23059e+18	1.22521e+18	8.78991e+12	6.12605e+11
20	4.61537e+15	20	5.38463e+15	0	0	1.2952e+18	1.28983e+18	9.25145e+12	6.44913e+11
21	4.61537e+15	20	5.38463e+15	0	0	1.35982e+18	1.35444e+18	9.71298e+12	6.77221e+11
22	4.61537e+15	20	5.38463e+15	0	0	1.42443e+18	1.41906e+18	1.01745e+13	7.09529e+11
23	4.61537e+15	20	5.38463e+15	0	0	1.48905e+18	1.48367e+18	1.06361e+13	7.41837e+11
24	4.61537e+15	20	5.38463e+15	0	0	1.55366e+18	1.54829e+18	1.10976e+13	7.74144e+11
25	4.61537e+15	20	5.38463e+15	0	0	1.61828e+18	1.6129e+18	1.15591e+13	8.06452e+11
26	4.61537e+15	20	5.38463e+15	0	0	1.68289e+18	1.67752e+18	1.20207e+13	8.3876e+11
27	4.61537e+15	20	5.38463e+15	0	0	1.74751e+18	1.74214e+18	1.24822e+13	8.71068e+11
28	4.61537e+15	20	5.38463e+15	0	0	1.81212e+18	1.80675e+18	1.29437e+13	9.03376e+11
29	4.61537e+15	20	5.38463e+15	0	0	1.87674e+18	1.87137e+18	1.34053e+13	9.35683e+11
30	4.61537e+15	20	5.38463e+15	0	0	1.94135e+18	1.93598e+18	1.38668e+13	9.67991e+11
31	4.61537e+15	20	5.38463e+15	0	0	2.00597e+18	2.0006e+18	1.43284e+13	1.0003e+12
32	4.61537e+15	20	5.38463e+15	0	0	2.07058e+18	2.06521e+18	1.47899e+13	1.03261e+12
33	4.61537e+15	20	5.38463e+15	0	0	2.1352e+18	2.12983e+18	1.52514e+13	1.06491e+12
34	4.61537e+15	20	5.38463e+15	0	0	2.19981e+18	2.19444e+18	1.5713e+13	1.09722e+12
35	4.61537e+15	20	5.38463e+15	0	0	2.26443e+18	2.25906e+18	1.61745e+13	1.12953e+12
36	4.61537e+15	20	5.38463e+15	0	0	2.32904e+18	2.32368e+18	1.6636e+13	1.16184e+12
37	4.61537e+15	20	5.38463e+15	0	0	2.39366e+18	2.38829e+18	1.70976e+13	1.19415e+12
38	4.61537e+15	20	5.38463e+15	0	0	2.45828e+18	2.45291e+18	1.75591e+13	1.22645e+12
39	4.61537e+15	20	5.38463e+15	0	0	2.52289e+18	2.51752e+18	1.80206e+13	1.25876e+12
40	4.61537e+15	20	5.38463e+15	0	0	2.58751e+18	2.58214e+18	1.84822e+13	1.29107e+12
41	4.61537e+15	20	5.38463e+15	0	0	2.65212e+18	2.64675e+18	1.89437e+13	1.32338e+12
42	4.61537e+15	20	5.38463e+15	0	0	2.71674e+18	2.71137e+18	1.94053e+13	1.35568e+12
43	4.61537e+15	20	5.38463e+15	0	0	2.78135e+18	2.77598e+18	1.98668e+13	1.38799e+12
44	4.61537e+15	20	5.38463e+15	0	0	2.84597e+18	2.8406e+18	2.03283e+13	1.4203e+12
45	4.61537e+15	20	5.38463e+15	0	0	2.91058e+18	2.90522e+18	2.07899e+13	1.45261e+12
46	4.61537e+15	20	5.38463e+15	0	0	2.9752e+18	2.96983e+18	2.12514e+13	1.48492e+12
47	4.61537e+15	20	5.38463e+15	0	0	3.03981e+18	3.03445e+18	2.17129e+13	1.51722e+12
48	4.61537e+15	20	5.38463e+15	0	0	3.10443e+18	3.09906e+18	2.21745e+13	1.54953e+12
