Time	[ATP]	[PCr]	[ADP]	[Cr]	[Pi]	[CTcap]	[CTtis]	[CFcap]	[CFtis]
0	8.19886	40.9894	0.001142	1.01056	0.5	5.28153	0.408482	0.03969	0.0374
1	8.19886	40.9891	0.00114233	1.01083	0.5	5.282	0.408491	0.039693	0.0374045
2	8.19886	40.9891	0.00114235	1.01086	0.5	5.28193	0.40849	0.0396926	0.037404
3	8.19886	40.9891	0.00114236	1.01086	0.5	5.28189	0.408489	0.0396923	0.0374038
4	8.18601	32.2654	0.0139853	9.73458	0.5	1.29901	0.324287	0.018319	0.0112453
5	8.18463	31.5231	0.0153712	10.4769	0.5	1.18728	0.316123	0.0176242	0.0101873
6	8.18452	31.4642	0.0154838	10.5358	0.5	1.18922	0.315996	0.0176364	0.010172
7	8.18451	31.4606	0.0154905	10.5394	0.5	1.19097	0.316076	0.0176475	0.0101816
8	8.18451	31.4606	0.0154905	10.5393	0.5	1.19142	0.3161	0.0176504	0.0101846
9	8.18451	31.4607	0.0154903	10.5393	0.5	1.19152	0.316106	0.017651	0.0101852
10	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176511	0.0101854
11	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
12	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
13	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
14	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
15	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
16	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
17	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
18	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
19	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
20	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
21	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
22	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
23	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
24	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
25	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
26	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
27	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
28	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
29	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
30	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
31	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
32	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
33	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
34	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
35	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
36	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
37	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
38	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
39	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
40	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
41	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
42	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
43	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
44	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
45	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
46	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
47	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
48	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
49	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
50	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
51	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
52	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
53	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
54	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
55	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
56	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
57	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
58	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
59	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
60	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
61	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
62	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
63	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
64	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
65	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
66	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
67	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
68	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
69	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
70	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
71	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
72	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
73	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
74	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
75	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
76	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
77	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
78	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
79	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
80	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
81	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
82	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
83	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
84	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
85	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
86	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
87	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
88	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
89	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
90	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
91	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
92	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
93	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
94	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
95	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
96	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
97	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
98	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
99	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
100	8.18451	31.4607	0.0154903	10.5392	0.5	1.19154	0.316107	0.0176512	0.0101854
