Time	[A]	[AgB]	[gB]	[rB]	[B]	[AB]
64	0.0235654	0.16618	0.83382	63.4938	4243.79	4748.22
65	0.0233109	0.159683	0.840317	62.5021	4290.11	4800.48
66	0.0230801	0.153441	0.846559	61.509	4333	4852.22
67	0.0228715	0.147443	0.852557	60.5157	4372.5	4903.45
68	0.022684	0.141681	0.858319	59.5233	4408.64	4954.17
69	0.0225163	0.136145	0.863855	58.5331	4441.47	5004.38
70	0.0223674	0.130826	0.869174	57.5459	4471.02	5054.09
71	0.0222365	0.125715	0.874285	56.5627	4497.33	5103.31
72	0.0221227	0.120805	0.879195	55.5844	4520.45	5152.04
73	0.0220253	0.116087	0.883913	54.6118	4540.43	5200.28
74	0.0219437	0.111554	0.888446	53.6456	4557.32	5248.04
75	0.0218771	0.107199	0.892801	52.6865	4571.17	5295.33
76	0.0218253	0.103015	0.896985	51.7352	4582.03	5342.15
77	0.0217876	0.098995	0.901005	50.7921	4589.95	5388.5
78	0.0217636	0.0951326	0.904867	49.858	4594.99	5434.39
79	0.0217531	0.0914217	0.908578	48.9331	4597.21	5479.82
80	0.0217556	0.0878564	0.912144	48.018	4596.66	5524.8
81	0.0217711	0.084431	0.915569	47.1131	4593.4	5569.33
82	0.0217991	0.08114	0.91886	46.2188	4587.48	5613.42
83	0.0218396	0.0779782	0.922022	45.3353	4578.97	5657.07
84	0.0218923	0.0749404	0.92506	44.463	4567.93	5700.29
85	0.0219573	0.0720218	0.927978	43.602	4554.41	5743.07
86	0.0220344	0.0692178	0.930782	42.7527	4538.47	5785.43
87	0.0221236	0.0665239	0.933476	41.9153	4520.17	5827.37
88	0.0222248	0.0639358	0.936064	41.0898	4499.57	5868.89
89	0.0223382	0.0614493	0.938551	40.2765	4476.73	5910
90	0.0224637	0.0590604	0.94094	39.4755	4451.71	5950.69
91	0.0226015	0.0567654	0.943235	38.6868	4424.56	5990.99
92	0.0227517	0.0545606	0.945439	37.9106	4395.35	6030.88
93	0.0229144	0.0524424	0.947558	37.1469	4364.14	6070.38
94	0.0230899	0.0504075	0.949592	36.3957	4330.97	6109.48
95	0.0232783	0.0484526	0.951547	35.6571	4295.91	6148.19
96	0.02348	0.0465746	0.953425	34.9311	4259.01	6186.52
97	0.0236951	0.0447704	0.95523	34.2177	4220.33	6224.46
98	0.0239242	0.0430372	0.956963	33.5168	4179.92	6262.03
99	0.0241674	0.0413723	0.958628	32.8284	4137.85	6299.23
100	0.0244253	0.0397729	0.960227	32.1525	4094.15	6336.05
