Time	[C16AcylCarCYT]	[C16AcylCarMAT]	[C16AcylCoAMAT]	[C16EnoylCoAMAT]	[C16HydroxyacylCoAMAT]	[C16KetoacylCoAMAT]	[C14AcylCarCYT]	[C14AcylCarMAT]	[C14AcylCoAMAT]	[C14EnoylCoAMAT]	[C14HydroxyacylCoAMAT]	[C14KetoacylCoAMAT]	[C12AcylCarCYT]	[C12AcylCarMAT]	[C12AcylCoAMAT]	[C12EnoylCoAMAT]	[C12HydroxyacylCoAMAT]	[C12KetoacylCoAMAT]	[C10AcylCarCYT]	[C10AcylCarMAT]	[C10AcylCoAMAT]	[C10EnoylCoAMAT]	[C10HydroxyacylCoAMAT]	[C10KetoacylCoAMAT]	[C8AcylCarCYT]	[C8AcylCarMAT]	[C8AcylCoAMAT]	[C8EnoylCoAMAT]	[C8HydroxyacylCoAMAT]	[C8KetoacylCoAMAT]	[C6AcylCarCYT]	[C6AcylCarMAT]	[C6AcylCoAMAT]	[C6EnoylCoAMAT]	[C6HydroxyacylCoAMAT]	[C6KetoacylCoAMAT]	[C4AcylCarCYT]	[C4AcylCarMAT]	[C4AcylCoAMAT]	[C4EnoylCoAMAT]	[C4HydroxyacylCoAMAT]	[C4AcetoacylCoAMAT]	[AcetylCoAMAT]	[FADHMAT]	[NADHMAT]	[CoAMAT]	[C16AcylCoACYT]	[CarCYT]	[CoACYT]	[MalCoACYT]	[CarMAT]	[FADtMAT]	[NADtMAT]	[CoAMATt]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0.46	16	4930	25	200	140	0	950	0.77	250	5000
1	0.170617	0.368394	0.906862	0.0531987	0.16589	0.000526473	0.0391024	0.185742	2.0063	0.0596748	0.172973	0.00054846	0.0541425	0.257187	2.77811	0.069113	0.21073	0.00066638	0.101659	0.482911	5.21679	0.0759494	0.232751	0.000734172	0.107119	0.508858	5.49972	0.16621	0.515252	0.00162471	0.294202	1.39758	15.1175	15.0502	46.8902	0.147798	0.437885	2.08019	23.1218	45.8596	143.277	0.451712	70	0.46	16	4621.95	25	200	140	0	950	0.77	250	5000
2	0.177477	0.400924	0.984026	0.0630093	0.19688	0.000624822	0.0432513	0.205446	2.17209	0.0707613	0.203822	0.000646242	0.0615873	0.292543	3.09296	0.0826677	0.251535	0.000795284	0.126695	0.601816	6.36295	0.0917009	0.280598	0.000884885	0.143105	0.679768	7.1884	0.201543	0.624372	0.00196831	0.390195	1.85348	19.6063	18.0692	56.2758	0.177317	0.623991	2.96407	31.6557	62.4561	195.128	0.614968	70	0.46	16	4524.14	25	200	140	0	950	0.77	250	5000
3	0.180668	0.416054	1.0188	0.0675821	0.211343	0.000670725	0.0451948	0.214676	2.2465	0.0759214	0.218167	0.000691714	0.0649728	0.308623	3.22963	0.088969	0.270497	0.00085518	0.138181	0.656364	6.86871	0.0990799	0.303009	0.000955479	0.16048	0.762291	7.97787	0.218158	0.675686	0.00212989	0.437038	2.07596	21.7296	19.4896	60.6911	0.191203	0.715305	3.39776	35.7255	70.2859	219.589	0.691967	70	0.46	16	4478.03	25	200	140	0	950	0.77	250	5000
4	0.18233	0.423934	1.03666	0.0699616	0.218874	0.000694624	0.0462119	0.219507	2.28468	0.0786054	0.225628	0.000715361	0.0667259	0.316949	3.29888	0.0922456	0.280355	0.000886319	0.144135	0.684643	7.12597	0.102929	0.314701	0.000992306	0.169673	0.80595	8.38894	0.22684	0.7025	0.00221433	0.461932	2.19419	22.8406	20.2314	62.9972	0.198456	0.763933	3.62872	37.8619	74.3791	232.376	0.732216	70	0.46	16	4453.93	25	200	140	0	950	0.77	250	5000
5	0.183237	0.428232	1.04633	0.0712585	0.222979	0.000707652	0.0467684	0.22215	2.30534	0.080068	0.229693	0.000728245	0.0676802	0.321481	3.33615	0.0940308	0.285726	0.000903285	0.147376	0.700037	7.26462	0.10503	0.321081	0.0010124	0.174726	0.829952	8.61301	0.231583	0.717146	0.00226044	0.475648	2.25934	23.4478	20.6365	64.2562	0.202415	0.790753	3.75609	39.031	76.6148	239.361	0.754199	70	0.46	16	4440.77	25	200	140	0	950	0.77	250	5000
6	0.183742	0.43063	1.05171	0.0719816	0.225268	0.000714917	0.0470793	0.223627	2.31682	0.0808834	0.231959	0.000735428	0.0682121	0.324008	3.3568	0.0950261	0.28872	0.000912742	0.149182	0.708617	7.34146	0.106202	0.324641	0.00102362	0.177557	0.843399	8.73794	0.23423	0.725322	0.00228619	0.483341	2.29588	23.7867	20.8625	64.9589	0.204625	0.805803	3.82757	39.6843	77.8627	243.259	0.766469	70	0.46	16	4433.42	25	200	140	0	950	0.77	250	5000
7	0.184028	0.431984	1.05474	0.0723897	0.22656	0.000719017	0.047255	0.224461	2.32329	0.0813436	0.233237	0.000739481	0.0685122	0.325433	3.36841	0.0955877	0.290409	0.000918079	0.150202	0.713459	7.38468	0.106864	0.326651	0.00102995	0.179159	0.851007	8.80845	0.235725	0.729939	0.00230073	0.487697	2.31656	23.9782	20.9901	65.3556	0.205873	0.814327	3.86806	40.0533	78.5674	245.461	0.773398	70	0.46	16	4429.27	25	200	140	0	950	0.77	250	5000
8	0.18419	0.432753	1.05646	0.0726215	0.227294	0.000721346	0.0473548	0.224936	2.32696	0.0816049	0.233964	0.000741783	0.0686827	0.326243	3.37499	0.0959067	0.291369	0.00092111	0.150781	0.716209	7.40919	0.10724	0.327793	0.00103354	0.18007	0.855335	8.8485	0.236574	0.732562	0.00230899	0.490176	2.32834	24.087	21.0627	65.581	0.206582	0.819179	3.8911	40.2631	78.9678	246.711	0.777335	70	0.46	16	4426.91	25	200	140	0	950	0.77	250	5000
9	0.184283	0.433192	1.05744	0.0727537	0.227713	0.000722674	0.0474118	0.225206	2.32905	0.081754	0.234378	0.000743096	0.06878	0.326705	3.37874	0.0960886	0.291916	0.000922839	0.151111	0.717777	7.42315	0.107454	0.328444	0.0010356	0.180591	0.857806	8.87133	0.237059	0.734059	0.0023137	0.491591	2.33506	24.149	21.104	65.7096	0.206986	0.821948	3.90426	40.3828	79.1962	247.425	0.77958	70	0.46	16	4425.57	25	200	140	0	950	0.77	250	5000
