Time	[Responding_Osteoblasts]	[Active_Osteoblasts]	[Active_Osteoclasts]
0	0.0007734	0.0007282	0.0009127
1	0.000773397	0.000728222	0.000912696
2	0.000773393	0.000728241	0.000912697
3	0.000773391	0.000728255	0.0009127
4	0.00077339	0.000728267	0.000912705
5	0.00077339	0.000728276	0.00091271
6	0.00077339	0.000728282	0.000912716
7	0.000773392	0.000728288	0.000912722
8	0.000773394	0.000728292	0.000912726
9	0.000773397	0.000728296	0.000912731
10	0.0007734	0.000728299	0.000912734
11	0.000773403	0.000728301	0.000912737
12	0.000773406	0.000728304	0.000912739
13	0.000773409	0.000728306	0.00091274
14	0.000773412	0.000728309	0.000912742
15	0.000773414	0.000728311	0.000912743
16	0.000773416	0.000728313	0.000912744
17	0.000773418	0.000728315	0.000912744
18	0.00077342	0.000728317	0.000912745
19	0.000773422	0.000728319	0.000912746
20	0.000773423	0.00072832	0.000912746
21	0.000773424	0.000728322	0.000912746
22	0.000773425	0.000728323	0.000912747
23	0.000773426	0.000728325	0.000912747
24	0.000773427	0.000728326	0.000912748
25	0.000773428	0.000728327	0.000912748
26	0.000773429	0.000728328	0.000912749
27	0.00077343	0.000728329	0.000912749
28	0.00077343	0.00072833	0.000912749
29	0.000773431	0.000728331	0.000912749
30	0.000773431	0.000728332	0.00091275
31	0.000773432	0.000728332	0.00091275
32	0.000773432	0.000728333	0.00091275
33	0.000773433	0.000728333	0.00091275
34	0.000773433	0.000728334	0.000912751
35	0.000773434	0.000728334	0.000912751
36	0.000773434	0.000728335	0.000912751
37	0.000773434	0.000728335	0.000912751
38	0.000773435	0.000728336	0.000912751
39	0.000773435	0.000728336	0.000912751
40	0.000773435	0.000728336	0.000912752
41	0.000773435	0.000728336	0.000912752
42	0.000773436	0.000728337	0.000912752
43	0.000773436	0.000728337	0.000912752
44	0.000773436	0.000728337	0.000912752
45	0.000773436	0.000728337	0.000912752
46	0.000773436	0.000728338	0.000912752
47	0.000773436	0.000728338	0.000912752
48	0.000773436	0.000728338	0.000912752
49	0.000773437	0.000728338	0.000912752
50	0.000773437	0.000728338	0.000912752
51	0.000773437	0.000728338	0.000912752
52	0.000773437	0.000728338	0.000912752
53	0.000773437	0.000728338	0.000912752
54	0.000773437	0.000728339	0.000912752
55	0.000773437	0.000728339	0.000912752
56	0.000773437	0.000728339	0.000912753
57	0.000773437	0.000728339	0.000912753
58	0.000773437	0.000728339	0.000912753
59	0.000773437	0.000728339	0.000912753
60	0.000773437	0.000728339	0.000912753
61	0.000773437	0.000728339	0.000912753
62	0.000773437	0.000728339	0.000912753
63	0.000773437	0.000728339	0.000912753
64	0.000773437	0.000728339	0.000912753
65	0.000773437	0.000728339	0.000912753
66	0.000773437	0.000728339	0.000912753
67	0.000773438	0.000728339	0.000912753
68	0.000773438	0.000728339	0.000912753
69	0.000773438	0.000728339	0.000912753
70	0.000773438	0.000728339	0.000912753
71	0.000773438	0.000728339	0.000912753
72	0.000773438	0.000728339	0.000912753
73	0.000773438	0.000728339	0.000912753
74	0.000773438	0.000728339	0.000912753
75	0.000773438	0.000728339	0.000912753
76	0.000773438	0.00072834	0.000912753
77	0.000773438	0.00072834	0.000912753
78	0.000773438	0.00072834	0.000912753
79	0.000773438	0.00072834	0.000912753
80	0.000773438	0.00072834	0.000912753
81	0.000773438	0.00072834	0.000912753
82	0.000773438	0.00072834	0.000912753
83	0.000773438	0.00072834	0.000912753
84	0.000773438	0.00072834	0.000912753
85	0.000773438	0.00072834	0.000912753
86	0.000773438	0.00072834	0.000912753
87	0.000773438	0.00072834	0.000912753
88	0.000773438	0.00072834	0.000912753
89	0.000773438	0.00072834	0.000912753
90	0.000773438	0.00072834	0.000912753
91	0.000773438	0.00072834	0.000912753
92	0.000773438	0.00072834	0.000912753
93	0.000773438	0.00072834	0.000912753
94	0.000773438	0.00072834	0.000912753
95	0.000773438	0.00072834	0.000912753
96	0.000773438	0.00072834	0.000912753
97	0.000773438	0.00072834	0.000912753
98	0.000773438	0.00072834	0.000912753
99	0.000773438	0.00072834	0.000912753
100	0.000773438	0.00072834	0.000912753
