Time	[NGF]	[TrkA]	[pTrkA]	[pTrkA_Akt]	[Akt]	[pAkt]	[S6]	[pAkt_S6]	[pS6]	[pro_TrkA]	[NGF_TrkA]
52	0.433333	8.31528	0.00828234	0.0109628	1.14277	4.73996e-05	3.55004	0.00216497	0.00012866	8.52065	0.180958
53	0.441667	8.30817	0.00861284	0.0115862	1.14199	5.09283e-05	3.54987	0.00232675	0.00014131	8.52065	0.186764
54	0.45	8.30098	0.00894897	0.0122299	1.14117	5.46316e-05	3.54968	0.00249656	0.000154892	8.52065	0.192621
55	0.458333	8.29369	0.00929069	0.0128938	1.14032	5.85132e-05	3.54949	0.00267458	0.000169453	8.52065	0.198528
56	0.466667	8.28631	0.00963794	0.013578	1.13945	6.25771e-05	3.54929	0.00286097	0.000185039	8.52065	0.204484
57	0.475	8.27884	0.00999068	0.0142826	1.13854	6.68271e-05	3.54908	0.00305591	0.000201698	8.52065	0.210486
58	0.483333	8.27128	0.0103489	0.0150077	1.13761	7.12668e-05	3.54886	0.00325957	0.000219478	8.52065	0.216534
59	0.491667	8.26364	0.0107125	0.0157532	1.13665	7.58999e-05	3.54863	0.00347212	0.000238429	8.52065	0.222626
60	0.5	8.25591	0.0110814	0.0165192	1.13566	8.07299e-05	3.54838	0.00369371	0.0002586	8.52065	0.228761
61	0.508333	8.2481	0.0114557	0.0173058	1.13463	8.57603e-05	3.54813	0.00392451	0.000280044	8.52065	0.234937
62	0.516667	8.24021	0.0118352	0.0181129	1.13358	9.09945e-05	3.54787	0.00416467	0.000302812	8.52065	0.241153
63	0.525	8.23223	0.01222	0.0189407	1.1325	9.64359e-05	3.54759	0.00441433	0.000326958	8.52065	0.247407
64	0.533333	8.22417	0.01261	0.0197889	1.13138	0.000102088	3.54731	0.00467365	0.000352534	8.52065	0.253699
65	0.541667	8.21604	0.0130051	0.0206578	1.13024	0.000107953	3.54701	0.00494276	0.000379595	8.52065	0.260026
66	0.55	8.20782	0.0134054	0.0215472	1.12907	0.000114035	3.54671	0.00522181	0.000408198	8.52065	0.266389
67	0.558333	8.19953	0.0138107	0.0224571	1.12786	0.000120336	3.54639	0.00551092	0.000438397	8.52065	0.272785
68	0.566667	8.19116	0.0142211	0.0233875	1.12662	0.00012686	3.54606	0.00581023	0.00047025	8.52065	0.279214
69	0.575	8.18272	0.0146365	0.0243383	1.12536	0.000133609	3.54571	0.00611985	0.000503814	8.52065	0.285673
70	0.583333	8.1742	0.0150568	0.0253095	1.12406	0.000140587	3.54536	0.00643992	0.000539147	8.52065	0.292163
71	0.591667	8.1656	0.0154821	0.026301	1.12273	0.000147794	3.54499	0.00677055	0.000576308	8.52065	0.298681
72	0.6	8.15694	0.0159123	0.0273129	1.12137	0.000155236	3.54461	0.00711184	0.000615356	8.52065	0.305228
73	0.608333	8.1482	0.0163474	0.0283449	1.11998	0.000162912	3.54422	0.00746391	0.000656352	8.52065	0.311801
74	0.616667	8.13939	0.0167873	0.029397	1.11855	0.000170827	3.54381	0.00782685	0.000699356	8.52065	0.318399
75	0.625	8.13052	0.017232	0.0304691	1.1171	0.000178982	3.54339	0.00820077	0.000744429	8.52065	0.325022
76	0.633333	8.12157	0.0176814	0.0315612	1.11561	0.00018738	3.54296	0.00858576	0.000791633	8.52065	0.331669
77	0.641667	8.11255	0.0181356	0.0326731	1.1141	0.000196022	3.54251	0.0089819	0.000841031	8.52065	0.338338
78	0.65	8.10347	0.0185945	0.0338048	1.11255	0.000204911	3.54205	0.00938928	0.000892683	8.52065	0.345029
79	0.658333	8.09432	0.019058	0.034956	1.11097	0.000214048	3.54158	0.00980798	0.000946655	8.52065	0.35174
80	0.666667	8.08511	0.0195262	0.0361268	1.10936	0.000223435	3.54109	0.0102381	0.00100301	8.52065	0.358471
81	0.675	8.07583	0.019999	0.0373169	1.10772	0.000233074	3.54059	0.0106796	0.00106181	8.52065	0.36522
82	0.683333	8.06649	0.0204764	0.0385262	1.10605	0.000242967	3.54008	0.0111327	0.00112312	8.52065	0.371987
83	0.691667	8.05708	0.0209583	0.0397546	1.10434	0.000253115	3.53955	0.0115974	0.00118701	8.52065	0.378771
84	0.7	8.04762	0.0214447	0.041002	1.10261	0.00026352	3.53901	0.0120737	0.00125353	8.52065	0.38557
85	0.708333	8.03809	0.0219357	0.0422682	1.10084	0.000274183	3.53845	0.0125618	0.00132276	8.52065	0.392385
