Time	[cABAR_m]	[cPP2C]	[cSnRK2]	[cs]	[cCOP1c]	[cCOP1d]	[cCOP1n]	[cE3]	[cE3_m]	[cE3n]	[cE4]	[cE4_m]	[cEC]	[cEG]	[cG]	[cG_m]	[cL]	[cLUX]	[cLUX_m]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cZG]	[cZTL]
10	1.10913	0.294468	0.272906	0.581002	0.79682	0.62842	0.358921	0.0289005	0.225997	0.00387323	0.763669	1.24605	0.00099792	0.0402818	0.211842	1.66559	0.25648	1.4096	1.13429	0.0204568	0.193021	1.23761	1.22956	4.41767e-05	1.24894	0.892615	0.32056	0.0873714	0.108265	0.221161	0.570504	0.0552746
11	1.03135	0.27716	0.292304	0.566797	0.798071	0.603631	0.371896	0.0326805	0.282141	0.00371934	1.00829	1.51284	0.00119038	0.0520892	0.238915	1.82435	0.204658	1.92684	1.39786	0.0144378	0.169544	1.26208	1.17406	1.62517e-05	1.06714	0.686094	0.274112	0.0741302	0.157682	0.310907	0.638367	0.0482509
12	0.918638	0.267087	0.31046	0.55046	0.801563	0.56997	0.381373	0.0382621	0.337952	0.00408796	1.25933	1.68676	0.00176435	0.0639145	0.246679	1.85508	0.164378	2.45404	1.55122	0.0114421	0.146544	1.23155	1.06997	0.00508488	0.856551	0.502012	0.232975	0.0605993	0.21534	0.398619	0.695852	0.0490653
13	0.78824	0.265594	0.325886	0.450104	0.937303	0.167453	0.468319	0.0401215	0.38927	0.00378654	1.4782	1.72689	0.00504739	0.0934877	0.273751	1.67545	0.132605	2.88502	1.51551	0.0148993	0.125139	0.788807	0.89108	0.258961	0.452321	0.357444	0.179647	0.0476307	0.256981	0.446966	0.58415	0.17795
14	0.660924	0.273972	0.336666	0.379195	1.03995	0.069627	0.563408	0.0503561	0.433032	0.00538647	1.63183	1.6587	0.00953757	0.116385	0.228671	1.43479	0.109648	3.12187	1.34435	0.0231337	0.105953	0.554387	0.69319	0.451024	0.271874	0.25125	0.138445	0.0369316	0.285123	0.448902	0.487923	0.24278
15	0.54978	0.292979	0.340763	0.330023	1.11599	0.0506013	0.657255	0.0647296	0.467665	0.0084557	1.7077	1.52348	0.0166951	0.121514	0.177451	1.17575	0.0945738	3.15267	1.12054	0.037256	0.089259	0.406972	0.529813	0.593309	0.176924	0.175798	0.106891	0.029054	0.29541	0.418653	0.407547	0.271796
16	0.462755	0.32194	0.336666	0.296691	1.17232	0.050802	0.745939	0.0831148	0.493057	0.0139047	1.70747	1.35163	0.027841	0.113963	0.130294	0.92693	0.0871069	3.01199	0.894435	0.0588883	0.0750778	0.304785	0.405003	0.698716	0.119828	0.123265	0.0829	0.0233554	0.288973	0.369763	0.340412	0.282239
17	0.404846	0.357867	0.324283	0.27558	1.21405	0.0553895	0.827326	0.10522	0.509672	0.0233158	1.63979	1.16472	0.044485	0.100264	0.0916905	0.709533	0.0876701	2.75121	0.693574	0.0908953	0.0633219	0.231011	0.311333	0.776803	0.0829854	0.0873391	0.0647644	0.0191702	0.269832	0.314	0.284336	0.283391
18	0.380896	0.395203	0.30556	0.264282	1.24497	0.0606305	0.900462	0.129361	0.517656	0.0385194	1.5168	0.978911	0.067506	0.0840517	0.0632375	0.535187	0.0975152	2.42097	0.528441	0.13787	0.0539232	0.176733	0.241047	0.834652	0.0586554	0.0635069	0.0510953	0.0160794	0.242806	0.259324	0.237498	0.280198
19	0.396387	0.426589	0.284195	0.260775	1.26787	0.0655799	0.965159	0.15222	0.515955	0.0606055	1.35395	0.807023	0.0955131	0.0679949	0.0441586	0.406099	0.118912	2.06405	0.399626	0.206592	0.0469746	0.136415	0.188461	0.877507	0.0428979	0.0490331	0.0408543	0.0139601	0.212204	0.210077	0.198375	0.275252
