Time	[cABAR_m]	[cPP2C]	[cSnRK2]	[cs]	[cCOP1c]	[cCOP1d]	[cCOP1n]	[cE3]	[cE3_m]	[cE3n]	[cE4]	[cE4_m]	[cEC]	[cEG]	[cG]	[cG_m]	[cL]	[cLUX]	[cLUX_m]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cZG]	[cZTL]
77	1.15536	0.276057	0.299794	0.547213	0.842592	1.22377	0.210844	0.0460854	0.0852458	0.0952935	0.206984	0.190833	0.0180048	0.00824029	0.0238088	0.279983	0.743729	0.276842	0.0969743	0.214699	0.236669	0.568963	0.844275	0.00655589	1.18824	1.32704	0.71777	0.172443	0.0308644	0.0268069	0.194822	0.181311
78	1.17389	0.258829	0.317376	0.539381	0.825833	1.14827	0.263098	0.0376454	0.0894469	0.0643126	0.219448	0.273182	0.0117385	0.0110503	0.0388166	0.434316	0.619038	0.289494	0.156061	0.131057	0.244601	0.743005	1.00856	0.00241177	1.37915	1.39346	0.596057	0.127871	0.0284934	0.0327347	0.230809	0.164235
79	1.1821	0.244315	0.335368	0.528509	0.815669	1.07424	0.304652	0.032285	0.106219	0.0320939	0.266625	0.413103	0.00713535	0.015138	0.0646904	0.672536	0.502078	0.357287	0.26648	0.0799787	0.242185	0.909078	1.1316	0.000887242	1.48456	1.37569	0.492905	0.109781	0.0313965	0.0497179	0.286409	0.137207
80	1.1788	0.232356	0.353378	0.516052	0.809504	1.00594	0.33523	0.0295166	0.135862	0.0116127	0.360476	0.626136	0.0038965	0.0199511	0.105068	0.994596	0.401384	0.511333	0.455837	0.04929	0.230739	1.05219	1.21175	0.000326398	1.50294	1.28531	0.411862	0.101493	0.043016	0.0863871	0.360705	0.10453
81	1.15909	0.222909	0.37101	0.502892	0.805764	0.944558	0.356659	0.0288527	0.177708	0.00571467	0.511576	0.910064	0.00195902	0.0270046	0.157024	1.3526	0.319066	0.790361	0.737345	0.0310732	0.212641	1.16339	1.24992	0.000120075	1.43834	1.12768	0.349347	0.0944804	0.0687788	0.152553	0.44387	0.0755917
82	1.1118	0.216231	0.387791	0.489635	0.803496	0.889883	0.371243	0.0300206	0.229007	0.00416311	0.720983	1.22389	0.00117799	0.0367955	0.206462	1.65144	0.253718	1.21407	1.06862	0.0204138	0.1907	1.23696	1.24336	4.41731e-05	1.29649	0.914543	0.299746	0.0848985	0.113357	0.248037	0.524067	0.0573265
83	1.0239	0.213185	0.403005	0.476797	0.802121	0.84123	0.381002	0.0333706	0.285066	0.0038463	0.970083	1.48982	0.00118409	0.0476927	0.235921	1.81001	0.202582	1.74422	1.34913	0.0143533	0.167435	1.2671	1.18476	1.62504e-05	1.09689	0.689048	0.257909	0.0721117	0.175071	0.355486	0.596149	0.0489075
84	0.896836	0.215431	0.415455	0.463379	0.804027	0.780909	0.388002	0.0391842	0.340613	0.00426675	1.22005	1.63881	0.00173232	0.0583694	0.2409	1.81354	0.16278	2.2834	1.49334	0.0113169	0.144678	1.23709	1.07128	0.00508488	0.869416	0.495436	0.220088	0.0581081	0.244348	0.452532	0.656543	0.0497071
85	0.755118	0.225146	0.42326	0.378495	0.939122	0.220989	0.474089	0.0415455	0.391562	0.0040837	1.42839	1.64838	0.00489362	0.0866477	0.263263	1.62005	0.131344	2.71311	1.4438	0.0146347	0.123517	0.789278	0.882637	0.258961	0.452249	0.348188	0.16984	0.0448345	0.292489	0.50068	0.551233	0.17567
86	0.622521	0.244172	0.424039	0.318111	1.04129	0.083114	0.568415	0.0524521	0.434937	0.00592674	1.56594	1.55994	0.00946001	0.111247	0.217163	1.3739	0.10858	2.94229	1.26685	0.0225611	0.104561	0.550442	0.679151	0.451024	0.267569	0.242325	0.130648	0.0342451	0.32239	0.49573	0.460428	0.239284
87	0.510876	0.273456	0.415551	0.276766	1.11699	0.0541733	0.661564	0.0677027	0.469245	0.00947106	1.62553	1.4182	0.0168733	0.118363	0.166628	1.11815	0.0935483	2.96639	1.04592	0.0361696	0.0880703	0.400309	0.514118	0.593309	0.171816	0.168169	0.100533	0.0266978	0.330608	0.455949	0.384582	0.268002
88	0.425738	0.312128	0.396726	0.250031	1.17306	0.0518939	0.749623	0.086968	0.494427	0.0157573	1.61293	1.25166	0.0284601	0.111496	0.121457	0.879064	0.0859593	2.82512	0.829441	0.0570652	0.0740583	0.297094	0.390143	0.698716	0.115127	0.117025	0.0776724	0.0214014	0.319842	0.3979	0.32123	0.27859
89	0.370096	0.356786	0.36872	0.235156	1.2146	0.0558384	0.830457	0.109683	0.510986	0.026507	1.5389	1.07801	0.0456359	0.0979001	0.0853821	0.674358	0.0862199	2.57176	0.641543	0.0880997	0.0624336	0.223493	0.298498	0.776803	0.0789974	0.0822593	0.0604764	0.0176091	0.295558	0.334692	0.268314	0.28008
90	0.347559	0.401538	0.335197	0.230206	1.24537	0.0608935	0.903111	0.133909	0.519114	0.0435498	1.41617	0.909735	0.068969	0.0819198	0.059302	0.512808	0.0955685	2.25635	0.489827	0.133849	0.0531217	0.170051	0.230546	0.834652	0.0553284	0.0592391	0.0476077	0.0148723	0.263542	0.274487	0.224115	0.277289
91	0.363308	0.438884	0.301345	0.233285	1.26817	0.0657733	0.967391	0.156305	0.517825	0.0677468	1.25984	0.756589	0.0966055	0.0664483	0.0420265	0.394603	0.116268	1.91986	0.373081	0.20109	0.0462027	0.130807	0.180092	0.877507	0.0400328	0.0451485	0.0380531	0.0130559	0.228588	0.221318	0.187196	0.272742
92	0.420711	0.461563	0.272136	0.241987	1.28506	0.0701666	1.02357	0.173149	0.504231	0.0983251	1.08716	0.623665	0.123774	0.0533273	0.0311967	0.311752	0.151757	1.59344	0.28573	0.298805	0.0421039	0.101965	0.143481	0.909255	0.0310918	0.0391122	0.0311388	0.0122261	0.19407	0.176389	0.156359	0.267729
93	0.514651	0.465798	0.250836	0.253434	1.29757	0.0740214	1.0722	0.181442	0.473855	0.133045	0.914573	0.509899	0.144658	0.0428769	0.0243975	0.252001	0.206459	1.29793	0.220375	0.435958	0.0418562	0.0813524	0.119423	0.932774	0.0282006	0.0429635	0.0264789	0.0125235	0.161993	0.139298	0.130602	0.262874
94	0.629905	0.453568	0.238423	0.264855	1.30684	0.0773592	1.11396	0.179469	0.423852	0.168415	0.754101	0.410849	0.155079	0.0343425	0.0198226	0.204321	0.284438	1.04375	0.170037	0.612822	0.0472351	0.0682409	0.109299	0.950198	0.0331771	0.0624634	0.0238796	0.014029	0.133318	0.109055	0.109088	0.258454
95	0.748381	0.430561	0.234093	0.274241	1.31371	0.0802244	1.1496	0.167507	0.358319	0.200054	0.612324	0.32424	0.153893	0.0269744	0.0164581	0.163673	0.385578	0.832854	0.13022	0.802752	0.0602185	0.0634801	0.117756	0.963106	0.0502958	0.106711	0.0232037	0.0166201	0.10837	0.0847125	0.0911182	0.25456
96	0.856759	0.402451	0.236284	0.284343	1.31427	0.407366	0.843858	0.14833	0.28864	0.223408	0.49186	0.252224	0.141812	0.0205557	0.0137054	0.15513	0.501917	0.662288	0.0993469	0.95625	0.081353	0.0699269	0.150615	0.955925	0.0853784	0.182178	0.0251137	0.0664432	0.0872027	0.0654846	0.0768427	0.250474
97	0.950365	0.373161	0.243425	0.439067	1.11471	1.31006	0.0269052	0.114067	0.216868	0.19308	0.387324	0.193314	0.0897571	0.0201323	0.0240494	0.314933	0.76246	0.530584	0.0758157	1.1026	0.114306	0.11923	0.213357	0.35794	0.186405	0.326359	0.422784	1.05954	0.0713215	0.0505007	0.1169	0.206028
98	1.02598	0.344949	0.254239	0.511036	0.990884	1.34763	0.0538232	0.0900213	0.156583	0.162764	0.310714	0.154171	0.0574018	0.0125225	0.0160298	0.189665	0.914482	0.429043	0.0616831	0.826166	0.154158	0.184687	0.314158	0.131679	0.368222	0.613424	0.797065	0.80428	0.0573329	0.039281	0.145147	0.189836
99	1.08369	0.319053	0.26774	0.540687	0.915777	1.3378	0.0968662	0.0726589	0.116372	0.141902	0.25555	0.13915	0.0390425	0.00788095	0.01335	0.159711	0.930591	0.352521	0.0585403	0.550316	0.190303	0.278006	0.463255	0.0484418	0.636265	0.921313	0.898782	0.476755	0.0457228	0.0314945	0.159772	0.189445
100	1.12607	0.296002	0.283169	0.549287	0.870222	1.29159	0.152396	0.0578034	0.0935835	0.120815	0.220312	0.149605	0.0266786	0.00699307	0.0159604	0.192232	0.858551	0.300534	0.0683753	0.348096	0.218474	0.408233	0.652677	0.0178207	0.929333	1.16899	0.837261	0.273861	0.0367909	0.0270875	0.173463	0.188762
