Time	[calcium concentration]	Values[V]	Values[n]	Values[h]
0	0.3	-60	0.1	0.1
1	0.299632	-60.5021	0.0977852	0.120131
2	0.299261	-60.9748	0.0956172	0.140466
3	0.298886	-61.4195	0.0934952	0.160915
4	0.29851	-61.8375	0.0914187	0.181398
5	0.298131	-62.2299	0.0893869	0.201836
6	0.297749	-62.5982	0.0873992	0.222161
7	0.297367	-62.9435	0.0854547	0.242307
8	0.296982	-63.2671	0.0835527	0.262219
9	0.296596	-63.57	0.0816925	0.281848
10	0.296209	-63.8535	0.0798732	0.30115
11	0.295821	-64.1185	0.0780942	0.320088
12	0.295431	-64.366	0.0763545	0.338633
13	0.295041	-64.5972	0.0746536	0.356759
14	0.29465	-64.8128	0.0729906	0.374444
15	0.294259	-65.0137	0.0713647	0.391673
16	0.293867	-65.2007	0.0697752	0.408433
17	0.293475	-65.3747	0.0682214	0.424715
18	0.293082	-65.5363	0.0667025	0.440513
19	0.29269	-65.6862	0.0652177	0.455825
20	0.292297	-65.8252	0.0637665	0.470648
21	0.291904	-65.9537	0.062348	0.484985
22	0.29151	-66.0724	0.0609616	0.498838
23	0.291117	-66.1818	0.0596066	0.512212
24	0.290724	-66.2823	0.0582823	0.525112
25	0.290331	-66.3746	0.056988	0.537545
26	0.289939	-66.459	0.0557232	0.549519
27	0.289546	-66.5359	0.0544872	0.561041
28	0.289154	-66.6057	0.0532793	0.572122
29	0.288762	-66.6689	0.0520989	0.582769
30	0.28837	-66.7257	0.0509455	0.592994
31	0.287979	-66.7764	0.0498184	0.602806
32	0.287588	-66.8215	0.0487171	0.612216
33	0.287198	-66.861	0.047641	0.621234
34	0.286807	-66.8954	0.0465895	0.62987
35	0.286418	-66.9249	0.0455621	0.638135
36	0.286029	-66.9497	0.0445583	0.646039
37	0.28564	-66.97	0.0435776	0.653592
38	0.285252	-66.986	0.0426193	0.660806
39	0.284864	-66.9979	0.0416831	0.667689
40	0.284477	-67.006	0.0407685	0.674252
41	0.284091	-67.0103	0.0398749	0.680504
42	0.283705	-67.0111	0.0390019	0.686456
43	0.28332	-67.0084	0.0381491	0.692115
44	0.282936	-67.0025	0.0373159	0.697492
45	0.282552	-66.9934	0.036502	0.702595
46	0.282169	-66.9813	0.0357069	0.707433
47	0.281786	-66.9663	0.0349302	0.712014
48	0.281404	-66.9485	0.0341715	0.716345
49	0.281023	-66.9281	0.0334304	0.720436
50	0.280643	-66.905	0.0327065	0.724293
51	0.280263	-66.8794	0.0319994	0.727924
52	0.279884	-66.8514	0.0313088	0.731336
53	0.279506	-66.8211	0.0306342	0.734535
54	0.279128	-66.7885	0.0299753	0.737529
55	0.278752	-66.7536	0.0293317	0.740323
56	0.278376	-66.7167	0.0287032	0.742924
57	0.278001	-66.6777	0.0280894	0.745336
58	0.277627	-66.6366	0.0274899	0.747567
59	0.277253	-66.5936	0.0269044	0.749621
60	0.276881	-66.5487	0.0263326	0.751504
61	0.276509	-66.5019	0.0257743	0.75322
62	0.276138	-66.4533	0.0252291	0.754773
63	0.275768	-66.4029	0.0246967	0.756169
64	0.275399	-66.3507	0.0241768	0.757412
65	0.27503	-66.2968	0.0236692	0.758506
66	0.274663	-66.2412	0.0231735	0.759455
67	0.274296	-66.1839	0.0226896	0.760261
68	0.27393	-66.125	0.0222171	0.76093
69	0.273566	-66.0645	0.0217559	0.761464
70	0.273202	-66.0024	0.0213055	0.761866
71	0.272839	-65.9387	0.0208659	0.762139
72	0.272477	-65.8734	0.0204368	0.762287
73	0.272116	-65.8066	0.0200179	0.762311
74	0.271755	-65.7382	0.019609	0.762214
75	0.271396	-65.6683	0.0192099	0.761998
76	0.271038	-65.5969	0.0188204	0.761666
77	0.270681	-65.524	0.0184403	0.76122
78	0.270324	-65.4495	0.0180693	0.76066
79	0.269969	-65.3736	0.0177073	0.759991
80	0.269615	-65.2961	0.0173541	0.759211
81	0.269262	-65.2171	0.0170094	0.758324
82	0.268909	-65.1366	0.0166732	0.75733
83	0.268558	-65.0545	0.0163451	0.756231
84	0.268208	-64.971	0.0160251	0.755027
85	0.267859	-64.8858	0.0157129	0.75372
86	0.267511	-64.7992	0.0154085	0.75231
87	0.267163	-64.7109	0.0151116	0.750798
88	0.266818	-64.6211	0.014822	0.749184
89	0.266473	-64.5297	0.0145396	0.74747
90	0.266129	-64.4366	0.0142644	0.745654
91	0.265786	-64.3419	0.013996	0.743738
92	0.265445	-64.2456	0.0137344	0.741721
93	0.265104	-64.1476	0.0134794	0.739604
94	0.264765	-64.0478	0.0132309	0.737386
95	0.264427	-63.9464	0.0129888	0.735067
96	0.26409	-63.8431	0.0127529	0.732647
97	0.263754	-63.738	0.0125231	0.730124
98	0.26342	-63.6311	0.0122993	0.7275
99	0.263086	-63.5223	0.0120814	0.724772
100	0.262754	-63.4116	0.0118692	0.72194
