Time	[RasGTP_Golgi_GM]	[EGF_EC]	[CAPRI_cyt]	[serca]	[PIP_PM]	[PI_PM]	[Shc_PM]	[CaCAPRI_PM_PM]	[RactCa]	[Shc_star_PM]	[EGFR_PM]	[PLC_act_PM]	[RasGTP_pal_cyt]	[PLC_PM]	[PIP2_PM]	[Activated_EGFR_PM]	[Ca]	[Ract]	[Rinh]	[RinhCa]	[IP3]	[RasGDP_Golgi_GM]	[Ca_RasGRP_GM_GM]	[DAG_GM_GM]	[RasGRP_DAG_GM]	[CaCAPRI_cyt]	[DAG_PM]	[RasGTP_depal_cyt]	[RasGDP_depal_cyt]	[RasGDP_pal_cyt]	[Ca_PLCe_cyt]	[Ras_CaPLCe_GM]	[PIP2_GM_GM]	[ER_erMembrane]	[Ca_ER]	[Sos_cyt]	[Grb2_cyt]	[PLCe_cyt]	[buffer_cyt]	[ca_buffer_cyt]	[SosGrb2_cyt]	[SGS_PM]	[RasGTP_PM]	[RasGDP_PM]	[RasGRP_cyt]	[CaRasGRP1_cyt]
0	0	4.02136	30.1	45	2857	142857	186	0	2.264	0	21	0	0	100	1072	0	0	9.056	7.7825	3.5375	0	50	0	0	0	0	2000	0	0	0	0	0	250	2	120400	81.27	502.67	12.04	120.4	0	99.33	0	0	400	30.1	0
1	2.40782e-10	4.02136	30.0993	45	4114.21	141568	185.998	5.27458e-05	0.0236069	0.000268798	20.8609	0.00383964	6.41397e-09	99.9962	1101.91	0.138978	0.252542	11.2964	8.50795	2.81205	0.922026	48.7703	1.63864e-06	3.32065e-13	1.20667e-15	0.000630841	2001.69	6.55505e-11	0.0485186	2.33719	0.00662713	6.82616e-15	250	2	120371	81.2428	502.643	12.0334	120.167	0.233369	99.3561	0.0017977	4.50044e-06	396.218	30.0993	0.000658727
2	1.57829e-09	4.02136	30.0982	45	5293.31	140348	185.992	0.000262616	0.0408667	0.00057651	20.7241	0.0143209	1.11522e-07	99.9857	1131.21	0.275381	0.437144	11.2791	9.07836	2.24164	6.37502	47.5804	5.12131e-06	1.7815e-11	1.29384e-13	0.00166574	2013.12	1.16486e-09	0.0957552	4.38353	0.0160906	1.88067e-13	250	2	120342	81.2166	502.617	12.0239	119.983	0.417465	99.3787	0.00761352	3.90017e-05	392.907	30.0982	0.00178779
3	4.91941e-09	4.02136	30.0967	45	6342.43	139254	185.982	0.000671626	0.0577141	0.000904789	20.5895	0.0301022	5.69064e-07	99.9699	1147.18	0.409257	0.617887	11.2623	9.52528	1.79472	18.6222	46.4291	9.62856e-06	1.74764e-10	1.90502e-12	0.0029143	2042.71	6.07413e-09	0.141769	6.17514	0.0264608	1.26561e-12	250	2	120314	81.1915	502.591	12.0135	119.803	0.597055	99.3979	0.0173766	0.000134307	390.01	30.0968	0.00319021
4	1.16369e-08	4.02136	30.0949	45	7277.32	138271	185.968	0.00129043	0.0742285	0.00125316	20.4572	0.0500868	1.77791e-06	99.9499	1141.27	0.54065	0.795584	11.2458	9.87395	1.44605	38.0412	45.3151	1.47104e-05	8.6849e-10	1.25366e-11	0.00427435	2096.88	1.93876e-08	0.186613	7.74366	0.0370254	4.90667e-12	250	2	120285	81.1672	502.567	12.003	119.627	0.773039	99.4138	0.0310001	0.000319952	387.475	30.0953	0.00474509
5	2.40278e-08	4.02136	30.093	45	8111.59	137387	185.95	0.00211461	0.0904547	0.00162118	20.327	0.0733787	4.25835e-06	99.9266	1108.34	0.669604	0.970692	11.2295	10.1445	1.17547	63.4477	44.2373	2.01029e-05	3.02841e-09	5.37862e-11	0.00569333	2179.15	4.74263e-08	0.230338	9.11681	0.0475454	1.43772e-11	250	2	120256	81.1437	502.544	11.9925	119.454	0.945921	99.4266	0.0483987	0.000624339	385.256	30.0936	0.00638143
6	4.56984e-08	4.02136	30.0909	45	8856.12	136592	185.929	0.00313288	0.106425	0.00200838	20.199	0.0992462	8.63193e-06	99.9008	1048.1	0.796163	1.14354	11.2136	10.3531	0.966914	92.4146	43.1947	2.56511e-05	8.54759e-09	1.78002e-10	0.00714401	2289.51	9.81567e-08	0.272991	10.3188	0.0579469	3.5705e-11	250	2	120228	81.121	502.521	11.9821	119.284	1.11605	99.4363	0.0694884	0.00107486	383.314	30.0919	0.00805763
7	8.19024e-08	4.02136	30.0887	45	9508.97	135877	185.903	0.0043313	0.122173	0.00241433	20.073	0.127093	1.56042e-05	99.8729	974.641	0.920368	1.31445	11.1978	10.5124	0.80756	122.16	42.1861	3.12654e-05	2.09847e-08	4.96024e-10	0.00861236	2425.18	1.81116e-07	0.314615	11.371	0.0682158	7.93662e-11	250	2	120200	81.0989	502.499	11.9718	119.116	1.28377	99.4432	0.0941865	0.00169799	381.615	30.0902	0.00974972
8	1.39843e-07	4.02136	30.0864	45	10071.6	135233	185.875	0.00569532	0.137739	0.00283861	19.9492	0.156431	2.59499e-05	99.8436	898.456	1.04226	1.48388	11.1823	10.6328	0.687207	150.624	41.2105	3.68963e-05	4.65967e-08	1.22294e-09	0.0100916	2582.56	3.07344e-07	0.35525	12.292	0.0783619	1.62435e-10	250	2	120172	81.0775	502.478	11.9616	118.95	1.44952	99.4472	0.122412	0.00251938	380.128	30.0886	0.0114447
9	2.28955e-07	4.02136	30.084	45	10548.5	134654	185.843	0.00721099	0.153179	0.00328078	19.8274	0.186866	4.05005e-05	99.8131	825.967	1.16189	1.65239	11.1668	10.7223	0.597749	176.55	40.2669	4.25199e-05	9.57456e-08	2.74864e-09	0.0115795	2757.98	4.8932e-07	0.394934	13.098	0.0884085	3.11167e-10	250	2	120144	81.0567	502.457	11.9516	118.786	1.61386	99.4486	0.154084	0.00356389	378.826	30.0869	0.0131366
