Time	[T1]	[alpha]	[alpha_T1]	[alpha_T1_alpha]	[T1_alpha]	[alpha_alpha_T1]	[T2]	[alpha_T2]	[alpha_T2_beta]	[beta]	[T2_beta]	[alpha_beta_T2]	[T3]	[beta_T3]	[beta_T3_Inh]	[Inh]	[T3_Inh]	[beta_Inh_T3]	[Inh_T1]	[empty]
0	38.5	10	0	0	0	0	3.89	0	0	0	0	0	38.5	0	0	0	0	0	0	0
1	32.2648	6.42435	0.418318	0.578702	1.99805	3.2388	3.38355	0.0430529	0.0595587	0.229671	0.0878028	0.31604	38.4467	0.00779134	0.0107651	0.00772128	0.00291073	0.0318798	0.00133711	0
2	27.2823	12.1963	0.701776	1.13278	3.21076	6.13676	2.83914	0.0692766	0.119456	0.693436	0.259643	0.602487	38.1235	0.0244826	0.0844776	0.0912464	0.0690469	0.198531	0.035626	0
3	19.965	23.7913	1.06553	2.03713	4.7293	10.5292	2.06893	0.101469	0.218988	1.43855	0.460955	1.03966	37.2852	0.0502176	0.252926	0.318856	0.355584	0.556101	0.173854	0
4	11.8209	44.5473	1.33194	3.27622	5.57806	16.0301	1.18818	0.116248	0.363539	2.60861	0.622946	1.59908	35.572	0.0875621	0.561387	0.789401	1.0892	1.18986	0.462793	0
5	5.94086	74.963	1.35795	4.42075	5.13661	20.753	0.527001	0.0978525	0.511423	4.14154	0.651898	2.10183	32.5996	0.128626	1.05675	1.65004	2.55158	2.16346	0.890847	0
6	3.19988	108.18	1.26599	5.07188	4.25063	23.2834	0.233464	0.0734842	0.604921	5.6844	0.577293	2.40084	28.2622	0.154503	1.73017	2.99513	4.94227	3.41086	1.42824	0
7	2.10863	136.373	1.18103	5.33534	3.61577	24.1719	0.138231	0.0621299	0.64783	6.98122	0.499075	2.54273	22.9421	0.155061	2.49802	4.77976	8.15679	4.74799	2.08733	0
8	1.61686	157.024	1.11483	5.39906	3.21382	24.2609	0.103969	0.0577819	0.667787	8.05014	0.448779	2.61168	17.3355	0.13571	3.26691	6.87846	11.745	6.01684	2.89453	0
9	1.35692	170.735	1.05932	5.35018	2.94107	23.9314	0.0886207	0.0557652	0.678074	8.96794	0.419826	2.64771	12.1547	0.106397	3.97792	9.15062	15.1167	7.14426	3.86106	0
10	1.20398	178.8	1.00956	5.22764	2.7407	23.3364	0.0810815	0.05468	0.683415	9.77457	0.404189	2.66663	7.90851	0.0757667	4.60218	11.4432	17.7996	8.11398	4.98173	0
11	1.10826	182.437	0.963039	5.05344	2.58372	22.5543	0.0776288	0.0540699	0.685772	10.4836	0.397184	2.67535	4.79647	0.0495689	5.12982	13.5976	19.5892	8.9349	6.2372	0
12	1.04684	182.651	0.918581	4.84304	2.45468	21.6391	0.0767107	0.0537442	0.686102	11.0993	0.396205	2.67724	2.73702	0.0302266	5.5636	15.4863	20.5454	9.62376	7.59772	0
13	1.00787	180.245	0.875645	4.60852	2.3447	20.6337	0.077593	0.0536079	0.684927	11.6249	0.399737	2.67413	1.4901	0.0175231	5.91381	17.0471	20.8809	10.1977	9.02954	0
14	0.984473	175.869	0.833941	4.35933	2.24809	19.5728	0.0799042	0.0536077	0.682553	12.0652	0.406847	2.66709	0.788497	0.00992173	6.19369	18.2847	20.8358	10.6721	10.5014	0
15	0.972256	170.045	0.79324	4.1026	2.16078	18.4829	0.083456	0.0537101	0.679168	12.4263	0.416927	2.65674	0.415734	0.00569192	6.41609	19.2448	20.6019	11.0606	11.9883	0
16	0.968205	163.189	0.753337	3.84347	2.07968	17.3833	0.0881649	0.0538924	0.674894	12.7156	0.42957	2.64348	0.225989	0.00346531	6.59198	19.9846	20.3032	11.3753	13.4721	0
17	0.970165	155.629	0.714054	3.58556	2.00242	16.2874	0.094016	0.0541378	0.669801	12.9402	0.444502	2.62754	0.132273	0.00234094	6.73018	20.5555	20.0079	11.6273	14.9404	0
18	0.976548	147.617	0.675255	3.33139	1.92723	15.2048	0.101046	0.0544333	0.663931	13.1072	0.461541	2.60905	0.0868485	0.00178986	6.8376	20.9971	19.7476	11.8261	16.3848	0
19	0.986156	139.343	0.636851	3.08276	1.85276	14.1419	0.109337	0.0547681	0.657296	13.2231	0.480573	2.58803	0.0650006	0.0015248	6.91968	21.3385	19.5338	11.98	17.7996	0
20	0.998061	130.953	0.598796	2.84098	1.77801	13.1036	0.119009	0.0551328	0.649889	13.2934	0.501538	2.56443	0.0544549	0.00139804	6.9807	21.6004	19.3673	12.0961	19.1806	0
21	1.01151	122.555	0.561081	2.60703	1.70227	12.0936	0.130227	0.0555185	0.641686	13.3233	0.524409	2.53816	0.0492896	0.00133662	7.02407	21.7978	19.245	12.1803	20.5245	0
