Time	[EGFR]	[L_EGFR]	[L_EGFR_dimer]	[SOS]	[L_dpEGFR]	[pSOS]	[SOS_Grb2]	[Grb2]	[Dok]	[pDok]	[Crk]	[FRS2]	[Shc]	[pSOS_Grb2]	[Rap1_GDP]	[MEK]	[MKP3]	[pShc_dpEGFR]	[dpEGFR_c_Cbl]	[B_Raf_Rap1_GTP]	[pShc_dpEGFR_c_Cbl]	[pFRS2_dpEGFR_c_Cbl]	[Shc_dpEGFR]	[c_Cbl]	[RasGAP]	[c_Raf]	[B_Raf]	[ERK]	[PP2A]	[Ras_GDP]	[Rap1GAP]	[C3G]	[NGFR]	[pShc]	[pFRS2_dpEGFR]	[pTrkA_endo]	[MEK_ERK]	[pMEK_ERK]	[FRS2_dpEGFR_c_Cbl_ubiq]	[Crk_C3G_pFRS2_dpEGFR_c_Cbl]	[pShc_dpEGFR_c_Cbl_ubiq]	[Crk_C3G_pFRS2_dpEGFR]	[Grb2_SOS_pShc_dpEGFR_c_Cbl_ubiq]	[Grb2_SOS_pShc_dpEGFR_c_Cbl]	[Shc_dpEGFR_c_Cbl_ubiq]	[dpEGFR_c_Cbl_ubiq]	[proteasome]	[Grb2_SOS_pShc]	[Shc_dpEGFR_c_Cbl]	[Grb2_SOS_pShc_dpEGFR]	[pFRS2]	[FRS2_dpEGFR]	[pDok_RasGAP]	[pMEK]	[FRS2_dpEGFR_c_Cbl]	[pFRS2_dpEGFR_c_Cbl_ubiq]	[Ras_GTP]	[Crk_C3G_pFRS2_dpEGFR_c_Cbl_ubiq]	[c_Raf_Ras_GTP]	[B_Raf_Ras_GTP]	[ppMEK]	[ppERK]	[pTrkA]	[Crk_C3G]	[Rap1_GTP]	[L_NGFR]	[ppMEK_ERK]	[dppERK]	[Shc_pTrkA]	[Shc_pTrkA_endo]	[pShc_pTrkA]	[pFRS2_pTrkA]	[FRS2_pTrkA]	[pShc_pTrkA_endo]	[FRS2_pTrkA_endo]	[pFRS2_pTrkA_endo]	[Crk_C3G_pFRS2_pTrkA_endo]	[Grb2_SOS_pShc_pTrkA]	[Crk_C3G_pFRS2_pTrkA]	[Grb2_SOS_pShc_pTrkA_endo]	[c_Raf_Ras_GTP_MEK]	[c_Raf_Ras_GTP_pMEK]	[c_Raf_Ras_GTP_MEK_ERK]	[c_Raf_Ras_GTP_pMEK_ERK]	[B_Raf_Ras_GTP_MEK]	[B_Raf_Ras_GTP_pMEK]	[B_Raf_Ras_GTP_MEK_ERK]	[B_Raf_Ras_GTP_pMEK_ERK]	[B_Raf_Rap1_GTP_MEK]	[B_Raf_Rap1_GTP_pMEK]	[B_Raf_Rap1_GTP_MEK_ERK]	[B_Raf_Rap1_GTP_pMEK_ERK]	[ppERK_MKP3]	[dppERK_MKP3]	[pro_TrkA]	[NGF]	[EGF]	[pro_EGFR]	[degradation]
10	0.289279	0.00655749	0.000105336	0.0763005	5.81604e-05	3.49183e-20	0.0232128	0.976301	0.299133	0.000844189	0.503582	0.999767	0.997677	1.07573e-20	0.199997	0.43935	0.018	0.000557113	1.14678e-05	7.47472e-07	0.000313236	2.43479e-05	0.000384122	0.499297	0.099977	0.499364	0.199751	0.0200648	0.24	0.0991059	0.012	0.0035822	0.061894	0.0003956	4.48149e-05	0	0.239546	0.00014987	1.85603e-06	2.73305e-05	4.09036e-05	3.78731e-05	1.03311e-05	0.000108487	1.85434e-05	1.54317e-06	1.48729e-07	0.000212822	0.000126696	0.000155087	3.93887e-05	3.84803e-05	2.30196e-05	0.000274877	1.26906e-05	3.10107e-06	1.27785e-05	2.86195e-06	0.00013995	6.43158e-05	7.29699e-08	3.36e-09	0	0.49635	1.51033e-07	0	3.61679e-08	3.53082e-17	0	0	0	0	0	0	0	0	0	0	0	0	0.000320545	1.65106e-07	0.00017477	9.00201e-08	0.000117368	5.13054e-08	6.39922e-05	2.79731e-08	1.57687e-06	7.40385e-10	8.59755e-07	4.03678e-10	5.07344e-10	2.9002e-18	0.020631	0	0.001613	0.3	0
11	0.288236	0.00672267	0.000111171	0.0744978	6.41155e-05	5.75442e-19	0.0247924	0.974498	0.298822	0.00114386	0.502946	0.999704	0.997051	1.94708e-19	0.199995	0.438872	0.018	0.00065381	1.43788e-05	1.10943e-06	0.000388623	3.09642e-05	0.000431085	0.499091	0.0999654	0.498994	0.199606	0.0200648	0.24	0.0985874	0.012	0.00294633	0.061894	0.00052742	5.34259e-05	0	0.239285	0.000268645	2.55622e-06	3.73809e-05	5.83893e-05	4.91853e-05	1.6833e-05	0.000153436	2.55319e-05	2.18657e-06	2.41192e-07	0.000330523	0.000153915	0.000209012	5.4502e-05	4.3207e-05	3.46047e-05	0.000492722	1.54249e-05	4.47757e-06	1.80129e-05	4.46945e-06	0.000217777	9.84596e-05	2.40815e-07	1.22854e-08	0	0.496963	2.06118e-07	0	1.18545e-07	5.27644e-16	0	0	0	0	0	0	0	0	0	0	0	0	0.000509412	4.79491e-07	0.000277745	2.61431e-07	0.000187818	1.50914e-07	0.000102403	8.22823e-08	2.40758e-06	2.07761e-09	1.31268e-06	1.13277e-09	2.05437e-09	4.84042e-17	0.020631	0	0.001613	0.3	0
12	0.287198	0.0068454	0.000115625	0.072776	6.95549e-05	6.92136e-18	0.026239	0.972776	0.298451	0.00149856	0.502564	0.999634	0.996355	2.55023e-18	0.199993	0.438189	0.018	0.000746599	1.74792e-05	1.57325e-06	0.000465888	3.81386e-05	0.000474494	0.498865	0.09995	0.498499	0.199412	0.0200648	0.24	0.0978936	0.012	0.00256368	0.061894	0.000676872	6.21307e-05	0	0.238912	0.000449411	3.39499e-06	4.89679e-05	7.96789e-05	6.16493e-05	2.57638e-05	0.000205786	3.3899e-05	2.97978e-06	3.71428e-07	0.000484376	0.000182078	0.000269073	7.26475e-05	4.75854e-05	4.99777e-05	0.000824265	1.82577e-05	6.19772e-06	2.42088e-05	6.61656e-06	0.000320685	0.000142926	6.91124e-07	3.8732e-08	0	0.497319	2.70724e-07	0	3.38037e-07	5.80463e-15	0	0	0	0	0	0	0	0	0	0	0	0	0.000762917	1.22238e-06	0.000415963	6.66475e-07	0.000282946	3.89445e-07	0.00015427	2.12336e-07	3.49337e-06	5.15969e-09	1.90468e-06	2.81319e-09	7.10592e-09	5.89153e-16	0.020631	0	0.001613	0.3	0
13	0.286164	0.00693527	0.000118956	0.0711302	7.45305e-05	6.42299e-17	0.0275572	0.97113	0.298022	0.00190873	0.502333	0.999558	0.995592	2.55886e-17	0.19999	0.437259	0.018	0.000834676	2.07144e-05	2.14921e-06	0.000543581	4.5774e-05	0.000514537	0.49862	0.0999302	0.497863	0.199164	0.0200648	0.24	0.0970049	0.012	0.00233321	0.061894	0.000842822	7.08594e-05	0	0.238405	0.000709962	4.37614e-06	6.19467e-05	0.000104824	7.51036e-05	3.74634e-05	0.00026439	4.36805e-05	3.93072e-06	5.47925e-07	0.000676956	0.000210788	0.000333832	9.39234e-05	5.16342e-05	6.9759e-05	0.00130215	2.115e-05	8.2866e-06	3.13074e-05	9.37601e-06	0.000451273	0.000198624	1.76698e-06	1.08002e-07	0	0.49752	3.44784e-07	0	8.59069e-07	4.96144e-14	0	0	0	0	0	0	0	0	0	0	0	0	0.00108811	2.7986e-06	0.000593269	1.52587e-06	0.000405613	9.02016e-07	0.000221151	4.91802e-07	4.86174e-06	1.15864e-08	2.65075e-06	6.3172e-09	2.15663e-08	5.52842e-15	0.020631	0	0.001613	0.3	0
14	0.285134	0.00699997	0.000121396	0.0695558	7.90997e-05	4.79322e-16	0.0287523	0.969556	0.297531	0.0023741	0.502194	0.999474	0.994765	2.05176e-16	0.199987	0.436038	0.0179999	0.000917808	2.40357e-05	2.84635e-06	0.000620655	5.37813e-05	0.000551514	0.498359	0.0999054	0.497077	0.198856	0.0200647	0.24	0.0959065	0.012	0.00219431	0.061894	0.00102435	7.95698e-05	0	0.23774	0.00106885	5.50164e-06	7.61559e-05	0.000133816	8.93994e-05	5.22098e-05	0.000327971	5.48936e-05	5.04473e-06	7.7956e-07	0.000909733	0.000239714	0.000401902	0.000118397	5.53837e-05	9.45629e-05	0.00196039	2.40692e-05	1.07646e-05	3.92368e-05	1.28128e-05	0.000611519	0.00026622	4.10024e-06	2.71662e-07	0	0.497627	4.28193e-07	0	1.98228e-06	3.42805e-13	0	0	0	0	0	0	0	0	0	0	0	0	0.00149	5.85654e-06	0.000812386	3.19312e-06	0.00055791	1.90851e-06	0.000304187	1.04056e-06	6.53534e-06	2.39171e-08	3.56324e-06	1.30402e-08	5.86348e-08	4.16788e-14	0.020631	0	0.001613	0.3	0
15	0.284108	0.0070455	0.00012314	0.0680486	8.33176e-05	2.96792e-15	0.0298307	0.968049	0.296981	0.00289381	0.502111	0.999384	0.993877	1.35782e-15	0.199983	0.434488	0.0179999	0.000996129	2.74015e-05	3.67257e-06	0.000696405	6.20805e-05	0.000585763	0.498084	0.099875	0.496133	0.198486	0.0200647	0.24	0.0945884	0.012	0.00211054	0.061894	0.00122077	8.82373e-05	0	0.236894	0.00154455	6.772e-06	9.14306e-05	0.000166599	0.000104404	7.02165e-05	0.000395246	6.75407e-05	6.32488e-06	1.07545e-06	0.00118322	0.000268585	0.000472045	0.000146114	5.88676e-05	0.000124989	0.0028329	2.69885e-05	1.36479e-05	4.79208e-05	1.69835e-05	0.000802797	0.00034615	8.76358e-06	6.26045e-07	0	0.497677	5.20834e-07	0	4.21462e-06	1.97617e-12	0	0	0	0	0	0	0	0	0	0	0	0	0.0019714	1.1359e-05	0.00107486	6.19317e-06	0.000741111	3.74047e-06	0.000404073	2.03938e-06	8.53162e-06	4.59755e-08	4.65166e-06	2.50668e-08	1.45169e-07	2.60517e-13	0.020631	0	0.001613	0.3	0
16	0.283086	0.00707652	0.000124347	0.0666044	8.72338e-05	1.56628e-14	0.0307986	0.966604	0.296372	0.0034666	0.50206	0.999289	0.992931	7.62373e-15	0.199978	0.43257	0.0179997	0.00106997	3.07776e-05	4.63475e-06	0.000770388	7.06016e-05	0.000617612	0.497797	0.0998384	0.495028	0.198052	0.0200646	0.24	0.0930447	0.012	0.00206	0.061894	0.00143162	9.68479e-05	0	0.235848	0.00215471	8.18654e-06	0.00010761	0.000203092	0.000119999	9.16345e-05	0.000465025	8.1612e-05	7.77234e-06	1.44485e-06	0.00149719	0.000297186	0.000543203	0.000177098	6.21189e-05	0.000161617	0.00395203	2.98865e-05	1.69489e-05	5.72856e-05	2.19367e-05	0.00102594	0.000438649	1.74571e-05	1.33837e-06	0	0.49769	6.22606e-07	0	8.35452e-06	9.75318e-12	0	0	0	0	0	0	0	0	0	0	0	0	0.00253307	2.06474e-05	0.00138109	1.12573e-05	0.000955687	6.86658e-06	0.000521065	3.74378e-06	1.08628e-05	8.31547e-08	5.92266e-06	4.53374e-08	3.31629e-07	1.38683e-12	0.020631	0	0.001613	0.3	0
17	0.282068	0.0070966	0.000125144	0.0652194	9.08912e-05	7.1967e-14	0.0316625	0.965219	0.295704	0.0040909	0.502029	0.999187	0.99193	3.71204e-14	0.199972	0.430252	0.0179993	0.00113975	3.41369e-05	5.73884e-06	0.000842352	7.92834e-05	0.000647359	0.497501	0.099795	0.49376	0.197555	0.0200644	0.24	0.0912739	0.012	0.00202947	0.061894	0.00165659	0.000105394	0	0.234583	0.00291534	9.7436e-06	0.000124544	0.000243196	0.000136081	0.000116559	0.000536251	9.70882e-05	9.38676e-06	1.89703e-06	0.0018508	0.000325345	0.000614512	0.00021136	6.51672e-05	0.000205001	0.00534721	3.27467e-05	2.06767e-05	6.72626e-05	2.77129e-05	0.00128128	0.00054378	3.27219e-05	2.68128e-06	0	0.497682	7.33427e-07	0	1.55884e-05	4.20806e-11	0	0	0	0	0	0	0	0	0	0	0	0	0.00317374	3.54908e-05	0.0017304	1.935e-05	0.00120134	1.19138e-05	0.000655001	6.49553e-06	1.35357e-05	1.42696e-07	7.37997e-06	7.77993e-08	7.06551e-07	6.42311e-12	0.020631	0	0.001613	0.3	0
18	0.281054	0.00710844	0.000125631	0.06389	9.43252e-05	2.92917e-13	0.0324288	0.96389	0.294979	0.00476491	0.502011	0.99908	0.990876	1.59543e-13	0.199966	0.427507	0.0179986	0.00120592	3.74578e-05	6.99003e-06	0.000912181	8.80733e-05	0.00067526	0.497196	0.0997443	0.49233	0.196993	0.0200641	0.24	0.0892779	0.012	0.002011	0.061894	0.00189548	0.000113869	0	0.233084	0.00384023	1.14408e-05	0.000142093	0.000286804	0.00015256	0.000145034	0.000608028	0.000113942	1.11666e-05	2.44121e-06	0.00224283	0.000352936	0.000685283	0.000248896	6.80381e-05	0.000255668	0.00704375	3.55563e-05	2.48376e-05	7.77898e-05	3.43456e-05	0.00156877	0.00066146	5.81685e-05	5.0759e-06	0	0.49766	8.53246e-07	0	2.75926e-05	1.61417e-10	0	0	0	0	0	0	0	0	0	0	0	0	0.00389036	5.81144e-05	0.0021211	3.1684e-05	0.00147708	1.96813e-05	0.000805335	1.07303e-05	1.6552e-05	2.33914e-07	9.02445e-06	1.27531e-07	1.41636e-06	2.63339e-11	0.020631	0	0.001613	0.3	0
19	0.280044	0.00711409	0.000125882	0.0626129	9.75654e-05	1.07178e-12	0.0331036	0.962613	0.294199	0.00548671	0.502	0.998968	0.989772	6.14553e-13	0.199959	0.424313	0.0179973	0.0012689	4.07243e-05	8.3928e-06	0.000979854	9.69263e-05	0.000701532	0.496884	0.0996859	0.490742	0.196368	0.0200635	0.24	0.0870614	0.012	0.0019998	0.061894	0.00214819	0.00012227	0	0.231338	0.00494035	1.32753e-05	0.000160134	0.000333804	0.000169353	0.000177067	0.000679612	0.000132142	1.31092e-05	3.0865e-06	0.00267176	0.000379862	0.000754982	0.000289694	7.07534e-05	0.000314113	0.00906188	3.83058e-05	2.94353e-05	8.88113e-05	4.18614e-05	0.00188799	0.000791483	9.87067e-05	9.14292e-06	0	0.497629	9.82041e-07	0	4.66352e-05	5.58456e-10	0	0	0	0	0	0	0	0	0	0	0	0	0.00467823	9.12008e-05	0.00255062	4.97214e-05	0.00178126	3.11455e-05	0.00097117	1.69802e-05	1.99081e-05	3.68357e-07	1.08542e-05	2.00824e-07	2.69109e-06	9.69955e-11	0.020631	0	0.001613	0.3	0
20	0.279038	0.00711511	0.000125957	0.061385	0.000100636	3.56916e-12	0.0336929	0.961385	0.293365	0.00625429	0.501993	0.998851	0.988621	2.1485e-12	0.199952	0.420654	0.0179951	0.00132908	4.39245e-05	9.95111e-06	0.00104541	0.000105804	0.000726354	0.496565	0.0996192	0.489002	0.195683	0.0200626	0.24	0.0846317	0.012	0.00199298	0.061894	0.00241465	0.000130591	0	0.229337	0.00622344	1.52437e-05	0.000178553	0.000384085	0.00018639	0.000212627	0.000750405	0.000151652	1.52116e-05	3.84183e-06	0.00313588	0.000406054	0.000823202	0.000333731	7.33309e-05	0.000380803	0.0114159	4.09885e-05	3.44716e-05	0.000100276	5.02813e-05	0.00223825	0.00093354	0.000160758	1.57602e-05	0	0.497592	1.11982e-06	0	7.56678e-05	1.7636e-09	0	0	0	0	0	0	0	0	0	0	0	0	0.00553125	0.000137863	0.00301562	7.51581e-05	0.00211168	4.74542e-05	0.0011513	2.58706e-05	2.35959e-05	5.59862e-07	1.28645e-05	3.05218e-07	4.87603e-06	3.24939e-10	0.020631	0	0.001613	0.3	0
21	0.278035	0.00711267	0.000125899	0.0602032	0.000103555	1.09323e-11	0.0342022	0.960203	0.292478	0.00706559	0.501989	0.998728	0.987424	6.89203e-12	0.199943	0.416522	0.0179915	0.0013868	4.70497e-05	1.16685e-05	0.00110892	0.000114673	0.000749876	0.496241	0.0995438	0.487116	0.194939	0.0200611	0.24	0.0819985	0.012	0.0019888	0.061894	0.00269483	0.000138829	0	0.227072	0.00769364	1.73424e-05	0.000197254	0.000437542	0.000203606	0.00025166	0.000819934	0.000172431	1.747e-05	4.71596e-06	0.00363337	0.000431467	0.000889643	0.000380977	7.57854e-05	0.000456167	0.0141138	4.35996e-05	3.99464e-05	0.000112138	5.96206e-05	0.00261859	0.00108724	0.000252438	2.61247e-05	0	0.497551	1.26661e-06	0	0.000118402	5.13553e-09	0	0	0	0	0	0	0	0	0	0	0	0	0.00644207	0.00020159	0.00351205	0.000109893	0.00246564	6.99099e-05	0.00134423	3.81108e-05	2.76024e-05	8.24525e-07	1.50483e-05	4.49478e-07	8.46915e-06	1.00059e-09	0.020631	0	0.001613	0.3	0
22	0.277036	0.00710762	0.000125743	0.0590648	0.00010634	3.10619e-11	0.0346368	0.959065	0.291541	0.00791854	0.501986	0.998601	0.986183	2.04615e-11	0.199934	0.411913	0.0179858	0.00144238	5.00943e-05	1.3548e-05	0.0011705	0.000123507	0.000772218	0.495912	0.0994594	0.485092	0.194141	0.0200588	0.24	0.0791732	0.012	0.00198621	0.061894	0.00298871	0.000146978	0	0.224542	0.00935132	1.95677e-05	0.000216147	0.000494069	0.000220942	0.000294089	0.000887834	0.00019444	1.98803e-05	5.71742e-06	0.00416234	0.000456072	0.000954083	0.000431393	7.8129e-05	0.000540607	0.0171565	4.61364e-05	4.58583e-05	0.000124352	6.98903e-05	0.00302788	0.0012521	0.000383686	4.18161e-05	0	0.497507	1.42249e-06	0	0.000179361	1.39047e-08	0	0	0	0	0	0	0	0	0	0	0	0	0.00740234	0.000286156	0.0040353	0.000155978	0.00284002	9.99412e-05	0.00154825	5.44777e-05	3.19106e-05	1.18055e-06	1.73959e-05	6.43507e-07	1.4163e-05	2.85619e-09	0.020631	0	0.001613	0.3	0
23	0.276041	0.00710064	0.000125512	0.0579673	0.000109003	8.24894e-11	0.0350018	0.957967	0.290554	0.00881107	0.501985	0.99847	0.984902	5.66626e-11	0.199924	0.406832	0.0179771	0.00149607	5.30545e-05	1.55927e-05	0.00123024	0.000132282	0.00079348	0.495578	0.0993655	0.482941	0.19329	0.0200553	0.24	0.0761689	0.012	0.00198457	0.061894	0.00329628	0.000155033	0	0.221746	0.0111929	2.19156e-05	0.000235157	0.000553571	0.000238348	0.000339822	0.000953827	0.000217635	2.24382e-05	6.85449e-06	0.00472089	0.000479852	0.00101637	0.000484938	8.03715e-05	0.00063449	0.0205383	4.85973e-05	5.22043e-05	0.000136875	8.10971e-05	0.00346478	0.0014276	0.000566335	6.48568e-05	0	0.497461	1.58752e-06	0	0.000263904	3.52634e-08	0	0	0	0	0	0	0	0	0	0	0	0	0.00840289	0.000395516	0.00458027	0.00021556	0.00323136	0.000139065	0.00176144	7.57952e-05	3.64996e-05	1.64802e-06	1.98957e-05	8.9821e-07	2.28894e-05	7.61518e-09	0.020631	0	0.001613	0.3	0
24	0.27505	0.00709221	0.000125227	0.0569083	0.000111554	2.06094e-10	0.0353018	0.956908	0.289521	0.00974115	0.501984	0.998334	0.983582	1.47352e-10	0.199913	0.401287	0.0179641	0.00154809	5.59283e-05	1.78052e-05	0.00128826	0.000140977	0.000813746	0.495241	0.0992619	0.480672	0.192392	0.0200503	0.24	0.0730002	0.012	0.00198351	0.061894	0.00361754	0.000162988	0	0.218686	0.0132111	2.43823e-05	0.000254215	0.000615956	0.000255776	0.000388756	0.00101771	0.000241975	2.51393e-05	8.13523e-06	0.00530711	0.000502803	0.00107639	0.000541562	8.2521e-05	0.000738148	0.0242466	5.09815e-05	5.89806e-05	0.000149662	9.32442e-05	0.00392779	0.00161312	0.000814108	9.77664e-05	0	0.497413	1.76184e-06	0	0.000378206	8.4296e-08	0	0	0	0	0	0	0	0	0	0	0	0	0.00943392	0.000533674	0.00514148	0.000290802	0.00363592	0.000188838	0.00198171	0.000102906	4.13457e-05	2.24854e-06	2.25341e-05	1.22529e-06	3.58647e-05	1.90882e-08	0.020631	0	0.001613	0.3	0
25	0.274062	0.0070827	0.000124901	0.0558854	0.000114002	4.87188e-10	0.0355413	0.955885	0.288441	0.0107068	0.501983	0.998195	0.982224	3.61956e-10	0.199902	0.395297	0.0179453	0.00159863	5.87149e-05	2.01884e-05	0.00134469	0.000149577	0.000833083	0.494899	0.0991481	0.478298	0.191451	0.0200432	0.24	0.0696832	0.012	0.00198279	0.061894	0.0039525	0.000170837	0	0.215367	0.0153946	2.69637e-05	0.000273263	0.000681138	0.000273184	0.000440777	0.00107933	0.000267417	2.79792e-05	9.56742e-06	0.0059191	0.000524927	0.00113409	0.000601213	8.45844e-05	0.000851884	0.0282623	5.32893e-05	6.61823e-05	0.000162667	0.000106332	0.00441529	0.00180802	0.00114253	0.000143602	0	0.497364	1.94555e-06	0	0.000529209	1.90969e-07	0	0	0	0	0	0	0	0	0	0	0	0	0.0104852	0.000704532	0.00571318	0.000383804	0.00404976	0.000250805	0.00220685	0.000136643	4.64224e-05	3.0048e-06	2.52958e-05	1.63699e-06	5.46314e-05	4.52358e-08	0.020631	0	0.001613	0.3	0
26	0.273078	0.00707239	0.000124545	0.0548966	0.000116354	1.09496e-09	0.0357246	0.954897	0.287318	0.0117061	0.501982	0.998051	0.980832	8.44027e-10	0.199889	0.388883	0.0179188	0.00164786	6.14142e-05	2.27449e-05	0.00139963	0.000158067	0.00085155	0.494555	0.099024	0.47583	0.190472	0.0200334	0.24	0.0662354	0.012	0.00198228	0.061894	0.00430116	0.000178577	0	0.211797	0.0177287	2.9656e-05	0.000292249	0.000749037	0.000290534	0.000495767	0.0011386	0.000293919	3.09534e-05	1.11586e-05	0.00655501	0.000546233	0.00118943	0.000663834	8.65672e-05	0.000975969	0.0325605	5.55214e-05	7.38039e-05	0.00017584	0.000120357	0.00492547	0.00201157	0.00156875	0.00020598	0	0.497315	2.13882e-06	0	0.00072452	4.11916e-07	0	0	0	0	0	0	0	0	0	0	0	0	0.0115464	0.000911745	0.0062894	0.000496506	0.00446884	0.000326436	0.00243456	0.000177792	5.17015e-05	3.94016e-06	2.81642e-05	2.14584e-06	8.10919e-05	1.01836e-07	0.020631	0	0.001613	0.3	0
27	0.272098	0.00706149	0.000124167	0.0539399	0.000118615	2.34962e-09	0.0358557	0.95394	0.286152	0.0127371	0.501982	0.997903	0.979406	1.87647e-09	0.199876	0.382073	0.0178823	0.00169592	6.40272e-05	2.54776e-05	0.00145318	0.000166435	0.000869197	0.494207	0.0988894	0.473283	0.18946	0.0200201	0.24	0.0626756	0.012	0.00198189	0.061894	0.00466355	0.000186201	0	0.207985	0.0201953	3.24552e-05	0.000311128	0.000819579	0.000307792	0.000553604	0.00119545	0.000321439	3.40573e-05	1.29161e-05	0.007213	0.000566734	0.00124239	0.000729364	8.84743e-05	0.00111064	0.0371109	5.7679e-05	8.18392e-05	0.000189125	0.000135314	0.00545641	0.002223	0.00211132	0.000289075	0	0.497264	2.34181e-06	0	0.000972274	8.49379e-07	0	0	0	0	0	0	0	0	0	0	0	0	0.012607	0.00115856	0.00686409	0.000630602	0.00488903	0.000417072	0.00266248	0.000227058	5.71536e-05	5.07807e-06	3.11215e-05	2.76427e-06	0.000117529	2.18679e-07	0.020631	0	0.001613	0.3	0
28	0.271121	0.00705014	0.000123773	0.0530134	0.000120792	4.83176e-09	0.0359383	0.953013	0.284946	0.0137979	0.501982	0.997752	0.977949	3.99269e-09	0.199862	0.374899	0.0178329	0.00174292	6.6555e-05	2.83897e-05	0.00150545	0.000174672	0.000886067	0.493856	0.0987439	0.470671	0.18842	0.0200025	0.24	0.0590241	0.012	0.00198158	0.061894	0.00503968	0.000193704	0	0.203945	0.0227736	3.53577e-05	0.000329859	0.000892694	0.000324927	0.000614163	0.00124984	0.000349936	3.72865e-05	1.48469e-05	0.00789129	0.000586445	0.00129298	0.000797741	9.03098e-05	0.00125612	0.0418789	5.97634e-05	9.02814e-05	0.000202459	0.000151196	0.006006	0.00244145	0.0027898	0.000397581	0	0.497212	2.5547e-06	0	0.00128094	1.68023e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.0136565	0.00144765	0.00743112	0.000787442	0.00530624	0.000523855	0.00288819	0.000285026	6.27489e-05	6.4416e-06	3.41492e-05	3.50435e-06	0.000166603	4.49526e-07	0.020631	0	0.001613	0.3	0
29	0.270149	0.00703847	0.000123367	0.0521155	0.000122887	9.55277e-09	0.0359761	0.952115	0.2837	0.014887	0.501981	0.997598	0.976461	8.1579e-09	0.199848	0.367398	0.0177678	0.00178896	6.89992e-05	3.14844e-05	0.00155653	0.000182769	0.000902196	0.493503	0.0985874	0.46801	0.187359	0.0199796	0.24	0.0553023	0.012	0.0019813	0.061894	0.00542957	0.000201083	0	0.19969	0.02544	3.83596e-05	0.000348409	0.000968318	0.000341913	0.000677318	0.00130177	0.000379371	4.06368e-05	1.69577e-05	0.00858814	0.000605385	0.00134122	0.000868899	9.20773e-05	0.00141257	0.0468263	6.17764e-05	9.91234e-05	0.000215774	0.000167994	0.00657196	0.00266602	0.00362442	0.000536637	0	0.49716	2.77768e-06	0	0.0016591	3.19845e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.014685	0.001781	0.00798443	0.00096794	0.00571645	0.00064768	0.00310932	0.000352129	6.84581e-05	8.05288e-06	3.72286e-05	4.37736e-06	0.000231325	8.87339e-07	0.020631	0	0.001613	0.3	0
30	0.269179	0.00702657	0.000122952	0.0512445	0.000124906	1.82097e-08	0.0359723	0.951244	0.282417	0.0160024	0.501981	0.99744	0.974946	1.60528e-08	0.199832	0.359612	0.0176833	0.00183414	7.13616e-05	3.47653e-05	0.00160648	0.000190719	0.000917619	0.493147	0.0984198	0.465315	0.186283	0.0199502	0.24	0.0515337	0.012	0.00198106	0.061894	0.00583325	0.000208334	0	0.195235	0.0281692	4.14574e-05	0.000366748	0.00104639	0.000358724	0.000742944	0.00135124	0.000409703	4.41038e-05	1.92553e-05	0.00930188	0.000623572	0.00138713	0.00094277	9.37798e-05	0.00158015	0.0519126	6.37197e-05	0.000108357	0.000228987	0.000185697	0.00715179	0.0028957	0.00463558	0.000711707	0	0.497108	3.01094e-06	0	0.00211518	5.87457e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.0156826	0.00215977	0.00851804	0.0011725	0.00611573	0.000789137	0.00332348	0.00042861	7.42525e-05	9.93269e-06	4.03403e-05	5.39351e-06	0.000314989	1.68642e-06	0.020631	0	0.001613	0.3	0
31	0.268214	0.00701449	0.000122532	0.0503989	0.000126852	3.35513e-08	0.0359302	0.950399	0.281098	0.0171426	0.501981	0.997279	0.973403	3.05001e-08	0.199816	0.351585	0.0175758	0.00187852	7.36443e-05	3.82364e-05	0.0016554	0.000198517	0.000932366	0.492789	0.098241	0.462606	0.185198	0.0199131	0.24	0.0477428	0.012	0.00198083	0.061894	0.00625074	0.000215453	0	0.190599	0.030934	4.46475e-05	0.000384848	0.00112686	0.00037534	0.000810915	0.00139828	0.000440896	4.76833e-05	2.17457e-05	0.0100309	0.000641028	0.00143076	0.00101929	9.54203e-05	0.00175899	0.0570956	6.55951e-05	0.000117976	0.00024201	0.000204293	0.00774276	0.00312936	0.00584333	0.000928404	0	0.497055	3.25467e-06	0	0.00265716	1.0435e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0166402	0.00258417	0.00902614	0.00140092	0.00650037	0.000948462	0.00352836	0.000514493	8.01053e-05	1.21e-05	4.34654e-05	6.56155e-06	0.000421061	3.09304e-06	0.020631	0	0.001613	0.3	0
