Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]
0	9	2	0	1.9	0	1.4	0	1.6	0	0	0	0	1	0	0	0
1	8.78168	2.1287	0.26132	1.58764	1.72842	1.67247	0.249348	2.09338	0.739349	0.0917993	0.138913	0.0594332	0.21014	0.198568	0.125938	0.157644
2	8.57446	2.20645	0.396716	1.69745	2.97379	1.91714	0.38402	2.55097	1.07413	0.114967	0.612183	0.13698	0.0836086	0.263784	0.0915112	0.0501834
3	8.3374	2.25894	0.490529	1.79701	3.93807	2.14644	0.469845	2.99676	1.15276	0.120457	1.31602	0.18667	0.172473	0.296011	0.0976846	0.0498803
4	8.09093	2.27857	0.561505	1.78437	4.81835	2.36127	0.530134	3.4281	1.16674	0.121693	2.06244	0.213874	0.344093	0.313264	0.13347	0.109206
5	7.86984	2.25551	0.617492	1.63543	5.66139	2.56033	0.574758	3.83805	1.1692	0.121957	2.80397	0.22901	0.579306	0.321679	0.165643	0.210792
6	7.71048	2.18763	0.662547	1.37326	6.46771	2.73767	0.608847	4.209	1.16781	0.122001	3.5348	0.237784	0.889272	0.323504	0.189924	0.345185
7	7.63982	2.08357	0.699042	1.05138	7.22472	2.86918	0.635435	4.48262	1.15728	0.121934	4.24727	0.243109	1.30612	0.318958	0.207892	0.489302
8	7.66169	1.96091	0.728515	0.737873	7.89039	2.86276	0.656457	4.47742	1.11595	0.121593	4.89889	0.246476	1.86307	0.306689	0.221234	0.6043
9	7.75255	1.84102	0.752124	0.493102	8.32179	2.5204	0.673179	3.95448	1.01165	0.120481	5.35377	0.248614	2.55074	0.284625	0.231029	0.652619
10	7.87957	1.7419	0.770899	0.340318	8.28542	1.85446	0.686376	3.07246	0.867038	0.118177	5.44214	0.24983	3.26795	0.253309	0.237963	0.627312
11	8.02059	1.67238	0.785848	0.259916	7.69503	1.11768	0.696477	2.11278	0.726048	0.114861	5.14901	0.25026	3.85973	0.219442	0.242605	0.557335
12	8.16573	1.63205	0.797917	0.221389	6.65519	0.482619	0.703675	1.19398	0.591653	0.110565	4.56771	0.249968	4.20854	0.191698	0.245497	0.477029
13	8.31115	1.61599	0.807914	0.206413	5.42898	0.110825	0.707954	0.422767	0.451309	0.104435	3.808	0.248912	4.26463	0.174159	0.247078	0.40557
14	8.45509	1.61874	0.816473	0.207351	4.3525	0.0176152	0.709266	0.0457023	0.323607	0.0951806	3.00188	0.246908	4.03815	0.166456	0.247631	0.348709
15	8.59635	1.63587	0.82406	0.221583	3.48335	0.00832687	0.707689	0.00538398	0.256049	0.0859392	2.29369	0.243725	3.59372	0.166688	0.247282	0.304905
16	8.73379	1.66418	0.831009	0.248929	2.73811	0.01089	0.703046	0.00594857	0.217566	0.0793399	1.72158	0.239161	3.02092	0.172981	0.246016	0.269791
17	8.86583	1.70164	0.837552	0.291597	2.08585	0.019103	0.694644	0.0106663	0.184944	0.0735181	1.25089	0.232729	2.39156	0.183909	0.243626	0.238198
18	8.98991	1.74734	0.843855	0.354885	1.52114	0.0390994	0.681038	0.0224739	0.152883	0.0670257	0.853528	0.223186	1.75541	0.198504	0.239545	0.204934
19	9.10142	1.80159	0.850041	0.448227	1.06042	0.0895499	0.659675	0.0543528	0.123152	0.0595125	0.51921	0.207591	1.15201	0.216028	0.232341	0.165264
20	9.1917	1.86592	0.856212	0.586028	0.763746	0.211777	0.628162	0.144446	0.107847	0.0533769	0.255114	0.178736	0.622615	0.235675	0.218054	0.116171
21	9.24524	1.94277	0.862465	0.784247	0.745064	0.446592	0.59416	0.369631	0.139605	0.0570256	0.089941	0.122929	0.224513	0.256295	0.183389	0.0609369
22	9.23996	2.03318	0.868885	1.03846	1.0875	0.760563	0.57893	0.763191	0.268268	0.0751522	0.0465171	0.0625264	0.0393307	0.276206	0.0960719	0.0181722
23	9.16033	2.13118	0.875498	1.30156	1.72395	1.08183	0.585282	1.24154	0.488914	0.095021	0.103156	0.0668434	0.0144537	0.293469	0.0263131	0.00482735
24	9.00767	2.22529	0.882225	1.54386	2.48366	1.38079	0.601416	1.73328	0.709377	0.107669	0.29754	0.11421	0.0272605	0.307227	0.0237732	0.00576862
25	8.79319	2.30541	0.88891	1.74722	3.25524	1.65515	0.619707	2.21564	0.867591	0.114226	0.667597	0.161084	0.0699983	0.317728	0.0489198	0.0165833
26	8.53508	2.36239	0.895365	1.88211	4.01401	1.90789	0.637191	2.68282	0.9686	0.117504	1.1792	0.193839	0.152501	0.325395	0.0858974	0.0433758
27	8.25824	2.38691	0.901382	1.91411	4.76087	2.14195	0.652934	3.13311	1.03442	0.11924	1.77924	0.21469	0.281334	0.330483	0.123196	0.0948744
28	7.99293	2.37077	0.906731	1.82162	5.49445	2.359	0.666752	3.56444	1.0799	0.120256	2.43033	0.227779	0.460135	0.333012	0.154742	0.178476
29	7.77241	2.31037	0.911159	1.60899	6.2096	2.55821	0.678728	3.97025	1.11242	0.120906	3.10995	0.236107	0.700055	0.332724	0.179603	0.296273
30	7.62833	2.20973	0.914412	1.3078	6.89821	2.73179	0.689035	4.32819	1.13378	0.121332	3.80312	0.241538	1.02611	0.328916	0.198866	0.43886
31	7.58049	2.08138	0.916258	0.972097	7.54303	2.84578	0.697866	4.5588	1.13711	0.121536	4.48891	0.245183	1.47422	0.320145	0.213776	0.57915
32	7.62339	1.94433	0.916556	0.666993	8.08452	2.77647	0.705389	4.4372	1.09628	0.121297	5.10079	0.247673	2.07159	0.304019	0.225218	0.676197
33	7.72744	1.81907	0.915325	0.443748	8.34162	2.33292	0.711683	3.78692	0.986618	0.120096	5.47318	0.249311	2.7872	0.278257	0.233747	0.697992
34	7.86067	1.72073	0.912803	0.311833	8.09513	1.62695	0.716687	2.86251	0.847237	0.117713	5.45972	0.250202	3.4961	0.244592	0.239791	0.649061
35	8.0044	1.65465	0.909416	0.244286	7.31756	0.906193	0.720232	1.90223	0.714037	0.114442	5.0845	0.250399	4.04397	0.210896	0.243806	0.564333
36	8.15089	1.61812	0.905651	0.212495	6.16043	0.333374	0.722048	1.00297	0.58301	0.110194	4.44827	0.249917	4.32947	0.185055	0.246264	0.476208
37	8.2971	1.6053	0.901943	0.2014	4.93627	0.0615796	0.721766	0.292671	0.441994	0.103929	3.66326	0.248669	4.31841	0.169741	0.247542	0.400911
38	8.44153	1.61063	0.898617	0.20499	3.9333	0.0112376	0.719148	0.0237441	0.323766	0.0948195	2.86822	0.246452	4.03464	0.1639	0.247871	0.34246
39	8.58309	1.62975	0.895882	0.221278	3.12214	0.00763268	0.714085	0.00451122	0.264478	0.0866524	2.19067	0.243056	3.55245	0.165517	0.247341	0.298294
40	8.72065	1.6596	0.893857	0.250477	2.42297	0.0109961	0.706117	0.00602702	0.227138	0.080714	1.64226	0.238262	2.95931	0.172797	0.245907	0.263313
41	8.85259	1.6983	0.892592	0.295216	1.81159	0.0198877	0.694172	0.0111382	0.19372	0.0751443	1.18683	0.231495	2.32092	0.184443	0.243325	0.231811
42	8.97623	1.74511	0.892098	0.361261	1.2854	0.0415745	0.67619	0.0239914	0.160102	0.0687049	0.800221	0.221335	1.68318	0.199587	0.238951	0.198322
43	9.08663	1.8005	0.892366	0.458616	0.865193	0.0966101	0.648569	0.0591049	0.128887	0.0611358	0.475499	0.204424	1.08414	0.217536	0.231172	0.158073
44	9.17458	1.86616	0.893386	0.602208	0.618431	0.228716	0.608495	0.158537	0.114306	0.0551681	0.223019	0.17249	0.565636	0.237478	0.215432	0.108395
45	9.22373	1.94458	0.895158	0.807272	0.659815	0.474628	0.569323	0.401141	0.153056	0.059761	0.0743443	0.111723	0.18821	0.258214	0.176106	0.0538296
46	9.21191	2.0363	0.897678	1.06416	1.05718	0.792234	0.557315	0.807771	0.295314	0.0783397	0.0442655	0.0557323	0.0310732	0.277992	0.0827142	0.0148333
47	9.12555	2.13431	0.900889	1.32428	1.72843	1.11174	0.569104	1.28903	0.524424	0.0973422	0.111287	0.0680428	0.0138989	0.294918	0.0227548	0.00426886
