Time	[ADP]	[ATP]	[AcAld]	[BPG]	[DHAP]	[F16bP]	[F6P]	[G1P]	[G3P]	[G6P]	[GAP]	[GLC]	[NAD]	[P2G]	[P3G]	[PEP]	[PYR]	[T6P]	[UDP]	[UTP]	[AMP]	[NADH]	[UDG]	[ACE]	[EtOH]	[F26bP]	[GLCx]	[GLY]	[SUC]	[TRH]	[ADH1]	[CDC19]	[ENO1]	[ENO2]	[FBA1]	[GLK1]	[GPD1]	[GPD2]	[GPM1]	[HOR2]	[HXK1]	[HXK2]	[PDC1]	[PDC5]	[PDC6]	[PFK1]	[PFK2]	[PGI1]	[PGK1]	[PGM1]	[PGM2]	[RHR2]	[TDH1]	[TDH3]	[TPI1]	[TPS1]	[TPS2]	[UGP1]	[E4P]	[G6L]	[NADPH]	[P6G]	[R5P]	[Ru5P]	[S7P]	[X5P]	[NADP]	[GND1]	[GND2]	[NQM1]	[RKI1]	[RPE1]	[SOL3]	[TAL1]	[TKL1]	[ZWF1]
0	1.29	4.29	0.178141	0.000736873	1.16138	4.58322	0.235441	0.539249	0.274003	0.772483	0.315891	6.28	1.50329	0.0677379	0.469825	0.610005	2.10847	0.02	0.2815	0.6491	0.44	0.0867097	0.467246	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.029	0.1	0.16	0.25	0.118	0.033	0.082	0.041	0.17	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
1	2.11357	3.36478	0.602108	0.00101687	2.0617	4.10405	0.421969	0.258404	0.273797	1.55119	0.0891581	4.16894	1.21259	0.0495504	0.276951	0.2444	2.60838	0.0121834	0.254156	0.504988	0.541656	0.377408	0.638702	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0201318	0.349415	0.245614	0.226399	0.0929684	0.0343791	0.0688019	0.0505161	0.0843865	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
2	2.29184	2.96024	0.641903	0.00100218	2.01796	3.99976	0.511742	0.171709	0.280453	1.87351	0.0871349	2.66595	1.22036	0.0481085	0.269599	0.234621	2.6424	0.0152562	0.260905	0.450124	0.767923	0.369644	0.686817	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0220802	0.516675	0.241845	0.222706	0.0864065	0.032953	0.0612912	0.0485445	0.0881547	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
3	2.33932	2.81692	0.666868	0.00100306	1.98402	3.89477	0.542271	0.143019	0.288161	1.98224	0.0855974	1.68096	1.22803	0.0483594	0.271064	0.235457	2.6724	0.0163487	0.276694	0.423449	0.863762	0.361972	0.697704	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0239949	0.667107	0.236743	0.225048	0.082856	0.0321676	0.0574388	0.0473418	0.0932572	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
4	2.33859	2.80091	0.690575	0.0010125	1.95375	3.79408	0.536317	0.13283	0.294844	1.95956	0.0842329	1.17192	1.23658	0.0493953	0.276665	0.240982	2.69332	0.0163802	0.291753	0.409248	0.880497	0.353418	0.696845	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0245898	0.802639	0.2312	0.230651	0.0809574	0.0317792	0.0555596	0.0466414	0.0987997	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
5	2.32089	2.83952	0.714064	0.00102533	1.92447	3.69265	0.512798	0.127879	0.299686	1.87408	0.0829162	0.97329	1.24544	0.050826	0.284349	0.248852	2.70834	0.0159077	0.302114	0.40225	0.859587	0.344563	0.693482	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0241556	0.924338	0.225451	0.237665	0.0799583	0.0316221	0.0547661	0.0462426	0.104549	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
6	2.30132	2.88771	0.737726	0.00103844	1.89442	3.58741	0.48675	0.124041	0.302711	1.78002	0.0815677	0.903093	1.25428	0.0524104	0.29284	0.257647	2.71994	0.0153155	0.307254	0.399965	0.830978	0.335721	0.690628	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0232271	1.0337	0.219983	0.244959	0.0794677	0.0316091	0.0546673	0.0460538	0.110017	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
7	2.28487	2.92858	0.76184	0.00105062	1.86337	3.47966	0.463871	0.120404	0.304288	1.69766	0.080177	0.873682	1.26295	0.054031	0.301517	0.266681	2.72943	0.0147757	0.308258	0.400679	0.806556	0.327046	0.68891	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0221797	1.13243	0.215102	0.25199	0.0793046	0.0316902	0.0550894	0.0460185	0.114898	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
8	2.27229	2.95947	0.786512	0.00106165	1.83182	3.37186	0.444672	0.116931	0.304804	1.62868	0.0787662	0.857535	1.27137	0.0556451	0.310154	0.2757	2.73743	0.0143205	0.30644	0.403136	0.788245	0.318627	0.688271	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0211714	1.22201	0.210843	0.258542	0.0793707	0.031832	0.0559115	0.0460903	0.119157	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
9	2.26309	2.98177	0.81175	0.00107163	1.80031	3.26591	0.42838	0.113715	0.304569	1.57022	0.0773582	0.846929	1.27949	0.0572402	0.318684	0.284632	2.74422	0.0139378	0.302857	0.406459	0.775136	0.310512	0.68853	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0202419	1.30366	0.207125	0.264537	0.079596	0.0320112	0.0570311	0.0462328	0.122875	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
