Time	[TF]	[TF_VII]	[VII]	[TF_VIIa]	[VIIa]	[Xa]	[IIa]	[TF_VIIa_X]	[X]	[TF_VIIa_Xa]	[IX]	[TF_VIIa_IX]	[IXa]	[II]	[VIII]	[VIIIa]	[IXa_VIIIa]	[IXa_VIIIa_X]	[VIIIa1_L]	[VIIIa2]	[V]	[Va]	[Xa_Va]	[Xa_Va_II]	[mIIa]	[TFPI]	[Xa_TFPI]	[TF_VIIa_Xa_TFPI]	[ATIII]	[Xa_ATIII]	[mIIa_ATIII]	[IXa_ATIII]	[IIa_ATIII]	[TF_VIIa_ATIII]
11	1.72635e-11	7.21126e-12	9.99078e-09	1.83898e-13	1.01484e-10	3.83596e-12	1.51205e-13	1.03734e-13	1.59996e-07	3.13707e-14	8.99995e-08	3.90185e-14	4.60135e-13	1.4e-06	6.99994e-10	6.1246e-15	1.69955e-20	3.09365e-20	8.43768e-17	8.43768e-17	1.99998e-08	1.77001e-13	2.17414e-16	1.82186e-16	1.69332e-14	2.4998e-09	3.46567e-14	1.66225e-13	3.4e-06	7.86425e-14	5.51005e-16	3.04981e-15	1.07062e-14	9.7297e-16
12	1.67046e-11	7.731e-12	9.98972e-09	1.90685e-13	1.01981e-10	4.41312e-12	1.90385e-13	1.07671e-13	1.59995e-07	3.25736e-14	8.99994e-08	4.05286e-14	5.30936e-13	1.4e-06	6.99991e-10	8.466e-15	2.96323e-20	5.42638e-20	1.27886e-16	1.27886e-16	1.99998e-08	2.44853e-13	3.74872e-16	3.14229e-16	3.1888e-14	2.49976e-09	4.39184e-14	1.91793e-13	3.4e-06	9.96703e-14	1.13052e-15	3.87503e-15	1.48185e-14	1.1195e-15
13	1.6166e-11	8.23156e-12	9.98861e-09	1.96461e-13	1.02555e-10	5.00697e-12	2.34709e-13	1.11026e-13	1.59994e-07	3.35991e-14	8.99993e-08	4.18165e-14	6.04132e-13	1.4e-06	6.99988e-10	1.13761e-14	4.92358e-20	9.06254e-20	1.87114e-16	1.87114e-16	1.99997e-08	3.2925e-13	6.15591e-16	5.16144e-16	5.68604e-14	2.49973e-09	5.44942e-14	2.18249e-13	3.4e-06	1.23686e-13	2.1853e-15	4.82026e-15	1.99387e-14	1.27093e-15
14	1.56469e-11	8.71364e-12	9.98744e-09	2.01328e-13	1.03209e-10	5.61413e-12	2.84208e-13	1.13857e-13	1.59994e-07	3.4465e-14	8.99993e-08	4.29046e-14	6.79339e-13	1.4e-06	6.99985e-10	1.49235e-14	7.85208e-20	1.45169e-19	2.65678e-16	2.65678e-16	1.99996e-08	4.32201e-13	9.69754e-16	8.13281e-16	9.67694e-14	2.49969e-09	6.64174e-14	2.45456e-13	3.4e-06	1.50765e-13	4.01419e-15	5.88917e-15	2.61912e-14	1.42652e-15
15	1.51466e-11	9.1779e-12	9.9862e-09	2.0538e-13	1.03942e-10	6.23158e-12	3.38882e-13	1.16219e-13	1.59993e-07	3.51878e-14	8.99992e-08	4.38132e-14	7.56213e-13	1.4e-06	6.9998e-10	1.91768e-14	1.20875e-19	2.24336e-19	3.6761e-16	3.6761e-16	1.99994e-08	5.5571e-13	1.47396e-15	1.23638e-15	1.58179e-13	2.49965e-09	7.97137e-14	2.73294e-13	3.4e-06	1.80969e-13	7.05455e-15	7.0848e-15	3.37011e-14	1.58559e-15
16	1.46644e-11	9.625e-12	9.98491e-09	2.08701e-13	1.04758e-10	6.85661e-12	3.98697e-13	1.18159e-13	1.59992e-07	3.57821e-14	8.99991e-08	4.45609e-14	8.34447e-13	1.4e-06	6.99975e-10	2.42038e-14	1.80398e-19	3.35939e-19	4.97346e-16	4.97346e-16	1.99993e-08	7.01768e-13	2.17135e-15	1.82168e-15	2.49485e-13	2.4996e-09	9.44023e-14	3.01655e-13	3.4e-06	2.14341e-13	1.19115e-14	8.40966e-15	4.25934e-14	1.74754e-15
17	1.41996e-11	1.00555e-11	9.98354e-09	2.11368e-13	1.05655e-10	7.48677e-12	4.63597e-13	1.19722e-13	1.59992e-07	3.62616e-14	8.9999e-08	4.51646e-14	9.13765e-13	1.4e-06	6.99969e-10	3.00713e-14	2.62053e-19	4.89458e-19	6.59731e-16	6.59731e-16	1.99991e-08	8.72326e-13	3.11242e-15	2.61159e-15	3.81486e-13	2.49956e-09	1.10497e-13	3.30441e-13	3.4e-06	2.50915e-13	1.94346e-14	9.86576e-15	5.29915e-14	1.91183e-15
18	1.37516e-11	1.04701e-11	9.98212e-09	2.13451e-13	1.06635e-10	8.11987e-12	5.33503e-13	1.20948e-13	1.59991e-07	3.66386e-14	8.99989e-08	4.564e-14	9.9392e-13	1.4e-06	6.99962e-10	3.68445e-14	3.71683e-19	6.9607e-19	8.60004e-16	8.60004e-16	1.99989e-08	1.06929e-12	4.35474e-15	3.65451e-15	5.67556e-13	2.49951e-09	1.28006e-13	3.59566e-13	3.4e-06	2.9071e-13	3.07656e-14	1.14547e-14	6.5017e-14	2.07797e-15
19	1.33196e-11	1.08693e-11	9.98062e-09	2.15017e-13	1.07699e-10	8.75392e-12	6.08316e-13	1.21876e-13	1.5999e-07	3.69243e-14	8.99989e-08	4.6001e-14	1.07469e-12	1.4e-06	6.99954e-10	4.45872e-14	5.16102e-19	9.68838e-19	1.10379e-15	1.10379e-15	1.99987e-08	1.29453e-12	5.96337e-15	5.00508e-15	8.24024e-13	2.49946e-09	1.46934e-13	3.88952e-13	3.4e-06	3.33737e-13	4.74058e-14	1.31778e-14	7.87895e-14	2.24554e-15
20	1.29033e-11	1.12537e-11	9.97906e-09	2.16121e-13	1.08844e-10	9.38714e-12	6.87921e-13	1.22537e-13	1.59989e-07	3.7129e-14	8.99988e-08	4.62603e-14	1.15588e-12	1.4e-06	6.99945e-10	5.3361e-14	7.03128e-19	1.32276e-18	1.39711e-15	1.39711e-15	1.99984e-08	1.54984e-12	8.01047e-15	6.72396e-15	1.17042e-12	2.49941e-09	1.6728e-13	4.18529e-13	3.4e-06	3.79997e-13	7.12832e-14	1.50358e-14	9.44258e-14	2.41414e-15
