Time	[(GLU) glucose]	[(ENZ) hexokinase]	[(ENG) hexokinase-glucose intermediate]	[(TP1) adenosine triphosphate in store 1 (cytoplasm)]	[(ADP) adenosine diphosphate]	[(GLP) glucose 6-phosphate]	[(ETZ) phosphofructokinase]	[(ETG) phosphofructokinase intermediate]	[(GPP) hexose diphosphate]	[(GAP) glyceraldehyde 3-phosphate]	[(DHA) dihydroxacetone phosphate]	[(DPN) extramitochondrial diphospyridine nucleotide]	[(DPH) extramitochondrial reduced diphospyridine nucleotide]	[(PID) inorganic phosphate]	[(PGA) 3 phosphoglycerate]	[(PYR) pyruvate]	[(LAC) lactate]	[(DIN) intramitochondrial diphospyridine nucleotide]	[(DIH) intramitochondrial reduced diphospyridine nucleotide]	[(XI) low energy intermediate in oxidative phosphorylation]	[(XSI) high energy intermediate in oxidative phosphorylation]	[(OXY) oxygen]	[(XSP) phosphorylated intermediate in oxidative phosphorylation]	[(TP2) adenosine triphosphate in store 2 (mitochondria)]	[(DBP) dibromophenol]	[(PUE) enzyme concerned in ATP utilization]	[(PPP) enzyme intermediate concerned in ATP utilization]	[(AGP) alpha-glycerophosphate]	[(MOD) glyceraldehyde 3-phoshphate dehydrogenase-DPN complex]	[(MOB) acyl enzyme intermediate of glyceraldehyde 3-phoshphate dehydrogenase]	[(MOX) glyceraldehyde 3-phoshphate dehydrogenase]
0	0	1e-05	0	0.0005	0.0001	0	1e-05	0	0	0	0	0.0001	0.0001	0.004	0	0.001	0.001	3e-05	3e-05	2e-05	2e-05	0.0005	2e-05	0.0005	0	2e-06	1e-06	0	5e-05	0	0
1	0	1e-05	0	0.000497315	7.80092e-05	0	1e-05	0	0	0	0	0.000137722	6.22778e-05	0.00398195	0	0.000961685	0.00103772	3.08219e-05	2.91781e-05	3.48202e-05	9.12408e-06	0.000496806	1.60557e-05	0.000524401	0	1.72584e-06	1.27416e-06	0	5e-05	0	0
2	0	1e-05	0	0.000494754	6.50131e-05	0	1e-05	0	0	0	0	0.000159995	4.0005e-05	0.0039714	0	0.000938813	0.00105999	3.23464e-05	2.76536e-05	3.86063e-05	7.77587e-06	0.000492884	1.36178e-05	0.000539955	0	1.72121e-06	1.27879e-06	0	5e-05	0	0
3	0	1e-05	0	0.000492203	5.54501e-05	0	1e-05	0	0	0	0	0.000173453	2.65466e-05	0.00396195	0	0.000924738	0.00107345	3.3749e-05	2.6251e-05	3.91255e-05	7.37127e-06	0.000489018	1.35032e-05	0.000552072	0	1.72474e-06	1.27526e-06	0	5e-05	0	0
4	0	1e-05	0	0.00048966	4.73614e-05	0	1e-05	0	0	0	0	0.0001817	1.82996e-05	0.00395313	0	0.00091586	0.0010817	3.48787e-05	2.51213e-05	3.87907e-05	6.98019e-06	0.000485361	1.42291e-05	0.000562707	0	1.72852e-06	1.27148e-06	0	5e-05	0	0
5	0	1e-05	0	0.000487125	4.02425e-05	0	1e-05	0	0	0	0	0.000186798	1.32023e-05	0.00394495	0	0.000910117	0.0010868	3.57418e-05	2.42582e-05	3.81194e-05	6.59244e-06	0.000481918	1.52881e-05	0.000572365	0	1.73232e-06	1.26768e-06	0	5e-05	0	0
6	0	1e-05	0	0.000484597	3.39472e-05	0	1e-05	0	0	0	0	0.000189965	1.0035e-05	0.00393738	0	0.000906295	0.00108997	3.6369e-05	2.3631e-05	3.7203e-05	6.2315e-06	0.00047867	1.65655e-05	0.000581192	0	1.73612e-06	1.26388e-06	0	5e-05	0	0
7	0	1e-05	0	0.000482077	2.84114e-05	0	1e-05	0	0	0	0	0.00019194	8.0603e-06	0.00393036	0	0.000903658	0.00109194	3.67893e-05	2.32107e-05	3.60541e-05	5.89935e-06	0.000475601	1.80465e-05	0.000589252	0	1.73993e-06	1.26007e-06	0	5e-05	0	0
8	0	1e-05	0	0.000479564	2.35933e-05	0	1e-05	0	0	0	0	0.000193173	6.82683e-06	0.00392386	0	0.000901758	0.00109317	3.7027e-05	2.2973e-05	3.46767e-05	5.58981e-06	0.000472697	1.97335e-05	0.000596586	0	1.74374e-06	1.25626e-06	0	5e-05	0	0
9	0	1e-05	0	0.000477059	1.94576e-05	0	1e-05	0	0	0	0	0.000193944	6.0556e-06	0.00391783	0	0.000900318	0.00109394	3.71011e-05	2.28989e-05	3.30811e-05	5.29552e-06	0.00046995	2.16234e-05	0.000603231	0	1.74756e-06	1.25244e-06	0	5e-05	0	0
10	0	1e-05	0	0.000474562	1.59681e-05	0	1e-05	0	0	0	0	0.000194427	5.57332e-06	0.00391227	0	0.000899169	0.00109443	3.7027e-05	2.2973e-05	3.12882e-05	5.0103e-06	0.000467356	2.37015e-05	0.000609221	0	1.75138e-06	1.24862e-06	0	5e-05	0	0
11	0	1e-05	0	0.000472072	1.30824e-05	0	1e-05	0	0	0	0	0.000194728	5.27196e-06	0.00390714	0	0.000898204	0.00109473	3.68168e-05	2.31832e-05	2.9332e-05	4.72988e-06	0.000464911	2.59382e-05	0.0006146	0	1.75521e-06	1.24479e-06	0	5e-05	0	0
12	0	1e-05	0	0.00046959	1.0748e-05	0	1e-05	0	0	0	0	0.000194916	5.084e-06	0.00390246	0	0.000897358	0.00109492	3.64815e-05	2.35185e-05	2.72594e-05	4.45211e-06	0.000462613	2.82885e-05	0.000619421	0	1.75904e-06	1.24096e-06	0	5e-05	0	0
13	0	1e-05	0	0.000467116	8.90228e-06	0	1e-05	0	0	0	0	0.000195033	4.96716e-06	0.00389821	0	0.00089659	0.00109503	3.60311e-05	2.39689e-05	2.51275e-05	4.177e-06	0.000460461	3.06955e-05	0.000623744	0	1.76288e-06	1.23712e-06	0	5e-05	0	0
