Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[IXa_ATIII_Heparin]	[A_warf]	[VK_p]
14	0	0.7	0	0	80.0447	0	0	30.6	0	7.01186	0	162.143	0	0	26.7	0	1338.23	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	49.9843	50	0	0	0	0	2.5	280.68	0.0535787	0	0	375	0	0	0	1.00872	0.314714	0.117918	450	81.7874	0	0	0	0	0	0	9.04126e-06	115.48
15	0	0.7	0	0	79.1261	0	0	30.6	0	6.82358	0	160.913	0	0	26.7	0	1332.33	0	8945.5	81.7875	0	0	70.3	2154.3	0	0	49.1112	50	0	0	0	0	2.5	278.712	0.0533866	0	0	375	0	0	0	1.00839	0.308483	0.116184	450	81.7875	0	0	0	0	0	0	3.32609e-06	115.48
16	0	0.7	0	0	78.2307	0	0	30.6	0	6.65523	0	159.701	0	0	26.7	0	1326.48	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	48.2771	50	0	0	0	0	2.5	276.77	0.0533322	0	0	375	0	0	0	1.00797	0.302375	0.114495	450	81.7874	0	0	0	0	0	0	1.2236e-06	115.481
17	0	0.7	0	0	77.361	0	0	30.6	0	6.50596	0	158.511	0	0	26.7	0	1320.68	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	47.4838	50	0	0	0	0	2.5	274.86	0.0533864	0	0	375	0	0	0	1.0075	0.296387	0.112876	450	81.7874	0	0	0	0	0	0	4.50138e-07	115.481
18	0	0.7	0	0	76.5186	0	0	30.6	0	6.3747	0	157.345	0	0	26.7	0	1314.96	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	46.7321	50	0	0	0	0	2.5	272.986	0.0535264	0	0	375	0	0	0	1.00698	0.290518	0.111344	450	81.7874	0	0	0	0	0	0	1.65597e-07	115.482
19	0	0.7	0	0	75.7049	0	0	30.6	0	6.26027	0	156.206	0	0	26.7	0	1309.31	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	46.0222	50	0	0	0	0	2.5	271.151	0.053734	0	0	375	0	0	0	1.00644	0.284766	0.109908	450	81.7874	0	0	0	0	0	0	6.09196e-08	115.482
20	0	0.7	0	0	74.9204	0	0	30.6	0	6.16144	0	155.094	0	0	26.7	0	1303.76	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	45.3538	50	0	0	0	0	2.5	269.358	0.0539951	0	0	375	0	0	0	1.00589	0.279127	0.108573	450	81.7874	0	0	0	0	0	0	2.2411e-08	115.482
21	0	0.7	0	0	74.1656	0	0	30.6	0	6.077	0	154.011	0	0	26.7	0	1298.3	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	44.7262	50	0	0	0	0	2.5	267.609	0.0542982	0	0	375	0	0	0	1.00534	0.2736	0.107341	450	81.7874	0	0	0	0	0	0	8.24508e-09	115.483
22	0	0.7	0	0	73.4405	0	0	30.6	0	6.00573	0	152.957	0	0	26.7	0	1292.94	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	44.1387	50	0	0	0	0	2.5	265.903	0.0546347	0	0	375	0	0	0	1.0048	0.268182	0.10621	450	81.7874	0	0	0	0	0	0	3.03288e-09	115.483
23	0	0.7	0	0	72.7452	0	0	30.6	0	5.94648	0	151.933	0	0	26.7	0	1287.68	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	43.5901	50	0	0	0	0	2.5	264.243	0.0549975	0	0	375	0	0	0	1.00428	0.262872	0.105178	450	81.7874	0	0	0	0	0	0	1.11599e-09	115.483
