Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[IXa_ATIII_Heparin]	[A_warf]	[VK_p]
66	0	0.7	0	0	45.8162	0	0	30.6	0	3.60611	0	107.261	0	0	26.7	0	1032.84	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	25.2307	50	0	0	0	0	2.5	190.474	0.0353637	0	0	375	0	0	0	1.00124	0.581524	0.102408	450	81.7874	0	0	0	0	0	0	1.65597e-07	115.489
67	0	0.7	0	0	45.417	0	0	30.6	0	3.60034	0	106.453	0	0	26.7	0	1027.5	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	25.0404	50	0	0	0	0	2.5	189.102	0.0357342	0	0	375	0	0	0	1.00111	0.570009	0.101867	450	81.7874	0	0	0	0	0	0	6.09193e-08	115.489
68	0	0.7	0	0	45.039	0	0	30.6	0	3.59953	0	105.671	0	0	26.7	0	1022.26	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	24.8706	50	0	0	0	0	2.5	187.771	0.0361237	0	0	375	0	0	0	1.00097	0.558722	0.101349	450	81.7874	0	0	0	0	0	0	2.24112e-08	115.489
69	0	0.7	0	0	44.682	0	0	30.6	0	3.6033	0	104.915	0	0	26.7	0	1017.13	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	24.7206	50	0	0	0	0	2.5	186.482	0.0365287	0	0	375	0	0	0	1.00083	0.547659	0.100856	450	81.7874	0	0	0	0	0	0	8.24476e-09	115.489
70	0	0.7	0	0	44.3457	0	0	30.6	0	3.6113	0	104.186	0	0	26.7	0	1012.11	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	24.59	50	0	0	0	0	2.5	185.234	0.0369464	0	0	375	0	0	0	1.00068	0.536814	0.10039	450	81.7874	0	0	0	0	0	0	3.03323e-09	115.489
71	0	0.7	0	0	44.0298	0	0	30.6	0	3.62319	0	103.483	0	0	26.7	0	1007.19	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	24.4782	50	0	0	0	0	2.5	184.027	0.0373747	0	0	375	0	0	0	1.00054	0.526185	0.0999526	450	81.7874	0	0	0	0	0	0	1.11581e-09	115.489
72	0	0.7	0	0	43.7341	0	0	30.6	0	3.63863	0	102.806	0	0	26.7	0	1002.39	0	8945.5	81.7875	0	0	70.3	2154.3	0	0	24.3845	50	0	0	0	0	2.5	182.861	0.0378118	0	0	375	0	0	0	1.00039	0.515766	0.0995426	450	81.7875	0	0	0	0	0	0	4.1045e-10	115.489
73	0	0.7	0	0	43.4581	0	0	30.6	0	3.6573	0	102.154	0	0	26.7	0	997.688	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	24.3082	50	0	0	0	0	2.5	181.735	0.0382564	0	0	375	0	0	0	1.00025	0.505553	0.0991604	450	81.7874	0	0	0	0	0	0	1.50992e-10	115.489
74	0	0.7	0	0	43.1895	0	0	30.6	0	3.67353	0	101.514	0	0	26.7	0	993.035	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	24.2351	50	0	0	0	0	2.5	180.628	0.0374867	0	0	375	0	0	0	1.00016	0.745468	0.099978	450	81.7874	0	0	0	0	0	0	1.47152	115.489
75	0	0.7	0	0	42.8957	0	0	30.6	0	3.67335	0	100.845	0	0	26.7	0	988.251	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	24.1279	50	0	0	0	0	2.5	179.475	0.0359641	0	0	375	0	0	0	1.00017	0.82265	0.101453	450	81.7874	0	0	0	0	0	0	0.541342	115.489
76	0	0.7	0	0	42.5718	0	0	30.6	0	3.65619	0	100.142	0	0	26.7	0	983.306	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	23.9819	50	0	0	0	0	2.5	178.268	0.0345348	0	0	375	0	0	0	1.00026	0.840184	0.102744	450	81.7874	0	0	0	0	0	0	0.199149	115.489
77	0	0.7	0	0	42.2239	0	0	30.6	0	3.62631	0	99.4103	0	0	26.7	0	978.229	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	23.805	50	0	0	0	0	2.5	177.016	0.0333752	0	0	375	0	0	0	1.00039	0.83599	0.103692	450	81.7874	0	0	0	0	0	0	0.0732626	115.489
78	0	0.7	0	0	41.8599	0	0	30.6	0	3.58834	0	98.6603	0	0	26.7	0	973.062	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	23.6071	50	0	0	0	0	2.5	175.735	0.0324975	0	0	375	0	0	0	1.00054	0.824014	0.104306	450	81.7874	0	0	0	0	0	0	0.0269518	115.489
79	0	0.7	0	0	41.4871	0	0	30.6	0	3.54621	0	97.9004	0	0	26.7	0	967.843	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	23.3969	50	0	0	0	0	2.5	174.438	0.0318694	0	0	375	0	0	0	1.00068	0.809382	0.104637	450	81.7874	0	0	0	0	0	0	0.00991499	115.489
80	0	0.7	0	0	41.1116	0	0	30.6	0	3.50299	0	97.1378	0	0	26.7	0	962.603	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	23.1817	50	0	0	0	0	2.5	173.137	0.0314497	0	0	375	0	0	0	1.00081	0.793974	0.104743	450	81.7874	0	0	0	0	0	0	0.00364752	115.489
81	0	0.7	0	0	40.7384	0	0	30.6	0	3.46092	0	96.3786	0	0	26.7	0	957.369	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	22.9673	50	0	0	0	0	2.5	171.841	0.0311997	0	0	375	0	0	0	1.00091	0.77848	0.104673	450	81.7874	0	0	0	0	0	0	0.00134184	115.489
82	0	0.7	0	0	40.3713	0	0	30.6	0	3.4216	0	95.6273	0	0	26.7	0	952.163	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	22.7582	50	0	0	0	0	2.5	170.557	0.0310869	0	0	375	0	0	0	1.00098	0.763149	0.104473	450	81.7874	0	0	0	0	0	0	0.000493636	115.489
83	0	0.7	0	0	40.0133	0	0	30.6	0	3.38611	0	94.8877	0	0	26.7	0	947	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	22.5577	50	0	0	0	0	2.5	169.292	0.0310841	0	0	375	0	0	0	1.00102	0.748069	0.104176	450	81.7874	0	0	0	0	0	0	0.000181598	115.489
84	0	0.7	0	0	39.6666	0	0	30.6	0	3.35512	0	94.1626	0	0	26.7	0	941.895	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	22.3682	50	0	0	0	0	2.5	168.049	0.0311697	0	0	375	0	0	0	1.00103	0.733267	0.103811	450	81.7874	0	0	0	0	0	0	6.68063e-05	115.489
85	0	0.7	0	0	39.3329	0	0	30.6	0	3.32903	0	93.4543	0	0	26.7	0	936.858	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	22.1915	50	0	0	0	0	2.5	166.833	0.0313261	0	0	375	0	0	0	1.00102	0.718752	0.1034	450	81.7874	0	0	0	0	0	0	2.45766e-05	115.489
86	0	0.7	0	0	39.0136	0	0	30.6	0	3.30801	0	92.7644	0	0	26.7	0	931.897	0	8945.5	81.7875	0	0	70.3	2154.3	0	0	22.029	50	0	0	0	0	2.5	165.646	0.0315395	0	0	375	0	0	0	1.00099	0.704521	0.10296	450	81.7875	0	0	0	0	0	0	9.04122e-06	115.489
87	0	0.7	0	0	38.7094	0	0	30.6	0	3.29204	0	92.0942	0	0	26.7	0	927.018	0	8945.5	81.7875	0	0	70.3	2154.3	0	0	21.8812	50	0	0	0	0	2.5	164.49	0.0317987	0	0	375	0	0	0	1.00094	0.690571	0.102504	450	81.7875	0	0	0	0	0	0	3.32608e-06	115.489
88	0	0.7	0	0	38.4211	0	0	30.6	0	3.28103	0	91.4446	0	0	26.7	0	922.226	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.7489	50	0	0	0	0	2.5	163.366	0.0320949	0	0	375	0	0	0	1.00087	0.676897	0.102042	450	81.7874	0	0	0	0	0	0	1.2236e-06	115.49
89	0	0.7	0	0	38.149	0	0	30.6	0	3.2748	0	90.8163	0	0	26.7	0	917.525	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.6321	50	0	0	0	0	2.5	162.276	0.032421	0	0	375	0	0	0	1.00079	0.663494	0.101583	450	81.7874	0	0	0	0	0	0	4.50134e-07	115.49
90	0	0.7	0	0	37.8934	0	0	30.6	0	3.2731	0	90.2097	0	0	26.7	0	912.918	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.5309	50	0	0	0	0	2.5	161.221	0.0327715	0	0	375	0	0	0	1.0007	0.650356	0.101133	450	81.7874	0	0	0	0	0	0	1.65595e-07	115.49
91	0	0.7	0	0	37.6543	0	0	30.6	0	3.27568	0	89.6251	0	0	26.7	0	908.407	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.4452	50	0	0	0	0	2.5	160.201	0.0331419	0	0	375	0	0	0	1.0006	0.637478	0.100696	450	81.7874	0	0	0	0	0	0	6.09188e-08	115.49
92	0	0.7	0	0	37.4317	0	0	30.6	0	3.28225	0	89.0628	0	0	26.7	0	903.993	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.3748	50	0	0	0	0	2.5	159.216	0.0335286	0	0	375	0	0	0	1.0005	0.624855	0.100275	450	81.7874	0	0	0	0	0	0	2.24108e-08	115.49
93	0	0.7	0	0	37.2256	0	0	30.6	0	3.29253	0	88.5227	0	0	26.7	0	899.678	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.3193	50	0	0	0	0	2.5	158.266	0.0339288	0	0	375	0	0	0	1.00039	0.612482	0.0998728	450	81.7874	0	0	0	0	0	0	8.24447e-09	115.49
94	0	0.7	0	0	37.0358	0	0	30.6	0	3.30624	0	88.0049	0	0	26.7	0	895.462	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.2785	50	0	0	0	0	2.5	157.352	0.0343402	0	0	375	0	0	0	1.00028	0.600354	0.0994903	450	81.7874	0	0	0	0	0	0	3.03319e-09	115.49
95	0	0.7	0	0	36.8621	0	0	30.6	0	3.32311	0	87.5093	0	0	26.7	0	891.345	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.2518	50	0	0	0	0	2.5	156.473	0.0347611	0	0	375	0	0	0	1.00017	0.588466	0.0991288	450	81.7874	0	0	0	0	0	0	1.11567e-09	115.49
96	0	0.7	0	0	36.7042	0	0	30.6	0	3.34288	0	87.0357	0	0	26.7	0	887.329	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.2388	50	0	0	0	0	2.5	155.629	0.0351901	0	0	375	0	0	0	1.00006	0.576814	0.0987885	450	81.7874	0	0	0	0	0	0	4.10302e-10	115.49
97	0	0.7	0	0	36.5619	0	0	30.6	0	3.3653	0	86.5841	0	0	26.7	0	883.412	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.2391	50	0	0	0	0	2.5	154.821	0.0356258	0	0	375	0	0	0	0.999948	0.565392	0.0984695	450	81.7874	0	0	0	0	0	0	1.51054e-10	115.49
98	0	0.7	0	0	36.4243	0	0	30.6	0	3.3854	0	86.1413	0	0	26.7	0	879.539	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.2402	50	0	0	0	0	2.5	154.027	0.0349902	0	0	375	0	0	0	0.999883	0.804123	0.0992014	450	81.7874	0	0	0	0	0	0	1.47152	115.49
99	0	0.7	0	0	36.2627	0	0	30.6	0	3.39077	0	85.6724	0	0	26.7	0	875.552	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.2091	50	0	0	0	0	2.5	153.192	0.0336766	0	0	375	0	0	0	0.999911	0.880143	0.100524	450	81.7874	0	0	0	0	0	0	0.541342	115.49
100	0	0.7	0	0	36.0723	0	0	30.6	0	3.38083	0	85.1714	0	0	26.7	0	871.424	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	21.1414	50	0	0	0	0	2.5	152.307	0.0324394	0	0	375	0	0	0	1	0.896539	0.10169	450	81.7874	0	0	0	0	0	0	0.199149	115.49
