Time	[IAAm]	[IAAp]	[AuxTIR1]	[AuxTIAA]	[IAAs]	[ARFIAA]	[ARF2]	[Aux]	[PINm]	[PINp]	[ARm]	[ARp]	[TIR1]	[ARF]	[CRm]	[CRp]	[AHKph]	[Ck]	[ARRBph]	[ARRAph]	[ARRAm]	[ARRAp]	[ARRBp]	[CkAHKph]	[CkAHK]	[F1]	[F2]	[F3]	[F4]	[F5a]	[F5b]	[F6]
68	0.414694	1247.37	0.0013734	0.778608	0.778508	0.999198	6.08007e-07	6.69662e-05	0.00401738	0.00401619	8.03475e-05	8.03238e-05	0.220019	0.000801041	1.61802	1.61804	0.213988	0.997936	0.543368	0.0290996	0.0780758	0.0780462	1.45663	0.213545	0.572468	0.00030313	2.54364e-06	0.205621	0.808021	0.000381593	3.20204e-06	0.000802593
69	0.414521	1210.46	0.00143333	0.788546	0.788447	0.999173	6.43643e-07	7.30082e-05	0.00414153	0.00414024	8.28306e-05	8.28047e-05	0.21002	0.000825444	1.61596	1.61598	0.213827	0.997978	0.542871	0.0299102	0.0803558	0.0803236	1.45713	0.213393	0.572781	0.000312426	2.69404e-06	0.205473	0.806906	0.000393223	3.39075e-06	0.000827362
70	0.414333	1172.55	0.00149832	0.79848	0.798381	0.999147	6.83659e-07	7.99068e-05	0.00427739	0.00427597	8.55479e-05	8.55195e-05	0.200022	0.000852115	1.61372	1.61374	0.213654	0.998006	0.542328	0.0307927	0.0828447	0.0828095	1.45767	0.213226	0.57312	0.00032259	2.86305e-06	0.205312	0.805692	0.000405933	3.60274e-06	0.000854464
71	0.414128	1133.62	0.00156905	0.808408	0.808308	0.999117	7.28796e-07	8.7833e-05	0.00442652	0.00442496	8.85304e-05	8.84992e-05	0.190023	0.000881352	1.61128	1.61131	0.213468	0.998019	0.541734	0.0317557	0.0855689	0.0855304	1.45827	0.213043	0.57349	0.000333737	3.05384e-06	0.205136	0.804369	0.000419867	3.84196e-06	0.000884209
72	0.413905	1093.67	0.00164631	0.818328	0.818229	0.999085	7.79966e-07	9.70026e-05	0.00459077	0.00458904	9.18153e-05	9.17809e-05	0.180025	0.000913513	1.60862	1.60865	0.213266	0.998016	0.541083	0.0328095	0.0885601	0.0885178	1.45892	0.212841	0.573893	0.000346005	3.2703e-06	0.204942	0.802922	0.000435195	4.11329e-06	0.000916967
73	0.413661	1052.71	0.00173108	0.828242	0.828143	0.999049	8.38294e-07	0.000107692	0.00477236	0.00477045	9.54471e-05	9.54089e-05	0.170027	0.000949022	1.60571	1.60574	0.213047	0.997996	0.540368	0.0339665	0.0918558	0.0918091	1.45963	0.212618	0.574334	0.000359557	3.51728e-06	0.20473	0.801335	0.000452119	4.42275e-06	0.00095318
74	0.413395	1010.73	0.00182453	0.838146	0.838047	0.99901	9.0519e-07	0.000120259	0.00497398	0.00497185	9.94795e-05	9.9437e-05	0.16003	0.000988396	1.60252	1.60256	0.212808	0.997959	0.539579	0.0352412	0.095501	0.0954493	1.46042	0.212372	0.57482	0.000374592	3.80083e-06	0.204495	0.799589	0.000470886	4.77788e-06	0.000993383
75	0.413102	967.74	0.00192808	0.848039	0.847941	0.998966	9.82435e-07	0.000135174	0.00519891	0.00519653	0.000103978	0.000103931	0.150032	0.00103226	1.59901	1.59905	0.212546	0.997904	0.538705	0.036651	0.0995503	0.0994928	1.4613	0.212098	0.575356	0.000391353	4.1286e-06	0.204235	0.797661	0.000491795	5.18822e-06	0.00103823
76	0.412781	923.726	0.00204349	0.857921	0.857822	0.998916	1.07231e-06	0.000153065	0.00545119	0.00544852	0.000109024	0.00010897	0.140036	0.00108139	1.59513	1.59517	0.212257	0.997828	0.537733	0.0382172	0.10407	0.104006	1.46227	0.211793	0.57595	0.000410138	4.51045e-06	0.203945	0.795522	0.000515214	5.666e-06	0.00108852
77	0.412426	878.692	0.00217292	0.867788	0.867689	0.998861	1.17776e-06	0.000174784	0.00573587	0.00573285	0.000114717	0.000114657	0.130039	0.00113675	1.59082	1.59087	0.211936	0.997728	0.536648	0.0399657	0.109144	0.109071	1.46335	0.211451	0.576614	0.000431321	4.95912e-06	0.203622	0.793138	0.000541603	6.22709e-06	0.00114526
78	0.412033	832.634	0.00231914	0.877637	0.877538	0.998798	1.30268e-06	0.000201517	0.00605931	0.00605587	0.000121186	0.000121117	0.120044	0.00119956	1.58601	1.58607	0.211577	0.997603	0.535429	0.0419284	0.114873	0.114791	1.46457	0.211066	0.577357	0.000455372	5.49145e-06	0.203258	0.790467	0.000571543	6.89239e-06	0.00120971
79	0.411596	785.55	0.00248567	0.887465	0.887367	0.998726	1.45227e-06	0.000234949	0.00642966	0.0064257	0.000128593	0.000128514	0.11005	0.00127136	1.58063	1.58068	0.211173	0.997446	0.534052	0.0441455	0.121388	0.121295	1.46595	0.21063	0.578197	0.000482896	6.13004e-06	0.202847	0.787458	0.000605776	7.68991e-06	0.00128349
80	0.411109	737.44	0.00267708	0.897267	0.897169	0.998643	1.63361e-06	0.000277544	0.00685752	0.00685292	0.00013715	0.000137058	0.100056	0.00135419	1.57455	1.57462	0.210716	0.997254	0.532484	0.0466677	0.128857	0.12875	1.46752	0.210132	0.579152	0.00051468	6.90576e-06	0.202378	0.784043	0.000645268	8.65794e-06	0.00136871
81	0.410563	688.299	0.00289943	0.907036	0.906938	0.998546	1.85658e-06	0.000333019	0.00735695	0.00735155	0.000147139	0.000147031	0.090065	0.00145073	1.56765	1.56772	0.210193	0.997017	0.530686	0.0495603	0.137498	0.137374	1.46931	0.20956	0.580247	0.000551768	7.86177e-06	0.20184	0.780138	0.0006913	9.84987e-06	0.00146815
82	0.409948	638.125	0.00316094	0.916763	0.916666	0.998431	2.13528e-06	0.000407214	0.00794697	0.00794055	0.000158939	0.000158811	0.0800761	0.00156461	1.55974	1.55983	0.209589	0.996726	0.528606	0.0529087	0.147603	0.147457	1.47139	0.208897	0.581514	0.000595579	9.05991e-06	0.201217	0.775634	0.000745608	1.13421e-05	0.00158559
83	0.409253	586.916	0.00347299	0.926436	0.92634	0.998294	2.4904e-06	0.00050974	0.00865396	0.0086462	0.000173079	0.000172924	0.0700909	0.00170089	1.55061	1.55071	0.208885	0.996366	0.526171	0.0568269	0.159565	0.159393	1.47383	0.208118	0.582998	0.000648088	1.05915e-05	0.200486	0.770384	0.000810603	1.32474e-05	0.00172626
84	0.408463	534.669	0.00385187	0.936037	0.935941	0.998127	2.95341e-06	0.000657383	0.00951557	0.00950603	0.000190311	0.000190121	0.0601114	0.00186678	1.53994	1.54006	0.208051	0.995917	0.523286	0.0614703	0.17394	0.173732	1.47671	0.207192	0.584757	0.000712125	1.25958e-05	0.199619	0.764193	0.000889733	1.57373e-05	0.0018976
85	0.407561	481.382	0.00432166	0.945537	0.945442	0.99792	3.57408e-06	0.000881764	0.0105874	0.0105754	0.000211748	0.000211509	0.0501415	0.00207298	1.52733	1.52747	0.207049	0.995351	0.519818	0.0670567	0.191523	0.191266	1.48018	0.206076	0.586875	0.000791896	1.52948e-05	0.198575	0.756787	0.000988109	1.90845e-05	0.00211062
86	0.40653	427.055	0.00491961	0.954892	0.954799	0.997655	4.43506e-06	0.00124886	0.0119551	0.0119396	0.000239103	0.000238793	0.0401887	0.00233605	1.5122	1.51237	0.205824	0.994625	0.515572	0.073901	0.213502	0.21318	1.48443	0.204704	0.589473	0.000893931	1.90598e-05	0.197292	0.747777	0.00111364	2.37444e-05	0.00238224
87	0.405357	371.694	0.00570638	0.964023	0.963933	0.997306	5.68232e-06	0.00191776	0.0137576	0.0137368	0.000275152	0.000274736	0.030271	0.00268303	1.49371	1.49391	0.204289	0.993673	0.510257	0.0824761	0.241738	0.24132	1.48974	0.202979	0.592733	0.00102894	2.45522e-05	0.195683	0.736585	0.00127927	3.05256e-05	0.00273983
88	0.404042	315.313	0.00678775	0.972771	0.972686	0.996824	7.59437e-06	0.00336824	0.0162352	0.016206	0.000324705	0.000324119	0.0204414	0.0031612	1.47061	1.47087	0.202309	0.992387	0.503417	0.0935272	0.279307	0.278745	1.49658	0.200746	0.596944	0.00121573	3.30494e-05	0.193603	0.72232	0.0015076	4.0984e-05	0.00323072
89	0.402646	257.956	0.00836459	0.980706	0.980634	0.996117	1.07606e-05	0.00773675	0.0198422	0.0197982	0.000396845	0.000395964	0.0109292	0.00386124	1.44094	1.44128	0.199659	0.990583	0.494291	0.108302	0.331697	0.3309	1.50571	0.197748	0.602594	0.00149058	4.72954e-05	0.190815	0.703524	0.00184208	5.84482e-05	0.00394402
90	0.401427	199.785	0.0108543	0.985682	0.985667	0.994987	1.66192e-05	0.0314719	0.0255447	0.0254718	0.000510895	0.000509435	0.00346351	0.00497955	1.4014	1.40186	0.195921	0.987911	0.481506	0.129065	0.409741	0.408526	1.51849	0.193508	0.610571	0.00193268	7.41268e-05	0.186883	0.677633	0.00237687	9.11638e-05	0.00506853
91	0.401382	141.408	0.0152963	0.983245	0.9833	0.992921	2.94761e-05	0.104873	0.035773	0.0356321	0.000715461	0.000712641	0.0014591	0.00701961	1.34599	1.34665	0.190243	0.983637	0.462309	0.160388	0.53809	0.536015	1.53769	0.187059	0.622698	0.00274716	0.00013464	0.180927	0.639699	0.00335398	0.000164381	0.00707599
92	0.407178	83.8455	0.0255294	0.973121	0.973289	0.988089	6.77367e-05	0.189082	0.0586966	0.0583331	0.00117393	0.00116666	0.00135002	0.0117751	1.26246	1.2635	0.180549	0.975922	0.430249	0.213133	0.787174	0.782843	1.56975	0.17607	0.643382	0.00467597	0.000324046	0.170854	0.578773	0.0056395	0.00039082	0.0115321
93	0.457536	30.4427	0.0671719	0.930401	0.931371	0.967755	0.000307278	0.276669	0.146554	0.144567	0.00293109	0.00289135	0.00242693	0.0316304	1.12009	1.12203	0.159647	0.958168	0.364472	0.323249	1.48256	1.46781	1.63553	0.152632	0.687721	0.0130121	0.00167566	0.149936	0.462692	0.0153072	0.00197121	0.028101
94	1.16909	15.1324	0.126734	0.869699	0.867459	0.931034	0.00334325	0.355392	1.01063	0.999523	0.0202127	0.0199905	0.00356774	0.0622792	0.816233	0.820359	0.0936207	0.898818	0.186007	0.637002	6.43405	6.32892	1.81399	0.0833701	0.823009	0.0275686	0.0165162	0.0823381	0.201522	0.0300422	0.0179982	0.1666
95	1.32684	56.9213	0.0371844	0.961867	0.961626	0.979158	0.00180785	0.392235	1.24875	1.2516	0.0249751	0.025032	0.000948194	0.0172263	0.461851	0.464463	0.0547973	0.872008	0.101102	0.796453	15.065	15.014	1.8989	0.0476475	0.897555	0.00784296	0.00836605	0.0460307	0.10135	0.00822139	0.00876972	0.200205
96	0.919864	72.9949	0.0292377	0.970109	0.970126	0.984921	0.000792555	0.447319	0.853597	0.857622	0.0170719	0.0171524	0.000653629	0.0134934	0.288974	0.289996	0.0508722	0.880579	0.0943808	0.809921	16.3195	16.336	1.90562	0.0448259	0.904302	0.00617307	0.00370913	0.043178	0.0939765	0.00645164	0.00387651	0.146411
97	0.610068	51.2181	0.0411406	0.958039	0.958306	0.979987	0.000451795	0.501535	0.537012	0.539145	0.0107402	0.0107829	0.000820205	0.0191092	0.235986	0.236129	0.057716	0.898512	0.110042	0.780286	13.3265	13.3629	1.88996	0.0519566	0.890327	0.00871469	0.00222693	0.0501841	0.111116	0.00917513	0.00234459	0.0973336
98	0.625511	15.4567	0.124126	0.873668	0.87541	0.93776	0.00108902	0.562365	0.547457	0.543057	0.0109491	0.0108611	0.00220671	0.0600623	0.246004	0.24577	0.06667	0.916646	0.130935	0.741251	10.5625	10.5711	1.86907	0.061144	0.872186	0.0276578	0.00667599	0.0602935	0.134681	0.0294324	0.00710434	0.0979707
99	1.31488	28.6192	0.0713574	0.927441	0.926511	0.960909	0.00267529	0.59401	1.27572	1.27337	0.0255145	0.0254675	0.00120155	0.0337409	0.244322	0.244653	0.0543941	0.912724	0.105022	0.791097	14.3981	14.3382	1.89498	0.0494872	0.896119	0.0153843	0.0127172	0.0478851	0.105431	0.0161581	0.0133568	0.202981
100	1.13037	60.3362	0.0351629	0.964276	0.964178	0.981192	0.00126743	0.626651	1.08876	1.09267	0.0217752	0.0218534	0.000561154	0.0162727	0.206744	0.207053	0.0464553	0.913594	0.0890104	0.822104	17.6575	17.6541	1.91099	0.0424299	0.911115	0.00746027	0.005932	0.0408071	0.088032	0.00777766	0.00618436	0.179342
