Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p53_P]	[Mdm2_P]	[IR]	[ROS]	[damDNA]	[E1]	[E2]	[E1_Ub]	[E2_Ub]	[Proteasome]	[Ub]	[p53DUB]	[Mdm2DUB]	[DUB]	[Mdm2_p53_Ub]	[Mdm2_p53_Ub2]	[Mdm2_p53_Ub3]	[Mdm2_p53_Ub4]	[Mdm2_P1_p53_Ub4]	[Mdm2_Ub]	[Mdm2_Ub2]	[Mdm2_Ub3]	[Mdm2_Ub4]	[Mdm2_P_Ub]	[Mdm2_P_Ub2]	[Mdm2_P_Ub3]	[Mdm2_P_Ub4]	[p53_Ub4_Proteasome]	[Mdm2_Ub4_Proteasome]	[Mdm2_P_Ub4_Proteasome]	[GSK3b]	[GSK3b_p53]	[GSK3b_p53_P]	[Abeta]	[AggAbeta_Proteasome]	[AbetaPlaque]	[Tau]	[Tau_P1]	[Tau_P2]	[MT_Tau]	[AggTau]	[AggTau_Proteasome]	[Proteasome_Tau]	[PP1]	[NFT]	[ATP]	[ADP]	[AMP]	[AbetaDimer]	[AbetaPlaque_GliaA]	[GliaI]	[GliaM1]	[GliaM2]	[GliaA]	[antiAb]	[Abeta_antiAb]	[AbetaDimer_antiAb]	[degAbetaGlia]	[disaggPlaque1]	[disaggPlaque2]	[Source]	[Sink]
35	4.2143	6.2541	86.6695	9.92655	10	4.79955e-12	200	9.56748e-15	6.55533e-11	0	2.41514e-07	2.7763e-11	3.53352	17.8558	96.4665	82.1442	499.913	3786.53	200	200	200	0.435344	0.437351	0.439358	0.139181	7.7954	0.00426574	0.00431707	0.00435889	0.0289576	7.36304e-14	5.40119e-14	3.87208e-14	7.58735e-14	0.0868687	0.000263638	3.20308e-16	499.809	0.190661	6.09486e-17	0.000711228	3.60742e-15	3.46583e-23	0.09264	0.0213994	0.00492236	99.8836	1.87299e-09	1.1237e-12	0.000195938	50	2.61139e-20	10000	1000	1000	8.46805e-12	0	100	8.86671e-27	3.93251e-55	0	0	0	0	0	2.95563e-26	0	1	1
36	4.19615	6.28875	86.343	9.92486	10	5.37689e-12	200	1.08383e-14	7.35293e-11	0	2.55942e-07	3.02494e-11	3.4748	17.5858	96.5252	82.4142	499.905	3784.77	200	200	200	0.433704	0.435703	0.437703	0.138974	8.14846	0.00424662	0.00429782	0.00434303	0.0305597	8.33201e-14	6.17374e-14	4.477e-14	9.14316e-14	0.0945369	0.000290621	4.00163e-16	499.803	0.196542	7.10055e-17	0.000733418	4.0501e-15	4.24971e-23	0.0930906	0.0216362	0.00500746	99.8829	1.96624e-09	1.21966e-12	0.00020288	50	2.97992e-20	10000	1000	1000	9.25026e-12	0	100	1.11744e-26	6.24505e-55	0	0	0	0	0	3.72487e-26	0	1	1
37	4.1783	6.32335	86.0169	9.92319	10	6.00511e-12	200	1.22362e-14	8.22025e-11	0	2.70815e-07	3.28822e-11	3.42126	17.3389	96.5787	82.6611	499.897	3783.03	200	200	200	0.432066	0.434057	0.436049	0.138724	8.50098	0.00422781	0.00427862	0.0043261	0.0321592	9.39213e-14	7.02496e-14	5.14908e-14	1.09424e-13	0.102532	0.000318928	4.9589e-16	499.798	0.202447	8.23741e-17	0.000755717	4.53308e-15	5.18282e-23	0.0935075	0.0218649	0.00509097	99.8823	2.06047e-09	1.3203e-12	0.000209796	50	3.38532e-20	10000	1000	1000	1.00814e-11	0	100	1.3996e-26	9.79634e-55	0	0	0	0	0	4.66544e-26	0	1	1
38	4.16077	6.35788	85.6911	9.92155	10	6.68716e-12	200	1.37699e-14	9.16115e-11	0	2.86134e-07	3.56658e-11	3.37238	17.1126	96.6276	82.8874	499.889	3781.32	200	200	200	0.430429	0.432412	0.434397	0.138434	8.85285	0.00420931	0.00425955	0.00430846	0.0337552	1.05488e-13	7.95989e-14	5.89297e-14	1.30119e-13	0.110851	0.000348542	6.09886e-16	499.792	0.208374	9.51828e-17	0.000778127	5.05887e-15	6.2886e-23	0.0938932	0.022086	0.00517303	99.8816	2.15563e-09	1.42568e-12	0.00021668	50	3.82975e-20	10000	1000	1000	1.09631e-11	0	100	1.74281e-26	1.5189e-54	0	0	0	0	0	5.80949e-26	0	1	1
39	4.14355	6.39234	85.3658	9.91992	10	7.42609e-12	200	1.54487e-14	1.01796e-10	0	3.01901e-07	3.86049e-11	3.32767	16.9047	96.6723	83.0953	499.88	3779.63	200	200	200	0.428794	0.43077	0.432747	0.138111	9.20398	0.00419112	0.00424066	0.00429038	0.0353471	1.18075e-13	8.98367e-14	6.71345e-14	1.53804e-13	0.119494	0.000379447	7.44802e-16	499.786	0.214324	1.09569e-16	0.000800646	5.63003e-15	7.59347e-23	0.0942501	0.0223001	0.00525377	99.8811	2.25166e-09	1.53583e-12	0.000223532	50	4.31541e-20	10000	1000	1000	1.18973e-11	0	100	2.15822e-26	2.32934e-54	0	0	0	0	0	7.19421e-26	0	1	1
40	4.12664	6.42674	85.041	9.91832	10	8.22498e-12	200	1.7282e-14	1.12795e-10	0	3.18118e-07	4.17038e-11	3.28672	16.7134	96.7133	83.2866	499.871	3777.96	200	200	200	0.427163	0.42913	0.431099	0.137757	9.55428	0.00417326	0.00422202	0.00427208	0.0369344	1.3174e-13	1.01016e-13	7.61541e-14	1.80786e-13	0.128458	0.000411625	9.03539e-16	499.78	0.220296	1.25679e-16	0.000823276	6.24921e-15	9.12689e-23	0.0945801	0.0225077	0.0053333	99.8805	2.34852e-09	1.6508e-12	0.000230348	50	4.84448e-20	10000	1000	1000	1.28856e-11	0	100	2.65857e-26	3.53499e-54	0	0	0	0	0	8.86209e-26	0	1	1
41	4.11004	6.46108	84.7168	9.91674	10	9.08709e-12	200	1.92799e-14	1.24652e-10	0	3.34788e-07	4.49671e-11	3.24913	16.5368	96.7509	83.4632	499.862	3776.32	200	200	200	0.425534	0.427493	0.429455	0.137376	9.90368	0.00415572	0.00420364	0.0042537	0.0385166	1.46542e-13	1.13192e-13	8.604e-14	2.11392e-13	0.13774	0.000445058	1.08933e-15	499.774	0.226291	1.43669e-16	0.000846016	6.91918e-15	1.09223e-22	0.0948855	0.0227094	0.00541174	99.88	2.44614e-09	1.77064e-12	0.000237126	50	5.41925e-20	10000	1000	1000	1.39299e-11	0	100	3.25869e-26	5.31224e-54	0	0	0	0	0	1.08625e-25	0	1	1
42	4.09375	6.49534	84.3934	9.91518	10	1.00157e-11	200	2.14526e-14	1.37408e-10	0	3.51913e-07	4.83993e-11	3.21458	16.3736	96.7854	83.6264	499.852	3774.7	200	200	200	0.423908	0.42586	0.427813	0.136971	10.2521	0.00413849	0.00418555	0.00423537	0.0400936	1.62539e-13	1.26419e-13	9.68442e-14	2.45967e-13	0.14734	0.00047973	1.30565e-15	499.768	0.232307	1.63704e-16	0.000868868	7.64278e-15	1.30165e-22	0.0951679	0.0229055	0.0054892	99.8795	2.54449e-09	1.89536e-12	0.000243865	50	6.04197e-20	10000	1000	1000	1.5032e-11	0	100	3.97526e-26	7.9047e-54	0	0	0	0	0	1.32512e-25	0	1	1
43	4.07776	6.52955	84.0706	9.91364	10	1.10142e-11	200	2.38109e-14	1.51108e-10	0	3.69494e-07	5.20049e-11	3.18274	16.2222	96.8173	83.7778	499.842	3773.09	200	200	200	0.422287	0.42423	0.426176	0.136545	10.5995	0.00412159	0.00416776	0.00421716	0.041665	1.79794e-13	1.40757e-13	1.08621e-13	2.84877e-13	0.157256	0.000515621	1.55634e-15	499.762	0.238346	1.8596e-16	0.000891832	8.42294e-15	1.5451e-22	0.0954291	0.0230964	0.00556577	99.8791	2.64353e-09	2.02502e-12	0.000250562	50	6.71491e-20	10000	1000	1000	1.61938e-11	0	100	4.82749e-26	1.16565e-53	0	0	0	0	0	1.6092e-25	0	1	1
44	4.06208	6.56368	83.7486	9.91213	10	1.20861e-11	200	2.63657e-14	1.65795e-10	0	3.87535e-07	5.57886e-11	3.15333	16.0815	96.8467	83.9185	499.832	3771.5	200	200	200	0.420669	0.422604	0.424542	0.136101	10.9458	0.00410501	0.00415028	0.00419914	0.0432307	1.98369e-13	1.56264e-13	1.21424e-13	3.2851e-13	0.167484	0.000552715	1.84554e-15	499.756	0.244407	2.10623e-16	0.000914908	9.26267e-15	1.82713e-22	0.0956707	0.0232826	0.00564153	99.8786	2.74322e-09	2.15964e-12	0.000257217	50	7.44039e-20	10000	1000	1000	1.74171e-11	0	100	5.83705e-26	1.70407e-53	0	0	0	0	0	1.94573e-25	0	1	1
45	4.04669	6.59775	83.4275	9.91064	10	1.32349e-11	200	2.91288e-14	1.81516e-10	0	4.06037e-07	5.97549e-11	3.12612	15.9503	96.8739	84.0497	499.821	3769.92	200	200	200	0.419055	0.420982	0.422912	0.135641	11.2911	0.00408874	0.00413311	0.00418134	0.0447906	2.18329e-13	1.73e-13	1.35312e-13	3.77277e-13	0.178023	0.000590993	2.17779e-15	499.75	0.250489	2.3789e-16	0.000938097	1.01651e-14	2.15286e-22	0.0958941	0.0234644	0.00571659	99.8782	2.84351e-09	2.29926e-12	0.000263828	50	8.22073e-20	10000	1000	1000	1.87038e-11	0	100	7.02873e-26	2.47089e-53	0	0	0	0	0	2.34297e-25	0	1	1
46	4.03161	6.63175	83.1072	9.90917	10	1.44642e-11	200	3.21118e-14	1.98316e-10	0	4.25003e-07	6.39085e-11	3.10087	15.8277	96.8991	84.1723	499.81	3768.36	200	200	200	0.417446	0.419365	0.421286	0.135167	11.6351	0.00407278	0.00411626	0.0041638	0.0463445	2.3974e-13	1.91029e-13	1.50343e-13	4.3161e-13	0.18887	0.000630438	2.55797e-15	499.743	0.256594	2.67971e-16	0.000961398	1.11335e-14	2.52791e-22	0.0961006	0.0236421	0.00579102	99.8778	2.94438e-09	2.4439e-12	0.000270393	50	9.05828e-20	10000	1000	1000	2.00559e-11	0	100	8.43032e-26	3.55444e-53	0	0	0	0	0	2.81018e-25	0	1	1
47	4.01683	6.66568	82.7878	9.90772	10	1.5778e-11	200	3.53273e-14	2.16244e-10	0	4.44434e-07	6.8254e-11	3.07738	15.7127	96.9226	84.2873	499.799	3766.81	200	200	200	0.415841	0.417752	0.419665	0.13468	11.978	0.00405713	0.00409973	0.00414654	0.0478924	2.62669e-13	2.10413e-13	1.66576e-13	4.91964e-13	0.200024	0.000671032	2.99136e-15	499.737	0.262719	3.01085e-16	0.000984813	1.21711e-14	2.95852e-22	0.0962916	0.0238161	0.00586489	99.8775	3.0458e-09	2.5936e-12	0.000276912	50	9.9554e-20	10000	1000	1000	2.14753e-11	0	100	1.00733e-25	5.07475e-53	0	0	0	0	0	3.35785e-25	0	1	1
48	4.00234	6.69954	82.4694	9.90629	10	1.71799e-11	200	3.87879e-14	2.35349e-10	0	4.64334e-07	7.2796e-11	3.05547	15.6046	96.9445	84.3954	499.788	3765.27	200	200	200	0.41424	0.416143	0.418049	0.134182	12.3196	0.0040418	0.00408352	0.00412957	0.0494343	2.87188e-13	2.31219e-13	1.84074e-13	5.5882e-13	0.211482	0.000712758	3.48367e-15	499.731	0.268867	3.37465e-16	0.00100834	1.32813e-14	3.45154e-22	0.096468	0.0239866	0.00593827	99.8771	3.14773e-09	2.74837e-12	0.000283384	50	1.09145e-19	10000	1000	1000	2.2964e-11	0	100	1.19931e-25	7.19354e-53	0	0	0	0	0	3.9978e-25	0	1	1
49	3.98815	6.73332	82.1519	9.90489	10	1.8674e-11	200	4.25067e-14	2.5568e-10	0	4.84704e-07	7.75393e-11	3.03497	15.5027	96.965	84.4973	499.776	3763.75	200	200	200	0.412645	0.41454	0.416437	0.133675	12.6599	0.00402677	0.00406762	0.00411291	0.0509701	3.13364e-13	2.53512e-13	2.02899e-13	6.32678e-13	0.223242	0.000755598	4.04099e-15	499.725	0.275036	3.77353e-16	0.00103199	1.44677e-14	4.01449e-22	0.0966311	0.0241539	0.00601123	99.8768	3.25016e-09	2.90824e-12	0.000289806	50	1.19378e-19	10000	1000	1000	2.45239e-11	0	100	1.42292e-25	1.01262e-52	0	0	0	0	0	4.74318e-25	0	1	1
50	3.97425	6.76704	81.8354	9.90351	10	2.02642e-11	200	4.64974e-14	2.77289e-10	0	5.05546e-07	8.24886e-11	3.01575	15.4063	96.9842	84.5937	499.764	3762.23	200	200	200	0.411054	0.412941	0.414831	0.13316	12.999	0.00401204	0.00405204	0.00409655	0.0524998	3.41272e-13	2.77362e-13	2.23116e-13	7.14065e-13	0.235302	0.000799535	4.66987e-15	499.719	0.281226	4.21008e-16	0.00105574	1.57338e-14	4.65564e-22	0.0967818	0.0243182	0.00608382	99.8765	3.35305e-09	3.07324e-12	0.00029618	50	1.30279e-19	10000	1000	1000	2.61571e-11	0	100	1.68259e-25	1.41603e-52	0	0	0	0	0	5.60877e-25	0	1	1
51	3.96064	6.80069	81.5199	9.90215	10	2.19546e-11	200	5.07741e-14	3.00227e-10	0	5.26863e-07	8.76485e-11	2.99767	15.3148	97.0023	84.6852	499.751	3760.73	200	200	200	0.409469	0.411347	0.413229	0.132638	13.3368	0.00399761	0.00403676	0.0040805	0.0540235	3.70987e-13	3.0284e-13	2.44792e-13	8.03542e-13	0.247659	0.000844552	5.37747e-15	499.713	0.287437	4.68704e-16	0.00107962	1.70834e-14	5.38419e-22	0.096921	0.0244798	0.00615612	99.8762	3.45638e-09	3.2434e-12	0.000302504	50	1.41872e-19	10000	1000	1000	2.78657e-11	0	100	1.98334e-25	1.96781e-52	0	0	0	0	0	6.61131e-25	0	1	1
52	3.94731	6.83426	81.2054	9.90081	10	2.37496e-11	200	5.53513e-14	3.24549e-10	0	5.48658e-07	9.30239e-11	2.98062	15.2278	97.0194	84.7722	499.738	3759.23	200	200	200	0.407888	0.409759	0.411633	0.13211	13.6733	0.00398348	0.0040218	0.00406477	0.0555411	4.02583e-13	3.30016e-13	2.67994e-13	9.01686e-13	0.26031	0.000890631	6.17125e-15	499.706	0.29367	5.20722e-16	0.0011036	1.85203e-14	6.21002e-22	0.0970495	0.0246389	0.00622816	99.8759	3.56013e-09	3.41872e-12	0.000308778	50	1.54181e-19	10000	1000	1000	2.96517e-11	0	100	2.33066e-25	2.71748e-52	0	0	0	0	0	7.7691e-25	0	1	1
53	3.93428	6.86776	80.8919	9.89949	10	2.56533e-11	200	6.02437e-14	3.50309e-10	0	5.70932e-07	9.86195e-11	2.96448	15.1448	97.0355	84.8552	499.725	3757.75	200	200	200	0.406313	0.408176	0.410041	0.131576	14.0084	0.00396965	0.00400714	0.00404934	0.0570528	4.36139e-13	3.58965e-13	2.92792e-13	1.0091e-12	0.273255	0.000937758	7.05927e-15	499.7	0.299923	5.77361e-16	0.00112771	2.00483e-14	7.14399e-22	0.0971682	0.0247957	0.00630001	99.8756	3.66429e-09	3.59923e-12	0.000315001	50	1.67229e-19	10000	1000	1000	3.15172e-11	0	100	2.73071e-25	3.72998e-52	0	0	0	0	0	9.10263e-25	0	1	1
54	3.92152	6.90119	80.5795	9.8982	10	2.76702e-11	200	6.54669e-14	3.77561e-10	0	5.93687e-07	1.0444e-10	2.94916	15.0654	97.0508	84.9346	499.712	3756.27	200	200	200	0.404743	0.406598	0.408455	0.131038	14.3422	0.00395611	0.00399279	0.00403423	0.0585585	4.71733e-13	3.89762e-13	3.19257e-13	1.12643e-12	0.286489	0.000985914	8.05011e-15	499.694	0.306197	6.38934e-16	0.00115193	2.16716e-14	8.19795e-22	0.0972777	0.0249503	0.0063717	99.8753	3.76883e-09	3.78495e-12	0.000321173	50	1.81043e-19	10000	1000	1000	3.34643e-11	0	100	3.19031e-25	5.09068e-52	0	0	0	0	0	1.06347e-24	0	1	1
55	3.90905	6.93454	80.2682	9.89692	10	2.98047e-11	200	7.10367e-14	4.06365e-10	0	6.16926e-07	1.10491e-10	2.93459	14.9893	97.0654	85.0107	499.699	3754.8	200	200	200	0.403178	0.405025	0.406875	0.130497	14.6747	0.00394286	0.00397873	0.00401942	0.0600584	5.09447e-13	4.22483e-13	3.47462e-13	1.25433e-12	0.300012	0.00103508	9.15296e-15	499.688	0.312492	7.0577e-16	0.00117626	2.33942e-14	9.38492e-22	0.0973787	0.025103	0.00644328	99.8751	3.87374e-09	3.9759e-12	0.000327293	50	1.95646e-19	10000	1000	1000	3.54953e-11	0	100	3.71709e-25	6.9105e-52	0	0	0	0	0	1.23907e-24	0	1	1
56	3.89686	6.96781	79.9579	9.89567	10	3.20616e-11	200	7.69696e-14	4.36777e-10	0	6.40652e-07	1.16776e-10	2.92067	14.916	97.0793	85.084	499.685	3753.34	200	200	200	0.401619	0.403458	0.4053	0.129952	15.0058	0.0039299	0.00396498	0.00400492	0.0615524	5.49365e-13	4.57209e-13	3.77483e-13	1.3935e-12	0.31382	0.00108525	1.03777e-14	499.681	0.318808	7.78217e-16	0.00120072	2.52205e-14	1.07191e-21	0.0974718	0.0252539	0.00651479	99.8748	3.979e-09	4.1721e-12	0.000333361	50	2.11063e-19	10000	1000	1000	3.76123e-11	0	100	4.31954e-25	9.3339e-52	0	0	0	0	0	1.43989e-24	0	1	1
57	3.88494	7.00101	79.6488	9.89444	10	3.44453e-11	200	8.32818e-14	4.68857e-10	0	6.64866e-07	1.23301e-10	2.90736	14.8454	97.0926	85.1546	499.671	3751.89	200	200	200	0.400065	0.401896	0.40373	0.129405	15.3355	0.00391722	0.00395151	0.00399073	0.0630406	5.9157e-13	4.94017e-13	4.09393e-13	1.54465e-12	0.327912	0.0011364	1.17342e-14	499.675	0.325144	8.56622e-16	0.00122529	2.71546e-14	1.22154e-21	0.0975577	0.0254031	0.00658628	99.8746	4.08459e-09	4.37356e-12	0.000339377	50	2.27319e-19	10000	1000	1000	3.98174e-11	0	100	5.00662e-25	1.2537e-51	0	0	0	0	0	1.66892e-24	0	1	1
58	3.8733	7.03413	79.3407	9.89323	10	3.69608e-11	200	8.99913e-14	5.02667e-10	0	6.89571e-07	1.3007e-10	2.89458	14.7771	97.1054	85.2229	499.656	3750.44	200	200	200	0.398517	0.40034	0.402166	0.128856	15.6638	0.00390483	0.00393834	0.00397683	0.0645231	6.3615e-13	5.32994e-13	4.43274e-13	1.70855e-12	0.342284	0.00118852	1.3234e-14	499.668	0.3315	9.41374e-16	0.00124997	2.92011e-14	1.38909e-21	0.0976368	0.0255508	0.00665777	99.8744	4.19051e-09	4.58029e-12	0.000345341	50	2.44439e-19	10000	1000	1000	4.21129e-11	0	100	5.78893e-25	1.67617e-51	0	0	0	0	0	1.9297e-24	0	1	1
59	3.86193	7.06717	79.0337	9.89205	10	3.96128e-11	200	9.71151e-14	5.38266e-10	0	7.14769e-07	1.37089e-10	2.88229	14.7109	97.1177	85.2891	499.641	3749	200	200	200	0.396974	0.398789	0.400607	0.128306	15.9907	0.00389272	0.00392546	0.00396323	0.066	6.83192e-13	5.74219e-13	4.79203e-13	1.88596e-12	0.356935	0.00124158	1.48883e-14	499.662	0.337877	1.03285e-15	0.00127478	3.13645e-14	1.5763e-21	0.0977096	0.0256971	0.0067293	99.8741	4.29675e-09	4.79232e-12	0.000351252	50	2.62448e-19	10000	1000	1000	4.45011e-11	0	100	6.67739e-25	2.23005e-51	0	0	0	0	0	2.22587e-24	0	1	1
60	3.85082	7.10014	78.7279	9.89088	10	4.24063e-11	200	1.04672e-13	5.7572e-10	0	7.40463e-07	1.44361e-10	2.87042	14.6466	97.1296	85.3534	499.626	3747.57	200	200	200	0.395437	0.397244	0.399054	0.127754	16.3163	0.00388088	0.00391287	0.00394993	0.0674713	7.32788e-13	6.17781e-13	5.17264e-13	2.07771e-12	0.371862	0.00129558	1.67095e-14	499.656	0.344273	1.13148e-15	0.00129971	3.36495e-14	1.78518e-21	0.0977766	0.0258421	0.00680091	99.8739	4.40329e-09	5.00966e-12	0.000357111	50	2.81371e-19	10000	1000	1000	4.69843e-11	0	100	7.68465e-25	2.95341e-51	0	0	0	0	0	2.56163e-24	0	1	1
61	3.83999	7.13302	78.4231	9.88974	10	4.53465e-11	200	1.12681e-13	6.15093e-10	0	7.66654e-07	1.51894e-10	2.85895	14.5841	97.1411	85.4159	499.611	3746.14	200	200	200	0.393906	0.395705	0.397507	0.127201	16.6404	0.00386932	0.00390056	0.00393692	0.0689372	7.8503e-13	6.63768e-13	5.57539e-13	2.28466e-12	0.387063	0.00135051	1.87108e-14	499.649	0.35069	1.23767e-15	0.00132475	3.6061e-14	2.01783e-21	0.0978383	0.025986	0.00687261	99.8737	4.51012e-09	5.23233e-12	0.000362918	50	3.01234e-19	10000	1000	1000	4.95648e-11	0	100	8.8243e-25	3.89425e-51	0	0	0	0	0	2.94153e-24	0	1	1
62	3.82942	7.16582	78.1195	9.88861	10	4.84386e-11	200	1.21161e-13	6.56453e-10	0	7.93346e-07	1.5969e-10	2.84783	14.5231	97.1522	85.4769	499.596	3744.72	200	200	200	0.39238	0.394171	0.395965	0.126648	16.9632	0.00385803	0.00388853	0.00392421	0.0703977	8.40015e-13	7.12272e-13	6.00116e-13	2.50771e-12	0.402536	0.00140634	2.09063e-14	499.643	0.357127	1.3519e-15	0.00134991	3.8604e-14	2.27659e-21	0.0978949	0.0261287	0.00694445	99.8735	4.61723e-09	5.46033e-12	0.000368672	50	3.22063e-19	10000	1000	1000	5.2245e-11	0	100	1.01118e-24	5.1153e-51	0	0	0	0	0	3.3707e-24	0	1	1
63	3.81911	7.19854	77.817	9.88751	10	5.16878e-11	200	1.30132e-13	6.99866e-10	0	8.20541e-07	1.67756e-10	2.83702	14.4635	97.163	85.5365	499.58	3743.31	200	200	200	0.390859	0.392643	0.394429	0.126095	17.2846	0.00384701	0.00387678	0.00391177	0.0718528	8.97836e-13	7.63382e-13	6.45081e-13	2.74774e-12	0.418278	0.00146306	2.331e-14	499.636	0.363583	1.4746e-15	0.00137519	4.12833e-14	2.56384e-21	0.0979469	0.0262706	0.00701644	99.8733	4.72462e-09	5.69368e-12	0.000374374	50	3.43882e-19	10000	1000	1000	5.50272e-11	0	100	1.15629e-24	6.69015e-51	0	0	0	0	0	3.85442e-24	0	1	1
64	3.80906	7.23118	77.5156	9.88643	10	5.50994e-11	200	1.39614e-13	7.45402e-10	0	8.4824e-07	1.76096e-10	2.82649	14.4052	97.1735	85.5948	499.564	3741.9	200	200	200	0.389344	0.39112	0.392898	0.125542	17.6045	0.00383626	0.00386531	0.00389963	0.0733028	9.58595e-13	8.17193e-13	6.92523e-13	3.00573e-12	0.434287	0.00152065	2.59374e-14	499.63	0.370059	1.60628e-15	0.0014006	4.41042e-14	2.88229e-21	0.0979946	0.0264115	0.00708862	99.8731	4.83228e-09	5.9324e-12	0.000380024	50	3.66718e-19	10000	1000	1000	5.79139e-11	0	100	1.31959e-24	8.71624e-51	0	0	0	0	0	4.3988e-24	0	1	1
65	3.79926	7.26373	77.2153	9.88538	10	5.86787e-11	200	1.49627e-13	7.93127e-10	0	8.76447e-07	1.84716e-10	2.81622	14.348	97.1838	85.652	499.547	3740.5	200	200	200	0.387835	0.389603	0.391374	0.124989	17.9231	0.00382578	0.00385411	0.00388776	0.0747476	1.02239e-12	8.73797e-13	7.4253e-13	3.28261e-12	0.45056	0.00157912	2.88039e-14	499.623	0.376554	1.7474e-15	0.00142612	4.70717e-14	3.23465e-21	0.0980382	0.0265517	0.007161	99.8729	4.9402e-09	6.1765e-12	0.000385621	50	3.90594e-19	10000	1000	1000	6.09073e-11	0	100	1.50294e-24	1.13051e-50	0	0	0	0	0	5.00999e-24	0	1	1
66	3.78972	7.2962	76.9162	9.88434	10	6.24313e-11	200	1.60193e-13	8.43114e-10	0	9.05163e-07	1.9362e-10	2.80619	14.2919	97.1938	85.7081	499.531	3739.1	200	200	200	0.386332	0.388092	0.389855	0.124436	18.2402	0.00381555	0.00384318	0.00387617	0.0761874	1.08931e-12	9.33292e-13	7.95196e-13	3.57942e-12	0.467096	0.00163843	3.19267e-14	499.617	0.383069	1.8985e-15	0.00145176	5.01914e-14	3.62405e-21	0.0980782	0.0266911	0.0072336	99.8728	5.04837e-09	6.42598e-12	0.000391166	50	4.15538e-19	10000	1000	1000	6.401e-11	0	100	1.70851e-24	1.46066e-50	0	0	0	0	0	5.69524e-24	0	1	1
67	3.78044	7.32859	76.6182	9.88332	10	6.63629e-11	200	1.71333e-13	8.95438e-10	0	9.34391e-07	2.02813e-10	2.79636	14.2368	97.2036	85.7632	499.514	3737.71	200	200	200	0.384834	0.386586	0.388341	0.123885	18.556	0.00380559	0.00383252	0.00386486	0.0776222	1.15948e-12	9.9578e-13	8.50617e-13	3.89724e-12	0.483892	0.00169858	3.53235e-14	499.61	0.389603	2.06013e-15	0.00147752	5.34686e-14	4.05379e-21	0.0981147	0.0268299	0.00730645	99.8726	5.15679e-09	6.68086e-12	0.00039666	50	4.41575e-19	10000	1000	1000	6.72244e-11	0	100	1.93862e-24	1.88056e-50	0	0	0	0	0	6.46229e-24	0	1	1
68	3.7714	7.36089	76.3214	9.88233	10	7.04793e-11	200	1.83071e-13	9.50173e-10	0	9.64134e-07	2.12301e-10	2.78672	14.1825	97.2133	85.8175	499.497	3736.33	200	200	200	0.383342	0.385087	0.386834	0.123334	18.8704	0.00379588	0.00382212	0.00385382	0.0790522	1.233e-12	1.06136e-12	9.0889e-13	4.23716e-12	0.500945	0.00175955	3.90132e-14	499.604	0.396156	2.23284e-15	0.00150341	5.69091e-14	4.52745e-21	0.0981481	0.0269681	0.00737956	99.8724	5.26546e-09	6.94116e-12	0.000402102	50	4.68731e-19	10000	1000	1000	7.05532e-11	0	100	2.19582e-24	2.41262e-50	0	0	0	0	0	7.31965e-24	0	1	1
69	3.7626	7.3931	76.0256	9.88136	10	7.47865e-11	200	1.95429e-13	1.0074e-09	0	9.94394e-07	2.22089e-10	2.77725	14.1291	97.2227	85.8709	499.48	3734.95	200	200	200	0.381856	0.383592	0.385332	0.122783	19.1833	0.00378643	0.00381198	0.00384305	0.0804773	1.30998e-12	1.13014e-12	9.70117e-13	4.60034e-12	0.518254	0.00182133	4.30158e-14	499.597	0.402729	2.41725e-15	0.00152942	6.05187e-14	5.04888e-21	0.0981784	0.0271058	0.00745296	99.8722	5.37436e-09	7.20688e-12	0.000407493	50	4.97033e-19	10000	1000	1000	7.39988e-11	0	100	2.48288e-24	3.08453e-50	0	0	0	0	0	8.27657e-24	0	1	1
70	3.75406	7.42522	75.731	9.88041	10	7.92901e-11	200	2.0843e-13	1.06719e-09	0	1.02517e-06	2.32182e-10	2.76794	14.0763	97.2321	85.9237	499.462	3733.58	200	200	200	0.380375	0.382104	0.383836	0.122234	19.4949	0.00377722	0.0038021	0.00383255	0.0818978	1.39053e-12	1.20223e-12	1.03439e-12	4.98792e-12	0.535816	0.0018839	4.73511e-14	499.591	0.40932	2.61392e-15	0.00155555	6.43032e-14	5.62201e-21	0.0982061	0.027243	0.00752665	99.8721	5.4835e-09	7.47804e-12	0.000412832	50	5.26507e-19	10000	1000	1000	7.75638e-11	0	100	2.80269e-24	3.92949e-50	0	0	0	0	0	9.34266e-24	0	1	1
71	3.74575	7.45726	75.4376	9.87948	10	8.39965e-11	200	2.22099e-13	1.12962e-09	0	1.05647e-06	2.42585e-10	2.75877	14.0242	97.2412	85.9758	499.444	3732.21	200	200	200	0.3789	0.380621	0.382345	0.121686	19.8051	0.00376827	0.00379248	0.00382232	0.0833138	1.47477e-12	1.27773e-12	1.10183e-12	5.40117e-12	0.553629	0.00194726	5.20413e-14	499.584	0.41593	2.82353e-15	0.0015818	6.82688e-14	6.25137e-21	0.0982311	0.0273798	0.00760066	99.8719	5.59288e-09	7.75465e-12	0.00041812	50	5.5718e-19	10000	1000	1000	8.12509e-11	0	100	3.15862e-24	4.99079e-50	0	0	0	0	0	1.05291e-23	0	1	1
