Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p53_P]	[Mdm2_P]	[IR]	[ROS]	[damDNA]	[E1]	[E2]	[E1_Ub]	[E2_Ub]	[Proteasome]	[Ub]	[p53DUB]	[Mdm2DUB]	[DUB]	[Mdm2_p53_Ub]	[Mdm2_p53_Ub2]	[Mdm2_p53_Ub3]	[Mdm2_p53_Ub4]	[Mdm2_P1_p53_Ub4]	[Mdm2_Ub]	[Mdm2_Ub2]	[Mdm2_Ub3]	[Mdm2_Ub4]	[Mdm2_P_Ub]	[Mdm2_P_Ub2]	[Mdm2_P_Ub3]	[Mdm2_P_Ub4]	[p53_Ub4_Proteasome]	[Mdm2_Ub4_Proteasome]	[Mdm2_P_Ub4_Proteasome]	[GSK3b]	[GSK3b_p53]	[GSK3b_p53_P]	[Abeta]	[AggAbeta_Proteasome]	[AbetaPlaque]	[Tau]	[Tau_P1]	[Tau_P2]	[MT_Tau]	[AggTau]	[AggTau_Proteasome]	[Proteasome_Tau]	[PP1]	[NFT]	[ATP]	[ADP]	[AMP]	[AbetaDimer]	[AbetaPlaque_GliaA]	[GliaI]	[GliaM1]	[GliaM2]	[GliaA]	[antiAb]	[Abeta_antiAb]	[AbetaDimer_antiAb]	[degAbetaGlia]	[disaggPlaque1]	[disaggPlaque2]	[Source]	[Sink]
10	4.76286	5.36731	94.1199	9.97616	10	3.1275e-14	200	3.50247e-17	3.14709e-13	0	1.89088e-08	6.27669e-13	10.312	50.2536	89.688	49.7464	500	3858.08	200	200	200	0.431619	0.33279	0.210635	0.0357986	0.150384	0.0032486	0.00149613	0.000504882	0.000167584	1.30742e-16	3.02278e-17	5.94226e-18	1.18328e-18	0.000195124	2.00466e-07	9.26627e-22	499.949	0.0513326	6.22108e-20	0.000190719	2.22802e-17	4.56308e-27	0.056321	0.00966264	0.00161423	99.9332	1.38577e-10	1.99918e-14	3.07618e-05	50	3.27496e-23	10000	1000	1000	1.79584e-13	0	100	3.39752e-31	5.77207e-64	0	0	0	0	0	1.13251e-30	0	1	1
11	4.73842	5.40357	93.906	9.9739	10	4.58304e-14	200	5.41202e-17	4.80842e-13	0	2.29176e-08	8.3646e-13	9.56819	46.6714	90.4318	53.3286	500	3852.98	200	200	200	0.44709	0.376275	0.269843	0.0508236	0.259401	0.00356321	0.001899	0.00075683	0.000315003	2.28307e-16	6.12913e-17	1.41406e-17	3.4373e-18	0.000395892	4.32932e-07	3.04636e-21	499.943	0.0566096	1.06081e-19	0.00021032	3.27189e-17	8.95076e-27	0.0595336	0.0105175	0.00181937	99.929	1.73474e-10	2.77765e-14	3.60058e-05	50	5.7092e-23	10000	1000	1000	2.39928e-13	0	100	7.32552e-31	2.68336e-63	0	0	0	0	0	2.44185e-30	0	1	1
12	4.71399	5.43975	93.6768	9.97167	10	6.49671e-14	200	8.03892e-17	7.06211e-13	0	2.7319e-08	1.0873e-12	8.9149	43.4721	91.0851	56.5279	499.999	3848.24	200	200	200	0.456313	0.40854	0.322725	0.0661524	0.407095	0.00382085	0.00229894	0.00105685	0.000541315	3.75164e-16	1.14385e-16	3.02888e-17	8.80557e-18	0.000724077	8.47524e-07	8.75193e-21	499.938	0.0619121	1.72388e-19	0.000230019	4.64796e-17	1.65667e-26	0.0624945	0.0113224	0.002017	99.9251	2.12285e-10	3.74044e-14	4.1493e-05	50	9.42959e-23	10000	1000	1000	3.12669e-13	0	100	1.47803e-30	1.09239e-62	0	0	0	0	0	4.92681e-30	0	1	1
13	4.68962	5.47587	93.4341	9.96946	10	8.95629e-14	200	1.15535e-16	1.00354e-12	0	3.21152e-08	1.38411e-12	8.33444	40.6175	91.6656	59.3825	499.999	3843.82	200	200	200	0.461331	0.430899	0.366236	0.0805029	0.592578	0.00402535	0.00267848	0.00139235	0.000864135	5.86341e-16	1.99381e-16	5.94894e-17	2.03355e-17	0.0012177	1.52993e-06	2.24886e-20	499.933	0.06724	2.69086e-19	0.000249816	6.42128e-17	2.92031e-26	0.0652257	0.0120798	0.0022067	99.9215	2.54901e-10	4.90684e-14	4.7198e-05	50	1.48868e-22	10000	1000	1000	3.99034e-13	0	100	2.82048e-30	3.97814e-62	0	0	0	0	0	9.40167e-30	0	1	1
14	4.66536	5.51191	93.1796	9.96727	10	1.20574e-13	200	1.61471e-16	1.38675e-12	0	3.73078e-08	1.73087e-12	7.8152	38.0696	92.1848	61.9304	499.998	3839.68	200	200	200	0.463669	0.445409	0.399556	0.0930453	0.812256	0.0041828	0.00302494	0.00174808	0.00129759	8.7881e-16	3.28317e-16	1.08693e-16	4.30643e-17	0.0019123	2.58089e-06	5.26223e-20	499.927	0.0725933	4.05918e-19	0.000269713	8.66307e-17	4.93835e-26	0.0677465	0.0127926	0.00238841	99.9181	3.01196e-10	6.29558e-14	5.30976e-05	50	2.2619e-22	10000	1000	1000	5.00271e-13	0	100	5.13265e-30	1.31734e-61	0	0	0	0	0	1.7109e-29	0	1	1
15	4.64124	5.54789	92.9148	9.9651	10	1.59035e-13	200	2.20326e-16	1.87092e-12	0	4.28991e-08	2.13153e-12	7.34881	35.7929	92.6512	64.2071	499.997	3835.8	200	200	200	0.46437	0.454182	0.423468	0.103438	1.06105	0.00430025	0.00333062	0.00210846	0.00185111	1.27141e-15	5.15367e-16	1.86869e-16	8.47658e-17	0.0028389	4.11195e-06	1.13747e-19	499.922	0.0779719	5.94626e-19	0.000289709	1.14509e-16	8.05727e-26	0.0700742	0.0134636	0.00256225	99.915	3.51029e-10	7.92469e-14	5.91705e-05	50	3.32558e-22	10000	1000	1000	6.17642e-13	0	100	8.96585e-30	4.01971e-61	0	0	0	0	0	2.98864e-29	0	1	1
16	4.6173	5.58379	92.6408	9.96296	10	2.06061e-13	200	2.94452e-16	2.47227e-12	0	4.88908e-08	2.5901e-12	6.92882	33.7555	93.0712	66.2445	499.996	3832.16	200	200	200	0.464104	0.459021	0.439598	0.111719	1.33352	0.00438473	0.00359222	0.00245942	0.00252906	1.78478e-15	7.76767e-16	3.05095e-16	1.56773e-16	0.00402307	6.2404e-06	2.29749e-19	499.917	0.0833755	8.49166e-19	0.000309805	1.48685e-16	1.27425e-25	0.0722243	0.0140954	0.00272851	99.9122	4.04257e-10	9.8115e-14	6.53972e-05	50	4.752e-22	10000	1000	1000	7.52431e-13	0	100	1.51136e-29	1.14217e-60	0	0	0	0	0	5.0379e-29	0	1	1
17	4.59357	5.61964	92.3589	9.96084	10	2.62844e-13	200	3.86428e-16	3.20815e-12	0	5.52851e-08	3.11058e-12	6.54991	31.9292	93.4501	68.0708	499.994	3828.72	200	200	200	0.46328	0.461299	0.449797	0.118147	1.62463	0.00444277	0.00380989	0.00278956	0.00333088	2.44127e-15	1.13073e-15	4.7658e-16	2.74851e-16	0.005485	9.08418e-06	4.37689e-19	499.911	0.088804	1.18593e-18	0.000330001	1.90063e-16	1.96077e-25	0.0742109	0.0146907	0.00288751	99.9095	4.60728e-10	1.19726e-13	7.17599e-05	50	6.62287e-22	10000	1000	1000	9.05939e-13	0	100	2.46915e-29	3.04848e-60	0	0	0	0	0	8.23057e-29	0	1	1
18	4.57007	5.65542	92.0699	9.95875	10	3.30659e-13	200	4.99069e-16	4.09703e-12	0	6.20838e-08	3.69702e-12	6.20762	30.2899	93.7924	69.7101	499.993	3825.46	200	200	200	0.46214	0.461978	0.455759	0.123071	1.93013	0.00448007	0.00398624	0.00309069	0.00425186	3.26492e-15	1.59733e-15	7.16632e-16	4.60078e-16	0.00724019	1.27574e-05	7.92523e-19	499.906	0.0942575	1.62396e-18	0.000350298	2.39612e-16	2.94485e-25	0.0760469	0.0152521	0.00303966	99.907	5.20289e-10	1.44239e-13	7.82422e-05	50	9.02935e-22	10000	1000	1000	1.07948e-12	0	100	3.92363e-29	7.69809e-60	0	0	0	0	0	1.30789e-28	0	1	1
19	4.54681	5.69113	91.7749	9.95667	10	4.10859e-13	200	6.35432e-16	5.15845e-12	0	6.9289e-08	4.35347e-12	5.89811	28.8167	94.1019	71.1833	499.991	3822.38	200	200	200	0.460818	0.461691	0.458848	0.126831	2.24663	0.00450141	0.00412534	0.0033578	0.00528404	4.2814e-15	2.19845e-15	1.04259e-15	7.39731e-16	0.00930025	1.73666e-05	1.37266e-18	499.9	0.0997357	2.1852e-18	0.000370697	2.98366e-16	4.3282e-25	0.077744	0.0157818	0.00318535	99.9047	5.82788e-10	1.71803e-13	8.4829e-05	50	1.20719e-21	10000	1000	1000	1.2744e-12	0	100	6.08268e-29	1.85039e-59	0	0	0	0	0	2.02758e-28	0	1	1
20	4.52382	5.72678	91.4746	9.95462	10	5.04878e-13	200	7.98819e-16	6.41301e-12	0	7.69027e-08	5.08399e-12	5.61805	27.4915	94.382	72.5085	499.988	3819.45	200	200	200	0.459391	0.460836	0.460072	0.129719	2.57158	0.00451069	0.00423201	0.00358875	0.00641729	5.51797e-15	2.95765e-15	1.47374e-15	1.14812e-15	0.0116738	2.30082e-05	2.2863e-18	499.895	0.105238	2.89474e-18	0.000391198	3.67429e-16	6.23907e-25	0.0793129	0.0162822	0.00332498	99.9026	6.48074e-10	2.02563e-13	9.15066e-05	50	1.58603e-21	10000	1000	1000	1.49206e-12	0	100	9.22288e-29	4.25451e-59	0	0	0	0	0	3.07433e-28	0	1	1
21	4.50109	5.76237	91.1696	9.95259	10	6.14232e-13	200	9.92787e-16	7.88239e-12	0	8.49268e-08	5.89268e-12	5.36451	26.2985	94.6355	73.7015	499.986	3816.65	200	200	200	0.457901	0.459655	0.46013	0.131962	2.90306	0.00451099	0.00431124	0.00378366	0.0076402	7.00343e-15	3.90014e-15	2.0312e-15	1.72741e-15	0.0143673	2.97668e-05	3.67854e-18	499.889	0.110766	3.78101e-18	0.0004118	4.4797e-16	8.83743e-25	0.0807634	0.0167554	0.00345896	99.9006	7.15998e-10	2.36653e-13	9.82622e-05	50	2.05129e-21	10000	1000	1000	1.73382e-12	0	100	1.37071e-28	9.39837e-59	0	0	0	0	0	4.56907e-28	0	1	1
22	4.47865	5.79789	90.8607	9.95058	10	7.40518e-13	200	1.22115e-15	9.58929e-12	0	9.33634e-08	6.78366e-12	5.13492	25.2238	94.8651	74.7762	499.982	3813.98	200	200	200	0.456371	0.458286	0.459478	0.133725	3.23965	0.00450472	0.00436778	0.00394435	0.00894099	8.76812e-15	5.05266e-15	2.73786e-15	2.52836e-15	0.0173853	3.77147e-05	5.73923e-18	499.884	0.116318	4.87609e-18	0.000432506	5.41231e-16	1.23206e-24	0.0821047	0.0172032	0.00358766	99.8988	7.86417e-10	2.74202e-13	0.000105084	50	2.61572e-21	10000	1000	1000	2.00109e-12	0	100	2.00049e-28	2.00208e-58	0	0	0	0	0	6.66839e-28	0	1	1
23	4.45649	5.83336	90.5483	9.9486	10	8.85412e-13	200	1.488e-15	1.15574e-11	0	1.02215e-07	7.76106e-12	4.92697	24.2552	95.073	75.7448	499.979	3811.43	200	200	200	0.454813	0.45681	0.458407	0.135126	3.5803	0.00449373	0.00440596	0.00407373	0.0103081	1.08439e-14	6.44352e-15	3.61825e-15	3.61103e-15	0.0207314	4.69118e-05	8.71116e-18	499.878	0.121894	6.2159e-18	0.000453314	6.48521e-16	1.69297e-24	0.0833451	0.0176275	0.00371146	99.897	8.59191e-10	3.15331e-13	0.000111962	50	3.29285e-21	10000	1000	1000	2.29528e-12	0	100	2.87168e-28	4.12446e-58	0	0	0	0	0	9.57237e-28	0	1	1
24	4.43462	5.86876	90.2329	9.94664	10	1.05067e-12	200	1.79767e-15	1.38116e-11	0	1.11482e-07	8.82903e-12	4.73861	23.3817	95.2614	76.6183	499.975	3808.97	200	200	200	0.453235	0.455271	0.45709	0.136246	3.92419	0.00447939	0.00442955	0.00417534	0.0117306	1.32641e-14	8.10247e-15	4.6985e-15	5.04553e-15	0.0244081	5.74059e-05	1.28998e-17	499.873	0.127494	7.84056e-18	0.000474227	7.71221e-16	2.29571e-24	0.0844923	0.0180301	0.0038307	99.8954	9.34185e-10	3.60155e-13	0.000118885	50	4.09705e-21	10000	1000	1000	2.61782e-12	0	100	4.06035e-28	8.24433e-58	0	0	0	0	0	1.35347e-27	0	1	1
25	4.41305	5.9041	89.9151	9.9447	10	1.23815e-12	200	2.15481e-15	1.63775e-11	0	1.21169e-07	9.99175e-12	4.56799	22.5935	95.432	77.4065	499.971	3806.61	200	200	200	0.451642	0.453695	0.455633	0.137141	4.27068	0.00446274	0.00444174	0.00425293	0.0131986	1.60636e-14	1.00608e-14	6.00629e-15	6.9126e-15	0.0284172	6.92344e-05	1.86825e-17	499.867	0.133118	9.79456e-18	0.000495243	9.10786e-16	3.07544e-24	0.0855533	0.0184124	0.00394571	99.894	1.01127e-09	4.0878e-13	0.000125845	50	5.04342e-21	10000	1000	1000	2.97017e-12	0	100	5.66186e-28	1.60305e-57	0	0	0	0	0	1.88731e-27	0	1	1
26	4.39178	5.93937	89.5952	9.94279	10	1.44976e-12	200	2.56434e-15	1.92819e-11	0	1.31276e-07	1.12534e-11	4.41342	21.882	95.5866	78.118	499.967	3804.33	200	200	200	0.450037	0.452096	0.454093	0.137851	4.61927	0.00444453	0.00444515	0.00431019	0.0147033	1.92786e-14	1.23511e-14	7.57074e-15	9.3041e-15	0.0327599	8.24245e-05	2.65184e-17	499.861	0.138766	1.2127e-17	0.000516364	1.06874e-15	4.07407e-24	0.0865346	0.018776	0.0040568	99.8926	1.09033e-09	4.61309e-13	0.000132834	50	6.14777e-21	10000	1000	1000	3.35381e-12	0	100	7.79455e-28	3.03829e-57	0	0	0	0	0	2.59822e-27	0	1	1
27	4.37082	5.97459	89.2735	9.94089	10	1.68752e-12	200	3.03145e-15	2.25525e-11	0	1.41806e-07	1.26182e-11	4.27339	21.2392	95.7266	78.7608	499.962	3802.13	200	200	200	0.448423	0.450481	0.452507	0.138406	4.96951	0.00442531	0.00444192	0.00435059	0.016237	2.2947e-14	1.50076e-14	9.4225e-15	1.2324e-14	0.0374369	9.69954e-05	3.69604e-17	499.856	0.144438	1.48922e-17	0.00053759	1.24669e-15	5.34145e-24	0.0874424	0.0191222	0.00416425	99.8913	1.17123e-09	5.17836e-13	0.000139843	50	7.42664e-21	10000	1000	1000	3.77022e-12	0	100	1.06046e-27	5.62598e-57	0	0	0	0	0	3.53491e-27	0	1	1
28	4.35016	6.00975	88.9505	9.93902	10	1.95351e-12	200	3.56166e-15	2.62182e-11	0	1.5276e-07	1.40904e-11	4.14649	20.658	95.8535	79.342	499.957	3800	200	200	200	0.446801	0.448855	0.450893	0.138827	5.32104	0.00440549	0.00443372	0.00437723	0.0177932	2.7108e-14	1.80659e-14	1.15936e-14	1.6088e-14	0.0424486	0.000112959	5.0663e-17	499.85	0.150134	1.81494e-17	0.000558921	1.44631e-15	6.93606e-24	0.0882821	0.0194522	0.00426835	99.8901	1.25388e-09	5.78452e-13	0.000146866	50	8.89715e-21	10000	1000	1000	4.22094e-12	0	100	1.42698e-27	1.01855e-56	0	0	0	0	0	4.75667e-27	0	1	1
29	4.32982	6.04484	88.6262	9.93717	10	2.24992e-12	200	4.16078e-15	3.03084e-11	0	1.64142e-07	1.56743e-11	4.03149	20.1321	95.9685	79.8679	499.952	3797.93	200	200	200	0.445173	0.447222	0.449263	0.139132	5.67354	0.00438536	0.00442188	0.00439283	0.0193664	3.18023e-14	2.15628e-14	1.41174e-14	2.07254e-14	0.047795	0.000130321	6.83977e-17	499.844	0.155854	2.19634e-17	0.000580358	1.66935e-15	8.92663e-24	0.0890589	0.0197673	0.00436934	99.889	1.33816e-09	6.4324e-13	0.000153896	50	1.05771e-20	10000	1000	1000	4.70749e-12	0	100	1.90068e-27	1.80685e-56	0	0	0	0	0	6.33569e-27	0	1	1
30	4.30978	6.07987	88.3011	9.93535	10	2.579e-12	200	4.83491e-15	3.4854e-11	0	1.75952e-07	1.73741e-11	3.92721	19.6558	96.0728	80.3442	499.946	3795.92	200	200	200	0.44354	0.445583	0.447622	0.139334	6.02673	0.0043651	0.00440741	0.00439969	0.020952	3.7072e-14	2.5537e-14	1.70289e-14	2.63785e-14	0.0534758	0.000149081	9.10636e-17	499.838	0.161597	2.6405e-17	0.000601902	1.91763e-15	1.13933e-23	0.0897775	0.0200685	0.00446747	99.8879	1.42397e-09	7.1228e-13	0.000160928	50	1.24847e-20	10000	1000	1000	5.23143e-12	0	100	2.50767e-27	3.14515e-56	0	0	0	0	0	8.35904e-27	0	1	1
31	4.29006	6.11484	87.9754	9.93354	10	2.9431e-12	200	5.5905e-15	3.98866e-11	0	1.88194e-07	1.91941e-11	3.83263	19.224	96.1674	80.776	499.94	3793.95	200	200	200	0.441904	0.44394	0.445975	0.139446	6.38037	0.00434486	0.0043911	0.00439973	0.0225463	4.29608e-14	3.00282e-14	2.03643e-14	3.32038e-14	0.0594905	0.000169237	1.19699e-16	499.833	0.167363	3.15511e-17	0.000623552	2.19308e-15	1.44289e-23	0.0904423	0.0203568	0.00456295	99.8869	1.51123e-09	7.85646e-13	0.000167956	50	1.46388e-20	10000	1000	1000	5.79434e-12	0	100	3.27923e-27	5.37829e-56	0	0	0	0	0	1.0931e-26	0	1	1
32	4.27065	6.14975	87.6491	9.93176	10	3.34465e-12	200	6.4343e-15	4.54387e-11	0	2.00869e-07	2.11386e-11	3.74679	18.832	96.2532	81.168	499.934	3792.04	200	200	200	0.440265	0.442294	0.444323	0.139478	6.73424	0.00432475	0.00437352	0.00439453	0.0241463	4.95138e-14	3.50778e-14	2.41614e-14	4.13722e-14	0.0658381	0.000190781	1.55493e-16	499.827	0.173153	3.7485e-17	0.000645309	2.49767e-15	1.81407e-23	0.0910574	0.0206332	0.00465599	99.886	1.59984e-09	8.63408e-13	0.000174976	50	1.70588e-20	10000	1000	1000	6.39783e-12	0	100	4.25263e-27	9.04428e-56	0	0	0	0	0	1.41757e-26	0	1	1
33	4.25155	6.18459	87.3226	9.93	10	3.78616e-12	200	7.37341e-15	5.15441e-11	0	2.13979e-07	2.32121e-11	3.66883	18.4757	96.3312	81.5243	499.927	3790.17	200	200	200	0.438626	0.440647	0.442669	0.13944	7.08814	0.00430483	0.00435512	0.00438535	0.0257494	5.67775e-14	4.07286e-14	2.84592e-14	5.10698e-14	0.0725179	0.000213704	1.99806e-16	499.821	0.178966	4.42966e-17	0.000667174	2.83348e-15	2.26523e-23	0.0916264	0.0208986	0.00474678	99.8852	1.68972e-09	9.4563e-13	0.000181982	50	1.97645e-20	10000	1000	1000	7.04351e-12	0	100	5.47215e-27	1.49763e-55	0	0	0	0	0	1.82408e-26	0	1	1
34	4.23277	6.21938	86.996	9.92827	10	4.27023e-12	200	8.4152e-15	5.8237e-11	0	2.27526e-07	2.54187e-11	3.59798	18.1514	96.402	81.8486	499.92	3788.33	200	200	200	0.436985	0.438999	0.441014	0.139338	7.44192	0.00428515	0.00433622	0.0043732	0.0273537	6.47999e-14	4.70247e-14	3.32983e-14	6.24974e-14	0.0795285	0.000237994	2.54166e-16	499.815	0.184802	5.20829e-17	0.000689147	3.20265e-15	2.81043e-23	0.0921529	0.0211537	0.00483552	99.8844	1.7808e-09	1.03238e-12	0.00018897	50	2.2776e-20	10000	1000	1000	7.73302e-12	0	100	6.98972e-27	2.44358e-55	0	0	0	0	0	2.32995e-26	0	1	1
