Time	[Insulin]	[Unbound Insulin Receptor]	[Unphosphorylated once bound receptor]	[Phosphorylated once bound receptor]	[Phosphorylated twice bound receptor]	[Unbound unphosphorylated intracellular receptor]	[Phosphorylated twice bound intracellular receptor]	[Phosphorylated once bound intracellular receptor]	[Unphosphorylated IRS1]	[Phosphorylated IRS1]	[PI3 Kinase]	[IRS1- PI3 Kinase Complex]	[Unactivated Akt]	[Activated Akt]	[Unactivated PKC]	[Activated PKC]	[Intracellular GLUT4]	[Cell surface GLUT4]
0	1e+08	900	0	0	0	100	0	0	1000	0	100	0	100	0	100	0	96	4
1	1e+08	24.4117	0.0585947	672.625	201.608	100.042	0.281952	0.988829	264.354	730.799	95.1532	4.84682	90.0959	9.90405	90.0959	9.90405	90.9763	9.02539
2	1e+08	22.4876	0.053966	672.786	201.832	100.6	0.517463	1.75592	254.761	740.272	95.0334	4.96661	89.3914	10.6086	89.3914	10.6086	82.2701	17.7427
3	1e+08	22.4455	0.0538649	671.635	201.487	101.526	0.665506	2.23795	255.037	739.998	95.0348	4.96519	89.3853	10.6147	89.3853	10.6147	75.6793	24.3533
4	1e+08	22.4077	0.0537741	670.485	201.142	102.68	0.75827	2.53994	255.363	739.674	95.0369	4.96313	89.3886	10.6114	89.3886	10.6114	70.7861	29.2729
5	1e+08	22.3701	0.053684	669.341	200.798	103.976	0.81618	2.72843	255.688	739.351	95.0389	4.96107	89.3923	10.6077	89.3923	10.6077	67.1568	32.9335
6	1e+08	22.3328	0.0535945	668.201	200.456	105.359	0.852117	2.84535	256.012	739.029	95.041	4.95901	89.396	10.604	89.396	10.604	64.4671	35.6582
7	1e+08	22.2957	0.0535054	667.068	200.116	106.792	0.874202	2.91715	256.336	738.707	95.043	4.95696	89.3997	10.6003	89.3997	10.6003	62.4759	37.687
8	1e+08	22.2588	0.0534169	665.939	199.778	108.256	0.887557	2.96053	256.659	738.386	95.0451	4.95491	89.4033	10.5967	89.4033	10.5967	61.0039	39.1986
9	1e+08	22.2221	0.0533288	664.817	199.441	109.736	0.895409	2.98599	256.981	738.066	95.0471	4.95287	89.407	10.593	89.407	10.593	59.918	40.3256
10	1e+08	22.1856	0.0532411	663.7	199.106	111.222	0.899795	3.00015	257.302	737.747	95.0492	4.95083	89.4106	10.5894	89.4106	10.5894	59.1191	41.1667
11	1e+08	22.1492	0.0531539	662.589	198.772	112.711	0.901998	3.00721	257.623	737.429	95.0512	4.9488	89.4142	10.5858	89.4142	10.5858	58.5336	41.7951
12	1e+08	22.1131	0.0530672	661.483	198.441	114.198	0.902828	3.0098	257.942	737.111	95.0532	4.94678	89.4179	10.5821	89.4179	10.5821	58.1068	42.2655
13	1e+08	22.0771	0.0529809	660.383	198.111	115.681	0.902795	3.00957	258.261	736.794	95.0552	4.94475	89.4215	10.5785	89.4215	10.5785	57.7979	42.6183
14	1e+08	22.0414	0.0528951	659.289	197.782	117.158	0.90222	3.00759	258.579	736.478	95.0573	4.94274	89.4251	10.5749	89.4251	10.5749	57.5767	42.8838
15	0	22.0058	0.0528097	658.2	197.456	118.63	0.901307	3.0045	258.896	736.163	95.0593	4.94073	89.4287	10.5713	89.4287	10.5713	57.4208	43.0842
16	0	175.654	8.42971e-39	700.755	6.65721e-06	120.099	0.581672	3.17727	290.399	704.837	95.2357	4.76431	89.6768	10.3232	89.6768	10.3232	57.3622	43.1874
17	0	302.832	-1.14987e-42	572.527	3.94141e-06	121.495	0.366756	3.0625	332.319	663.182	95.501	4.49903	90.1504	9.84957	90.1504	9.84957	57.5558	43.0383
18	0	406.756	-1.01023e-27	467.763	2.48514e-06	122.754	0.231247	2.79632	377.029	618.757	95.7863	4.21374	90.6735	9.32648	90.6735	9.32648	57.9954	42.6429
19	0	491.681	-8.4119e-25	382.169	1.56693e-06	123.851	0.145806	2.47015	423.848	572.239	96.0873	3.91268	91.238	8.76202	91.238	8.76202	58.65	42.0318
20	0	561.083	7.60504e-24	312.238	9.87981e-07	124.786	0.0919335	2.13511	472.009	524.39	96.3995	3.6005	91.8372	8.16277	91.8372	8.16277	59.4971	41.2274
21	0	617.804	-6.74248e-26	255.103	6.22943e-07	125.568	0.057966	1.81817	520.658	476.06	96.7175	3.28255	92.4627	7.5373	92.4627	7.5373	60.5188	40.2473
