Time	[MK]	[MKK-PP]	[MK_MKK-PP]	[MK-P]	[MK-P_MKK-PP]	[MK-PP]	[MKK]	[MKKK-P]	[MKK_MKKK-P]	[MKK-P]	[MKK-P_MKKK-P]	[MKK-PP_P2]	[P2]	[MKK-P_P2]	[MKK_P2]	[MKKK]	[MKKK_Sig]	[Sig]	[MKKK-P_P1]	[P1]	[MK-PP_P2]	[MK-P_P2]	[MK_P2]	[MKK-PP_P1]	[MKK-P_P1]	[MKK_P1]	[MKKK_P1]
0	1200	0	0	0	0	0	1200	0	0	0	0	0	200	0	0	300	0	10	0	100	0	0	0	0	0	0	0
1	1099.33	1.74892e-05	7.09475e-05	1.26896e-07	2.78827e-15	3.90384e-15	1018.35	0.62398	5.7229	0.0239103	2.50102e-05	2.4473e-07	1.6146	9.30757e-05	97.7142	266.018	7.27195	2.72805	0.021387	1.44506	2.22237e-17	2.59071e-10	100.671	2.70935e-07	0.000108931	78.1918	20.3416
2	1099.12	0.000182491	0.0013164	5.0939e-06	1.4606e-12	4.42011e-12	1011.47	0.969487	12.621	0.112824	0.000200343	4.25415e-06	1.61609	0.000638843	97.5088	258.808	7.22067	2.77933	0.0163792	1.33231	4.99025e-14	1.85189e-08	100.875	3.53582e-06	0.000534922	78.2867	20.3641
3	1098.91	0.00071677	0.00673699	3.99472e-05	4.85839e-11	2.23933e-10	1004.68	1.31633	19.4539	0.26355	0.000654352	2.16419e-05	1.6213	0.00183392	97.2917	251.713	7.16482	2.83518	0.020104	1.34536	3.58259e-12	1.91539e-07	101.085	1.79247e-05	0.00151981	78.3015	20.3315
4	1098.67	0.00190896	0.0210434	0.00016807	5.66428e-10	3.49506e-09	997.873	1.66472	26.2235	0.469722	0.00149713	6.73973e-05	1.62653	0.00366861	97.0655	244.702	7.10739	2.89261	0.0259796	1.35912	6.99671e-11	9.50976e-07	101.304	5.61444e-05	0.00305623	78.337	20.2748
5	1098.42	0.00409954	0.0503749	0.000506533	3.75627e-09	2.90199e-08	991.055	2.01461	32.9293	0.723628	0.00281683	0.000161086	1.6318	0.00608458	96.831	237.776	7.04832	2.95168	0.0324611	1.37313	6.8237e-10	3.20549e-06	101.531	0.000135071	0.00510236	78.3925	20.1967
6	1098.13	0.00766306	0.101961	0.00123823	1.74512e-08	1.62077e-07	984.227	2.36593	39.5695	1.01654	0.00467615	0.000325856	1.63711	0.00900217	96.5889	230.934	6.98756	3.01244	0.0392041	1.38734	4.31134e-09	8.50159e-06	101.765	0.000275069	0.00760056	78.4666	20.0989
7	1097.81	0.0129898	0.183742	0.00262029	6.33609e-08	6.88353e-07	977.393	2.71861	46.1426	1.33909	0.00711051	0.000587321	1.64247	0.0123296	96.3398	224.177	6.92505	3.07495	0.0461332	1.40173	2.02107e-08	1.9152e-05	102.005	0.000499159	0.0104818	78.558	19.9832
8	1097.44	0.0204677	0.30398	0.00498841	1.91828e-07	2.39053e-06	970.556	3.07258	52.6467	1.68173	0.0101279	0.00097239	1.64789	0.0159682	96.0843	217.506	6.86073	3.13927	0.0532334	1.41631	7.61483e-08	3.83253e-05	102.251	0.000832091	0.0136696	78.6652	19.8508
9	1097.02	0.0304664	0.470872	0.00875701	5.04929e-07	7.1127e-06	963.72	3.42777	59.08	2.03506	0.0137106	0.00150812	1.65338	0.0198174	95.8231	210.92	6.79454	3.20546	0.0605029	1.43109	2.42725e-07	7.00922e-05	102.502	0.00129941	0.017083	78.787	19.7031
10	1096.54	0.0433226	0.692199	0.0144153	1.18897e-06	1.87179e-05	956.888	3.78408	65.4407	2.39026	0.0178179	0.00222064	1.65895	0.0237785	95.5567	204.422	6.72643	3.27357	0.067943	1.44606	6.77785e-07	0.000119429	102.758	0.00192655	0.0206408	78.9222	19.5412
11	1095.98	0.05933	0.975032	0.0225197	2.5563e-06	4.45697e-05	950.064	4.14143	71.7269	2.7393	0.0223904	0.00313427	1.66462	0.0277587	95.2856	198.011	6.65635	3.34365	0.0755555	1.46124	1.69974e-06	0.000192177	103.019	0.00273801	0.0242643	79.0699	19.3663
12	1095.36	0.078731	1.32549	0.0336827	5.0949e-06	9.76553e-05	943.25	4.4997	77.9366	3.07528	0.0273548	0.00427071	1.67038	0.031674	95.0104	191.689	6.58423	3.41577	0.0833423	1.47663	3.89905e-06	0.000294962	103.283	0.00375663	0.0278804	79.2289	19.1795
13	1094.65	0.101713	1.74856	0.0485592	9.52312e-06	0.000199436	936.449	4.85878	84.0679	3.39246	0.032629	0.00564862	1.67624	0.0354518	94.7315	185.458	6.51004	3.48996	0.0913049	1.49223	8.29623e-06	0.000435077	103.551	0.00500311	0.0314238	79.3984	18.9817
14	1093.86	0.128407	2.24806	0.0678307	1.68457e-05	0.000383466	929.666	5.21855	90.1189	3.68644	0.038127	0.0072832	1.68221	0.0390323	94.4493	179.318	6.4337	3.5663	0.0994447	1.50804	1.6553e-05	0.000620342	103.822	0.00649556	0.0348388	79.5775	18.7737
15	1092.98	0.158892	2.82653	0.0921885	2.8407e-05	0.000699752	922.902	5.57887	96.0875	3.9541	0.0437639	0.00918617	1.68829	0.0423692	94.1643	173.27	6.35519	3.64481	0.107763	1.52406	3.12397e-05	0.000858926	104.095	0.00824938	0.0380804	79.7654	18.5565
16	1092.02	0.193193	3.48537	0.122316	4.59366e-05	0.00121978	916.161	5.93959	101.972	4.19355	0.0494597	0.0113658	1.69448	0.0454296	93.8768	167.318	6.27445	3.72555	0.116259	1.5403	5.61591e-05	0.00115918	104.371	0.0102771	0.0411144	79.9613	18.3308
17	1090.96	0.231296	4.22483	0.158872	7.15846e-05	0.00204208	909.445	6.30056	107.769	4.40403	0.0551423	0.0138271	1.70079	0.0481938	93.5872	161.462	6.19144	3.80856	0.124935	1.55674	9.67214e-05	0.00152941	104.648	0.0125887	0.0439177	80.1645	18.0973
18	1089.82	0.273147	5.04424	0.202474	0.000107942	0.00329809	902.759	6.6616	113.478	4.58573	0.0607496	0.0165723	1.7072	0.0506535	93.2959	155.703	6.10612	3.89388	0.133789	1.57339	0.000160363	0.00197775	104.928	0.0151916	0.0464772	80.3744	17.8567
19	1088.59	0.318666	5.94209	0.253681	0.000158048	0.00515822	896.105	7.02253	119.096	4.73967	0.0662311	0.0196012	1.71372	0.0528107	93.003	150.044	6.01847	3.98153	0.14282	1.59023	0.000256997	0.00251192	105.208	0.0180908	0.0487889	80.5903	17.6097
20	1087.27	0.367749	6.91624	0.312985	0.000225375	0.00783775	889.486	7.38316	124.621	4.86747	0.0715481	0.0229116	1.72034	0.0546755	92.709	144.487	5.92846	4.07154	0.152027	1.60726	0.000399483	0.00313905	105.49	0.0212898	0.0508565	80.8116	17.3569
21	1085.87	0.42028	7.96405	0.380795	0.000313808	0.0116024	882.905	7.74328	130.05	4.97119	0.0766728	0.0264997	1.72706	0.0562648	92.414	139.034	5.83607	4.16393	0.161407	1.62447	0.000604093	0.00386559	105.772	0.0247905	0.0526899	81.0378	17.0989
22	1084.38	0.476135	9.08258	0.457431	0.0004276	0.0167736	876.367	8.10267	135.382	5.05318	0.0815881	0.0303609	1.73387	0.0575998	92.1184	133.685	5.74128	4.25872	0.170956	1.64185	0.000890978	0.0046971	106.054	0.0285936	0.0543038	81.2682	16.8361
23	1082.82	0.535185	10.2687	0.543116	0.000571319	0.0237323	869.873	8.46111	140.614	5.1159	0.0862857	0.0344896	1.74076	0.0587048	91.8224	128.445	5.6441	4.3559	0.180672	1.65939	0.00128459	0.00563817	106.337	0.0326989	0.0557163	81.5024	16.5691
24	1081.18	0.597306	11.5191	0.637972	0.000749786	0.0329232	863.427	8.81835	145.744	5.16184	0.0907647	0.0388803	1.74773	0.0596054	91.5262	123.313	5.54454	4.45546	0.190549	1.67707	0.00181407	0.00669232	106.619	0.037106	0.0569471	81.7399	16.2984
25	1079.47	0.662378	12.8308	0.742018	0.000968005	0.0448566	857.033	9.17414	150.77	5.1934	0.09503	0.0435271	1.75478	0.0603276	91.23	118.293	5.44261	4.55739	0.200581	1.69487	0.0025136	0.00786193	106.901	0.041814	0.0580169	81.9802	16.0245
26	1077.69	0.730286	14.2006	0.855168	0.00123108	0.0601101	850.694	9.52823	155.69	5.21283	0.0990904	0.0484246	1.76188	0.0608961	90.934	113.386	5.33836	4.66164	0.210763	1.7128	0.00342263	0.00914823	107.182	0.0468221	0.0589463	82.2228	15.7478
27	1075.84	0.800928	15.6255	0.977236	0.00154416	0.079329	844.414	9.88034	160.501	5.22216	0.102957	0.0535675	1.76905	0.0613346	90.6385	108.594	5.23181	4.76819	0.221087	1.73082	0.00458613	0.0105512	107.462	0.0521293	0.0597547	82.4673	15.4689
28	1073.92	0.874206	17.1029	1.10793	0.00191229	0.103225	838.194	10.2302	165.201	5.22323	0.106644	0.0589511	1.77627	0.0616644	90.3437	103.919	5.12304	4.87696	0.231544	1.74893	0.00605465	0.0120696	107.741	0.057735	0.0604603	82.7133	15.188
29	1071.95	0.950034	18.6301	1.24688	0.00234043	0.132574	832.039	10.5775	169.789	5.21761	0.110164	0.0645713	1.78354	0.0619046	90.0497	99.3633	5.01211	4.98789	0.242126	1.7671	0.00788441	0.0137011	108.019	0.0636388	0.0610796	82.9604	14.9057
30	1069.91	1.02833	20.2048	1.39361	0.00283327	0.168215	825.952	10.922	174.263	5.20668	0.113529	0.0704241	1.79084	0.0620717	89.7568	94.9276	4.89913	5.10087	0.252823	1.78532	0.0101372	0.0154421	108.294	0.0698403	0.0616268	83.2081	14.6223
31	1067.82	1.10904	21.8248	1.54756	0.00339524	0.211042	819.936	11.2634	178.62	5.19157	0.116752	0.0765063	1.79818	0.0621802	89.4652	90.6138	4.78419	5.21581	0.263624	1.80357	0.0128802	0.0172878	108.568	0.0763393	0.0621147	83.456	14.3384
32	1065.66	1.19207	23.4879	1.70812	0.00403035	0.262002	813.994	11.6013	182.859	5.17323	0.119843	0.0828151	1.80554	0.062242	89.175	86.4233	4.66742	5.33258	0.274519	1.82184	0.016186	0.0192325	108.839	0.0831357	0.0625536	83.7038	14.0542
33	1063.46	1.27739	25.1925	1.87459	0.0047422	0.322087	808.128	11.9356	186.98	5.15245	0.122813	0.0893479	1.81293	0.0622672	88.8864	82.3575	4.54896	5.45104	0.285494	1.8401	0.0201317	0.0212695	109.108	0.0902297	0.0629526	83.951	13.7702
34	1061.2	1.36493	26.9366	2.04622	0.00553386	0.392327	802.342	12.2658	190.979	5.12984	0.125668	0.0961025	1.82034	0.0622639	88.5997	78.4172	4.42898	5.57102	0.296537	1.85834	0.0247993	0.0233912	109.373	0.0976212	0.0633186	84.1974	13.4868
35	1058.89	1.45465	28.7186	2.22222	0.00640785	0.473784	796.638	12.5918	194.857	5.10592	0.128416	0.103077	1.82776	0.0622387	88.3149	74.6036	4.30766	5.69234	0.307636	1.87653	0.0302745	0.0255891	109.636	0.10531	0.0636578	84.4425	13.2044
36	1056.53	1.5465	30.5369	2.40176	0.00736607	0.567539	791.018	12.9131	198.611	5.08107	0.131063	0.110269	1.83519	0.062197	88.0324	70.9172	4.18519	5.81481	0.318775	1.89465	0.0366467	0.0278542	109.895	0.113296	0.0639745	84.6859	12.9234
37	1054.12	1.64044	32.3902	2.58398	0.00840979	0.674687	785.484	13.2297	202.242	5.05561	0.133612	0.117678	1.84262	0.062143	87.7523	67.3585	4.06179	5.93821	0.329942	1.9127	0.0440078	0.0301767	110.151	0.121579	0.0642725	84.9274	12.6441
38	1051.66	1.73642	34.2768	2.76803	0.00953959	0.796326	780.039	13.5411	205.749	5.02978	0.136067	0.125302	1.85005	0.06208	87.4747	63.9276	3.93768	6.06232	0.34112	1.93064	0.0524523	0.0325465	110.403	0.130157	0.0645547	85.1665	12.367
39	1049.16	1.8344	36.1955	2.95302	0.0107554	0.933549	774.684	13.8472	209.132	5.00378	0.138431	0.133139	1.85747	0.0620105	87.1998	60.6247	3.81312	6.18688	0.352296	1.94846	0.0620758	0.0349532	110.651	0.139031	0.0648231	85.4029	12.0924
40	1046.61	1.93436	38.1448	3.1381	0.0120565	1.08743	769.42	14.1476	212.39	4.97775	0.140707	0.141188	1.86489	0.0619366	86.9279	57.4493	3.68837	6.31163	0.363454	1.96615	0.0729747	0.0373862	110.894	0.148198	0.0650794	85.6363	11.8208
