Time	[AprE]	[DegU]	[DegUP]	[Dim]	[mAprE]	[mDegU]
0	0	10	0	0	0	0
1	9.96542e-05	9.95902	0.0370352	1.15834e-05	0.00497508	0.00398009
2	0.000397241	9.92351	0.0686497	8.06056e-05	0.00990067	0.0079208
3	0.000890711	9.89268	0.0955642	0.000236999	0.0147773	0.011823
4	0.00157804	9.86586	0.118434	0.00049028	0.0196054	0.0156876
5	0.00245721	9.84247	0.137843	0.000837357	0.0243855	0.0195157
6	0.00352626	9.82201	0.154305	0.00126797	0.0291182	0.0233082
7	0.0047832	9.80406	0.168268	0.00176835	0.0338039	0.0270658
8	0.00622609	9.78827	0.180117	0.00232361	0.038443	0.0307893
9	0.00785302	9.77433	0.190182	0.00291918	0.0430361	0.0344794
10	0.00966207	9.76199	0.198742	0.00354168	0.0475837	0.0381366
11	0.0116514	9.75103	0.206035	0.00417928	0.0520861	0.0417613
12	0.013819	9.74128	0.212262	0.00482194	0.0565439	0.045354
13	0.0161632	9.73257	0.217592	0.0054613	0.0609574	0.0489149
14	0.0186821	9.72478	0.222164	0.00609062	0.0653272	0.0524443
15	0.0213738	9.7178	0.2261	0.00670461	0.0696536	0.0559426
16	0.0242367	9.71154	0.229496	0.00729923	0.0739371	0.0594098
17	0.0272688	9.70592	0.232438	0.00787153	0.0781781	0.0628461
18	0.0304685	9.70087	0.234993	0.00841944	0.082377	0.0662517
19	0.033834	9.69633	0.237222	0.00894167	0.0865343	0.0696268
20	0.0373636	9.69226	0.239172	0.00943752	0.0906503	0.0729715
21	0.0410556	9.68862	0.240884	0.00990678	0.0947255	0.0762859
22	0.0449083	9.68536	0.242393	0.0103496	0.0987602	0.0795702
23	0.0489199	9.68246	0.243728	0.0107665	0.102755	0.0828245
24	0.053089	9.67989	0.244913	0.0111581	0.10671	0.0860489
25	0.0574137	9.67763	0.245969	0.0115254	0.110626	0.0892436
26	0.0618925	9.67565	0.246912	0.0118692	0.114502	0.0924087
27	0.0665239	9.67394	0.247758	0.0121907	0.118341	0.0955444
28	0.0713061	9.67249	0.24852	0.0124909	0.122141	0.0986509
29	0.0762376	9.67127	0.249207	0.012771	0.125904	0.101728
30	0.0813168	9.67028	0.249829	0.0130321	0.129629	0.104777
31	0.0865423	9.6695	0.250394	0.0132753	0.133317	0.107796
32	0.0919124	9.66892	0.250909	0.0135016	0.136968	0.110787
33	0.0974257	9.66854	0.251379	0.0137122	0.140583	0.11375
34	0.103081	9.66835	0.25181	0.0139081	0.144163	0.116684
35	0.108876	9.66834	0.252205	0.0140902	0.147706	0.119591
36	0.11481	9.6685	0.25257	0.0142595	0.151215	0.122469
37	0.120881	9.66882	0.252906	0.0144168	0.154688	0.12532
38	0.127087	9.66931	0.253218	0.0145629	0.158127	0.128144
39	0.133429	9.66995	0.253507	0.0146988	0.161532	0.13094
40	0.139903	9.67074	0.253776	0.014825	0.164903	0.13371
41	0.146509	9.67167	0.254027	0.0149422	0.168241	0.136452
42	0.153244	9.67275	0.254262	0.0150513	0.171545	0.139168
43	0.160109	9.67396	0.254483	0.0151526	0.174817	0.141858
44	0.167101	9.67531	0.254691	0.0152469	0.178055	0.144521
45	0.174219	9.67679	0.254887	0.0153346	0.181262	0.147159
46	0.181462	9.67839	0.255073	0.0154162	0.184437	0.14977
47	0.188829	9.68012	0.255249	0.0154923	0.18758	0.152357
48	0.196317	9.68197	0.255417	0.0155631	0.190692	0.154918
49	0.203927	9.68394	0.255577	0.0156292	0.193773	0.157454
50	0.211656	9.68602	0.255731	0.0156909	0.196824	0.159965
51	0.219503	9.68822	0.255878	0.0157485	0.199844	0.162451
52	0.227467	9.69052	0.25602	0.0158024	0.202834	0.164913
53	0.235547	9.69294	0.256158	0.0158528	0.205794	0.167351
54	0.243742	9.69546	0.256291	0.0159001	0.208725	0.169765
55	0.25205	9.69809	0.256421	0.0159444	0.211627	0.172155
56	0.26047	9.70081	0.256547	0.0159861	0.2145	0.174522
57	0.269001	9.70364	0.256671	0.0160253	0.217344	0.176866
58	0.277642	9.70657	0.256792	0.0160623	0.22016	0.179186
59	0.286391	9.7096	0.256911	0.0160972	0.222948	0.181483
60	0.295248	9.71272	0.257029	0.0161302	0.225708	0.183758
61	0.304211	9.71593	0.257145	0.0161615	0.228441	0.186011
62	0.31328	9.71924	0.257259	0.0161912	0.231146	0.188241
63	0.322452	9.72264	0.257373	0.0162194	0.233825	0.190449
64	0.331727	9.72613	0.257486	0.0162464	0.236477	0.192635
65	0.341104	9.72971	0.257599	0.0162722	0.239103	0.1948
66	0.350582	9.73337	0.257711	0.0162968	0.241702	0.196943
67	0.36016	9.73712	0.257824	0.0163205	0.244276	0.199066
68	0.369836	9.74096	0.257936	0.0163434	0.246824	0.201167
69	0.37961	9.74488	0.258049	0.0163654	0.249347	0.203247
70	0.38948	9.74888	0.258161	0.0163867	0.251844	0.205307
71	0.399445	9.75296	0.258275	0.0164073	0.254317	0.207347
72	0.409505	9.75712	0.258388	0.0164274	0.256765	0.209366
73	0.419658	9.76136	0.258503	0.0164469	0.259189	0.211366
74	0.429904	9.76568	0.258618	0.016466	0.261589	0.213345
75	0.440241	9.77008	0.258734	0.0164847	0.263965	0.215305
76	0.450669	9.77455	0.258851	0.0165031	0.266317	0.217246
77	0.461186	9.77909	0.258969	0.0165211	0.268646	0.219167
78	0.471791	9.78372	0.259088	0.0165389	0.270951	0.22107
79	0.482484	9.78841	0.259208	0.0165565	0.273234	0.222953
80	0.493264	9.79318	0.259329	0.0165738	0.275494	0.224818
81	0.504129	9.79801	0.259452	0.016591	0.277731	0.226665
82	0.515078	9.80292	0.259575	0.0166081	0.279947	0.228493
83	0.526112	9.8079	0.2597	0.0166251	0.28214	0.230304
84	0.537228	9.81295	0.259826	0.016642	0.284311	0.232096
85	0.548427	9.81806	0.259954	0.0166589	0.286461	0.23387
86	0.559706	9.82324	0.260083	0.0166757	0.288589	0.235627
87	0.571066	9.82849	0.260213	0.0166925	0.290697	0.237367
88	0.582505	9.83381	0.260344	0.0167094	0.292783	0.239089
89	0.594022	9.83918	0.260477	0.0167263	0.294848	0.240795
90	0.605617	9.84463	0.260612	0.0167432	0.296893	0.242483
91	0.617289	9.85013	0.260748	0.0167602	0.298918	0.244155
92	0.629037	9.8557	0.260885	0.0167772	0.300922	0.245811
93	0.640859	9.86133	0.261024	0.0167944	0.302907	0.247449
94	0.652756	9.86703	0.261164	0.0168116	0.304872	0.249072
95	0.664727	9.87278	0.261306	0.0168289	0.306817	0.250679
96	0.676769	9.87859	0.261449	0.0168464	0.308743	0.25227
97	0.688884	9.88446	0.261594	0.016864	0.310649	0.253845
98	0.70107	9.89039	0.26174	0.0168817	0.312537	0.255404
99	0.713326	9.89638	0.261887	0.0168995	0.314406	0.256949
100	0.725652	9.90243	0.262036	0.0169175	0.316257	0.258477
