Time	[EC]	[Z]	[A]	[Y]
0	1000	0	0.45	0.36
1	998.376	0.110309	1.48181	1.87408
2	998.612	0.311526	0.173816	1.43637
3	999.266	0.102295	0.402976	0.991306
4	997.845	0.135855	1.32535	2.37885
5	998.986	0.33286	0.213286	1.04108
6	998.982	0.0922935	0.688325	1.28584
7	997.658	0.158373	1.41823	2.5434
8	999.218	0.359683	0.191195	0.782585
9	998.712	0.0996611	0.878074	1.54877
10	997.691	0.714461	0.447001	1.95484
11	999.344	0.325634	0.229855	0.690098
12	998.455	0.10759	1.0499	1.7976
13	998.499	0.414535	0.150357	1.44611
14	999.529	0.321924	0.209052	0.508922
15	998.213	0.11643	1.20123	2.03088
16	998.606	0.330542	0.233733	1.42354
17	999.468	0.0932264	0.344709	0.799214
18	997.987	0.12689	1.32498	2.24577
19	998.898	0.362509	0.17894	1.0992
20	999.179	0.0873418	0.551084	1.09344
21	997.783	0.141047	1.40727	2.43591
22	999.049	0.377086	0.210017	0.933955
23	998.9	0.0944385	0.747635	1.36537
24	997.614	0.173307	1.39906	2.57278
25	999.266	0.325849	0.201843	0.768377
26	998.634	0.101943	0.930927	1.62411
27	998.006	0.896131	0.20038	1.45824
28	999.394	0.364208	0.221272	0.602148
29	998.381	0.110097	1.09719	1.86853
30	998.556	0.314512	0.174085	1.48988
31	999.554	0.272498	0.228811	0.533486
32	998.144	0.119314	1.24125	2.09673
33	998.68	0.446629	0.205265	1.23367
34	999.383	0.0837825	0.40666	0.893696
35	997.924	0.130528	1.35469	2.30524
36	998.945	0.3236	0.195063	1.09112
37	999.095	0.0894146	0.610588	1.17545
38	997.728	0.146943	1.41922	2.48522
39	999.123	0.399144	0.195193	0.837666
40	998.82	0.0966133	0.803554	1.44355
41	997.582	0.214233	1.32556	2.5635
42	999.3	0.308422	0.217086	0.751759
43	998.558	0.10428	0.982229	1.69819
44	998.293	0.688032	0.152641	1.37856
45	999.457	0.372627	0.207096	0.529883
46	998.309	0.112694	1.14254	1.93804
47	998.577	0.277327	0.206368	1.50543
48	999.549	0.19963	0.265373	0.611627
49	998.077	0.122364	1.27863	2.16088
50	998.788	0.447696	0.178081	1.12463
51	999.296	0.084646	0.46811	0.979185
52	997.863	0.134559	1.38031	2.36233
53	998.981	0.320766	0.211326	1.05813
54	999.012	0.0915141	0.669126	1.25634
55	997.676	0.154698	1.42193	2.52917
56	999.196	0.373764	0.189785	0.79072
57	998.741	0.0988289	0.858219	1.52056
58	997.619	0.522082	0.750261	2.2187
59	999.331	0.315326	0.228643	0.713918
60	998.482	0.106682	1.03193	1.77097
61	998.462	0.472974	0.146348	1.42482
62	999.514	0.338834	0.205506	0.507519
63	998.239	0.115398	1.18578	2.00607
64	998.594	0.298543	0.231874	1.46772
65	999.497	0.107821	0.321853	0.755639
66	998.011	0.12562	1.31305	2.22318
67	998.875	0.384431	0.175369	1.10102
68	999.211	0.086584	0.528807	1.06277
69	997.804	0.139151	1.40105	2.41662
70	999.026	0.358562	0.214052	0.975216
71	998.93	0.0936419	0.726617	1.33611
72	997.629	0.166582	1.40987	2.56405
73	999.25	0.336959	0.196976	0.772922
74	998.663	0.101091	0.911535	1.59635
75	997.88	0.899526	0.246006	1.58088
76	999.373	0.350228	0.226269	0.636844
77	998.408	0.109158	1.07989	1.84241
78	998.541	0.342789	0.163567	1.47662
79	999.548	0.291675	0.219794	0.520523
80	998.169	0.118228	1.22672	2.07253
81	998.645	0.409969	0.219567	1.305
82	999.414	0.0847926	0.383736	0.860724
83	997.947	0.129141	1.34412	2.28347
84	998.93	0.334168	0.188424	1.09568
85	999.126	0.0886432	0.588648	1.14519
86	997.748	0.144601	1.4157	2.46747
87	999.094	0.397529	0.200324	0.868
88	998.849	0.0958031	0.782977	1.41472
89	997.592	0.192155	1.36503	2.57633
90	999.288	0.312479	0.21138	0.759304
91	998.586	0.103407	0.963402	1.6709
92	998.2	0.778351	0.163082	1.3814
93	999.433	0.37562	0.21153	0.550927
94	998.336	0.11172	1.12597	1.91245
95	998.571	0.285111	0.194261	1.50355
96	999.555	0.232241	0.24937	0.57258
97	998.101	0.121213	1.26511	2.13732
98	998.748	0.461267	0.185107	1.15065
99	999.328	0.0840638	0.445424	0.94784
100	997.886	0.133011	1.37134	2.34148
