Time	[IPTG]	[sigb]	[lacz]	[x]
0	100	0	0	0
1	100	9918.04	0.00449297	0.000463707
2	100	19673.9	0.0178738	0.00184471
3	100	29270.4	0.0399969	0.00412801
4	100	38709.9	0.070719	0.00729886
5	100	47995.2	0.109899	0.0113427
6	100	57128.6	0.157396	0.0162454
7	100	66112.8	0.213072	0.0219928
8	100	74950.1	0.276791	0.0285711
9	100	83642.9	0.348417	0.0359667
10	100	92193.6	0.427816	0.0441664
11	100	100605	0.514854	0.0531568
12	100	108878	0.609398	0.0629252
13	100	117016	0.711317	0.0734587
14	100	125021	0.820479	0.084745
15	100	132896	0.936754	0.0967716
16	100	140641	1.06001	0.109526
17	100	148260	1.19012	0.122998
18	100	155755	1.32696	0.137174
19	100	163127	1.47038	0.152043
20	100	170378	1.62027	0.167594
21	100	177511	1.7765	0.183815
22	100	184527	1.93893	0.200696
23	100	191429	2.10744	0.218226
24	100	198217	2.28189	0.236395
25	100	204895	2.46216	0.255191
26	100	211464	2.64811	0.274605
27	100	217925	2.83962	0.294627
28	100	224281	3.03656	0.315246
29	100	230532	3.23879	0.336452
30	100	236682	3.44618	0.358237
31	100	242731	3.6586	0.380591
32	100	248681	3.87592	0.403504
33	100	254534	4.098	0.426968
34	100	260291	4.32471	0.450973
35	100	265954	4.55592	0.47551
36	100	271524	4.7915	0.500571
37	100	277004	5.0313	0.526148
38	100	282394	5.27519	0.552231
39	100	287695	5.52304	0.578812
40	100	292910	5.77471	0.605884
41	100	298040	6.03007	0.633438
42	100	303086	6.28897	0.661467
43	100	308050	6.55128	0.689962
44	100	312932	6.81687	0.718917
45	100	317734	7.08558	0.748323
46	100	322458	7.35729	0.778173
47	100	327105	7.63185	0.80846
48	100	331676	7.90913	0.839177
49	100	336172	8.18899	0.870316
50	100	340595	8.47128	0.901872
51	100	344945	8.75586	0.933836
52	100	349224	9.0426	0.966203
53	100	353434	9.33136	0.998965
54	100	357574	9.62199	1.03212
55	100	361647	9.91436	1.06565
56	100	365653	10.2083	1.09956
57	100	369594	10.5037	1.13385
58	100	373470	10.8005	1.16849
59	100	377283	11.0984	1.2035
60	100	381034	11.3973	1.23885
61	100	384723	11.6971	1.27456
62	100	388352	11.9977	1.31061
63	100	391921	12.2989	1.34699
64	100	395433	12.6006	1.3837
65	100	398887	12.9027	1.42073
66	100	402284	13.2049	1.45809
67	100	405626	13.5072	1.49576
68	100	408913	13.8094	1.53374
69	100	412147	14.1115	1.57202
70	100	415328	14.4132	1.6106
71	100	418456	14.7144	1.64948
72	100	421534	15.0151	1.68865
73	100	424561	15.315	1.7281
74	100	427539	15.614	1.76783
75	100	430468	15.9121	1.80783
76	100	433349	16.209	1.84811
77	100	436183	16.5048	1.88865
78	100	438971	16.7991	1.92946
79	100	441713	17.092	1.97052
80	100	444411	17.3832	2.01184
81	100	447064	17.6727	2.0534
82	100	449674	17.9604	2.09521
83	100	452241	18.2461	2.13727
84	100	454767	18.5298	2.17956
85	100	457251	18.8112	2.22208
86	100	459694	19.0904	2.26484
87	100	462098	19.3671	2.30781
88	100	464462	19.6413	2.35102
89	100	466788	19.9129	2.39444
90	100	469075	20.1818	2.43807
91	100	471325	20.4478	2.48192
92	100	473539	20.7109	2.52598
93	100	475716	20.971	2.57024
94	100	477858	21.228	2.6147
95	100	479964	21.4817	2.65936
96	100	482036	21.7322	2.70421
97	100	484075	21.9793	2.74926
98	100	486080	22.2229	2.79449
99	100	488052	22.4629	2.83991
100	100	489992	22.6994	2.88551
