Time	[TF]	[TF_VII]	[VII]	[TF_VIIa]	[VIIa]	[Xa]	[IIa]	[TF_VIIa_X]	[X]	[TF_VIIa_Xa]	[IX]	[TF_VIIa_IX]	[IXa]	[II]	[VIII]	[VIIIa]	[IXa_VIIIa]	[IXa_VIIIa_X]	[VIIIa1_L]	[VIIIa2]	[V]	[Va]	[Xa_Va]	[Xa_Va_II]	[mIIa]	[TFPI]	[Xa_TFPI]	[TF_VIIa_Xa_TFPI]	[ATIII]	[Xa_ATIII]	[mIIa_ATIII]	[IXa_ATIII]	[IIa_ATIII]	[TF_VIIa_ATIII]
0	0	0	1e-08	0	1e-10	9.4e-11	1e-09	0	1.6e-07	0	9e-08	0	2.1e-10	1.4e-06	7e-10	0	0	0	0	0	2e-08	0	0	0	0	2.5e-09	0	0	3.4e-06	0	0	0	0	0
1	0	0	9.98789e-09	0	1.12106e-10	8.67599e-11	9.77098e-10	0	1.6e-07	0	9e-08	0	2.09636e-10	1.39993e-06	6.86297e-10	1.36475e-11	5.63612e-15	8.78468e-15	4.12967e-14	4.12967e-14	1.96075e-08	3.85734e-10	3.70348e-12	3.07928e-12	6.66043e-11	2.49979e-09	2.05668e-13	0	3.39997e-06	4.66283e-13	4.08895e-13	3.49559e-13	2.38625e-11	0
2	0	0	9.97742e-09	0	1.22578e-10	7.0253e-11	9.54644e-10	0	1.59999e-07	0	9e-08	0	2.09245e-10	1.3995e-06	6.73167e-10	2.66139e-11	2.06687e-14	3.59308e-14	1.62446e-13	1.62446e-13	1.92189e-08	7.58017e-10	1.2563e-11	1.05083e-11	4.77501e-10	2.49962e-09	3.83264e-13	0	3.39995e-06	8.69119e-13	6.0402e-12	6.98487e-13	4.71775e-11	0
3	0	0	9.96934e-09	0	1.30663e-10	5.11998e-11	9.32753e-10	0	1.59999e-07	0	9e-08	0	2.08828e-10	1.39855e-06	6.60582e-10	3.89339e-11	4.45347e-14	8.04322e-14	3.59493e-13	3.59493e-13	1.8809e-08	1.14863e-09	2.30366e-11	1.92982e-11	1.40182e-09	2.49948e-09	5.19631e-13	0	3.3999e-06	1.17864e-12	2.76412e-11	1.04674e-12	6.99564e-11	0
4	0	0	9.96361e-09	0	1.36388e-10	3.45896e-11	9.11827e-10	0	1.59998e-07	0	9e-08	0	2.08388e-10	1.39705e-06	6.4851e-10	5.06436e-11	7.67305e-14	1.41299e-13	6.2869e-13	6.2869e-13	1.83504e-08	1.58983e-09	3.24965e-11	2.72245e-11	2.83624e-09	2.49938e-09	6.1515e-13	0	3.39983e-06	1.39566e-12	7.78496e-11	1.39427e-12	9.22172e-11	0
5	0	0	9.95975e-09	0	1.40251e-10	2.27167e-11	8.92398e-10	0	1.59996e-07	0	9e-08	0	2.07925e-10	1.39512e-06	6.36916e-10	6.17832e-11	1.16781e-13	2.17597e-13	9.66519e-13	9.66519e-13	1.7822e-08	2.10501e-09	3.9756e-11	3.32817e-11	4.67585e-09	2.49932e-09	6.7842e-13	0	3.39971e-06	1.53963e-12	1.67833e-10	1.74104e-12	1.13989e-10	0
6	0	0	9.95712e-09	0	1.42885e-10	1.55379e-11	8.74924e-10	0	1.59993e-07	0	9e-08	0	2.0744e-10	1.39286e-06	6.25761e-10	7.23969e-11	1.64244e-13	3.08452e-13	1.36971e-12	1.36971e-12	1.72122e-08	2.70543e-09	4.48869e-11	3.75284e-11	6.79062e-09	2.49928e-09	7.20415e-13	0	3.39956e-06	1.6354e-12	3.05784e-10	2.087e-12	1.35314e-10	0
7	0	0	9.95518e-09	0	1.44819e-10	1.17145e-11	8.59714e-10	0	1.5999e-07	0	9e-08	0	2.06936e-10	1.39037e-06	6.15002e-10	8.2531e-11	2.18707e-13	4.13055e-13	1.83528e-12	1.83528e-12	1.65189e-08	3.39185e-09	4.86594e-11	4.0619e-11	9.07903e-09	2.49925e-09	7.50322e-13	0	3.39934e-06	1.7038e-12	4.97022e-10	2.43212e-12	1.56243e-10	0
8	0	0	9.95361e-09	0	1.46391e-10	9.76572e-12	8.46998e-10	0	1.59986e-07	0	9e-08	0	2.06413e-10	1.3877e-06	6.04597e-10	9.22317e-11	2.79798e-13	5.30663e-13	2.36049e-12	2.36049e-12	1.57465e-08	4.15831e-09	5.19315e-11	4.32668e-11	1.14874e-08	2.49923e-09	7.73967e-13	0	3.39907e-06	1.75802e-12	7.44985e-10	2.77637e-12	1.76833e-10	0
9	0	0	9.95223e-09	0	1.47772e-10	8.70749e-12	8.37027e-10	0	1.59981e-07	0	9e-08	0	2.05873e-10	1.38487e-06	5.94504e-10	1.01545e-10	3.47176e-13	6.60602e-13	2.94291e-12	2.94291e-12	1.49032e-08	4.99556e-09	5.52862e-11	4.59671e-11	1.40019e-08	2.49921e-09	7.94351e-13	0	3.39875e-06	1.80487e-12	1.05233e-09	3.11969e-12	1.97147e-10	0
