Time	[AA]	[Clb2]	[degr]	[Cdc20]	[Cdh1]	[inactive Cdh1]	[securinT]	[securin]	[separaseT]	[separase]	[securin:separase]	[Net1]	[Net1Cdc14]	[PoloT]	[Polo]	[inactive Polo]	[Tem1]	[inactive Tem1]	[Cdc15]	[inactive Cdc15]	[MEN]	[PP2A]	[Net1P]	[Cdc14]
0	1	0.997	1	0	3.8e-05	0.999962	0.6	0.352	0.25	0.002	0.248	0.098	0.485	0.99	0.945	0.045	0.00389	0.99611	0.0257	0.9743	8e-06	0.965385	0.417	0.015
1	1	0.995558	1	0.0146306	3.84467e-05	0.999962	0.591358	0.342927	0.25	0.00156884	0.248431	0.0981138	0.485083	0.99009	0.938374	0.0517159	0.00385342	0.996147	0.0257668	0.974233	8.10986e-06	0.97262	0.416803	0.0149169
2	1	0.99137	1	0.0285466	3.85108e-05	0.999961	0.56726	0.318989	0.25	0.00172826	0.248272	0.0984047	0.485147	0.990179	0.936663	0.0535165	0.00385772	0.996142	0.0258311	0.974169	8.1628e-06	0.969931	0.416448	0.0148525
3	1	0.984688	1	0.0417829	3.85827e-05	0.999961	0.531095	0.283086	0.25	0.00199091	0.248009	0.0990019	0.48527	0.990267	0.936019	0.0542483	0.00388102	0.996119	0.025922	0.974078	8.29589e-06	0.965536	0.415728	0.0147299
4	1	0.975764	1	0.0543727	3.86654e-05	0.999961	0.486681	0.239085	0.25	0.00240397	0.247596	0.0998703	0.485443	0.990355	0.935523	0.0548319	0.00392165	0.996078	0.026047	0.973953	8.51487e-06	0.958714	0.414687	0.014557
5	1	0.964852	1	0.0663475	3.88272e-05	0.999961	0.437781	0.190844	0.25	0.00306224	0.246938	0.100702	0.485618	0.990441	0.934951	0.05549	0.00398843	0.996012	0.0262149	0.973785	8.86768e-06	0.948061	0.413679	0.0143816
6	1	0.952198	1	0.0777374	3.92344e-05	0.999961	0.387733	0.141903	0.25	0.00417003	0.24583	0.100766	0.485692	0.990527	0.934253	0.0562733	0.00410401	0.995896	0.0264496	0.97355	9.47631e-06	0.930718	0.413542	0.0143082
7	1	0.93804	1	0.0885708	4.02711e-05	0.99996	0.339213	0.0954416	0.25	0.00622884	0.243771	0.0984947	0.485436	0.990611	0.933421	0.0571904	0.00432699	0.995673	0.0268083	0.973192	1.06764e-05	0.900301	0.416069	0.0145639
8	1	0.922605	1	0.0988747	4.30193e-05	0.999957	0.294151	0.0548333	0.25	0.0106823	0.239318	0.090426	0.484235	0.990694	0.932455	0.0582398	0.00483935	0.995161	0.0274372	0.972563	1.36481e-05	0.841568	0.425339	0.0157652
9	1	0.906103	1	0.108674	5.15921e-05	0.999948	0.253748	0.025364	0.25	0.0216165	0.228384	0.0697213	0.479811	0.990775	0.931357	0.0594185	0.00627498	0.993725	0.0288094	0.971191	2.39383e-05	0.728347	0.450468	0.0201893
10	1	0.888716	1	0.117991	8.40959e-05	0.999916	0.21857	0.0113496	0.25	0.0427799	0.20722	0.035803	0.462691	0.990851	0.930128	0.0607236	0.0100438	0.989956	0.0328418	0.967158	6.86029e-05	0.585019	0.501506	0.0373094
11	1	0.870562	1	0.126837	0.000181092	0.999819	0.18869	0.00633338	0.25	0.0676433	0.182357	0.0139681	0.415947	0.990911	0.928756	0.062155	0.0173959	0.982604	0.0453868	0.954613	0.000273098	0.482512	0.570085	0.0840526
12	1	0.851715	1	0.135217	0.000335356	0.999665	0.163833	0.00421265	0.25	0.0903797	0.15962	0.00696959	0.35397	0.990939	0.927222	0.0637165	0.0297763	0.970224	0.0711074	0.928893	0.00116994	0.420559	0.639061	0.14603
13	1	0.832296	1	0.143138	0.000517331	0.999483	0.143506	0.00311514	0.25	0.109609	0.140391	0.00435715	0.296051	0.990924	0.925511	0.0654132	0.0489705	0.951029	0.107939	0.892061	0.00430275	0.381939	0.699592	0.203949
14	1	0.81245	1	0.150611	0.000718828	0.999281	0.127108	0.0024693	0.25	0.125361	0.124639	0.0030848	0.246184	0.990863	0.923614	0.0672482	0.0759748	0.924025	0.152922	0.847078	0.0124838	0.356614	0.750732	0.253816
15	1	0.792307	1	0.157646	0.000950758	0.999049	0.114013	0.0020571	0.25	0.138044	0.111956	0.00232297	0.201913	0.990749	0.921525	0.0692234	0.110482	0.889518	0.204614	0.795386	0.0286629	0.339305	0.795764	0.298087
16	1	0.771961	1	0.164246	0.00123597	0.998764	0.103623	0.0017793	0.25	0.148156	0.101844	0.00179659	0.160425	0.990572	0.919231	0.0713414	0.151304	0.848696	0.26288	0.73712	0.0543059	0.327093	0.837778	0.339575
17	1	0.751471	1	0.170407	0.00159032	0.99841	0.0954072	0.00158464	0.25	0.156177	0.0938226	0.00141855	0.122314	0.990319	0.916712	0.0736075	0.196975	0.803025	0.327622	0.672378	0.0890471	0.318259	0.876268	0.377686
18	1	0.730892	1	0.17612	0.00200143	0.997999	0.0889129	0.00144412	0.25	0.162531	0.0874687	0.00116238	0.0911621	0.989974	0.913945	0.076029	0.246097	0.753903	0.397345	0.602655	0.131244	0.311734	0.907676	0.408838
19	1	0.710314	1	0.181387	0.00243636	0.997564	0.0837672	0.00134023	0.25	0.167573	0.0824269	0.00100328	0.0692588	0.989528	0.910914	0.0786135	0.297462	0.702538	0.468963	0.531037	0.178597	0.306827	0.929738	0.430741
20	1	0.689854	1	0.186217	0.00288224	0.997118	0.0796705	0.00126181	0.25	0.171591	0.0784087	0.000907518	0.0551372	0.988978	0.907612	0.0813654	0.350069	0.649931	0.539089	0.460911	0.2288	0.303077	0.943955	0.444863
21	1	0.66961	1	0.19062	0.00335916	0.996641	0.0763871	0.00120152	0.25	0.174814	0.0751856	0.000846886	0.0458949	0.988321	0.904035	0.0842864	0.403097	0.596903	0.60512	0.39488	0.279983	0.300165	0.953258	0.454105
22	1	0.649632	1	0.194591	0.00390129	0.996099	0.073736	0.00115441	0.25	0.177418	0.0725816	0.000805467	0.0394832	0.987547	0.900168	0.0873789	0.45586	0.54414	0.665274	0.334726	0.330757	0.297873	0.959711	0.460517
23	1	0.629921	1	0.198116	0.00455022	0.99545	0.0715815	0.00111711	0.25	0.179536	0.0704643	0.000775519	0.0348174	0.986635	0.895987	0.0906489	0.50777	0.49223	0.718304	0.281696	0.380061	0.296048	0.964407	0.465183
24	1	0.610426	1	0.201158	0.00536448	0.994636	0.0698247	0.00108734	0.25	0.181263	0.0687374	0.000753078	0.031317	0.985556	0.891448	0.0941082	0.558291	0.441709	0.763445	0.236555	0.427041	0.294584	0.96793	0.468683
25	1	0.591026	1	0.203656	0.0064405	0.993559	0.0683973	0.00106356	0.25	0.182666	0.0673338	0.000735889	0.0286403	0.984261	0.886483	0.0977772	0.606903	0.393097	0.800499	0.199501	0.470997	0.29341	0.970624	0.47136
26	1	0.571488	1	0.205497	0.00795865	0.992041	0.0672568	0.00104481	0.25	0.183788	0.066212	0.000722579	0.026572	0.982667	0.880976	0.101691	0.653059	0.346941	0.829906	0.170094	0.511372	0.292482	0.972705	0.473428
27	1	0.551362	1	0.206469	0.0103045	0.989695	0.0663866	0.00103065	0.25	0.184644	0.065356	0.00071228	0.0249701	0.980633	0.874722	0.105911	0.696135	0.303865	0.852682	0.147318	0.547747	0.29178	0.974318	0.47503
28	1	0.529688	1	0.20613	0.0144391	0.985561	0.0658045	0.00102126	0.25	0.185217	0.0647833	0.000704469	0.0237416	0.977864	0.867313	0.110551	0.735346	0.264654	0.870223	0.129777	0.579816	0.291313	0.975554	0.476258
29	1	0.504158	1	0.203421	0.0231339	0.976866	0.0655936	0.00101787	0.25	0.185424	0.0645758	0.000698946	0.0228338	0.973668	0.857813	0.115854	0.769561	0.230439	0.884115	0.115885	0.607326	0.291144	0.976467	0.477166
30	1	0.468703	1	0.195548	0.0446816	0.955318	0.0660015	0.00102442	0.25	0.185023	0.0649771	0.000696017	0.0222464	0.966152	0.843756	0.122395	0.796826	0.203174	0.896154	0.103846	0.629925	0.291471	0.977058	0.477754
31	1	0.409177	1	0.175853	0.100082	0.899918	0.0677138	0.00105226	0.25	0.183338	0.0666616	0.000697106	0.0220771	0.950221	0.818602	0.131619	0.81302	0.18698	0.908788	0.0912116	0.64667	0.292853	0.977226	0.477923
32	1	0.306013	1	0.134691	0.228899	0.771101	0.0723331	0.00112987	0.25	0.178797	0.0712032	0.000705981	0.0226118	0.914452	0.767911	0.146541	0.808695	0.191305	0.925497	0.0745033	0.654069	0.296681	0.976682	0.477388
33	1	0.167098	1	0.0748331	0.478053	0.521947	0.0824055	0.00131308	0.25	0.168908	0.0810924	0.000730258	0.024475	0.840629	0.670631	0.169998	0.764105	0.235895	0.948478	0.0515222	0.639468	0.305566	0.974795	0.475525
34	1	0.0586723	1	0.0268482	0.85218	0.14782	0.0992799	0.00167152	0.25	0.152392	0.0976084	0.00078385	0.0292506	0.715364	0.519569	0.195794	0.647959	0.352041	0.972569	0.0274313	0.569432	0.322341	0.969966	0.470749
35	1	0.0209493	1	0.0100316	0.99993	7.04535e-05	0.120321	0.00223966	0.25	0.131919	0.118081	0.000904412	0.0428156	0.564006	0.354306	0.2097	0.432474	0.567526	0.988297	0.0117026	0.396479	0.347363	0.95628	0.457184
36	1	0.015578	1	0.00766693	0.999942	5.81658e-05	0.141559	0.00301484	0.25	0.111456	0.138544	0.00130181	0.093524	0.44369	0.229896	0.213795	0.122232	0.877768	0.994599	0.00540071	0.110742	0.378713	0.905174	0.406476
