Time	[Gd]	[Gt]	[R]	[Rl]	[Rg]	[Rlg]	[Rlgp]	[IP3]	[Pc]	[Pcg]	[P]	[Pg]	[Ca]
0	10000	0	13.9	0	5.06	0	0	0.015	9.09	0	90.9	0	0.1
1	10000	0	13.904	0	5.056	0	0	0.0150077	9.09	0	90.9	0	0.1
2	10000	0	13.904	0	5.056	0	0	0.01501	9.09	0	90.9	0	0.1
3	10000	0	13.904	0	5.056	0	0	0.0150106	9.09	0	90.9	0	0.1
4	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
5	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
6	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
7	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
8	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
9	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
10	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
11	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
12	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
13	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
14	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
15	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
16	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
17	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
18	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
19	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
20	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
21	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
22	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
23	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
24	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
25	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
26	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
27	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
28	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
29	10000	0	13.904	0	5.056	0	0	0.0150108	9.09	0	90.9	0	0.1
30	10000	1.56142e-22	13.904	6.62911e-16	5.056	2.4106e-13	6.24569e-26	0.0150108	9.09	3.57491e-32	90.9	3.57491e-32	0.1
31	9999.85	0.0532753	13.8094	1.44139e-05	5.00697	0.143594	2.73325e-05	0.0150226	9.08779	0.00221809	90.8978	0.00221848	0.0999999
32	9999.6	0.179594	13.6994	2.94212e-05	4.96696	0.293511	0.000114796	0.0150912	9.0814	0.00868199	90.8912	0.00868857	0.0999993
33	9999.32	0.33831	13.5903	4.43033e-05	4.92726	0.442167	0.000261973	0.015213	9.07314	0.0171322	90.8826	0.0171588	0.0999979
34	9999.02	0.510954	13.482	5.90611e-05	4.88787	0.589574	0.000468363	0.0153664	9.06416	0.0264286	90.8729	0.0264928	0.0999955
35	9998.71	0.689162	13.3747	7.36957e-05	4.8488	0.73574	0.000733467	0.0155355	9.05498	0.0360562	90.8628	0.0361763	0.0999921
36	9998.41	0.869149	13.2681	8.82081e-05	4.81004	0.880676	0.00105679	0.0157115	9.04583	0.0457825	90.8524	0.0459761	0.0999877
37	9998.1	1.0492	13.1625	0.000102599	4.77159	1.02439	0.00143785	0.0158901	9.03681	0.055503	90.8419	0.055787	0.0999823
38	9997.8	1.22854	13.0577	0.00011687	4.73344	1.1669	0.00187614	0.0160691	9.02797	0.0651711	90.8313	0.0655611	0.099976
39	9997.5	1.40681	12.9537	0.000131021	4.69561	1.3082	0.0023712	0.0162475	9.01932	0.0747662	90.8206	0.075277	0.0999687
40	9997.2	1.58387	12.8505	0.000145054	4.65808	1.44832	0.00292255	0.0164248	9.01086	0.0842796	90.8099	0.0849252	0.0999606
41	9996.9	1.75965	12.7482	0.00015897	4.62085	1.58725	0.0035297	0.0166009	9.0026	0.0937079	90.7992	0.0945015	0.0999517
42	9996.61	1.93411	12.6467	0.000172769	4.58392	1.72501	0.00419219	0.0167756	8.99453	0.10305	90.7884	0.104004	0.099942
43	9996.31	2.10725	12.546	0.000186452	4.54729	1.86161	0.00490955	0.0169489	8.98665	0.112307	90.7776	0.113433	0.0999315
44	9996.02	2.27907	12.4461	0.000200021	4.51095	1.99705	0.00568132	0.0171207	8.97894	0.121478	90.7668	0.122787	0.0999202
45	9995.74	2.44957	12.347	0.000213475	4.47491	2.13135	0.00650704	0.0172912	8.97142	0.130565	90.756	0.132067	0.0999083
46	9995.45	2.61875	12.2487	0.000226817	4.43915	2.26452	0.00738625	0.0174603	8.96406	0.139568	90.7451	0.141273	0.0998956
47	9995.17	2.78663	12.1512	0.000240047	4.40368	2.39656	0.00831851	0.017628	8.95688	0.148489	90.7342	0.150405	0.0998824
48	9994.88	2.9532	12.0545	0.000253166	4.3685	2.52749	0.00930336	0.0177943	8.94985	0.157328	90.7234	0.159465	0.0998685
49	9994.61	3.11848	11.9585	0.000266174	4.3336	2.65731	0.0103404	0.0179593	8.94298	0.166087	90.7125	0.168452	0.099854
50	9994.33	3.28247	11.8633	0.000279074	4.29898	2.78602	0.0114291	0.0181229	8.93627	0.174765	90.7016	0.177366	0.099839
51	9994.05	3.44518	11.7688	0.000291864	4.26464	2.91365	0.012569	0.0182852	8.9297	0.183365	90.6907	0.186208	0.0998234
52	9993.78	3.60662	11.6752	0.000304547	4.23058	3.0402	0.0137598	0.0184461	8.92328	0.191887	90.6799	0.194979	0.0998073
53	9993.51	3.76678	11.5822	0.000317124	4.19679	3.16568	0.015001	0.0186057	8.917	0.200331	90.669	0.203679	0.0997908
54	9993.24	3.92568	11.49	0.000329594	4.16327	3.29009	0.0162922	0.018764	8.91086	0.208699	90.6581	0.212308	0.0997737
55	9992.98	4.08333	11.3986	0.00034196	4.13002	3.41345	0.017633	0.018921	8.90485	0.216991	90.6473	0.220867	0.0997562
56	9992.71	4.23974	11.3078	0.000354221	4.09704	3.53576	0.0190229	0.0190767	8.89897	0.225209	90.6365	0.229356	0.0997383
57	9992.45	4.3949	11.2178	0.000366379	4.06432	3.65704	0.0204615	0.0192312	8.89322	0.233353	90.6257	0.237775	0.09972
58	9992.19	4.54883	11.1285	0.000378434	4.03186	3.77728	0.0219484	0.0193843	8.88759	0.241423	90.6149	0.246125	0.0997013
59	9991.93	4.70154	11.04	0.000390387	3.99967	3.89651	0.0234831	0.0195362	8.88208	0.249421	90.6041	0.254407	0.0996823
60	9991.68	4.85303	10.9521	0.00040224	3.96773	4.01472	0.0250654	0.0196869	8.87669	0.257348	90.5933	0.262621	0.0996629
61	9991.43	5.00331	10.8649	0.000413992	3.93605	4.13192	0.0266948	0.0198363	8.87141	0.265203	90.5826	0.270767	0.0996432
62	9991.17	5.15238	10.7784	0.000425645	3.90463	4.24813	0.0283708	0.0199845	8.86624	0.272989	90.5719	0.278845	0.0996231
