Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_Ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.708871	11.5112	51.1389	0.598671	10.9635	5.61336	0.103524	6.08114	4.53326	1.58936	0.62657	3.32481	2.11818	0.229841	0.461833	0.220037	0.176957
2	0.400917	3.34701	60.9025	0.260972	9.55807	5.93263	0.0967121	6.42701	3.78715	3.10769	0.644774	2.53307	1.92793	0.238628	0.427709	0.21856	0.188698
3	0.327205	2.02348	63.6738	0.209635	8.15929	6.09541	0.088153	6.60337	3.10693	4.40738	0.645377	1.91132	1.71417	0.240934	0.386626	0.211355	0.195582
4	0.292777	1.6919	65.1266	0.198981	6.9729	6.20706	0.080039	6.72432	2.56225	5.52061	0.640724	1.46771	1.52071	0.241219	0.348315	0.202978	0.200874
5	0.268928	1.52981	66.1259	0.194652	5.99247	6.28864	0.0726751	6.8127	2.13497	6.48525	0.633324	1.15518	1.3516	0.240387	0.313994	0.194324	0.205221
6	0.250466	1.41544	66.8502	0.191702	5.18704	6.34801	0.0660784	6.87701	1.8008	7.33269	0.62412	0.9343	1.2052	0.238778	0.283607	0.185698	0.208859
7	0.235772	1.32627	67.3694	0.18932	4.52682	6.39003	0.0602108	6.92253	1.53937	8.08774	0.613694	0.777113	1.07908	0.236606	0.256873	0.177265	0.211935
8	0.223946	1.25496	67.7278	0.187302	3.98624	6.41834	0.0550184	6.9532	1.33458	8.76984	0.602468	0.664303	0.970822	0.234025	0.233458	0.169134	0.214559
9	0.21435	1.19733	67.9587	0.185551	3.54392	6.43573	0.0504422	6.97204	1.17388	9.39418	0.590757	0.582575	0.878141	0.231153	0.213026	0.161372	0.216815
10	0.206506	1.15038	68.088	0.184005	3.18206	6.44439	0.0464222	6.98143	1.04752	9.97267	0.578803	0.522746	0.798965	0.228084	0.195246	0.154018	0.218767
