Time	[IPTG]	[sigb]	[lacz]	[x]
0	100	0	0	0
1	100	9999.98	0.00835455	0.00999999
2	100	19999.9	0.0328512	0.0399999
3	100	29999.7	0.072672	0.0899995
4	100	39999.2	0.12704	0.159998
5	100	49998.2	0.195217	0.249996
6	100	59996.6	0.276504	0.359991
7	100	69994.1	0.370233	0.489982
8	100	79990.3	0.475774	0.639966
9	100	89984.8	0.592525	0.809942
10	100	99977.3	0.719914	0.999904
11	100	109967	0.8574	1.20985
12	100	119954	1.00447	1.43977
13	100	129937	1.16062	1.68966
14	100	139916	1.3254	1.95952
15	100	149890	1.49835	2.24932
16	100	159858	1.67906	2.55907
17	100	169820	1.86711	2.88875
18	100	179774	2.06214	3.23835
19	100	189721	2.26377	3.60784
20	100	199658	2.47164	3.99723
21	100	209585	2.68544	4.40647
22	100	219501	2.90484	4.83556
23	100	229405	3.12954	5.28447
24	100	239296	3.35925	5.75317
25	100	249172	3.5937	6.24164
26	100	259033	3.83261	6.74985
27	100	268876	4.07573	7.27776
28	100	278702	4.32283	7.82534
29	100	288508	4.57367	8.39255
30	100	298293	4.82803	8.97936
31	100	308056	5.08568	9.58571
32	100	317795	5.34644	10.2116
33	100	327508	5.61009	10.8569
34	100	337195	5.87645	11.5216
35	100	346853	6.14534	12.2056
36	100	356481	6.41658	12.909
37	100	366077	6.69	13.6315
38	100	375640	6.96543	14.3733
39	100	385168	7.24272	15.1341
40	100	394658	7.52171	15.9139
41	100	404110	7.80225	16.7127
42	100	413521	8.0842	17.5303
43	100	422889	8.36742	18.3667
44	100	432213	8.65177	19.2218
45	100	441490	8.93711	20.0956
46	100	450720	9.22333	20.9878
47	100	459898	9.51029	21.8984
48	100	469024	9.79787	22.8273
49	100	478096	10.086	23.7745
50	100	487112	10.3744	24.7397
51	100	496069	10.6632	25.7229
52	100	504965	10.9521	26.7239
53	100	513798	11.241	27.7427
54	100	522567	11.5299	28.7791
55	100	531268	11.8186	29.8329
56	100	539901	12.107	30.9041
57	100	548462	12.3951	31.9925
58	100	556949	12.6827	33.0979
59	100	565361	12.9697	34.2202
60	100	573695	13.256	35.3593
61	100	581950	13.5416	36.5149
62	100	590122	13.8263	37.687
63	100	598210	14.11	38.8754
64	100	606211	14.3927	40.0798
65	100	614124	14.6743	41.3002
66	100	621946	14.9546	42.5362
67	100	629676	15.2336	43.7879
68	100	637311	15.5112	45.0549
69	100	644848	15.7872	46.3371
70	100	652287	16.0617	47.6342
71	100	659624	16.3346	48.9461
72	100	666859	16.6056	50.2726
73	100	673988	16.8749	51.6135
74	100	681011	17.1422	52.9685
75	100	687924	17.4075	54.3375
76	100	694727	17.6707	55.7201
77	100	701417	17.9318	57.1163
78	100	707993	18.1906	58.5257
79	100	714452	18.4471	59.9482
80	100	720793	18.7012	61.3835
81	100	727015	18.9529	62.8313
82	100	733115	19.202	64.2914
83	100	739093	19.4484	65.7637
84	100	744945	19.6922	67.2477
85	100	750672	19.9332	68.7434
86	100	756272	20.1714	70.2503
87	100	761743	20.4067	71.7684
88	100	767084	20.639	73.2972
89	100	772293	20.8683	74.8366
90	100	777370	21.0945	76.3863
91	100	782313	21.3175	77.946
92	100	787122	21.5373	79.5155
93	100	791795	21.7538	81.0944
94	100	796331	21.967	82.6826
95	100	800729	22.1768	84.2796
96	100	804989	22.3831	85.8854
97	100	809110	22.5859	87.4995
98	100	813091	22.7851	89.1217
99	100	816932	22.9807	90.7518
100	100	820632	23.1727	92.3894
