Time	[V]	[n]	[c]	[cer]	[g6p]	[fbp]	[adp]
88	-68.6397	0.000335069	0.178285	186.293	199.846	39.9641	780.181
89	-68.6338	0.000320034	0.177662	186.304	199.844	39.9637	780.183
90	-68.6275	0.000305734	0.177042	186.314	199.842	39.9633	780.184
91	-68.6209	0.000292133	0.176426	186.325	199.84	39.9629	780.186
92	-68.6138	0.000279198	0.175813	186.335	199.839	39.9625	780.187
93	-68.6065	0.000266895	0.175205	186.345	199.837	39.962	780.189
94	-68.5987	0.000255194	0.1746	186.355	199.835	39.9616	780.19
95	-68.5907	0.000244065	0.173998	186.365	199.833	39.9612	780.192
96	-68.5823	0.000233482	0.173401	186.375	199.832	39.9608	780.193
97	-68.5736	0.000223417	0.172807	186.385	199.83	39.9604	780.194
98	-68.5647	0.000213846	0.172217	186.395	199.828	39.96	780.196
99	-68.5554	0.000204743	0.17163	186.405	199.826	39.9596	780.197
100	-68.5459	0.000196087	0.171047	186.415	199.825	39.9592	780.199
