Time	[Fungal pathogen]	[Bacterial pathogen]	[LysM]	[PRRs]	[FLS2]	[LRR]	[MAPKKK]	[MAPKKK]	[MAPKKK1]	[MAPKKK18]	[MAPKKK19]	[MAPKKK20]	[EDR1]	[MAPKK]	[MAPKK]	[MAPKK2]	[MAPKK4]	[MAPKK5]	[MAPKK9]	[MAPK]	[MAPK]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1]	[MYB2]	[MYB2]	[WRKY33]	[WRKY33]	[WRKY6]	[WRKY6]	[MYB4]	[MYB4]	[WRKY25]	[WRKY25]	[WRKY12]	[WRKY12]	[WRKY22]	[WRKY22]	[WRKY28]	[WRKY28]	[WRKY29]	[WRKY29]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	[SIMK]	[SAMK]
47	1.1609	1.16096	1.16089	1.16092	1.16097	1.16108	1.16098	1.16098	1.16137	1.16103	1.16109	1.16103	1.161	1.16127	1.16127	1.16156	1.16158	1.16156	1.16126	1.16161	1.16161	1.16165	1.1617	1.16172	1.1617	1.16172	1.16172	1.16179	1.16179	1.16173	1.16173	1.16178	1.16178	1.16176	1.16176	1.16178	1.16178	1.16176	1.16176	1.16174	1.16174	1.16174	1.16174	1.16174	1.16174	1.16178	1.16178	1.16178	1.16178	1.16179	1.16177	1.16177
48	1.16098	1.16104	1.16098	1.161	1.16104	1.16114	1.16105	1.16105	1.16139	1.1611	1.16115	1.1611	1.16107	1.1613	1.1613	1.16155	1.16158	1.16156	1.1613	1.1616	1.1616	1.16164	1.16168	1.1617	1.16168	1.1617	1.1617	1.16176	1.16176	1.16171	1.16171	1.16175	1.16175	1.16173	1.16173	1.16175	1.16175	1.16173	1.16173	1.16171	1.16171	1.16171	1.16171	1.16171	1.16171	1.16175	1.16175	1.16175	1.16175	1.16176	1.16174	1.16174
49	1.16105	1.1611	1.16105	1.16107	1.16111	1.16119	1.16111	1.16111	1.16141	1.16115	1.1612	1.16115	1.16113	1.16133	1.16133	1.16155	1.16157	1.16156	1.16133	1.16159	1.16159	1.16163	1.16166	1.16168	1.16166	1.16168	1.16168	1.16173	1.16173	1.16168	1.16168	1.16172	1.16172	1.16171	1.16171	1.16172	1.16172	1.16171	1.16171	1.16169	1.16169	1.16169	1.16169	1.16169	1.16169	1.16172	1.16172	1.16172	1.16172	1.16173	1.16171	1.16171
50	1.16111	1.16116	1.16111	1.16113	1.16116	1.16124	1.16117	1.16117	1.16143	1.1612	1.16124	1.1612	1.16118	1.16136	1.16136	1.16155	1.16157	1.16155	1.16135	1.16159	1.16159	1.16161	1.16165	1.16166	1.16165	1.16166	1.16166	1.16171	1.16171	1.16167	1.16167	1.1617	1.1617	1.16169	1.16169	1.1617	1.1617	1.16169	1.16169	1.16167	1.16167	1.16167	1.16167	1.16167	1.16167	1.1617	1.1617	1.1617	1.1617	1.1617	1.16169	1.16169
51	1.16117	1.16121	1.16117	1.16118	1.16121	1.16128	1.16121	1.16121	1.16144	1.16125	1.16128	1.16125	1.16123	1.16138	1.16138	1.16155	1.16156	1.16155	1.16138	1.16158	1.16158	1.1616	1.16163	1.16164	1.16163	1.16165	1.16165	1.16168	1.16168	1.16165	1.16165	1.16168	1.16168	1.16167	1.16167	1.16168	1.16168	1.16167	1.16167	1.16165	1.16165	1.16165	1.16165	1.16165	1.16165	1.16168	1.16168	1.16168	1.16168	1.16168	1.16167	1.16167
52	1.16122	1.16125	1.16121	1.16123	1.16125	1.16131	1.16126	1.16126	1.16145	1.16128	1.16131	1.16128	1.16127	1.1614	1.1614	1.16155	1.16156	1.16155	1.1614	1.16157	1.16157	1.1616	1.16162	1.16163	1.16162	1.16163	1.16163	1.16167	1.16167	1.16164	1.16164	1.16166	1.16166	1.16165	1.16165	1.16166	1.16166	1.16165	1.16165	1.16164	1.16164	1.16164	1.16164	1.16164	1.16164	1.16166	1.16166	1.16166	1.16166	1.16166	1.16166	1.16166
53	1.16126	1.16129	1.16126	1.16127	1.16129	1.16134	1.16129	1.16129	1.16147	1.16132	1.16134	1.16132	1.1613	1.16142	1.16142	1.16155	1.16156	1.16155	1.16142	1.16157	1.16157	1.16159	1.16161	1.16162	1.16161	1.16162	1.16162	1.16165	1.16165	1.16162	1.16162	1.16164	1.16164	1.16164	1.16164	1.16164	1.16164	1.16164	1.16164	1.16162	1.16162	1.16162	1.16162	1.16162	1.16162	1.16164	1.16164	1.16164	1.16164	1.16165	1.16164	1.16164
54	1.16129	1.16132	1.16129	1.1613	1.16132	1.16136	1.16132	1.16132	1.16147	1.16134	1.16137	1.16134	1.16133	1.16143	1.16143	1.16154	1.16155	1.16155	1.16143	1.16157	1.16157	1.16158	1.1616	1.16161	1.1616	1.16161	1.16161	1.16163	1.16163	1.16161	1.16161	1.16163	1.16163	1.16162	1.16162	1.16163	1.16163	1.16162	1.16162	1.16161	1.16161	1.16161	1.16161	1.16161	1.16161	1.16163	1.16163	1.16163	1.16163	1.16163	1.16163	1.16163
55	1.16132	1.16135	1.16132	1.16133	1.16135	1.16139	1.16135	1.16135	1.16148	1.16137	1.16139	1.16137	1.16136	1.16145	1.16145	1.16154	1.16155	1.16155	1.16145	1.16156	1.16156	1.16158	1.16159	1.1616	1.16159	1.1616	1.1616	1.16162	1.16162	1.1616	1.1616	1.16162	1.16162	1.16161	1.16161	1.16162	1.16162	1.16161	1.16161	1.1616	1.1616	1.1616	1.1616	1.1616	1.1616	1.16162	1.16162	1.16162	1.16162	1.16162	1.16162	1.16162
56	1.16135	1.16137	1.16135	1.16136	1.16137	1.16141	1.16138	1.16138	1.16149	1.16139	1.16141	1.16139	1.16138	1.16146	1.16146	1.16154	1.16155	1.16155	1.16146	1.16156	1.16156	1.16157	1.16159	1.16159	1.16159	1.16159	1.16159	1.16161	1.16161	1.16159	1.16159	1.16161	1.16161	1.1616	1.1616	1.16161	1.16161	1.1616	1.1616	1.1616	1.1616	1.1616	1.1616	1.1616	1.1616	1.16161	1.16161	1.16161	1.16161	1.16161	1.16161	1.16161
57	1.16138	1.16139	1.16138	1.16138	1.16139	1.16142	1.1614	1.1614	1.1615	1.16141	1.16143	1.16141	1.1614	1.16147	1.16147	1.16154	1.16155	1.16154	1.16147	1.16156	1.16156	1.16157	1.16158	1.16158	1.16158	1.16159	1.16159	1.1616	1.1616	1.16159	1.16159	1.1616	1.1616	1.16159	1.16159	1.1616	1.1616	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159	1.1616	1.1616	1.1616	1.1616	1.1616	1.1616	1.1616
58	1.1614	1.16141	1.1614	1.1614	1.16141	1.16144	1.16141	1.16141	1.1615	1.16143	1.16144	1.16143	1.16142	1.16148	1.16148	1.16154	1.16155	1.16154	1.16148	1.16155	1.16155	1.16156	1.16157	1.16158	1.16157	1.16158	1.16158	1.16159	1.16159	1.16158	1.16158	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159	1.16159
59	1.16142	1.16143	1.16141	1.16142	1.16143	1.16145	1.16143	1.16143	1.16151	1.16144	1.16145	1.16144	1.16143	1.16149	1.16149	1.16154	1.16155	1.16154	1.16149	1.16155	1.16155	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16159	1.16159	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16159	1.16158	1.16158
60	1.16143	1.16144	1.16143	1.16143	1.16144	1.16146	1.16144	1.16144	1.16151	1.16145	1.16146	1.16145	1.16145	1.16149	1.16149	1.16154	1.16155	1.16154	1.16149	1.16155	1.16155	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16158	1.16158	1.16157	1.16157	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158
61	1.16144	1.16145	1.16144	1.16145	1.16146	1.16147	1.16146	1.16146	1.16151	1.16146	1.16147	1.16146	1.16146	1.1615	1.1615	1.16154	1.16154	1.16154	1.1615	1.16155	1.16155	1.16156	1.16156	1.16157	1.16156	1.16157	1.16157	1.16158	1.16158	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157
62	1.16146	1.16147	1.16146	1.16146	1.16147	1.16148	1.16147	1.16147	1.16152	1.16147	1.16148	1.16147	1.16147	1.1615	1.1615	1.16154	1.16154	1.16154	1.1615	1.16155	1.16155	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16157	1.16157	1.16156	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157
63	1.16147	1.16147	1.16147	1.16147	1.16148	1.16149	1.16148	1.16148	1.16152	1.16148	1.16149	1.16148	1.16148	1.16151	1.16151	1.16154	1.16154	1.16154	1.16151	1.16155	1.16155	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16157	1.16157	1.16156	1.16156	1.16157	1.16157	1.16156	1.16156	1.16157	1.16157	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16156	1.16156
64	1.16148	1.16148	1.16148	1.16148	1.16148	1.16149	1.16148	1.16148	1.16152	1.16149	1.16149	1.16149	1.16149	1.16151	1.16151	1.16154	1.16154	1.16154	1.16151	1.16155	1.16155	1.16155	1.16155	1.16156	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156
65	1.16148	1.16149	1.16148	1.16149	1.16149	1.1615	1.16149	1.16149	1.16152	1.1615	1.1615	1.1615	1.16149	1.16152	1.16152	1.16154	1.16154	1.16154	1.16151	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16156	1.16156	1.16155	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156
66	1.16149	1.1615	1.16149	1.16149	1.1615	1.1615	1.1615	1.1615	1.16153	1.1615	1.16151	1.1615	1.1615	1.16152	1.16152	1.16154	1.16154	1.16154	1.16152	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16156	1.16156	1.16155	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156
67	1.1615	1.1615	1.1615	1.1615	1.1615	1.16151	1.1615	1.1615	1.16153	1.16151	1.16151	1.16151	1.1615	1.16152	1.16152	1.16154	1.16154	1.16154	1.16152	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155
68	1.1615	1.16151	1.1615	1.1615	1.16151	1.16151	1.16151	1.16151	1.16153	1.16151	1.16151	1.16151	1.16151	1.16152	1.16152	1.16154	1.16154	1.16154	1.16152	1.16154	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155
69	1.16151	1.16151	1.16151	1.16151	1.16151	1.16152	1.16151	1.16151	1.16153	1.16151	1.16152	1.16151	1.16151	1.16153	1.16153	1.16154	1.16154	1.16154	1.16152	1.16154	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155
70	1.16151	1.16151	1.16151	1.16151	1.16151	1.16152	1.16151	1.16151	1.16153	1.16152	1.16152	1.16152	1.16152	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155
71	1.16151	1.16152	1.16151	1.16152	1.16152	1.16152	1.16152	1.16152	1.16153	1.16152	1.16152	1.16152	1.16152	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16155	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155
72	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16153	1.16152	1.16152	1.16152	1.16152	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16155	1.16155	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155
73	1.16152	1.16152	1.16152	1.16152	1.16152	1.16153	1.16152	1.16152	1.16153	1.16152	1.16153	1.16152	1.16152	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16155	1.16155	1.16154	1.16154	1.16155	1.16155	1.16154	1.16154	1.16155	1.16155	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155
74	1.16152	1.16152	1.16152	1.16152	1.16152	1.16153	1.16152	1.16152	1.16153	1.16153	1.16153	1.16153	1.16152	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
75	1.16152	1.16153	1.16152	1.16152	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
76	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
77	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
78	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
79	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
80	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
81	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
82	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
83	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16154	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
84	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
85	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
86	1.16153	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
87	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
88	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
89	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
90	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
91	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
92	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
93	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
94	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
95	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
96	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
97	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154
