Time	[Fungal pathogen]	[Bacterial pathogen]	[LysM]	[PRRs]	[FLS2]	[LRR]	[MAPKKK]	[MAPKKK]	[MAPKKK1]	[MAPKKK18]	[MAPKKK19]	[MAPKKK20]	[EDR1]	[MAPKK]	[MAPKK]	[MAPKK2]	[MAPKK4]	[MAPKK5]	[MAPKK9]	[MAPK]	[MAPK]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1]	[MYB2]	[MYB2]	[WRKY33]	[WRKY33]	[WRKY6]	[WRKY6]	[MYB4]	[MYB4]	[WRKY25]	[WRKY25]	[WRKY12]	[WRKY12]	[WRKY22]	[WRKY22]	[WRKY28]	[WRKY28]	[WRKY29]	[WRKY29]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	[SIMK]	[SAMK]
11	1.07004	1.07955	1.06941	1.07296	1.0804	1.09662	1.0815	1.0815	1.13776	1.08928	1.09761	1.08928	1.08448	1.1229	1.1229	1.16391	1.16753	1.16483	1.12205	1.17172	1.17172	1.17796	1.18459	1.18765	1.18459	1.18804	1.18804	1.19751	1.19751	1.189	1.189	1.19564	1.19564	1.19336	1.19336	1.19564	1.19564	1.19335	1.19335	1.18958	1.18958	1.18958	1.18958	1.18958	1.18958	1.19597	1.19597	1.19597	1.19597	1.1971	1.19465	1.19465
12	1.08184	1.09012	1.08129	1.08438	1.09085	1.10498	1.09182	1.09182	1.14082	1.09854	1.10583	1.09854	1.0944	1.12787	1.12787	1.1636	1.16676	1.16441	1.12713	1.17041	1.17041	1.17585	1.18162	1.1843	1.18162	1.18463	1.18463	1.19287	1.19287	1.18547	1.18547	1.19126	1.19126	1.18925	1.18925	1.19126	1.19126	1.18925	1.18925	1.18597	1.18597	1.18597	1.18597	1.18597	1.18597	1.19154	1.19154	1.19154	1.19154	1.19252	1.19039	1.19039
13	1.09211	1.09932	1.09163	1.09432	1.09996	1.11227	1.1008	1.1008	1.14349	1.10663	1.113	1.10663	1.10304	1.13219	1.13219	1.16334	1.16609	1.16404	1.13156	1.16926	1.16926	1.17401	1.17904	1.18137	1.17904	1.18166	1.18166	1.18884	1.18884	1.18239	1.18239	1.18744	1.18744	1.18568	1.18568	1.18744	1.18744	1.18568	1.18568	1.18282	1.18282	1.18282	1.18282	1.18282	1.18282	1.18768	1.18768	1.18768	1.18768	1.18853	1.18668	1.18668
14	1.10105	1.10734	1.10064	1.10298	1.10789	1.11862	1.10862	1.10862	1.14581	1.11369	1.11925	1.11369	1.11057	1.13597	1.13597	1.16311	1.1655	1.16372	1.13542	1.16827	1.16827	1.1724	1.17678	1.17882	1.17678	1.17907	1.17907	1.18532	1.18532	1.1797	1.1797	1.18411	1.18411	1.18257	1.18257	1.18411	1.18411	1.18257	1.18257	1.18008	1.18008	1.18008	1.18008	1.18008	1.18008	1.18431	1.18431	1.18431	1.18431	1.18506	1.18344	1.18344
15	1.10884	1.11432	1.10848	1.11052	1.11479	1.12414	1.11543	1.11543	1.14783	1.11984	1.12469	1.11984	1.11713	1.13926	1.13926	1.1629	1.16499	1.16343	1.13878	1.1674	1.1674	1.171	1.17482	1.17659	1.17482	1.17682	1.17682	1.18226	1.18226	1.17736	1.17736	1.1812	1.1812	1.17987	1.17987	1.1812	1.1812	1.17987	1.17987	1.1777	1.1777	1.1777	1.1777	1.1777	1.1777	1.18138	1.18138	1.18138	1.18138	1.18203	1.18062	1.18062
16	1.11563	1.1204	1.11531	1.11709	1.12081	1.12896	1.12137	1.12137	1.1496	1.1252	1.12944	1.1252	1.12284	1.14212	1.14212	1.16273	1.16455	1.16319	1.14171	1.16665	1.16665	1.16978	1.17311	1.17466	1.17311	1.17485	1.17485	1.17959	1.17959	1.17533	1.17533	1.17867	1.17867	1.17751	1.17751	1.17867	1.17867	1.17751	1.17751	1.17562	1.17562	1.17562	1.17562	1.17562	1.17562	1.17883	1.17883	1.17883	1.17883	1.17939	1.17817	1.17817
17	1.12154	1.12569	1.12126	1.12281	1.12606	1.13315	1.12654	1.12654	1.15113	1.12988	1.13357	1.12988	1.12783	1.14462	1.14462	1.16258	1.16416	1.16298	1.14426	1.16599	1.16599	1.16872	1.17162	1.17297	1.17162	1.17314	1.17314	1.17727	1.17727	1.17355	1.17355	1.17647	1.17647	1.17545	1.17545	1.17647	1.17647	1.17545	1.17545	1.1738	1.1738	1.1738	1.1738	1.1738	1.1738	1.1766	1.1766	1.1766	1.1766	1.17709	1.17603	1.17603
18	1.12669	1.13031	1.12645	1.1278	1.13062	1.13681	1.13105	1.13105	1.15247	1.13395	1.13717	1.13395	1.13217	1.1468	1.1468	1.16244	1.16382	1.16279	1.14648	1.16542	1.16542	1.1678	1.17032	1.1715	1.17032	1.17164	1.17164	1.17524	1.17524	1.17201	1.17201	1.17454	1.17454	1.17366	1.17366	1.17454	1.17454	1.17366	1.17366	1.17222	1.17222	1.17222	1.17222	1.17222	1.17222	1.17466	1.17466	1.17466	1.17466	1.17509	1.17416	1.17416
19	1.13118	1.13433	1.13097	1.13214	1.1346	1.13999	1.13497	1.13497	1.15364	1.1375	1.14031	1.1375	1.13595	1.1487	1.1487	1.16233	1.16353	1.16263	1.14842	1.16492	1.16492	1.16699	1.16919	1.17021	1.16919	1.17034	1.17034	1.17348	1.17348	1.17066	1.17066	1.17287	1.17287	1.1721	1.1721	1.17287	1.17287	1.1721	1.1721	1.17085	1.17085	1.17085	1.17085	1.17085	1.17085	1.17297	1.17297	1.17297	1.17297	1.17335	1.17254	1.17254
20	1.13508	1.13783	1.1349	1.13593	1.13807	1.14276	1.13839	1.13839	1.15466	1.1406	1.14304	1.1406	1.13924	1.15035	1.15035	1.16222	1.16327	1.16249	1.15011	1.16448	1.16448	1.16629	1.16821	1.1691	1.16821	1.16921	1.16921	1.17194	1.17194	1.16948	1.16948	1.17141	1.17141	1.17074	1.17074	1.17141	1.17141	1.17074	1.17074	1.16965	1.16965	1.16965	1.16965	1.16965	1.16965	1.1715	1.1715	1.1715	1.1715	1.17183	1.17112	1.17112
