Time	[_2PGA_c]	[ATP_g]	[ATP_c]	[Pyr_c]	[DHAP_c]	[Pyr_e]	[Gly3P_c]	[DHAP_g]	[NAD_g]	[Glc6P_g]	[Fru16BP_g]	[ADP_c]	[_3PGA_c]	[Gly_g]	[Fru6P_g]	[Gly_e]	[_3PGA_g]	[Gly_c]	[Pi_g]	[AMP_c]	[O2_c]	[GA3P_g]	[Gly3P_g]	[ADP_g]	[PEP_c]	[AMP_g]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[NADH_g]
0	0.1	0.2405	0.3417	10	2.23133	0	2.76867	8.48313	2	0.5	10	1.3165	0.1	1	0.5	0	0.1	1	0	2.2418	1	2.5	10.5169	1.519	1	4.2405	0.5	0.01	5	0.01	2
1	0.0171587	5.98979	0.150307	0.0435962	4.97703	0	0.0229722	3.67502	3.9952	0.000976487	6.45318	0.974601	0.0973446	1.51719e-05	0.000270032	0	28.0122	1.59789e-09	0	2.77509	1	0.164787	11.1337	0.010202	0.110693	7.6813e-06	5.12908	3.53244	5	1.31371e-05	0.00480289
2	0.0112076	5.99625	0.0624592	0.0274004	4.98943	0	0.010567	3.77261	3.99765	0.00124896	6.9456	0.671675	0.0630803	2.62508e-06	0.00034668	0	18.1485	2.76256e-10	0	3.16587	1	0.169471	5.24365	0.00375222	0.0727713	1.03787e-06	9.92524	4.30638	5	1.60143e-05	0.00235357
3	0.00794837	5.99775	0.0272529	0.0179977	4.99279	0	0.00721194	3.6101	3.99834	0.00127142	6.37465	0.461227	0.0444775	1.03266e-06	0.000351334	0	12.7323	1.08642e-10	0	3.41152	1	0.162255	3.43794	0.00225192	0.0518527	3.73726e-07	13.041	4.62477	5	1.71981e-05	0.00165997
4	0.00618569	5.99832	0.0127359	0.0128154	4.99425	0	0.00575427	3.44864	3.99865	0.00124276	5.81664	0.32275	0.0344738	5.88323e-07	0.000341789	0	9.80621	6.18857e-11	0	3.56451	1	0.155035	2.63152	0.00167629	0.0404862	2.0706e-07	15.1316	4.77071	5	1.77407e-05	0.00134767
5	0.00524937	5.99859	0.00664809	0.00997081	4.99504	0	0.00495688	3.31618	3.99883	0.0012072	5.37624	0.236376	0.0291718	4.1189e-07	0.00033067	0	8.24636	4.33229e-11	0	3.65698	1	0.149099	2.18803	0.00141152	0.034437	1.46808e-07	16.5941	4.84041	5	1.79998e-05	0.00117331
6	0.00476642	5.99872	0.00399445	0.00841655	4.99554	0	0.00446193	3.21131	3.99894	0.00117514	5.03969	0.184521	0.0264361	3.26266e-07	0.000320837	0	7.43405	3.4315e-11	0	3.71148	1	0.144396	1.91338	0.00127861	0.0313177	1.2046e-07	17.6513	4.87431	5	1.81258e-05	0.00106379
7	0.00452793	5.99879	0.00277629	0.00758346	4.99587	0	0.00413074	3.12891	3.99901	0.00114863	4.78292	0.15427	0.0250819	2.78865e-07	0.000312779	0	7.02657	2.93286e-11	0	3.74295	1	0.140699	1.7305	0.00120836	0.0297802	1.07585e-07	18.4338	4.89093	5	1.81876e-05	0.000989961
8	0.00441662	5.99883	0.00219062	0.00715412	4.9961	0	0.00389831	3.06424	3.99906	0.00112741	4.58615	0.13711	0.0244474	2.50007e-07	0.000306364	0	6.8324	2.6293e-11	0	3.7607	1	0.137796	1.60287	0.00116959	0.029065	1.00791e-07	19.0225	4.89912	5	1.82181e-05	0.000937901
9	0.00436804	5.99885	0.00190144	0.00694519	4.99627	0	0.00372994	3.01345	3.9991	0.00111067	4.43456	0.127695	0.024169	2.31127e-07	0.000301318	0	6.74551	2.43071e-11	0	3.7704	1	0.135516	1.5109	0.00114708	0.0287542	9.69489e-08	19.4707	4.90316	5	1.82331e-05	0.000900067
