Time	[EGF]	[HRG]	[A1]	[A1_2]	[A2]	[A2_2]	[A3]	[A3_2]	[DUSPmRNA]	[ERK_c]	[pERK_c]	[ppERK_c]	[F]	[c_FOS_c]	[pc_FOS_c]	[c_FOSmRNA]	[FmRNA]	[Kin]	[Kin_2]	[pMEK]	[MEK]	[DUSP_c]	[pDUSP_c]	[RSK_c]	[pRSK_c]	[RsD]	[RsT]	[CREB_n]	[pCREB_n]	[ERK_n]	[pERK_n]	[ppERK_n]	[Elk1_n]	[pElk1_n]	[FOSn]	[FOSn_2]	[Fn]	[DUSP_n]	[pDUSP_n]	[pDUSP_n_ERK_n]	[pDUSP_n_pERK_n]	[pDUSP_n_ppERK_n]	[DUSP_n_ERK_n]	[DUSP_n_pERK_n]	[DUSP_n_ppERK_n]	[PreDUSPmRNA]	[PreFOSmRNA]	[PreFmRNA]	[pRSK_n]
30	0	10	182.352	0	23.493	1.89398	13.0205	0.0721635	2.53951e-22	559.695	10.6694	0.0599229	2.24237e-86	6.80058e-28	1.60434e-33	1.26064e-23	9.41928e-84	82.0126	0.653102	7.12135	630.2	-7.77691e-21	5.37357e-28	353	3.46589e-05	238.368	9.03593	1000	0.000226396	1624.14	0.729097	0.00332522	1510	0.00010168	1.43805e-27	1.72919e-33	1.22652e-87	1.41842e-20	8.72963e-23	2.5895e-22	-8.75776e-25	-7.07571e-29	3.98761e-20	1.13713e-22	4.82969e-27	7.37237e-18	1.49913e-20	1.08896e-79	1.12488e-05
31	0	10	182.352	0	23.4335	1.95354	13.0181	0.0745548	5.94398e-22	558.67	11.6825	0.0720893	1.15865e-85	1.75473e-27	4.95882e-33	3.16317e-23	6.61113e-83	81.991	0.674785	7.57772	629.743	-7.35928e-21	3.08079e-28	353	4.17211e-05	238.089	9.31472	1000	0.000282146	1624.06	0.80399	0.00404045	1510	0.000124355	3.84195e-27	5.51392e-33	5.73519e-87	1.37176e-20	8.6439e-23	2.49507e-22	3.13202e-24	9.73229e-29	3.85678e-20	1.17259e-22	5.49919e-27	1.66208e-17	3.61373e-20	1.59691e-78	1.38455e-05
32	0	10	182.352	0	23.3741	2.01287	13.0157	0.0769453	1.34594e-21	557.588	12.7509	0.0861821	6.09418e-85	4.34819e-27	1.45803e-32	7.63681e-23	3.53833e-82	81.9693	0.696461	8.04642	629.275	-6.95747e-21	6.16786e-28	353	4.99058e-05	237.812	9.59184	1000	0.000348848	1623.98	0.883639	0.00487715	1510	0.000151024	9.83637e-27	1.66088e-32	2.91216e-86	1.32657e-20	9.0451e-23	2.40679e-22	1.77561e-24	1.53872e-28	3.7314e-20	1.26251e-22	6.38498e-27	3.63349e-17	8.40654e-20	7.95349e-78	1.69182e-05
33	0	10	182.352	0	23.315	2.07199	13.0133	0.0793348	2.95791e-21	556.447	13.875	0.102423	2.61323e-84	1.03922e-26	4.12539e-32	1.78166e-22	1.3833e-81	81.9476	0.718132	8.52729	628.794	-6.57153e-21	4.96454e-28	353	5.93429e-05	237.536	9.86729	1000	0.00042813	1623.9	0.968175	0.00585079	1510	0.000182216	2.42401e-26	4.79286e-32	1.30066e-85	1.28426e-20	8.45458e-23	2.42444e-22	-1.80142e-25	-6.7006e-30	3.61028e-20	1.3595e-22	7.6005e-27	7.72724e-17	1.89514e-19	2.63469e-77	2.05324e-05
34	0	10	182.352	0	23.2561	2.13088	13.0109	0.0817235	6.32971e-21	555.248	15.0556	0.121051	9.267e-84	2.40618e-26	1.12622e-31	4.03353e-22	4.38895e-81	81.9259	0.739797	9.02017	628.301	-6.1995e-21	4.92006e-28	353	7.01717e-05	237.262	10.1411	999.999	0.000521783	1623.81	1.05773	0.00697819	1510	0.000218505	5.77615e-26	1.33409e-31	4.93496e-85	1.24324e-20	8.37905e-23	2.36171e-22	8.63569e-25	2.37465e-29	3.49505e-20	1.42767e-22	8.7483e-27	1.60322e-16	4.15487e-19	7.29452e-77	2.47596e-05
35	0	10	182.352	0	23.1975	2.18955	13.0085	0.0841112	1.32233e-20	553.99	16.2928	0.142321	2.8532e-83	5.41615e-26	2.97663e-31	8.88913e-22	1.22705e-80	81.9043	0.761456	9.52489	627.796	-5.83733e-21	4.79841e-28	353	8.25413e-05	236.99	10.4131	999.999	0.000631769	1623.71	1.15243	0.00827762	1510	0.000260519	1.33589e-25	3.59381e-31	1.62649e-84	1.20402e-20	8.25632e-23	2.31011e-22	1.37405e-24	9.99415e-29	3.38462e-20	1.5021e-22	9.98168e-27	3.25186e-16	8.88053e-19	1.86134e-76	2.96775e-05
36	0	10	182.352	0	23.139	2.24801	13.0061	0.0864981	2.70258e-20	552.672	17.5871	0.166502	7.97277e-83	1.18866e-25	7.64478e-31	1.91183e-21	3.18413e-80	81.8826	0.783109	10.0413	627.28	-5.47776e-21	4.64676e-28	353	9.66106e-05	236.72	10.6835	999.999	0.000760234	1623.61	1.25241	0.00976882	1510	0.000308937	3.00847e-25	9.40288e-31	4.81545e-84	1.16651e-20	8.10378e-23	2.26976e-22	1.16989e-24	9.37544e-29	3.27882e-20	1.58457e-22	1.14375e-26	6.45943e-16	1.85424e-18	4.5544e-76	3.53706e-05
37	0	10	182.352	0	23.0808	2.30625	13.0037	0.088884	5.43344e-20	551.293	18.9386	0.193885	2.14031e-82	2.56366e-25	1.93681e-30	4.04161e-21	8.17813e-80	81.861	0.804756	10.5692	626.752	-5.10756e-21	4.5641e-28	353	0.000112549	236.451	10.9522	999.999	0.000909511	1623.5	1.35781	0.0114731	1510	0.000364496	6.65711e-25	2.42912e-30	1.34844e-83	1.1306e-20	8.03243e-23	2.21805e-22	1.40605e-24	1.62918e-28	3.17782e-20	1.66364e-22	1.29689e-26	1.26267e-15	3.80642e-18	1.15297e-75	4.19298e-05
38	0	10	182.352	0	23.0228	2.36427	13.0014	0.0912691	1.06803e-19	549.854	20.3477	0.224775	5.49522e-82	5.38006e-25	4.70777e-30	8.32428e-21	2.05655e-79	81.8393	0.826397	11.1085	626.213	-4.70401e-21	4.50599e-28	353	0.000130535	236.184	11.2191	999.999	0.00108213	1623.38	1.46875	0.0134136	1510	0.000427989	1.43072e-24	6.01465e-30	3.549e-83	1.09636e-20	7.98664e-23	2.15685e-22	2.44256e-24	2.99372e-28	3.08167e-20	1.73587e-22	1.45954e-26	2.41646e-15	7.62407e-18	2.90099e-75	4.94534e-05
39	0	10	182.352	0	22.9649	2.42207	12.999	0.0936532	2.05816e-19	548.353	21.8142	0.259495	1.37763e-81	1.10307e-24	1.10725e-29	1.67632e-20	5.11041e-79	81.8177	0.848033	11.6589	625.662	-4.22484e-21	4.08539e-28	353	0.000150759	235.919	11.4844	999.999	0.00128082	1623.26	1.58539	0.0156148	1510	0.000500273	3.00058e-24	1.44012e-29	9.01178e-83	1.06443e-20	7.45677e-23	2.19608e-22	-1.63579e-24	-1.33647e-28	2.98959e-20	1.86044e-22	1.69638e-26	4.53634e-15	1.49375e-17	7.17757e-75	5.80466e-05
40	0	10	182.352	0	22.9074	2.47966	12.9966	0.0960364	3.90394e-19	546.79	23.3383	0.298386	3.44792e-81	2.22315e-24	2.57874e-29	3.31802e-20	1.26044e-78	81.7961	0.869662	12.2204	625.101	-3.59079e-21	4.2477e-28	353	0.000173422	235.656	11.7479	999.998	0.00150854	1623.14	1.70784	0.0181035	1510	0.00058227	6.18603e-24	3.40477e-29	2.27807e-82	1.03394e-20	7.61111e-23	2.08825e-22	2.26662e-24	2.02291e-28	2.90478e-20	1.90781e-22	1.8762e-26	8.38317e-15	2.87631e-17	1.72721e-74	6.78223e-05
41	0	10	182.352	0	22.85	2.53704	12.9942	0.0984188	7.27839e-19	545.165	24.9198	0.341809	8.40281e-81	4.39282e-24	5.8609e-29	6.44151e-20	2.98145e-78	81.7745	0.891285	12.7928	624.528	-2.66212e-21	4.49397e-28	353	0.000198734	235.394	12.0097	999.998	0.00176843	1623	1.83627	0.0209079	1510	0.000674967	1.24972e-23	7.87089e-29	5.63855e-82	1.00612e-20	7.78078e-23	1.97668e-22	6.48887e-24	6.52599e-28	2.82733e-20	1.95573e-22	2.0671e-26	1.52372e-14	5.43564e-17	3.89021e-74	7.89009e-05
42	0	10	182.352	0	22.7928	2.5942	12.9918	0.1008	1.33409e-18	543.478	26.5587	0.390141	1.96891e-80	8.50846e-24	1.29565e-28	1.22663e-19	6.71152e-78	81.7528	0.912902	13.3759	623.945	-1.19257e-21	3.16908e-28	353	0.000226917	235.134	12.2698	999.998	0.0020639	1622.87	1.97081	0.0240586	1510	0.000779426	2.47297e-23	1.77147e-28	1.34939e-81	9.8424e-21	5.77081e-23	2.32908e-22	-1.3857e-23	-1.19716e-27	2.75545e-20	2.25476e-22	2.51431e-26	2.72524e-14	1.00855e-16	8.26014e-74	9.14108e-05
43	0	10	182.352	0	22.7359	2.65114	12.9894	0.103181	2.40905e-18	541.729	28.2546	0.443778	4.44051e-80	1.61995e-23	2.81217e-28	2.29708e-19	1.44858e-77	81.7312	0.934513	13.9695	623.352	1.25239e-21	6.8708e-28	353	0.000258204	234.875	12.5282	999.998	0.00239855	1622.72	2.11161	0.0275882	1510	0.000896782	4.80783e-23	3.90333e-28	3.12461e-81	9.62525e-21	9.42744e-23	1.52396e-22	2.51389e-23	1.9232e-27	2.71056e-20	1.97576e-22	2.50401e-26	4.80505e-14	1.84147e-16	1.70983e-73	0.000105488
44	0	10	182.352	0	22.6791	2.70788	12.9871	0.10556	4.29477e-18	539.918	30.0073	0.503133	9.73606e-80	3.04092e-23	6.0101e-28	4.24185e-19	3.05382e-77	81.7096	0.956118	14.5736	622.748	5.43509e-21	7.05074e-28	353	0.000292839	234.619	12.7848	999.997	0.00277625	1622.57	2.25882	0.0315313	1510	0.00102825	9.21498e-23	8.48791e-28	7.03889e-81	9.55297e-21	8.03148e-23	1.71489e-22	1.50175e-23	1.70016e-27	2.68096e-20	2.20921e-22	2.88199e-26	8.36693e-14	3.3161e-16	3.48503e-73	0.000121278
45	0	10	182.352	0	22.6226	2.7644	12.9847	0.107939	7.54996e-18	538.044	31.8163	0.568641	2.07352e-79	5.61561e-23	1.25807e-27	7.71016e-19	6.31016e-77	81.688	0.977717	15.1879	622.133	1.26262e-20	4.62355e-28	353	0.000331076	234.364	13.0398	999.997	0.00320108	1622.41	2.41259	0.0359249	1510	0.00117512	1.73634e-22	1.80677e-27	1.53427e-80	9.68782e-21	1.63867e-23	2.95248e-22	-4.98487e-23	-3.44292e-27	2.68276e-20	3.03127e-22	3.83988e-26	1.43771e-13	5.88251e-16	7.05458e-73	0.000138932
46	0	10	182.352	0	22.5663	2.82072	12.9823	0.110317	1.30882e-17	536.107	33.6814	0.640752	4.30117e-79	1.01991e-22	2.57708e-27	1.37928e-18	1.28198e-76	81.6664	0.99931	15.8122	621.509	2.49448e-20	4.37745e-27	353	0.000373181	234.111	13.293	999.996	0.00367741	1622.24	2.57308	0.0408086	1510	0.00133877	3.21478e-22	3.75382e-27	3.23966e-80	9.6339e-21	4.08768e-22	-4.66434e-22	3.15693e-22	1.8725e-26	2.84282e-20	-3.4978e-23	2.23583e-26	2.43849e-13	1.02812e-15	1.4258e-72	0.000158612
47	0	10	182.352	0	22.5102	2.87682	12.9799	0.112694	2.24613e-17	534.108	35.6017	0.719936	8.92005e-79	1.8323e-22	5.2117e-27	2.44067e-18	2.62906e-76	81.6448	1.0209	16.4466	620.875	4.6087e-20	2.94121e-27	353	0.000419431	233.859	13.5444	999.996	0.00420981	1622.06	2.74045	0.0462241	1510	0.00152068	5.88792e-22	7.7262e-27	6.80088e-80	1.07111e-20	1.2237e-22	4.45341e-23	8.5714e-23	1.14874e-26	2.99746e-20	2.34733e-22	3.85072e-26	4.09429e-13	1.77699e-15	2.9189e-72	0.000180488
48	0	10	182.352	0	22.4543	2.93271	12.9776	0.11507	3.80313e-17	532.047	37.5769	0.80668	1.80425e-78	3.23969e-22	1.03382e-26	4.25283e-18	5.18083e-76	81.6233	1.04248	17.0907	620.231	8.17786e-20	-8.22674e-27	352.999	0.000470114	233.609	13.7941	999.995	0.00480315	1621.88	2.91488	0.0522161	1510	0.0017224	1.06045e-21	1.55758e-26	1.3948e-79	1.37849e-20	-1.4092e-21	2.88591e-21	-1.2324e-21	-5.06395e-26	3.12182e-20	1.61466e-21	1.14628e-25	6.7859e-13	3.02582e-15	5.4272e-72	0.000204738
49	0	10	182.352	0	22.3986	2.9884	12.9752	0.117445	6.37216e-17	529.923	39.6062	0.90149	3.56126e-78	5.66211e-22	2.04512e-26	7.32436e-18	9.50088e-76	81.6017	1.06405	17.7444	619.577	1.4179e-19	-2.33694e-27	352.999	0.000525528	233.361	14.0421	999.995	0.00546254	1621.69	3.09652	0.0588319	1510	0.00194561	1.8878e-21	3.11812e-26	2.82213e-79	1.64374e-20	-1.22077e-21	2.3689e-21	-9.06364e-22	-1.7381e-26	3.92205e-20	1.40968e-21	1.06201e-25	1.11255e-12	5.08928e-15	7.86635e-72	0.00023155
50	0	10	182.352	0	22.3431	3.04388	12.9728	0.119819	1.05712e-16	527.738	41.6887	1.00489	6.58527e-78	9.78731e-22	3.97057e-26	1.24755e-17	1.59219e-75	81.5801	1.08562	18.4077	618.914	2.41849e-19	1.76347e-26	352.999	0.000585983	233.115	14.2884	999.994	0.00619335	1621.49	3.28556	0.0661216	1510	0.00219206	3.32404e-21	6.14977e-26	5.44887e-79	2.00376e-20	1.86236e-22	-2.42151e-22	2.98247e-22	3.19643e-26	5.50412e-20	4.19181e-22	1.00801e-25	1.80659e-12	8.46812e-15	1.06927e-71	0.000261119
51	0	10	182.352	0	22.2879	3.09915	12.9704	0.122193	1.73289e-16	525.491	43.8238	1.11742	1.14674e-77	1.66776e-21	7.49627e-26	2.096e-17	2.51699e-75	81.5586	1.10718	19.0802	618.241	4.05951e-19	4.45194e-26	352.999	0.000651798	232.871	14.5329	999.993	0.00700124	1621.28	3.48217	0.0741384	1510	0.00246363	5.76573e-21	1.1818e-25	9.98572e-79	2.70111e-20	1.72865e-21	-2.66889e-21	1.18148e-21	8.8811e-27	8.00075e-20	-1.02927e-22	2.0103e-25	2.90204e-12	1.3917e-14	1.6277e-71	0.000293651
52	0	10	182.352	0	22.2328	3.15421	12.9681	0.124565	2.81175e-16	523.184	46.0105	1.23964	1.92892e-77	2.80755e-21	1.38782e-25	3.48093e-17	4.1729e-75	81.537	1.12874	19.762	617.559	6.72836e-19	6.35502e-26	352.999	0.000723306	232.628	14.7757	999.992	0.00789212	1621.06	3.68655	0.0829386	1510	0.0027623	9.87505e-21	2.22638e-25	1.74668e-78	4.18271e-20	1.14441e-21	-2.50181e-21	1.59251e-21	1.46084e-25	1.17643e-19	9.90998e-23	2.02689e-25	4.61976e-12	2.26394e-14	3.64508e-71	0.000329358
53	0	10	182.352	0	22.1779	3.20907	12.9657	0.126937	4.52039e-16	520.815	48.2478	1.37213	3.29519e-77	4.67604e-21	2.56116e-25	5.72151e-17	7.30004e-75	81.5155	1.15029	20.4528	616.868	1.10337e-18	8.62041e-26	352.999	0.000800847	232.387	15.0168	999.991	0.00887217	1620.84	3.89888	0.0925819	1510	0.00309017	1.67268e-20	4.16619e-25	3.02202e-78	6.77432e-20	-1.27271e-21	4.92161e-22	1.00546e-21	3.28096e-25	1.77182e-19	1.75187e-21	2.74229e-25	7.28903e-12	3.64582e-14	6.88796e-71	0.000368464
54	0	10	182.352	0	22.1233	3.26373	12.9633	0.129307	7.20026e-16	518.386	50.5347	1.51548	5.76601e-77	7.70374e-21	4.70013e-25	9.30626e-17	1.30136e-74	81.4939	1.17183	21.1525	616.169	1.79075e-18	1.60353e-25	352.999	0.000884772	232.147	15.2562	999.99	0.00994786	1620.6	4.11936	0.103131	1510	0.00344948	2.80092e-20	7.72671e-25	5.23458e-78	1.06541e-19	-1.76601e-21	2.00989e-21	-2.36051e-23	2.39526e-25	2.77617e-19	4.64327e-21	8.22276e-25	1.13952e-11	5.80972e-14	9.89829e-71	0.000411201
55	0	10	182.352	0	22.0688	3.31818	12.9609	0.131677	1.13766e-15	515.897	52.87	1.6703	9.83562e-77	1.25755e-20	8.48265e-25	1.5e-16	2.13163e-74	81.4724	1.19337	21.861	615.46	2.88146e-18	3.12409e-25	352.999	0.000975446	231.91	15.4938	999.989	0.0111259	1620.36	4.34821	0.114654	1510	0.00384258	4.64606e-20	1.41511e-24	8.99853e-78	1.66752e-19	1.03245e-24	8.47731e-22	-6.28907e-22	-7.50132e-26	4.43815e-19	8.40705e-21	1.95523e-24	1.7676e-11	9.17623e-14	1.39627e-70	0.000457809
56	0	10	182.352	0	22.0146	3.37243	12.9586	0.134046	1.78211e-15	513.349	55.2526	1.83721	1.63548e-76	2.03229e-20	1.50711e-24	2.39422e-16	3.32174e-74	81.4508	1.2149	22.578	614.743	4.59417e-18	5.76385e-25	352.999	0.00107324	231.674	15.7297	999.988	0.0124134	1620.1	4.58563	0.127219	1510	0.00427196	7.62649e-20	2.5548e-24	1.52477e-77	2.62444e-19	3.37421e-21	-2.92392e-21	-2.28589e-22	-4.58339e-25	7.11561e-19	1.32944e-20	3.78023e-24	2.71961e-11	1.43591e-13	1.96623e-70	0.000508537
57	0	10	182.352	0	21.9605	3.42648	12.9562	0.136414	2.76791e-15	510.742	57.6813	2.01685	2.65058e-76	3.25156e-20	2.64149e-24	3.78461e-16	5.07111e-74	81.4293	1.23642	23.3036	614.018	7.25865e-18	9.58682e-25	352.999	0.00117853	231.44	15.9639	999.986	0.0138175	1619.83	4.83183	0.140902	1510	0.00474025	1.23882e-19	4.54699e-24	2.5318e-77	4.20973e-19	1.50677e-21	-1.38721e-21	9.19816e-23	-2.65114e-25	1.12792e-18	2.17374e-20	6.10276e-24	4.15111e-11	2.22652e-13	2.80755e-70	0.000563643
58	0	10	182.352	0	21.9067	3.48032	12.9538	0.138781	4.26835e-15	508.077	60.1547	2.20988	4.10916e-76	5.15962e-20	4.59408e-24	5.93416e-16	7.19203e-74	81.4078	1.25794	24.0374	613.284	1.13835e-17	1.62268e-24	352.999	0.00129172	231.207	16.1964	999.985	0.0153459	1619.56	5.08706	0.155782	1509.99	0.00525024	1.99545e-19	8.02358e-24	4.07267e-77	6.69326e-19	-2.90974e-22	2.27924e-22	2.64388e-22	-1.26842e-28	1.78439e-18	3.61126e-20	1.02275e-23	6.29277e-11	3.42544e-13	3.47882e-70	0.000623394
59	0	10	182.352	0	21.8531	3.53397	12.9515	0.141147	6.53063e-15	505.355	62.6715	2.41698	6.13761e-76	8.11184e-20	7.89902e-24	9.22177e-16	9.79615e-74	81.3863	1.27945	24.7795	612.542	1.77042e-17	2.76102e-24	352.998	0.0014132	230.976	16.4272	999.983	0.0170063	1619.27	5.35155	0.171941	1509.99	0.00580487	3.18322e-19	1.39865e-23	6.34144e-77	1.05323e-18	-4.68209e-22	8.09002e-22	-1.49327e-22	1.14109e-25	2.8086e-18	6.0359e-20	1.76461e-23	9.46914e-11	5.22546e-13	4.33185e-70	0.000688067
60	0	10	182.352	0	21.7996	3.58741	12.9491	0.143512	9.91841e-15	502.576	65.2303	2.63881	8.9447e-76	1.26427e-19	1.34241e-23	1.42107e-15	1.37285e-73	81.3648	1.30096	25.5296	611.792	2.73197e-17	4.65039e-24	352.998	0.00154338	230.747	16.6563	999.981	0.018807	1618.97	5.62553	0.189466	1509.99	0.00640723	5.03199e-19	2.40989e-23	9.57468e-77	1.64536e-18	1.19962e-23	6.17829e-23	9.23415e-23	7.78352e-26	4.3928e-18	9.87608e-20	3.04623e-23	1.41496e-10	7.90766e-13	7.84116e-70	0.000757945
61	0	10	182.352	0	21.7464	3.64066	12.9467	0.145877	1.49686e-14	499.741	67.8295	2.87609	1.30858e-75	1.95601e-19	2.26443e-23	2.17414e-15	2.07129e-73	81.3433	1.32246	26.2876	611.034	4.18818e-17	7.77473e-24	352.998	0.00168268	230.52	16.8836	999.979	0.0207563	1618.66	5.90927	0.208451	1509.99	0.0070606	7.89488e-19	4.12132e-23	1.42299e-76	2.55581e-18	6.27734e-22	-6.88824e-22	1.89493e-22	-2.24283e-26	6.82916e-18	1.61169e-19	5.22495e-23	2.10149e-10	1.18826e-12	1.48462e-69	0.00083332
62	0	10	182.352	0	21.6933	3.6937	12.9444	0.14824	2.2431e-14	496.852	70.4676	3.12951	1.93883e-75	3.00104e-19	3.78153e-23	3.29954e-15	3.27725e-73	81.3218	1.34395	27.0534	610.268	6.37262e-17	1.28627e-23	352.998	0.00183153	230.294	17.1092	999.977	0.0228628	1618.33	6.20302	0.228991	1509.99	0.00776845	1.22784e-18	6.97422e-23	2.10056e-76	3.94268e-18	-6.0747e-23	1.09083e-22	3.38397e-23	4.58888e-27	1.05359e-17	2.61233e-19	8.85109e-23	3.10039e-10	1.77192e-12	2.53536e-69	0.000914493
63	0	10	182.352	0	21.6405	3.74655	12.942	0.150603	3.33974e-14	493.908	73.1431	3.39981	2.91272e-75	4.56957e-19	6.26614e-23	4.97067e-15	5.02953e-73	81.3003	1.36544	27.8268	609.494	9.63073e-17	2.11475e-23	352.998	0.00199037	230.07	17.3332	999.975	0.0251356	1618	6.50706	0.251191	1509.99	0.0085344	1.89456e-18	1.17066e-22	3.11712e-76	6.0391e-18	-3.58436e-23	9.61851e-23	-3.17509e-24	1.40956e-27	1.61456e-17	4.20323e-19	1.49024e-22	4.54613e-10	2.62363e-12	3.26936e-69	0.00100177
64	0	10	182.352	0	21.5878	3.7992	12.9397	0.152964	4.94385e-14	490.912	75.8542	3.68771	4.40468e-75	6.91101e-19	1.02791e-22	7.43859e-15	7.62085e-73	81.2788	1.38692	28.6077	608.713	1.44675e-16	3.44422e-23	352.998	0.00215963	229.848	17.5554	999.972	0.0275838	1617.65	6.82168	0.275157	1509.99	0.0093623	2.90307e-18	1.9478e-22	4.66322e-76	9.19514e-18	-6.24107e-23	9.07185e-23	2.68177e-23	5.4331e-26	2.45938e-17	6.70802e-19	2.48499e-22	6.6291e-10	3.85971e-12	4.55264e-69	0.00109548
65	0	10	182.352	0	21.5354	3.85166	12.9373	0.155325	7.27093e-14	487.863	78.5992	3.99396	6.6688e-75	1.03719e-18	1.66561e-22	1.10493e-14	1.14885e-72	81.2573	1.40839	29.396	607.925	2.15836e-16	5.54565e-23	352.997	0.00233977	229.628	17.776	999.97	0.030217	1617.29	7.14715	0.301003	1509.99	0.0102562	4.41255e-18	3.20229e-22	7.02229e-76	1.39e-17	2.54118e-23	-1.45474e-22	1.93321e-22	1.00831e-25	3.71935e-17	1.05994e-18	4.0942e-22	9.60753e-10	5.63828e-12	7.67682e-69	0.00119594
66	0	10	182.352	0	21.4831	3.90392	12.9349	0.157685	1.06318e-13	484.764	81.3765	4.3193	1.01684e-74	1.54604e-18	2.68348e-22	1.63043e-14	1.78873e-72	81.2359	1.42986	30.1915	607.13	3.20058e-16	8.88626e-23	352.997	0.00253124	229.409	17.9948	999.967	0.0330448	1616.91	7.48379	0.32885	1509.99	0.0112204	6.65987e-18	5.22641e-22	1.06443e-75	2.08806e-17	1.08407e-22	-1.7312e-22	1.47669e-22	8.46378e-28	5.58936e-17	1.66689e-18	6.71606e-22	1.38475e-09	8.18385e-12	1.36579e-68	0.00130347
67	0	10	182.352	0	21.431	3.95598	12.9326	0.160044	1.54606e-13	481.614	84.1842	4.6645	1.5577e-74	2.28955e-18	4.30302e-22	2.3906e-14	2.806e-72	81.2144	1.45132	30.9942	606.327	4.71862e-16	1.41839e-22	352.997	0.0027345	229.191	18.212	999.964	0.0360772	1616.52	7.83192	0.358824	1509.99	0.0122593	9.98395e-18	8.47971e-22	1.62022e-75	3.11772e-17	-6.98061e-26	2.47318e-22	-1.65484e-22	-1.27484e-25	8.34841e-17	2.61009e-18	1.09761e-21	1.98557e-09	1.18072e-11	2.10719e-68	0.00141843
68	0	10	182.352	0	21.3792	4.00785	12.9302	0.162402	2.23636e-13	478.415	87.0205	5.03032	2.39264e-74	3.36934e-18	6.84468e-22	3.4838e-14	4.33149e-72	81.193	1.47277	31.8038	605.517	6.91797e-16	2.24698e-22	352.997	0.00295004	228.976	18.4275	999.961	0.0393246	1616.11	8.19185	0.391056	1509.99	0.0133778	1.48698e-17	1.36612e-21	2.47544e-75	4.62817e-17	-2.30332e-22	7.09933e-22	-4.00885e-22	-9.17421e-26	1.23968e-16	4.0591e-18	1.7802e-21	2.83293e-09	1.69358e-11	2.84225e-68	0.00154116
69	0	10	182.352	0	21.3275	4.05953	12.9279	0.164759	3.21782e-13	475.168	89.8834	5.41755	3.65384e-74	4.9273e-18	1.07824e-21	5.04609e-14	6.37611e-72	81.1715	1.49422	32.6202	604.701	1.00859e-15	3.52712e-22	352.996	0.00317832	228.762	18.6413	999.957	0.0427975	1615.69	8.56394	0.425688	1509.99	0.0145807	2.20021e-17	2.18284e-21	3.78518e-75	6.83028e-17	-1.2715e-22	2.29141e-22	-4.04982e-25	1.38821e-25	1.83007e-16	6.2619e-18	2.8608e-21	4.02196e-09	2.41521e-11	3.39467e-68	0.00167201
70	0	10	182.352	0	21.276	4.11101	12.9255	0.167116	4.60675e-13	471.875	92.7711	5.82695	5.43632e-74	7.16239e-18	1.68767e-21	7.26649e-14	8.61631e-72	81.1501	1.51566	33.4434	603.878	1.4626e-15	5.50625e-22	352.996	0.00341983	228.55	18.8534	999.953	0.0465066	1615.25	8.94853	0.462866	1509.98	0.0158734	3.23515e-17	3.46365e-21	5.73793e-75	1.00232e-16	1.74387e-22	-7.03737e-23	5.20289e-23	-5.44124e-26	2.68631e-16	9.6104e-18	4.57267e-21	5.68313e-09	3.42528e-11	3.47967e-68	0.00181134
71	0	10	182.352	0	21.2247	4.1623	12.9231	0.169471	6.56385e-13	468.536	95.6817	6.25933	7.75898e-74	1.03523e-17	2.62054e-21	1.04062e-13	1.08126e-71	81.1286	1.5371	34.2732	603.048	2.11035e-15	8.5315e-22	352.996	0.00367505	228.34	19.0639	999.95	0.0504629	1614.8	9.34599	0.502746	1509.98	0.0172614	4.72886e-17	5.45417e-21	8.50562e-75	1.46317e-16	-1.23056e-23	3.1238e-22	-5.9693e-23	-9.20114e-27	3.92232e-16	1.46522e-17	7.25062e-21	7.99411e-09	4.83193e-11	3.39774e-68	0.00195953
72	0	10	182.352	0	21.1736	4.2134	12.9208	0.171826	9.30966e-13	465.153	98.613	6.71546	1.05896e-73	1.48811e-17	4.04258e-21	1.4823e-13	1.29139e-71	81.1072	1.55853	35.1094	602.212	3.03035e-15	1.31445e-21	352.996	0.00394447	228.131	19.2727	999.945	0.0546778	1614.33	9.75671	0.545489	1509.98	0.0187506	6.87308e-17	8.52802e-21	1.21955e-74	2.12509e-16	9.33858e-23	2.3963e-22	3.33279e-23	3.61629e-26	5.69796e-16	2.22198e-17	1.14294e-20	1.11957e-08	6.78108e-11	3.39178e-68	0.00211694
73	0	10	182.352	0	21.1227	4.26431	12.9184	0.174179	1.31451e-12	461.727	101.563	7.19614	1.39068e-73	2.12769e-17	6.19452e-21	2.10044e-13	1.5084e-71	81.0858	1.57995	35.952	601.369	4.33101e-15	2.0126e-21	352.995	0.00422859	227.924	19.4799	999.941	0.0591627	1613.84	10.1811	0.591268	1509.98	0.020347	9.93423e-17	1.32458e-20	1.68469e-74	3.07123e-16	1.28992e-22	4.09426e-22	1.97494e-23	1.47679e-26	8.23635e-16	3.3511e-17	1.79067e-20	1.56126e-08	9.46855e-11	3.66803e-68	0.00228395
