Time	[EGF]	[HRG]	[A1]	[A1_2]	[A2]	[A2_2]	[A3]	[A3_2]	[DUSPmRNA]	[ERK_c]	[pERK_c]	[ppERK_c]	[F]	[c_FOS_c]	[pc_FOS_c]	[c_FOSmRNA]	[FmRNA]	[Kin]	[Kin_2]	[pMEK]	[MEK]	[DUSP_c]	[pDUSP_c]	[RSK_c]	[pRSK_c]	[RsD]	[RsT]	[CREB_n]	[pCREB_n]	[ERK_n]	[pERK_n]	[ppERK_n]	[Elk1_n]	[pElk1_n]	[FOSn]	[FOSn_2]	[Fn]	[DUSP_n]	[pDUSP_n]	[pDUSP_n_ERK_n]	[pDUSP_n_pERK_n]	[pDUSP_n_ppERK_n]	[DUSP_n_ERK_n]	[DUSP_n_pERK_n]	[DUSP_n_ppERK_n]	[PreDUSPmRNA]	[PreFOSmRNA]	[PreFmRNA]	[pRSK_n]
10	0	10	182.352	0	24.732	0.655003	13.0685	0.0241456	4.73822e-35	569.967	0.453739	0.000103236	3.37903e-105	2.73335e-42	9.82333e-51	1.28918e-37	5.75668e-102	82.4475	0.218253	0.844064	636.477	5.30877e-16	-5.30641e-16	353	5.76015e-08	244.269	3.13404	1000	8.82552e-08	1624.87	0.0232907	3.71798e-06	1510	7.94597e-08	1.92644e-42	4.58606e-51	5.97899e-107	-1.12677e-20	2.02946e-20	-1.38436e-21	2.79313e-21	4.05169e-27	2.5017e-20	-2.79123e-21	-4.04907e-27	4.37063e-30	5.04011e-34	3.47791e-97	7.86001e-09
11	0	10	182.352	0	24.6678	0.71917	13.0661	0.0265551	6.4999e-34	569.82	0.600118	0.000180907	1.71962e-103	5.47256e-41	3.46652e-49	2.37893e-36	2.53139e-100	82.4257	0.240048	1.0183	636.303	-4.90487e-15	4.90515e-15	353	1.01425e-07	243.961	3.44234	1000	1.79858e-07	1624.86	0.0318591	6.83918e-06	1510	1.52665e-07	4.22639e-41	1.73816e-49	3.62021e-105	2.05268e-19	-1.90421e-19	2.23418e-23	-8.77858e-21	-4.10554e-27	3.87734e-20	8.78413e-21	4.11577e-27	5.44735e-29	8.44983e-33	1.41641e-95	1.50359e-08
12	0	10	182.352	0	24.6039	0.783099	13.0637	0.0289637	6.98343e-33	569.647	0.774164	0.000301599	5.53619e-102	8.23405e-40	8.82243e-48	3.31822e-35	7.17773e-99	82.4039	0.261838	1.20825	636.113	9.44539e-14	-9.44537e-14	353	1.69771e-07	243.654	3.74946	1000	3.4299e-07	1624.84	0.0422982	1.18936e-05	1510	2.75631e-07	6.91533e-40	4.6972e-48	1.28366e-103	-3.7023e-18	3.72196e-18	3.68368e-20	7.79556e-20	1.92657e-26	2.39609e-20	-7.79411e-20	-1.92234e-26	5.35162e-28	1.07643e-31	3.42677e-94	2.71179e-08
13	0	10	182.352	0	24.5402	0.846791	13.0612	0.0313715	6.12967e-32	569.443	0.977973	0.000482193	1.10658e-100	9.78476e-39	1.74339e-46	3.67927e-34	1.17138e-97	82.3821	0.283623	1.41373	635.907	-5.88848e-16	5.88827e-16	353	2.72357e-07	243.348	4.05536	1000	6.18726e-07	1624.83	0.0547803	1.97341e-05	1510	4.72501e-07	8.88555e-39	9.72436e-47	2.89425e-102	4.88481e-20	-2.27402e-20	-2.25313e-21	1.55333e-21	-4.01124e-27	7.58255e-20	-1.53775e-21	4.06992e-27	4.32668e-27	1.09798e-30	3.29576e-93	4.65515e-08
14	0	10	182.352	0	24.4768	0.910245	13.0588	0.0337783	4.53373e-31	569.207	1.21357	0.000743917	6.47162e-100	9.50436e-38	2.63176e-45	3.36043e-33	3.26058e-97	82.3603	0.305402	1.63458	635.687	-5.93076e-20	4.33853e-20	353	4.21423e-07	243.044	4.35998	1000	1.0647e-06	1624.82	0.0694734	3.14635e-05	1510	7.75234e-07	9.26457e-38	1.57013e-45	2.68452e-101	2.48681e-20	3.18621e-22	2.67741e-22	-1.22393e-22	-1.14196e-28	7.05986e-20	1.41266e-22	1.92708e-28	2.97195e-26	9.3137e-30	3.34384e-93	7.66249e-08
15	0	10	182.352	0	24.4136	0.973463	13.0564	0.0361842	2.92574e-30	568.938	1.4829	0.00111295	1.72571e-99	7.9348e-37	3.30814e-44	2.64133e-32	6.48621e-97	82.3386	0.327176	1.87064	635.451	-1.72977e-20	9.2416e-22	353	6.3209e-07	242.74	4.66329	1000	1.75934e-06	1624.8	0.0865414	4.84759e-05	1510	1.22506e-06	8.28226e-37	2.0905e-44	9.98657e-101	2.40383e-20	2.43366e-22	2.36265e-22	-2.2029e-23	-6.14429e-29	6.8098e-20	4.47254e-23	1.78077e-28	1.78286e-25	6.78789e-29	1.60364e-92	1.21647e-07
16	0	10	182.352	0	24.3506	1.03645	13.054	0.0385891	1.65858e-29	568.632	1.78785	0.00162105	1.31166e-98	5.69269e-36	3.47168e-43	1.79036e-31	1.55255e-95	82.3168	0.348944	2.12173	635.199	-1.2913e-20	-2.76774e-21	353	9.22727e-07	242.438	4.96525	1000	2.80663e-06	1624.78	0.106144	7.24999e-05	1510	1.874e-06	6.34519e-36	2.30265e-43	4.28708e-100	2.28866e-20	5.20751e-22	-1.52316e-22	8.16404e-23	1.64451e-28	6.6024e-20	-5.47846e-23	3.41439e-30	9.44218e-25	4.29044e-28	7.36759e-91	1.87143e-07
17	0	10	182.352	0	24.2878	1.09919	13.0516	0.0409932	8.39791e-29	568.289	2.13022	0.00230619	1.83102e-97	3.57596e-35	3.12097e-42	1.0678e-30	1.72255e-94	82.295	0.370706	2.3877	634.934	-1.37629e-20	-1.37067e-21	353	1.31533e-06	242.138	5.26583	1000	4.34133e-06	1624.75	0.128439	0.000105644	1510	2.78651e-06	4.23577e-35	2.16779e-42	5.45725e-99	2.02903e-20	2.28609e-21	-1.89695e-21	5.6109e-23	1.3317e-28	6.53873e-20	-2.47426e-23	1.03595e-28	4.48712e-24	2.39772e-27	5.61371e-90	2.80062e-07
18	0	10	182.352	0	24.2253	1.16171	13.0492	0.0433964	3.86059e-28	567.907	2.51174	0.0032132	1.49109e-96	2.01013e-34	2.46139e-41	5.71465e-30	1.17489e-93	82.2733	0.392463	2.66837	634.653	1.34482e-19	-1.48882e-19	353	1.83589e-06	241.839	5.56499	1000	6.5348e-06	1624.73	0.153578	0.000150444	1510	4.04113e-06	2.52254e-34	1.78746e-41	5.18158e-98	2.52081e-20	-3.47854e-21	3.8791e-21	3.07809e-23	-5.73407e-28	5.73539e-20	5.49353e-24	8.94896e-28	1.94166e-23	1.20539e-26	3.15599e-89	4.09e-07
19	0	10	182.352	0	24.163	1.22399	13.0468	0.0457986	1.62692e-27	567.484	2.93407	0.00439445	2.1233e-95	1.02215e-33	1.71395e-40	2.77283e-29	2.4562e-92	82.2515	0.414214	2.96357	634.358	3.77236e-20	-5.14551e-20	353	2.51479e-06	241.541	5.86271	1000	9.60107e-06	1624.7	0.181711	0.000209911	1510	5.73225e-06	1.35576e-33	1.30036e-40	5.92005e-97	1.16145e-20	9.4121e-21	-9.12964e-21	1.6234e-22	2.35694e-27	6.80921e-20	-1.20551e-22	-1.90514e-27	7.7227e-23	5.50795e-26	1.07355e-87	5.84439e-07
