Time	[IL6]	[IFN]	[(IL6-gp80-gp130-JAK)2*-STAT1C-STAT3C]	[(IL6-gp80-gp130-JAK)2*-STAT1C]	[(IFN-R-JAK)2*-STAT3C]	[(IFN-R-JAK)2*-STAT3C*]	[STAT1C*-STAT3C*]	[STAT1N*-STAT3N*]	[PP2-STAT1N*-STAT3N*]	[PP1-STAT1C*-STAT3C*]	[gp80]	[IL6-gp80]	[gp130]	[JAK(IFN)]	[gp130-JAK]	[IL6-gp80-gp130-JAK]	[(IL6-gp80-gp130-JAK)2]	[(IL6-gp80-gp130-JAK)2*]	[(IL6-gp80-gp130-JAK)2*-STAT3C]	[STAT3C]	[STAT3C*]	[(IL6-gp80-gp130-JAK)2*-STAT3C*]	[(STAT3C*)2]	[(IL6-gp80-gp130-JAK)2*-SOCS3]	[(IL6-gp80-gp130-JAK)2*-SHP2]	[STAT3C-STAT3C*]	[SOCS3]	[PP1]	[PP1-STAT3C*]	[PP1-(STAT3C*)2]	[mRNA-SOCS3C]	[Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2]	[SOS]	[SHP2*-Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS]	[Ras-GDP]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GDP]	[Ras-GTP]	[Raf]	[Raf-Ras-GTP]	[Ras-GTP*]	[Raf*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GTP]	[SHP2*-Grb2-SOS]	[Grb2-SOS]	[SHP2*]	[Phosp1]	[Raf*-Phosp1]	[MEK]	[MEK-Raf*]	[MEK-P]	[MEK-P-Raf*]	[MEK-PP]	[MEK-PP-Phosp2]	[Phosp2]	[MEK-P-Phosp2]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-P-MEK-PP]	[ERK-PP]	[Phosp3]	[ERK-PP-Phosp3]	[ERK-P-Phosp3]	[CEBPi]	[CEBP]	[CEBPn]	[R-JAK]	[IFN-R-JAK]	[(IFN-R-JAK)2]	[(IFN-R-JAK)2*]	[(IFN-R-JAK)2*-STAT1C]	[STAT1C]	[STAT1C*]	[(IFN-R-JAK)2*-STAT1C*]	[(STAT1C*)2]	[(IFN-R-JAK)2*-SHP2]	[PP1-STAT1C*]	[STAT1C-STAT1C*]	[mRNA-SOCS1C]	[SOCS1]	[(IFN-R-JAK)2*-SOCS1]	[PP1-(STAT1C*)2]	[(IFN-R-JAK)2*-STAT1C-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2]	[R]	[SHP2]	[STAT3*]	[STAT1*]	[(IL6-gp80-gp130-JAK)2*-STAT1]	[(IL6-gp80-gp130-JAK)2*-STAT1*]	[JAK(IL-6)]	[(IFN-R-JAK)2*-STAT1C-STAT3C]	[(STAT1N*)2]	[PP2-STAT1N*]	[STAT1N*]	[STAT1N]	[mRNA-SOCS1N]	[PP2-(STAT1N*)2]	[STAT1N-STAT1N*]	[(STAT3N*)2]	[PP2]	[PP2-(STAT3N*)2]	[STAT3N*]	[PP2-STAT3N*]	[STAT3N]	[STAT3N-STAT3N*]	[mRNA-SOCS3N]
0	0	0.1	0	0	0	0	0	0	0	0	8	0	0.8	12	0	0	0	0	0	1000	0	0	0	0	0	0	0	50	0	0	0	85	0	0	34	0	0	19000	0	0	67	0	0	0	0	0	0	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	12	100	0	0	0	0	12	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0
1	0	0.1	0	0	3.43623e-11	2.58203e-25	7.10604e-26	2.21754e-29	7.67299e-32	2.21195e-28	8	0	0.8	5.586	0.900218	0	0	0	0	1000	3.08313e-12	0	1.24946e-26	0	0	7.44427e-17	6.8803e-43	50	1.86047e-14	3.84162e-29	1.32643e-39	74.7841	0	0	23.7841	0	0	19000	0	0	67	0	0	0	0	0	10.2159	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	6.40594	0.00805506	5.88846e-07	2.22124e-10	2.21942e-10	1000	1.72963e-11	1.47176e-24	4.04225e-25	3.71786e-12	1.07073e-13	4.28434e-16	1.02567e-38	5.34837e-42	7.35267e-55	1.27409e-27	2.29758e-55	7.77173e-58	1.34514e-62	5.586	100	3.10181e-12	1.74038e-11	0	0	11.0998	7.47433e-11	1.24808e-28	2.47022e-32	7.48608e-30	1.81902e-35	1.84526e-34	4.37894e-31	1.20529e-34	3.85119e-30	60	1.31607e-32	1.73128e-31	5.62528e-34	1.06864e-35	3.536e-36	2.39969e-35
2	0	0.1	0	0	1.2008e-09	1.31224e-21	1.5524e-21	1.01781e-24	7.42161e-27	1.01232e-23	8	0	0.8	3.83976	1.6907	0	0	0	0	1000	3.37618e-10	0	3.16963e-22	0	0	1.69667e-14	2.78913e-37	50	4.23886e-12	2.03947e-24	2.5277e-34	68.2736	0	0	17.2736	0	0	19000	0	0	67	0	0	0	0	0	16.7264	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	8.13766	0.0225581	9.58536e-06	4.98181e-09	8.65664e-09	1000	1.62987e-09	6.43961e-21	7.60492e-21	1.73859e-10	2.10176e-11	8.41277e-14	1.80262e-33	2.00378e-36	1.04e-47	5.02692e-23	6.7337e-48	5.07093e-50	1.93426e-54	3.83976	100	3.41873e-10	1.65097e-09	0	0	10.3093	4.36952e-09	4.81542e-24	4.28911e-27	6.17451e-25	4.98864e-30	1.52251e-29	3.56772e-26	2.06912e-29	2.05038e-25	60	1.47596e-27	1.75839e-26	1.19972e-28	2.23839e-30	8.33224e-31	2.15196e-30
3	0	0.1	0	0	8.46447e-09	1.40686e-19	3.79939e-19	3.85363e-22	4.33742e-24	3.82101e-21	8	0	0.8	3.09245	2.38481	0	0	0	0	1000	4.40581e-09	0	8.39273e-20	0	0	3.38737e-13	3.81417e-34	50	8.45981e-11	8.33838e-22	2.22356e-31	63.8638	0	0	12.8638	0	0	19000	0	0	67	0	0	0	0	0	21.1362	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	8.86849	0.0389739	4.32864e-05	2.71113e-08	6.27596e-08	1000	1.96889e-08	6.37718e-19	1.7203e-18	1.43106e-09	3.87127e-10	1.55012e-12	1.49766e-30	2.59035e-33	9.56042e-44	1.75156e-20	8.9323e-44	1.08683e-45	6.48708e-50	3.09245	100	4.49075e-09	2.00776e-08	0	0	9.61519	3.78221e-08	1.64052e-21	3.51556e-24	3.28647e-22	5.55864e-27	8.11511e-27	1.87681e-23	1.67771e-26	8.4087e-23	60	9.35532e-25	1.06227e-23	1.11586e-25	2.07955e-27	8.14551e-28	1.21563e-27
4	0	0.1	0	0	3.19832e-08	3.35671e-18	1.6029e-17	2.21668e-20	3.38556e-22	2.19079e-19	8	0	0.8	2.71338	2.99431	0	0	0	0	1000	2.5054e-08	0	3.71283e-18	0	0	2.59045e-12	5.49179e-32	50	6.46727e-10	5.02096e-20	2.33875e-29	60.7522	0	0	9.75216	0	0	19000	0	0	67	0	0	0	0	0	24.2478	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.23037	0.0560112	0.000118635	8.58396e-08	2.3897e-07	1000	1.06957e-07	1.45029e-17	6.921e-17	6.00949e-09	2.818e-09	1.12877e-11	1.50956e-28	3.57582e-31	4.90482e-41	9.56168e-19	6.14481e-41	1.01058e-42	8.26209e-47	2.71338	100	2.57033e-08	1.09786e-07	0	0	9.00569	1.59018e-07	8.75869e-20	3.49294e-22	2.40909e-20	6.97413e-25	5.96027e-25	1.35998e-21	1.64938e-24	5.07965e-21	60	7.67914e-23	8.50237e-22	1.21071e-23	2.27348e-25	9.08036e-26	9.32141e-26
5	0	0.1	0	0	8.66751e-08	3.61503e-17	2.65796e-16	4.66451e-19	9.00799e-21	4.59447e-18	8	0	0.8	2.50432	3.52951	0	0	0	0	1000	9.18763e-08	0	6.35231e-17	0	0	1.18953e-11	2.36271e-30	50	2.96872e-09	1.08785e-18	7.88048e-28	58.4928	0	0	7.49276	0	0	19000	0	0	67	0	0	0	0	0	26.5072	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.42205	0.0731278	0.000249715	2.04386e-07	6.4863e-07	1000	3.80684e-07	1.51316e-16	1.11228e-15	1.76745e-08	1.25202e-08	5.01683e-11	4.91909e-27	1.4882e-29	5.50144e-39	1.94086e-17	8.37586e-39	1.75536e-40	1.83386e-44	2.50432	100	9.48569e-08	3.93254e-07	0	0	8.47049	4.59626e-07	1.73956e-18	1.12141e-20	6.12143e-19	2.70508e-23	1.51792e-23	3.41625e-20	5.24007e-23	1.10427e-19	60	2.11339e-21	2.30925e-20	4.1552e-22	7.90029e-24	3.16342e-24	2.45546e-24
6	0	0.1	0	0	1.91174e-07	2.38615e-16	2.48123e-15	5.2861e-18	1.23462e-19	5.18854e-17	8	0	0.8	2.38348	3.99946	0	0	0	0	1000	2.5734e-07	0	6.06225e-16	0	0	3.98752e-11	4.82115e-29	50	9.94829e-09	1.25732e-17	1.31497e-26	56.8178	0	0	5.8178	0	0	19000	0	0	67	0	0	0	0	0	28.1822	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.52556	0.0900559	0.000446904	4.08312e-07	1.42997e-06	1000	1.04424e-06	9.76688e-16	1.01564e-14	4.1721e-08	4.09949e-08	1.64323e-10	7.98427e-26	2.95447e-28	2.40068e-37	2.1415e-16	4.32523e-37	1.10198e-38	1.41116e-42	2.38348	100	2.67328e-07	1.0854e-06	0	0	8.00054	1.05805e-06	1.87897e-17	1.79259e-19	8.09245e-18	5.07504e-22	2.01159e-22	4.46451e-19	8.28858e-22	1.28076e-18	60	2.96753e-20	3.22226e-19	7.01103e-21	1.35358e-22	5.38001e-23	3.34615e-23
7	0	0.1	0	0	3.66696e-07	1.13106e-15	1.56959e-14	3.93562e-17	1.07802e-18	3.84907e-16	8	0	0.8	2.31157	4.41213	0	0	0	0	1000	6.01151e-07	0	3.89791e-15	0	0	1.08055e-10	5.91342e-28	50	2.69491e-08	9.48929e-17	1.35961e-25	55.5569	0	0	4.55691	0	0	19000	0	0	67	0	0	0	0	0	29.4431	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.58033	0.106654	0.000717004	7.24298e-07	2.73974e-06	1000	2.4022e-06	4.55369e-15	6.3208e-14	8.4845e-08	1.09156e-07	4.37684e-10	8.06257e-25	3.53997e-27	5.49765e-36	1.56148e-15	1.134e-35	3.40571e-37	5.19434e-41	2.31157	100	6.28209e-07	2.5118e-06	0	0	7.58787	2.09187e-06	1.34194e-16	1.78226e-18	6.8604e-17	5.79749e-21	1.70969e-21	3.74119e-18	8.15408e-21	9.70098e-18	60	2.63837e-19	2.85952e-18	7.29617e-20	1.43283e-21	5.61783e-22	2.91275e-22
8	0	0.1	0	0	6.36011e-07	4.2252e-15	7.50521e-14	2.16365e-16	6.78931e-18	2.10828e-15	8	0	0.8	2.26786	4.77449	0	0	0	0	1000	1.23291e-06	0	1.88727e-14	0	0	2.51276e-10	5.00131e-27	50	6.26481e-08	5.26688e-16	9.92333e-25	54.5968	0	0	3.59675	0	0	19000	0	0	67	0	0	0	0	0	30.4032	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.60715	0.122847	0.00106372	1.17924e-06	4.74566e-06	1000	4.86932e-06	1.67964e-14	2.9848e-13	1.54943e-07	2.50409e-07	1.0044e-09	5.76455e-24	2.93369e-26	7.92491e-35	8.4402e-15	1.82723e-34	6.28582e-36	1.10769e-39	2.26786	100	1.29581e-06	5.12074e-06	0	0	7.22551	3.71071e-06	7.10971e-16	1.25456e-17	4.21483e-16	4.60958e-20	1.05311e-20	2.27198e-17	5.67944e-20	5.40419e-17	60	1.68491e-18	1.82808e-17	5.34297e-19	1.06822e-20	4.11541e-21	1.83212e-21
9	0	0.1	0	0	1.02258e-06	1.31967e-14	2.90908e-13	9.48052e-16	3.3508e-17	9.20303e-15	8	0	0.8	2.2408	5.09267	0	0	0	0	1000	2.29335e-06	0	7.38781e-14	0	0	5.20838e-10	3.21126e-26	50	1.29814e-07	2.32337e-15	5.58951e-24	53.8592	0	0	2.85915	0	0	19000	0	0	67	0	0	0	0	0	31.1408	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.61759	0.138597	0.00148822	1.79956e-06	7.62017e-06	1000	8.97432e-06	5.19382e-14	1.14556e-12	2.60876e-07	5.13454e-07	2.06014e-09	3.18726e-23	1.84954e-25	8.08718e-34	3.64572e-14	2.05685e-33	8.00665e-35	1.61061e-38	2.2408	100	2.42368e-06	9.48983e-06	0	0	6.90733	6.07023e-06	3.0118e-15	6.82807e-17	2.03599e-15	2.7993e-19	5.10046e-20	1.08472e-16	3.05824e-19	2.39295e-16	60	8.40855e-18	9.15165e-17	3.01284e-18	6.13642e-20	2.3165e-20	9.04286e-21
