Time	[VIIa_TF]	[X]	[VIIa_TF_X]	[VIIa_TF_Xa]	[Xa]	[TFPI]	[Xa_TFPI]	[Xa_TFPI_VIIa_TF]	[VIIa_TF_Xa_TFPI]
0	1	170	0	0	0	2.4	0	0	0
1	0.00651917	134.082	0.00362591	0.00344915	33.9162	0.405494	1.0081	0.0134828	0.972923
2	0.00130006	133.584	0.000713938	0.000702437	34.0993	0.0844685	1.31825	0.0145862	0.982697
3	0.00125321	133.292	0.000686091	0.000679024	34.3414	0.0345377	1.36808	0.0153397	0.982042
4	0.00124829	133.005	0.000681829	0.00067788	34.6206	0.0266612	1.37595	0.0160948	0.981297
5	0.00124878	132.719	0.000680614	0.000679621	34.9053	0.0252835	1.37733	0.016851	0.98054
6	0.00125009	132.433	0.000679859	0.000681804	35.1906	0.0248986	1.37771	0.0176083	0.97978
7	0.00125153	132.148	0.000679172	0.000684057	35.4758	0.0246658	1.37795	0.0183666	0.979019
8	0.00125299	131.862	0.000678497	0.000686325	35.7607	0.0244583	1.37816	0.0191259	0.978256
9	0.00125446	131.578	0.000677824	0.000688598	36.0453	0.0242574	1.37836	0.0198862	0.977493
10	0.00125594	131.293	0.000677152	0.000690877	36.3296	0.0240603	1.37856	0.0206475	0.976729
11	0.00125742	131.009	0.00067648	0.00069316	36.6137	0.0238665	1.37876	0.0214098	0.975963
12	0.00125891	130.725	0.000675809	0.000695448	36.8975	0.0236759	1.37895	0.0221732	0.975197
13	0.0012604	130.441	0.000675139	0.000697741	37.181	0.0234883	1.37914	0.0229375	0.974429
14	0.00126189	130.158	0.000674469	0.000700038	37.4642	0.0233037	1.37933	0.0237028	0.973661
15	0.00126339	129.875	0.0006738	0.00070234	37.7472	0.0231221	1.37952	0.0244692	0.972891
16	0.0012649	129.592	0.000673132	0.000704646	38.0299	0.0229434	1.3797	0.0252366	0.972121
17	0.00126641	129.309	0.000672464	0.000706957	38.3123	0.0227674	1.37988	0.026005	0.971349
18	0.00126792	129.027	0.000671796	0.000709273	38.5944	0.0225941	1.38005	0.0267744	0.970577
19	0.00126944	128.745	0.000671129	0.000711593	38.8762	0.0224236	1.38023	0.0275448	0.969803
20	0.00127096	128.463	0.000670462	0.000713918	39.1578	0.0222556	1.3804	0.0283162	0.969028
21	0.00127249	128.182	0.000669795	0.000716248	39.4391	0.0220902	1.38057	0.0290887	0.968253
22	0.00127402	127.9	0.000669129	0.000718582	39.7201	0.0219272	1.38073	0.0298622	0.967476
23	0.00127556	127.62	0.000668463	0.00072092	40.0008	0.0217667	1.3809	0.0306367	0.966698
