Time	[FA]	[HETE]	[PGH2]	[PGE2]	[PGF2a]	[PGD2]	[PGJ2]	[dPGJ2]	[Arachidonic acid]	[LPS]	[DG]	[GPCho]	[dPGD2]
41	1	0.092598	0.0206946	21.9398	6.56042	24.6539	93.745	28.9692	0.31527	0.5	-9.68184e-14	0.749838	78.0113
42	1	0.0786089	0.0168399	21.9436	6.56156	22.7461	91.8686	28.7752	0.253901	0.5	-1.00922e-13	0.749838	77.6089
43	1	0.0666531	0.013674	21.9467	6.56249	20.9798	89.9574	28.5416	0.204063	0.5	-1.0511e-13	0.749838	77.1591
44	1	0.0564503	0.0110799	21.9492	6.56324	19.3456	88.02	28.2717	0.163675	0.5	-1.09383e-13	0.749838	76.6667
45	1	0.0477561	0.00895884	21.9512	6.56385	17.8346	86.0638	27.9689	0.131014	0.5	-1.1374e-13	0.749838	76.1359
46	1	0.0403577	0.00722849	21.9529	6.56434	16.4381	84.0959	27.6363	0.104658	0.5	-1.18182e-13	0.749838	75.5706
47	1	0.0340703	0.00582003	21.9542	6.56474	15.1483	82.1226	27.2768	0.083434	0.5	-1.22709e-13	0.749838	74.9745
48	1	0.028734	0.0046761	21.9553	6.56506	13.9573	80.1494	26.8933	0.0663794	0.5	-1.2732e-13	0.749838	74.351
49	1	0.0242104	0.00374908	21.9561	6.56531	12.8582	78.1814	26.4886	0.0527038	0.5	-1.32016e-13	0.749838	73.7032
50	1	0.0203803	0.00299949	21.9568	6.56552	11.8441	76.2232	26.0652	0.0417607	0.5	-1.36796e-13	0.749838	73.034
51	1	0.0171411	0.00239472	21.9574	6.56568	10.9087	74.2787	25.6254	0.0330228	0.5	-1.41661e-13	0.749838	72.346
52	1	0.0144047	0.00190786	21.9578	6.56581	10.0462	72.3515	25.1717	0.0260601	0.5	-1.46611e-13	0.749838	71.6418
53	1	0.0120953	0.00151678	21.9581	6.56592	9.25117	70.4447	24.7062	0.0205238	0.5	-1.51645e-13	0.749838	70.9235
54	1	0.0101484	0.00120332	21.9584	6.566	8.51837	68.5612	24.2308	0.0161309	0.5	-1.56764e-13	0.749838	70.1932
55	1	0.00850866	0.00095264	21.9586	6.56606	7.84309	66.7033	23.7474	0.0126525	0.5	-1.61967e-13	0.749838	69.4527
56	1	0.00712884	0.000752595	21.9588	6.56612	7.22093	64.8731	23.2578	0.00990402	0.5	-1.67255e-13	0.749838	68.7039
57	1	0.00596879	0.000593309	21.959	6.56616	6.64779	63.0723	22.7635	0.00773687	0.5	-1.72628e-13	0.749838	67.9483
58	1	0.00499434	0.000466754	21.9591	6.56619	6.11988	61.3026	22.266	0.00603167	0.5	-1.78085e-13	0.749838	67.1874
59	1	0.00417646	0.000366423	21.9591	6.56621	5.63368	59.5651	21.7668	0.00469276	0.5	-1.83627e-13	0.749838	66.4225
60	1	0.00349051	0.000287056	21.9592	6.56623	5.18593	57.8609	21.267	0.00364365	0.5	-1.89253e-13	0.749838	65.6547
61	1	0.00291563	0.000224408	21.9593	6.56625	4.77364	56.1909	20.7677	0.00282335	0.5	-1.94964e-13	0.749838	64.8853
62	1	0.00243419	0.000175065	21.9593	6.56626	4.39402	54.5557	20.2702	0.00218328	0.5	-2.0076e-13	0.749838	64.1151
63	1	0.00203125	0.000136286	21.9593	6.56627	4.0445	52.9558	19.7752	0.00168489	0.5	-2.0664e-13	0.749838	63.3452
64	1	0.00169424	0.000105875	21.9594	6.56628	3.72272	51.3916	19.2836	0.00129764	0.5	-2.12605e-13	0.749838	62.5763
65	1	0.00141253	8.20778e-05	21.9594	6.56628	3.42649	49.8633	18.7962	0.000997365	0.5	-2.18654e-13	0.749838	61.8092
66	1	0.00117719	6.34965e-05	21.9594	6.56629	3.15379	48.371	18.3138	0.000765019	0.5	-2.24788e-13	0.749838	61.0446
67	1	0.00098068	4.90191e-05	21.9594	6.56629	2.90276	46.9146	17.8369	0.00058561	0.5	-2.31007e-13	0.749838	60.2831
68	1	0.000816683	3.77635e-05	21.9594	6.56629	2.67169	45.4942	17.366	0.000447366	0.5	-2.3731e-13	0.749838	59.5252
69	1	0.000679884	2.90317e-05	21.9594	6.5663	2.45899	44.1095	16.9017	0.000341064	0.5	-2.43698e-13	0.749838	58.7715
