Time	[RanGDP_nuc]	[RCC1_RanGDP]	[GDP]	[RCC1]	[RCC1_RanGTP]	[RCC1_Ran]	[GTP]	[RanGTP_nuc]	[RanGAP]	[RanBP1]	[RanGTP_cy]	[RanGTP_RanBP1]	[RanGDP_cy]
39	0.396594	0.0362031	1.6	0.0723767	0.555778	0.0356424	500	4.20508	0.7	1.99994	0.0075711	6.01207e-05	1.50617
40	0.396796	0.0361813	1.6	0.0722804	0.555891	0.0356477	500	4.21161	0.7	1.99994	0.00758311	6.02163e-05	1.50161
41	0.396975	0.0361618	1.6	0.0721945	0.555991	0.0356525	500	4.21745	0.7	1.99994	0.00759385	6.03018e-05	1.49752
42	0.397135	0.0361444	1.6	0.0721179	0.556081	0.0356567	500	4.22268	0.7	1.99994	0.00760344	6.03781e-05	1.49387
43	0.397277	0.0361288	1.6	0.0720497	0.556161	0.0356605	500	4.22734	0.7	1.99994	0.00761202	6.04464e-05	1.49061
44	0.397404	0.0361149	1.6	0.0719887	0.556233	0.0356638	500	4.23151	0.7	1.99994	0.00761969	6.05074e-05	1.4877
45	0.397516	0.0361024	1.6	0.0719344	0.556296	0.0356668	500	4.23524	0.7	1.99994	0.00762654	6.05619e-05	1.4851
46	0.397617	0.0360913	1.6	0.0718859	0.556353	0.0356695	500	4.23857	0.7	1.99994	0.00763267	6.06107e-05	1.48277
47	0.397706	0.0360813	1.6	0.0718425	0.556404	0.0356719	500	4.24155	0.7	1.99994	0.00763814	6.06543e-05	1.48069
48	0.397786	0.0360724	1.6	0.0718039	0.55645	0.035674	500	4.24422	0.7	1.99994	0.00764304	6.06932e-05	1.47883
49	0.397858	0.0360645	1.6	0.0717694	0.55649	0.0356759	500	4.2466	0.7	1.99994	0.00764741	6.0728e-05	1.47717
50	0.397921	0.0360573	1.6	0.0717385	0.556527	0.0356776	500	4.24872	0.7	1.99994	0.00765132	6.07591e-05	1.47568
51	0.397978	0.036051	1.6	0.071711	0.556559	0.0356791	500	4.25063	0.7	1.99994	0.00765482	6.0787e-05	1.47436
52	0.398029	0.0360453	1.6	0.0716864	0.556588	0.0356805	500	4.25233	0.7	1.99994	0.00765795	6.08118e-05	1.47317
53	0.398074	0.0360402	1.6	0.0716644	0.556614	0.0356817	500	4.25385	0.7	1.99994	0.00766074	6.08341e-05	1.47211
54	0.398114	0.0360356	1.6	0.0716448	0.556637	0.0356828	500	4.2552	0.7	1.99994	0.00766324	6.08539e-05	1.47116
55	0.39815	0.0360316	1.6	0.0716273	0.556657	0.0356837	500	4.25642	0.7	1.99994	0.00766546	6.08717e-05	1.47031
56	0.398182	0.036028	1.6	0.0716116	0.556676	0.0356846	500	4.2575	0.7	1.99994	0.00766746	6.08875e-05	1.46956
57	0.398211	0.0360247	1.6	0.0715976	0.556692	0.0356854	500	4.25847	0.7	1.99994	0.00766924	6.09017e-05	1.46888
58	0.398237	0.0360218	1.6	0.0715852	0.556707	0.0356861	500	4.25934	0.7	1.99994	0.00767083	6.09144e-05	1.46828
59	0.39826	0.0360192	1.6	0.071574	0.55672	0.0356867	500	4.26011	0.7	1.99994	0.00767226	6.09257e-05	1.46774
60	0.39828	0.0360169	1.6	0.071564	0.556732	0.0356872	500	4.2608	0.7	1.99994	0.00767353	6.09358e-05	1.46725
61	0.398298	0.0360148	1.6	0.0715551	0.556742	0.0356877	500	4.26142	0.7	1.99994	0.00767466	6.09449e-05	1.46682
62	0.398315	0.036013	1.6	0.0715471	0.556752	0.0356881	500	4.26197	0.7	1.99994	0.00767568	6.0953e-05	1.46644
63	0.398329	0.0360113	1.6	0.07154	0.55676	0.0356885	500	4.26247	0.7	1.99994	0.00767659	6.09602e-05	1.46609
64	0.398342	0.0360098	1.6	0.0715336	0.556768	0.0356889	500	4.26291	0.7	1.99994	0.0076774	6.09667e-05	1.46578
65	0.398354	0.0360085	1.6	0.0715279	0.556774	0.0356892	500	4.26331	0.7	1.99994	0.00767813	6.09724e-05	1.46551
66	0.398364	0.0360073	1.6	0.0715229	0.55678	0.0356895	500	4.26366	0.7	1.99994	0.00767878	6.09776e-05	1.46526
67	0.398374	0.0360063	1.6	0.0715183	0.556786	0.0356897	500	4.26397	0.7	1.99994	0.00767936	6.09822e-05	1.46504
68	0.398382	0.0360053	1.6	0.0715143	0.55679	0.03569	500	4.26426	0.7	1.99994	0.00767988	6.09864e-05	1.46484
69	0.398389	0.0360045	1.6	0.0715106	0.556795	0.0356902	500	4.26451	0.7	1.99994	0.00768034	6.099e-05	1.46467
70	0.398396	0.0360037	1.6	0.0715074	0.556799	0.0356903	500	4.26473	0.7	1.99994	0.00768076	6.09933e-05	1.46451
71	0.398402	0.036003	1.6	0.0715045	0.556802	0.0356905	500	4.26493	0.7	1.99994	0.00768113	6.09963e-05	1.46437
72	0.398407	0.0360024	1.6	0.0715019	0.556805	0.0356906	500	4.26511	0.7	1.99994	0.00768146	6.09989e-05	1.46424
