Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[Xa_Va_l]	[V_Xa_l]	[IIa_f]	[V_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[APC_PS_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]
0	1174.5	0	0	0	1.75	0	0	0	7.6	0	0.1	0	142.85	0	0	0	0	0	116	0	0	0	66	0	0.0182	0	0	0	0	0	0	0	0	0	0	0	0	12.3	4721	0	0	0	0	0	0	0	1	0	0	0	170000	364	0	0
1	339.29	835.21	1.37423e-16	1.13636e-14	0.00862449	1.74137	4.36112e-11	9.82107e-09	0.167542	7.43182	0.000763072	0.0983881	34.8164	108.033	4.83229e-06	2.94443e-05	4.84753e-19	5.74725e-18	0.787056	115.213	1.49364e-32	4.70754e-30	18.6181	47.3819	0.0167106	0.000572145	0.000639912	0.000177202	0.000100187	1.47739e-11	1.87265e-14	1.09433e-06	2.39517e-15	2.36485e-17	1.10209e-14	1.94385e-15	4.92146e-18	12.3	4721	7.07783e-18	2.30815e-07	2.15324e-13	2.33661e-28	1.27359e-08	1.74264e-07	1.07007e-16	1	1.7376e-16	3.84286e-17	3.88196e-19	58488.8	364	1.9975e-19	5.97718e-10
2	335.537	838.963	1.11742e-13	7.9257e-12	0.00868271	1.74131	1.1125e-09	2.31388e-07	0.168637	7.43012	0.000762207	0.0976167	35.174	107.675	3.20175e-05	0.000177968	1.5166e-15	1.49521e-14	0.792362	115.208	1.05397e-26	2.6243e-24	18.704	47.296	0.0153396	0.00102405	0.00123019	0.000320416	0.000285735	1.77416e-10	5.06384e-12	1.17408e-05	1.53149e-12	2.25642e-14	3.63362e-12	5.56169e-13	2.70454e-14	12.3	4721	9.91006e-15	3.42039e-06	1.24812e-11	5.96449e-23	1.88744e-07	1.07965e-06	1.08739e-13	1	2.18785e-13	6.85336e-14	7.00241e-16	58158.6	364	2.79681e-16	8.85811e-09
3	335.505	838.995	4.0978e-12	2.75874e-10	0.00868306	1.74128	6.27095e-09	1.27335e-06	0.168634	7.42956	0.000756955	0.0969416	35.1772	107.671	8.59086e-05	0.000464705	1.05186e-13	9.74625e-13	0.792407	115.208	1.46175e-23	3.34059e-21	18.7048	47.2952	0.0140917	0.00141573	0.00176898	0.000444878	0.000478748	6.7318e-10	1.07924e-10	4.03349e-05	4.9119e-11	8.51976e-13	7.84372e-11	1.22188e-11	2.70278e-12	12.3	4721	5.04802e-13	1.4592e-05	1.15428e-10	4.73623e-20	8.05286e-07	2.84092e-06	4.40156e-12	1	1.04115e-11	3.73801e-12	4.06891e-14	58155.8	364	1.42465e-14	3.77935e-08
4	335.505	838.995	4.59465e-11	3.014e-09	0.00868282	1.74122	1.98204e-08	3.97815e-06	0.168622	7.42901	0.00075241	0.0963626	35.177	107.671	0.000164658	0.000879231	1.75492e-12	1.57715e-11	0.792408	115.208	1.82737e-21	4.00034e-19	18.7048	47.2952	0.0129546	0.00176743	0.00226088	0.000556582	0.000660454	1.63608e-09	8.33712e-10	8.9627e-05	4.97458e-10	9.421e-12	6.0966e-10	9.57899e-11	5.85699e-11	12.3	4721	7.13428e-12	3.88545e-05	5.27707e-10	4.05416e-18	2.14444e-06	5.39453e-06	5.21344e-11	1	1.39412e-10	5.38089e-11	6.34169e-13	58155.7	364	2.01343e-13	1.00642e-07
5	335.505	838.995	2.75961e-10	1.78267e-08	0.00868245	1.74115	4.62695e-08	9.22422e-06	0.168609	7.42847	0.000748651	0.0958847	35.1768	107.67	0.000265382	0.00140657	1.39731e-11	1.23344e-10	0.792408	115.208	6.48599e-20	1.38395e-17	18.7048	47.2952	0.0119178	0.00208676	0.00271003	0.000657983	0.000827402	3.14655e-09	3.76644e-09	0.000159081	2.74432e-09	5.48663e-11	2.76412e-09	4.36475e-10	5.69624e-10	12.2999	4721	5.11238e-11	8.08131e-05	1.66042e-09	1.07929e-16	4.46061e-06	8.6477e-06	3.24096e-10	1	9.52807e-10	3.84453e-10	4.92775e-12	58155.7	364	1.44281e-12	2.09345e-07
6	335.505	838.995	1.13088e-09	7.23209e-08	0.00868198	1.74105	8.984e-08	1.78324e-05	0.168597	7.4279	0.000745711	0.0955116	35.1765	107.669	0.000385297	0.0020324	7.1053e-11	6.19917e-10	0.792408	115.208	1.06926e-18	2.24312e-16	18.7048	47.2952	0.0109715	0.00237791	0.00312018	0.000750425	0.000979936	5.24457e-09	1.22517e-08	0.000246911	1.04463e-08	2.16575e-10	9.0122e-09	1.42771e-09	3.39743e-09	12.2999	4721	2.41415e-10	0.000144507	4.14635e-09	1.40871e-15	7.97706e-06	1.25113e-05	1.35957e-09	1	4.30686e-09	1.7903e-09	2.49594e-11	58155.7	364	6.81321e-12	3.74378e-07
7	335.505	838.995	3.58546e-09	2.2768e-07	0.0086814	1.74094	1.54303e-07	3.05352e-05	0.168583	7.42732	0.000743615	0.0952469	35.1762	107.668	0.000521892	0.0027438	2.68018e-10	2.31938e-09	0.792408	115.208	1.0564e-17	2.18956e-15	18.7048	47.2952	0.0101072	0.00264396	0.0034947	0.000834888	0.00111923	7.94072e-09	3.19815e-08	0.000351024	3.10298e-08	6.60129e-10	2.35631e-08	3.74126e-09	1.46051e-08	12.2998	4721	8.61349e-10	0.000233452	8.85181e-09	1.14211e-14	1.28883e-05	1.69053e-05	4.38359e-09	1	1.47429e-08	6.25962e-09	9.4751e-11	58155.7	364	2.43089e-11	6.04871e-07
8	335.505	838.995	9.46572e-09	5.97961e-07	0.00868073	1.7408	2.42953e-07	4.79725e-05	0.168569	7.42669	0.000742387	0.0950935	35.1758	107.667	0.000672932	0.00352928	8.1801e-10	7.0367e-09	0.792408	115.208	7.23431e-17	1.48615e-14	18.7048	47.2952	0.00931711	0.00288747	0.00383665	0.000912191	0.00124655	1.12244e-08	7.1376e-08	0.000469372	7.72861e-08	1.67594e-09	5.26499e-08	8.37333e-09	4.97255e-08	12.2996	4721	2.51599e-09	0.000350697	1.68765e-08	6.59674e-14	1.9363e-05	2.17581e-05	1.17193e-08	1	4.13829e-08	1.78496e-08	2.92579e-10	58155.7	364	7.10062e-11	9.08743e-07
9	335.505	838.995	2.17968e-08	1.37146e-06	0.00867997	1.74065	3.58644e-07	7.06979e-05	0.168554	7.42602	0.000742044	0.0950535	35.1755	107.666	0.000836423	0.00437862	2.13318e-09	1.82667e-08	0.792408	115.208	3.77191e-16	7.69614e-14	18.7048	47.2952	0.00859432	0.00311069	0.00414881	0.00098305	0.00136308	1.50698e-08	1.4175e-07	0.000600071	1.68885e-07	3.71635e-09	1.04654e-07	1.66648e-08	1.42294e-07	12.2995	4721	6.32986e-09	0.000498871	2.95451e-08	2.96164e-13	2.75471e-05	2.7006e-05	2.72495e-08	1	1.00173e-07	4.37343e-08	7.73964e-10	58155.7	364	1.78641e-10	1.29284e-06
