Time	[ubiquitinProtease1]	[ubiquitinProtease2]	[Wee1]	[Cdc25]	[Cdc13_Cdc2]	[FreeRum1]	[Cig2_Cdc2]	[IntermediaryEnzyme]	[Cdc13_P-Cdc2]	[Cig2_Cdc2_Rum1]	[Cdc13_Cdc2_Rum1]	[Cdc13_P-Cdc2_Rum1]	[S-phasePromotingFactor]	[M-phasePromotingFactor]	[BoundIntermediaryEnzyme]	[BoundUbiquitinProtease1]	[BoundUbiquitinProtease2]	[BoundWee1]	[BoundCdc25]	[TotalRum1]	[TotalCdc13]	[TotalCig2]	Values[Mass]
0	0.11	0	0	0	0	0.4	0	0	0	0	0	0	0	0	1	0.89	1	1	1	0.4	0	0	0.49
1	0.0248712	7.19605e-05	0.224364	0.000146011	0.0004705	0.401083	0.000487204	1.82695e-05	1.40186e-06	0.00124956	0.0140075	2.76925e-05	0.000592371	0.00047057	0.999982	0.975129	0.999928	0.775636	0.999854	0.416368	0.0145071	0.00173676	0.246216
2	1.40024e-05	8.79819e-05	0.441128	0.000192237	0.000569625	0.399142	0.000608721	2.22239e-05	3.11995e-06	0.00285712	0.0276082	9.5944e-05	0.000721961	0.000569781	0.999978	0.999986	0.999912	0.558872	0.999808	0.429704	0.0282769	0.00346584	0.247438
3	5.09742e-07	0.000103498	0.645084	0.000228776	0.000666561	0.395474	0.000728905	2.60937e-05	5.49058e-06	0.00446139	0.040419	0.000213006	0.000849062	0.000666836	0.999974	0.999999	0.999897	0.354916	0.999771	0.440567	0.041304	0.00519029	0.248665
4	5.847e-07	0.00011877	0.82404	0.000263967	0.000762008	0.390487	0.00085326	2.99052e-05	8.4871e-06	0.00605673	0.0524532	0.000384288	0.000975747	0.000762432	0.99997	0.999999	0.999881	0.17596	0.999736	0.449381	0.053608	0.00690999	0.249899
5	6.59676e-07	0.000133923	0.948898	0.00029876	0.000856766	0.38449	0.000982472	3.36897e-05	1.18905e-05	0.00764224	0.0637521	0.000608505	0.00110298	0.00085736	0.999966	0.999999	0.999866	0.0511023	0.999701	0.456493	0.0652292	0.00862472	0.251139
6	7.34708e-07	0.000149088	0.993082	0.000333511	0.000951661	0.377735	0.00111704	3.74798e-05	1.52984e-05	0.00921722	0.0743667	0.000872186	0.00123169	0.000952426	0.999963	0.999999	0.999851	0.00691843	0.999666	0.462191	0.0762058	0.0103343	0.252386
7	8.10102e-07	0.000164323	0.999049	0.000368401	0.00104695	0.370423	0.00125736	4.12885e-05	1.8764e-05	0.010781	0.0843494	0.00115872	0.00136223	0.00104789	0.999959	0.999999	0.999836	0.000951322	0.999632	0.466712	0.0865739	0.0120384	0.253638
8	8.85887e-07	0.000179636	0.999547	0.000403465	0.00114267	0.362718	0.00140376	4.51172e-05	2.2483e-05	0.012333	0.0937402	0.00146202	0.00149473	0.00114379	0.999955	0.999999	0.99982	0.000452664	0.999597	0.470254	0.0963674	0.0137368	0.254897
9	9.62154e-07	0.000195044	0.999557	0.00043874	0.00123892	0.354751	0.00155651	4.89706e-05	2.65068e-05	0.0138727	0.102572	0.00178064	0.00162938	0.00124025	0.999951	0.999999	0.999805	0.00044299	0.999561	0.472977	0.105619	0.0154292	0.256162
10	1.03899e-06	0.000210565	0.999525	0.000474268	0.00133583	0.346627	0.00171586	5.28532e-05	3.08556e-05	0.0153996	0.110877	0.00211383	0.00176633	0.00133737	0.999947	0.999999	0.999789	0.000474911	0.999526	0.475017	0.114358	0.0171154	0.257433
11	1.11646e-06	0.000226212	0.99949	0.000510081	0.00143346	0.338428	0.00188199	5.67681e-05	3.55462e-05	0.0169131	0.118683	0.00246098	0.00190573	0.00143523	0.999943	0.999999	0.999774	0.00051015	0.99949	0.476485	0.122613	0.018795	0.25871
12	1.19463e-06	0.000241996	0.999454	0.000546205	0.00153187	0.33022	0.00205508	6.07179e-05	4.05947e-05	0.0184127	0.126019	0.00282154	0.00204766	0.0015339	0.999939	0.999999	0.999758	0.000546412	0.999454	0.477473	0.130413	0.0204678	0.259994
