Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
30	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
31	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
32	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
33	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
34	0	3.24699e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
35	0	3.24699e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
36	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149005	4.37798e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
37	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149005	4.37797e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
38	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01004e-16	0.0044	0.000149005	4.37797e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
39	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149005	4.37797e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
40	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149005	4.37797e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
41	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149005	4.37797e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
42	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149005	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
43	0	3.24699e-19	0	0.000467985	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149005	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
44	0	3.24699e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149006	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
45	0	3.247e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149006	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
46	0	3.247e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01003e-16	0.00440001	0.000149006	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
47	0	3.247e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01003e-16	0.00440001	0.000149006	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
48	0	3.247e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01003e-16	0.00440001	0.000149006	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
49	0	3.247e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01003e-16	0.00440001	0.000149006	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
50	0	3.247e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01003e-16	0.00440001	0.000149006	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
51	0	3.247e-19	0	0.000467984	9.99001e-06	9.58792e-12	4.01003e-16	0.00440001	0.000149006	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
52	0	3.247e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
53	0	3.247e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37795e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
