Time	[Glucose in]	[MgATP]	[Glucose 6-phosphate]	[MgADP]	[Fructose 6-phosphate]	[Glyceraldehyde 3-phosphate]	[Dihydroxyacetone phosphate]	[Phosphate]	[NAD]	[NADH]	[3-Phospho-D-glycerate]	[2-Phospho-D-glycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Lactate]	[NADPH]	[NADP]	[AMP]	[ADP]	[Ribulose 5-phosphate]	[Oxidized Glutathione]	[Reduced Glutathione]	[Xylulose 5-phosphate]	[Ribose 5-phosphate]	[Sedoheptulose 7-phosphate]	[Erythrose 4-phosphate]	[MgAMP]	[ATP]	[Mg]	[MgGri23P2]	[Protein1 bound NADP]	[Protein1]	[Protein1 bound NADPH]	[Protein2 bound NADP]	[Protein2]	[Protein2 bound NADPH]	[PRPP]	[External Lactate]	[External Pyruvate]	[Glucose outside]	[Phosphate external]
50	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844314	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472171	0.000186743	3.11403	0.0127431	0.0140047	0.0154143	0.00627126	0.0024138	0.183637	0.55585	0.687171	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
51	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472171	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627126	0.0024138	0.183638	0.555849	0.687172	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
52	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555849	0.687172	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
53	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555849	0.687173	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
54	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555848	0.687173	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
55	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555848	0.687173	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
56	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555848	0.687174	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
57	4.5668	1.41771	0.0394913	0.136859	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657712	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555848	0.687174	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
58	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555848	0.687174	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
59	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555848	0.687174	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
60	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555848	0.687174	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
61	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687174	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
62	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
63	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
64	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
65	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
66	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
67	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
68	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
69	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
70	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
71	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
72	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
73	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
74	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
75	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
76	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
77	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241379	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
78	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
79	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
80	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
81	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
82	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
83	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
84	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
85	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
86	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
87	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
88	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
89	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
90	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
91	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
92	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
93	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127432	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
94	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127432	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
95	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127432	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
96	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127432	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
97	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127432	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
98	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127432	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
99	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
100	4.5668	1.41771	0.0394913	0.136858	0.0153451	0.00606186	0.149208	0.999225	0.0653436	0.000156372	0.0657711	0.00844313	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722597	0.187124	0.00472172	0.000186743	3.11403	0.0127431	0.0140047	0.0154144	0.00627127	0.00241378	0.183638	0.555847	0.687175	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
